video_name,left_pupil,right_pupil,gaze_direction,label
C0001.MP4,"(860, 490)","(1105, 499)",center,Med penna_Finger-test
C0001.MP4,"(863, 492)","(1107, 499)",center,Med penna_Finger-test
C0001.MP4,"(863, 492)","(1116, 500)",center,Med penna_Finger-test
C0001.MP4,"(860, 491)","(1107, 498)",center,Med penna_Finger-test
C0001.MP4,"(863, 492)","(1109, 499)",center,Med penna_Finger-test
C0001.MP4,"(861, 492)","(1108, 499)",center,Med penna_Finger-test
C0001.MP4,"(861, 492)","(1108, 500)",center,Med penna_Finger-test
C0001.MP4,"(862, 492)","(1108, 500)",center,Med penna_Finger-test
C0001.MP4,"(864, 493)","(1110, 501)",center,Med penna_Finger-test
C0001.MP4,"(864, 493)","(1110, 500)",center,Med penna_Finger-test
C0001.MP4,"(865, 493)","(1110, 501)",center,Med penna_Finger-test
C0001.MP4,"(864, 494)","(1111, 501)",center,Med penna_Finger-test
C0001.MP4,"(864, 494)","(1110, 502)",center,Med penna_Finger-test
C0001.MP4,"(864, 494)","(1110, 501)",center,Med penna_Finger-test
C0001.MP4,"(864, 495)","(1109, 502)",center,Med penna_Finger-test
C0001.MP4,"(865, 494)","(1109, 501)",center,Med penna_Finger-test
C0001.MP4,"(865, 494)","(1109, 501)",center,Med penna_Finger-test
C0001.MP4,"(865, 495)","(1109, 501)",center,Med penna_Finger-test
C0001.MP4,"(865, 494)","(1108, 501)",center,Med penna_Finger-test
C0001.MP4,"(866, 495)","(1110, 501)",center,Med penna_Finger-test
C0001.MP4,"(860, 496)","(1111, 502)",center,Med penna_Finger-test
C0001.MP4,"(866, 494)","(1108, 501)",center,Med penna_Finger-test
C0001.MP4,"(866, 495)","(1110, 501)",center,Med penna_Finger-test
C0001.MP4,"(867, 494)","(1118, 502)",center,Med penna_Finger-test
C0001.MP4,"(867, 494)","(1109, 501)",center,Med penna_Finger-test
C0001.MP4,"(867, 495)","(1111, 501)",center,Med penna_Finger-test
C0001.MP4,"(868, 494)","(1117, 502)",center,Med penna_Finger-test
C0001.MP4,"(867, 494)","(1111, 501)",center,Med penna_Finger-test
C0001.MP4,"(868, 494)","(1119, 502)",center,Med penna_Finger-test
C0001.MP4,"(868, 494)","(1111, 501)",center,Med penna_Finger-test
C0001.MP4,"(869, 494)","(1112, 501)",center,Med penna_Finger-test
C0001.MP4,"(869, 494)","(1118, 502)",left,Med penna_Finger-test
C0001.MP4,"(869, 494)","(1119, 502)",left,Med penna_Finger-test
C0001.MP4,"(869, 494)","(1112, 501)",center,Med penna_Finger-test
C0001.MP4,"(870, 493)","(1119, 501)",left,Med penna_Finger-test
C0001.MP4,"(870, 493)","(1119, 501)",center,Med penna_Finger-test
C0001.MP4,"(870, 495)","(1113, 501)",center,Med penna_Finger-test
C0001.MP4,"(871, 493)","(1119, 501)",left,Med penna_Finger-test
C0001.MP4,"(870, 495)","(1115, 502)",center,Med penna_Finger-test
C0001.MP4,"(871, 495)","(1114, 501)",center,Med penna_Finger-test
C0001.MP4,"(871, 496)","(1120, 502)",left,Med penna_Finger-test
C0001.MP4,"(871, 495)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(872, 495)","(1120, 502)",left,Med penna_Finger-test
C0001.MP4,"(872, 496)","(1121, 503)",left,Med penna_Finger-test
C0001.MP4,"(873, 495)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 494)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 495)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 495)","(1120, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 495)","(1121, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 494)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 495)","(1121, 503)",left,Med penna_Finger-test
C0001.MP4,"(874, 495)","(1122, 502)",left,Med penna_Finger-test
C0001.MP4,"(874, 494)","(1121, 502)",left,Med penna_Finger-test
C0001.MP4,"(876, 495)","(1123, 502)",left,Med penna_Finger-test
C0001.MP4,"(877, 495)","(1123, 503)",left,Med penna_Finger-test
C0001.MP4,"(878, 494)","(1124, 502)",left,Med penna_Finger-test
C0001.MP4,"(877, 495)","(1124, 503)",left,Med penna_Finger-test
