video_name,left_pupil,right_pupil,gaze_direction
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1118, 480)",center
C0008.MP4,"(848, 474)","(1118, 481)",center
C0008.MP4,"(849, 475)","(1118, 481)",center
C0008.MP4,"(848, 475)","(1118, 481)",center
C0008.MP4,"(849, 474)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(850, 476)","(1118, 481)",center
C0008.MP4,"(849, 475)","(1118, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(850, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(849, 474)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1119, 481)",center
C0008.MP4,"(850, 475)","(1120, 481)",center
C0008.MP4,"(849, 475)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1120, 481)",center
C0008.MP4,"(851, 475)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1120, 481)",center
C0008.MP4,"(852, 476)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1120, 481)",center
C0008.MP4,"(849, 475)","(1120, 482)",center
C0008.MP4,"(850, 474)","(1120, 481)",center
C0008.MP4,"(850, 475)","(1119, 481)",center
C0008.MP4,"(850, 475)","(1119, 481)",center
C0008.MP4,"(851, 476)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 481)",center
C0008.MP4,"(849, 475)","(1119, 482)",center
C0008.MP4,"(850, 475)","(1119, 482)",center
C0008.MP4,"(850, 475)","(1119, 482)",center
C0008.MP4,"(852, 476)","(1120, 482)",center
C0008.MP4,"(850, 476)","(1120, 482)",center
C0008.MP4,"(851, 476)","(1120, 482)",center
C0008.MP4,"(851, 475)","(1121, 482)",center
C0008.MP4,"(851, 475)","(1121, 482)",center
C0008.MP4,"(851, 476)","(1121, 482)",center
C0008.MP4,"(851, 475)","(1122, 482)",center
C0008.MP4,"(852, 476)","(1122, 483)",center
C0008.MP4,"(853, 476)","(1123, 482)",center
C0008.MP4,"(853, 476)","(1123, 483)",center
C0008.MP4,"(854, 476)","(1123, 483)",center
C0008.MP4,"(854, 476)","(1124, 483)",center
C0008.MP4,"(854, 476)","(1124, 482)",center
C0008.MP4,"(854, 476)","(1124, 483)",center
C0008.MP4,"(854, 476)","(1124, 483)",center
C0008.MP4,"(854, 476)","(1125, 483)",center
C0008.MP4,"(855, 476)","(1125, 483)",center
C0008.MP4,"(853, 476)","(1125, 483)",center
C0008.MP4,"(853, 475)","(1125, 483)",center
C0008.MP4,"(853, 475)","(1126, 483)",center
C0008.MP4,"(856, 476)","(1126, 483)",center
C0008.MP4,"(856, 476)","(1126, 483)",center
C0008.MP4,"(855, 475)","(1127, 483)",center
C0008.MP4,"(858, 476)","(1128, 484)",center
C0008.MP4,"(858, 476)","(1128, 483)",center
C0008.MP4,"(859, 476)","(1128, 484)",center
C0008.MP4,"(860, 475)","(1130, 484)",center
C0008.MP4,"(860, 475)","(1130, 483)",center
C0008.MP4,"(861, 476)","(1131, 484)",center
C0008.MP4,"(861, 476)","(1131, 484)",center
C0008.MP4,"(862, 476)","(1132, 484)",center
C0008.MP4,"(862, 476)","(1132, 484)",center
C0008.MP4,"(865, 477)","(1132, 484)",center
C0008.MP4,"(863, 476)","(1133, 484)",center
C0008.MP4,"(863, 476)","(1133, 485)",center
C0008.MP4,"(864, 476)","(1134, 485)",center
C0008.MP4,"(864, 476)","(1135, 485)",center
C0008.MP4,"(865, 476)","(1135, 485)",center
C0008.MP4,"(868, 477)","(1135, 485)",center
C0008.MP4,"(869, 477)","(1136, 485)",center
C0008.MP4,"(866, 476)","(1137, 485)",center
C0008.MP4,"(866, 476)","(1137, 485)",center
C0008.MP4,"(867, 476)","(1137, 485)",center
C0008.MP4,"(867, 476)","(1138, 485)",center
C0008.MP4,"(867, 476)","(1137, 486)",center
C0008.MP4,"(872, 477)","(1138, 485)",center
C0008.MP4,"(872, 477)","(1139, 486)",center
