video_name,left_pupil,right_pupil,gaze_direction
C0068.MP4,"(977, 408)","(1322, 436)",center
C0068.MP4,"(977, 408)","(1323, 436)",center
C0068.MP4,"(978, 407)","(1323, 434)",center
C0068.MP4,"(979, 407)","(1324, 435)",center
C0068.MP4,"(979, 407)","(1325, 436)",center
C0068.MP4,"(979, 407)","(1325, 436)",center
C0068.MP4,"(979, 408)","(1325, 436)",center
C0068.MP4,"(980, 406)","(1325, 436)",center
C0068.MP4,"(978, 409)","(1325, 437)",center
C0068.MP4,"(980, 408)","(1325, 436)",center
C0068.MP4,"(978, 407)","(1325, 436)",center
C0068.MP4,"(978, 408)","(1325, 436)",center
C0068.MP4,"(979, 408)","(1324, 436)",center
C0068.MP4,"(978, 408)","(1324, 435)",center
C0068.MP4,"(977, 408)","(1324, 434)",center
C0068.MP4,"(977, 407)","(1322, 434)",center
C0068.MP4,"(976, 406)","(1321, 433)",center
C0068.MP4,"(974, 408)","(1320, 434)",center
C0068.MP4,"(973, 408)","(1319, 434)",center
C0068.MP4,"(973, 409)","(1319, 434)",center
C0068.MP4,"(973, 409)","(1319, 435)",center
C0068.MP4,"(973, 409)","(1318, 436)",center
C0068.MP4,"(974, 408)","(1318, 436)",center
C0068.MP4,"(973, 410)","(1318, 436)",center
C0068.MP4,"(972, 411)","(1318, 436)",center
C0068.MP4,"(974, 409)","(1318, 436)",center
C0068.MP4,"(973, 410)","(1318, 436)",center
C0068.MP4,"(971, 410)","(1318, 436)",center
C0068.MP4,"(973, 410)","(1317, 436)",center
C0068.MP4,"(972, 411)","(1317, 437)",center
C0068.MP4,"(971, 413)","(1318, 438)",center
C0068.MP4,"(971, 413)","(1318, 438)",center
C0068.MP4,"(972, 413)","(1319, 439)",center
C0068.MP4,"(973, 412)","(1319, 439)",center
C0068.MP4,"(973, 413)","(1320, 439)",center
C0068.MP4,"(975, 412)","(1320, 439)",center
C0068.MP4,"(973, 413)","(1320, 439)",center
C0068.MP4,"(974, 414)","(1320, 440)",center
C0068.MP4,"(974, 412)","(1321, 439)",center
C0068.MP4,"(976, 412)","(1321, 440)",center
C0068.MP4,"(975, 413)","(1322, 439)",center
C0068.MP4,"(975, 413)","(1322, 440)",right
C0068.MP4,"(975, 413)","(1322, 440)",center
C0068.MP4,"(976, 413)","(1322, 440)",center
C0068.MP4,"(975, 414)","(1323, 440)",center
C0068.MP4,"(975, 413)","(1323, 440)",center
C0068.MP4,"(977, 413)","(1322, 439)",center
C0068.MP4,"(975, 414)","(1322, 440)",center
C0068.MP4,"(977, 412)","(1322, 439)",center
C0068.MP4,"(975, 413)","(1323, 439)",center
C0068.MP4,"(976, 413)","(1323, 439)",center
C0068.MP4,"(977, 413)","(1323, 439)",center
C0068.MP4,"(977, 413)","(1323, 440)",center
C0068.MP4,"(976, 414)","(1324, 440)",center
C0068.MP4,"(977, 413)","(1324, 439)",center
C0068.MP4,"(978, 412)","(1324, 439)",center
C0068.MP4,"(978, 412)","(1324, 438)",center
C0068.MP4,"(979, 411)","(1324, 439)",center
C0068.MP4,"(978, 413)","(1324, 439)",center
C0068.MP4,"(978, 413)","(1325, 438)",center
C0068.MP4,"(979, 411)","(1326, 438)",center
C0068.MP4,"(979, 413)","(1326, 439)",center
C0068.MP4,"(979, 412)","(1327, 439)",center
C0068.MP4,"(980, 412)","(1328, 438)",center
C0068.MP4,"(981, 413)","(1328, 440)",center
C0068.MP4,"(981, 413)","(1328, 439)",center
C0068.MP4,"(982, 413)","(1329, 439)",center
C0068.MP4,"(982, 412)","(1329, 439)",center
C0068.MP4,"(982, 412)","(1330, 439)",center
C0068.MP4,"(983, 411)","(1330, 438)",center
C0068.MP4,"(984, 413)","(1331, 439)",center
C0068.MP4,"(984, 412)","(1331, 440)",center
C0068.MP4,"(985, 411)","(1332, 438)",center
C0068.MP4,"(985, 413)","(1333, 439)",center
C0068.MP4,"(986, 412)","(1333, 439)",center
C0068.MP4,"(986, 412)","(1334, 440)",center
C0068.MP4,"(987, 412)","(1334, 440)",center
C0068.MP4,"(987, 412)","(1335, 439)",center
C0068.MP4,"(988, 412)","(1336, 439)",center
C0068.MP4,"(988, 411)","(1336, 439)",center
C0068.MP4,"(988, 411)","(1336, 439)",center
C0068.MP4,"(989, 411)","(1336, 439)",center
C0068.MP4,"(989, 411)","(1337, 439)",center
C0068.MP4,"(989, 410)","(1337, 438)",center
C0068.MP4,"(989, 411)","(1337, 439)",center
C0068.MP4,"(990, 410)","(1337, 438)",center
C0068.MP4,"(990, 412)","(1338, 439)",center
C0068.MP4,"(990, 411)","(1338, 439)",center
C0068.MP4,"(991, 411)","(1339, 438)",center
C0068.MP4,"(990, 410)","(1339, 438)",center
C0068.MP4,"(991, 412)","(1339, 439)",center
C0068.MP4,"(991, 412)","(1340, 439)",center
C0068.MP4,"(991, 412)","(1340, 439)",center
C0068.MP4,"(992, 412)","(1340, 439)",center
C0068.MP4,"(992, 413)","(1340, 440)",center
C0068.MP4,"(992, 413)","(1341, 439)",center
C0068.MP4,"(992, 414)","(1341, 440)",center
C0068.MP4,"(993, 414)","(1342, 440)",center
C0068.MP4,"(993, 412)","(1342, 439)",center
C0068.MP4,"(993, 413)","(1343, 440)",center
C0068.MP4,"(994, 414)","(1343, 440)",center
C0068.MP4,"(994, 415)","(1343, 440)",center
C0068.MP4,"(994, 414)","(1343, 441)",center
C0068.MP4,"(995, 415)","(1344, 441)",center
C0068.MP4,"(995, 415)","(1344, 441)",center
C0068.MP4,"(996, 415)","(1345, 441)",center
C0068.MP4,"(997, 415)","(1346, 441)",center
C0068.MP4,"(997, 416)","(1346, 443)",center
C0068.MP4,"(997, 414)","(1347, 441)",center
C0068.MP4,"(998, 415)","(1347, 442)",center
C0068.MP4,"(999, 415)","(1348, 442)",center
C0068.MP4,"(1000, 415)","(1349, 442)",center
C0068.MP4,"(1000, 415)","(1349, 442)",center
C0068.MP4,"(1000, 416)","(1349, 442)",center
C0068.MP4,"(1001, 416)","(1350, 443)",center
C0068.MP4,"(1001, 415)","(1350, 442)",center
C0068.MP4,"(1001, 415)","(1351, 442)",center
C0068.MP4,"(1002, 416)","(1351, 443)",center
C0068.MP4,"(1002, 415)","(1352, 442)",center
C0068.MP4,"(1002, 415)","(1352, 442)",center
C0068.MP4,"(1003, 417)","(1353, 443)",center
C0068.MP4,"(1004, 418)","(1353, 444)",center
C0068.MP4,"(1004, 417)","(1354, 444)",center
C0068.MP4,"(1004, 417)","(1355, 443)",center
C0068.MP4,"(1006, 417)","(1356, 443)",center
C0068.MP4,"(1006, 416)","(1356, 442)",center
C0068.MP4,"(1007, 415)","(1357, 443)",center
C0068.MP4,"(1007, 417)","(1357, 443)",center
C0068.MP4,"(1007, 416)","(1357, 442)",center
C0068.MP4,"(1007, 416)","(1357, 442)",center
C0068.MP4,"(1007, 416)","(1358, 442)",center
C0068.MP4,"(1007, 416)","(1358, 442)",center
C0068.MP4,"(1007, 416)","(1358, 442)",center
C0068.MP4,"(1006, 415)","(1358, 442)",center
C0068.MP4,"(1006, 417)","(1358, 443)",center
C0068.MP4,"(1006, 416)","(1358, 442)",center
C0068.MP4,"(1006, 416)","(1358, 442)",center
C0068.MP4,"(1006, 416)","(1358, 442)",center
C0068.MP4,"(1007, 417)","(1358, 442)",center
C0068.MP4,"(1007, 416)","(1358, 442)",center
C0068.MP4,"(1007, 417)","(1359, 443)",center
C0068.MP4,"(1007, 416)","(1359, 442)",center
C0068.MP4,"(1007, 416)","(1359, 443)",center
C0068.MP4,"(1008, 417)","(1360, 442)",center
C0068.MP4,"(1008, 416)","(1360, 443)",center
C0068.MP4,"(1009, 416)","(1361, 442)",center
C0068.MP4,"(1008, 416)","(1360, 443)",center
C0068.MP4,"(1009, 417)","(1360, 443)",center
C0068.MP4,"(1009, 417)","(1360, 442)",center
C0068.MP4,"(1009, 417)","(1360, 442)",center
C0068.MP4,"(1009, 416)","(1361, 443)",center
C0068.MP4,"(1010, 417)","(1361, 443)",center
C0068.MP4,"(1010, 416)","(1361, 443)",center
C0068.MP4,"(1011, 416)","(1362, 443)",center
C0068.MP4,"(1011, 417)","(1362, 443)",center
C0068.MP4,"(1011, 417)","(1362, 443)",center
C0068.MP4,"(1010, 416)","(1362, 443)",center
C0068.MP4,"(1011, 417)","(1362, 443)",center
C0068.MP4,"(1011, 417)","(1363, 443)",center
C0068.MP4,"(1011, 417)","(1363, 443)",center
C0068.MP4,"(1011, 417)","(1363, 443)",center
C0068.MP4,"(1012, 417)","(1364, 443)",center
C0068.MP4,"(1013, 417)","(1364, 444)",center
C0068.MP4,"(1013, 417)","(1365, 444)",center
C0068.MP4,"(1014, 418)","(1365, 444)",center
C0068.MP4,"(1014, 419)","(1366, 445)",center
C0068.MP4,"(1014, 418)","(1366, 445)",center
C0068.MP4,"(1014, 419)","(1367, 445)",center
C0068.MP4,"(1015, 418)","(1367, 445)",center
C0068.MP4,"(1015, 418)","(1368, 446)",center
C0068.MP4,"(1016, 418)","(1369, 445)",center
C0068.MP4,"(1016, 418)","(1369, 445)",center
C0068.MP4,"(1013, 415)","(1369, 444)",center
C0068.MP4,"(1015, 418)","(1367, 445)",center
C0068.MP4,"(1014, 418)","(1367, 444)",center
C0068.MP4,"(1013, 418)","(1366, 444)",center
C0068.MP4,"(1012, 417)","(1365, 444)",center
C0068.MP4,"(1011, 417)","(1364, 443)",center
C0068.MP4,"(1011, 418)","(1364, 444)",center
C0068.MP4,"(1011, 418)","(1364, 444)",center
C0068.MP4,"(1012, 417)","(1365, 444)",center
C0068.MP4,"(1012, 418)","(1365, 444)",center
C0068.MP4,"(1013, 417)","(1366, 443)",center
C0068.MP4,"(1013, 417)","(1366, 444)",center
C0068.MP4,"(1014, 417)","(1367, 443)",center
C0068.MP4,"(1015, 417)","(1368, 443)",center
C0068.MP4,"(1015, 416)","(1369, 442)",center
C0068.MP4,"(1016, 416)","(1369, 441)",center
C0068.MP4,"(1017, 416)","(1370, 442)",center
C0068.MP4,"(1017, 416)","(1371, 441)",center
C0068.MP4,"(1018, 414)","(1372, 441)",center
C0068.MP4,"(1018, 414)","(1372, 440)",center
C0068.MP4,"(1019, 415)","(1372, 440)",center
C0068.MP4,"(1019, 414)","(1372, 440)",center
C0068.MP4,"(1020, 413)","(1373, 439)",center
C0068.MP4,"(1020, 413)","(1373, 439)",center
C0068.MP4,"(1020, 413)","(1373, 439)",center
C0068.MP4,"(1020, 413)","(1373, 439)",center
C0068.MP4,"(1020, 413)","(1374, 439)",center
C0068.MP4,"(1020, 413)","(1374, 438)",center
C0068.MP4,"(1020, 413)","(1374, 439)",center
C0068.MP4,"(1020, 413)","(1374, 438)",center
C0068.MP4,"(1020, 413)","(1374, 438)",center
C0068.MP4,"(1020, 413)","(1374, 438)",center
C0068.MP4,"(1020, 413)","(1374, 439)",center
C0068.MP4,"(1020, 414)","(1374, 439)",center
C0068.MP4,"(1020, 414)","(1374, 439)",center
C0068.MP4,"(1021, 413)","(1375, 438)",center
C0068.MP4,"(1020, 413)","(1375, 438)",center
C0068.MP4,"(1020, 412)","(1374, 437)",center
C0068.MP4,"(1020, 413)","(1375, 437)",center
C0068.MP4,"(1020, 413)","(1375, 438)",center
C0068.MP4,"(1020, 413)","(1375, 437)",center
C0068.MP4,"(1021, 413)","(1375, 438)",center
C0068.MP4,"(1021, 413)","(1375, 437)",center
C0068.MP4,"(1021, 412)","(1375, 438)",center
C0068.MP4,"(1022, 413)","(1376, 437)",center
C0068.MP4,"(1021, 414)","(1376, 438)",center
C0068.MP4,"(1021, 414)","(1376, 439)",center
C0068.MP4,"(1021, 414)","(1376, 439)",center
C0068.MP4,"(1021, 414)","(1376, 440)",center
C0068.MP4,"(1021, 415)","(1376, 440)",center
C0068.MP4,"(1021, 414)","(1376, 439)",center
C0068.MP4,"(1022, 415)","(1376, 440)",center
C0068.MP4,"(1021, 414)","(1376, 440)",center
C0068.MP4,"(1022, 416)","(1377, 441)",center
C0068.MP4,"(1023, 415)","(1377, 440)",center
C0068.MP4,"(1022, 416)","(1377, 441)",center
C0068.MP4,"(1022, 416)","(1377, 441)",center
C0068.MP4,"(1022, 416)","(1377, 441)",center
C0068.MP4,"(1022, 417)","(1377, 442)",center
C0068.MP4,"(1022, 416)","(1377, 442)",center
C0068.MP4,"(1022, 417)","(1377, 442)",center
C0068.MP4,"(1023, 416)","(1377, 442)",center
C0068.MP4,"(1022, 415)","(1377, 442)",center
C0068.MP4,"(1022, 418)","(1377, 442)",center
C0068.MP4,"(1022, 416)","(1377, 442)",center
C0068.MP4,"(1022, 417)","(1377, 442)",center
C0068.MP4,"(1022, 417)","(1377, 443)",center
C0068.MP4,"(1022, 417)","(1377, 442)",center
C0068.MP4,"(1022, 417)","(1377, 441)",center
C0068.MP4,"(1023, 416)","(1377, 442)",center
C0068.MP4,"(1022, 417)","(1377, 442)",center
C0068.MP4,"(1022, 418)","(1377, 443)",center
C0068.MP4,"(1024, 416)","(1378, 442)",center
C0068.MP4,"(1022, 417)","(1378, 442)",center
C0068.MP4,"(1022, 417)","(1378, 442)",center
C0068.MP4,"(1023, 417)","(1378, 442)",center
C0068.MP4,"(1022, 418)","(1378, 443)",center
C0068.MP4,"(1022, 418)","(1378, 442)",center
C0068.MP4,"(1022, 418)","(1378, 443)",center
C0068.MP4,"(1022, 418)","(1378, 443)",center
C0068.MP4,"(1023, 417)","(1377, 443)",center
C0068.MP4,"(1023, 418)","(1378, 443)",center
C0068.MP4,"(1023, 418)","(1378, 443)",center
C0068.MP4,"(1023, 414)","(1378, 442)",center
C0068.MP4,"(1023, 418)","(1378, 443)",center
C0068.MP4,"(1023, 417)","(1378, 443)",center
C0068.MP4,"(1023, 417)","(1378, 443)",center
C0068.MP4,"(1023, 417)","(1378, 443)",center
C0068.MP4,"(1024, 416)","(1378, 443)",center
C0068.MP4,"(1023, 417)","(1378, 443)",center
C0068.MP4,"(1023, 418)","(1377, 443)",center
