video_name,left_pupil,right_pupil,gaze_direction
C0041.MP4,"(843, 511)","(1096, 505)",left
C0041.MP4,"(843, 511)","(1096, 504)",left
C0041.MP4,"(843, 511)","(1098, 504)",left
C0041.MP4,"(843, 510)","(1097, 504)",left
C0041.MP4,"(843, 511)","(1098, 504)",left
C0041.MP4,"(843, 511)","(1095, 504)",left
C0041.MP4,"(843, 511)","(1097, 504)",left
C0041.MP4,"(843, 511)","(1093, 504)",left
C0041.MP4,"(843, 511)","(1096, 505)",left
C0041.MP4,"(843, 511)","(1093, 506)",left
C0041.MP4,"(843, 511)","(1098, 505)",left
C0041.MP4,"(843, 511)","(1094, 504)",left
C0041.MP4,"(844, 511)","(1097, 506)",left
C0041.MP4,"(843, 511)","(1098, 506)",left
C0041.MP4,"(843, 512)","(1097, 506)",left
C0041.MP4,"(844, 511)","(1098, 505)",left
C0041.MP4,"(844, 512)","(1093, 506)",left
C0041.MP4,"(844, 510)","(1092, 507)",left
C0041.MP4,"(844, 512)","(1094, 507)",left
C0041.MP4,"(844, 512)","(1096, 506)",left
C0041.MP4,"(844, 512)","(1092, 507)",left
C0041.MP4,"(844, 512)","(1094, 506)",left
C0041.MP4,"(843, 513)","(1095, 506)",left
C0041.MP4,"(843, 513)","(1099, 507)",left
C0041.MP4,"(843, 513)","(1098, 506)",left
C0041.MP4,"(844, 513)","(1094, 506)",left
C0041.MP4,"(844, 514)","(1096, 506)",left
C0041.MP4,"(844, 514)","(1098, 507)",left
C0041.MP4,"(844, 514)","(1098, 507)",left
C0041.MP4,"(844, 514)","(1097, 507)",left
C0041.MP4,"(844, 514)","(1098, 508)",left
C0041.MP4,"(844, 514)","(1098, 508)",left
C0041.MP4,"(844, 514)","(1099, 507)",left
C0041.MP4,"(844, 514)","(1100, 508)",left
C0041.MP4,"(844, 514)","(1098, 507)",left
C0041.MP4,"(844, 515)","(1098, 507)",left
C0041.MP4,"(844, 515)","(1099, 508)",left
C0041.MP4,"(844, 515)","(1098, 508)",left
C0041.MP4,"(844, 515)","(1100, 509)",left
C0041.MP4,"(844, 515)","(1097, 508)",left
C0041.MP4,"(844, 516)","(1098, 508)",left
C0041.MP4,"(844, 515)","(1100, 508)",left
C0041.MP4,"(844, 515)","(1098, 507)",left
C0041.MP4,"(844, 515)","(1098, 508)",left
C0041.MP4,"(844, 515)","(1100, 508)",left
C0041.MP4,"(844, 515)","(1099, 508)",left
