video_name,left_pupil,right_pupil,gaze_direction
1_startLeftKanRoraCam2.mp4,"(566, 488)","(758, 486)",left
1_startLeftKanRoraCam2.mp4,"(564, 488)","(756, 487)",left
1_startLeftKanRoraCam2.mp4,"(560, 487)","(754, 487)",left
1_startLeftKanRoraCam2.mp4,"(557, 487)","(751, 486)",left
1_startLeftKanRoraCam2.mp4,"(552, 487)","(747, 486)",left
1_startLeftKanRoraCam2.mp4,"(546, 487)","(743, 486)",left
1_startLeftKanRoraCam2.mp4,"(541, 486)","(737, 484)",left
1_startLeftKanRoraCam2.mp4,"(535, 486)","(733, 486)",left
1_startLeftKanRoraCam2.mp4,"(528, 486)","(727, 483)",left
1_startLeftKanRoraCam2.mp4,"(521, 485)","(723, 486)",left
1_startLeftKanRoraCam2.mp4,"(515, 485)","(715, 483)",left
1_startLeftKanRoraCam2.mp4,"(509, 485)","(710, 483)",left
1_startLeftKanRoraCam2.mp4,"(502, 484)","(708, 486)",left
1_startLeftKanRoraCam2.mp4,"(496, 484)","(701, 482)",left
1_startLeftKanRoraCam2.mp4,"(489, 485)","(696, 481)",left
1_startLeftKanRoraCam2.mp4,"(484, 483)","(692, 482)",left
1_startLeftKanRoraCam2.mp4,"(480, 483)","(690, 483)",left
1_startLeftKanRoraCam2.mp4,"(476, 483)","(686, 481)",left
1_startLeftKanRoraCam2.mp4,"(471, 483)","(685, 483)",left
1_startLeftKanRoraCam2.mp4,"(468, 482)","(680, 482)",left
1_startLeftKanRoraCam2.mp4,"(466, 483)","(678, 481)",left
1_startLeftKanRoraCam2.mp4,"(465, 483)","(677, 481)",left
1_startLeftKanRoraCam2.mp4,"(464, 482)","(676, 481)",left
1_startLeftKanRoraCam2.mp4,"(463, 483)","(676, 481)",left
1_startLeftKanRoraCam2.mp4,"(463, 483)","(677, 481)",left
1_startLeftKanRoraCam2.mp4,"(464, 483)","(677, 480)",center
1_startLeftKanRoraCam2.mp4,"(464, 482)","(679, 480)",left
1_startLeftKanRoraCam2.mp4,"(468, 484)","(681, 481)",center
1_startLeftKanRoraCam2.mp4,"(471, 484)","(684, 481)",center
1_startLeftKanRoraCam2.mp4,"(475, 483)","(688, 480)",center
1_startLeftKanRoraCam2.mp4,"(478, 482)","(693, 480)",center
1_startLeftKanRoraCam2.mp4,"(482, 482)","(697, 479)",center
1_startLeftKanRoraCam2.mp4,"(486, 483)","(701, 479)",center
1_startLeftKanRoraCam2.mp4,"(491, 483)","(702, 480)",center
1_startLeftKanRoraCam2.mp4,"(494, 483)","(707, 479)",center
1_startLeftKanRoraCam2.mp4,"(499, 484)","(708, 482)",center
1_startLeftKanRoraCam2.mp4,"(501, 482)","(712, 481)",center
1_startLeftKanRoraCam2.mp4,"(506, 484)","(714, 482)",center
1_startLeftKanRoraCam2.mp4,"(509, 483)","(717, 482)",center
1_startLeftKanRoraCam2.mp4,"(513, 486)","(720, 483)",center
1_startLeftKanRoraCam2.mp4,"(516, 485)","(723, 482)",center
1_startLeftKanRoraCam2.mp4,"(519, 484)","(726, 482)",center
1_startLeftKanRoraCam2.mp4,"(522, 486)","(729, 482)",center
1_startLeftKanRoraCam2.mp4,"(525, 484)","(732, 482)",center
1_startLeftKanRoraCam2.mp4,"(528, 485)","(735, 482)",center
1_startLeftKanRoraCam2.mp4,"(530, 484)","(737, 482)",center
1_startLeftKanRoraCam2.mp4,"(533, 485)","(740, 482)",center
1_startLeftKanRoraCam2.mp4,"(533, 483)","(743, 483)",center
1_startLeftKanRoraCam2.mp4,"(536, 484)","(745, 483)",right
1_startLeftKanRoraCam2.mp4,"(535, 486)","(748, 483)",right
1_startLeftKanRoraCam2.mp4,"(541, 484)","(750, 483)",right
1_startLeftKanRoraCam2.mp4,"(539, 486)","(752, 483)",right
1_startLeftKanRoraCam2.mp4,"(542, 487)","(755, 483)",right
1_startLeftKanRoraCam2.mp4,"(543, 485)","(757, 483)",right
1_startLeftKanRoraCam2.mp4,"(546, 485)","(759, 483)",right
1_startLeftKanRoraCam2.mp4,"(548, 485)","(762, 483)",right
1_startLeftKanRoraCam2.mp4,"(553, 483)","(764, 483)",right
1_startLeftKanRoraCam2.mp4,"(552, 486)","(766, 483)",right
1_startLeftKanRoraCam2.mp4,"(553, 486)","(768, 483)",right
1_startLeftKanRoraCam2.mp4,"(556, 486)","(770, 483)",right
1_startLeftKanRoraCam2.mp4,"(558, 485)","(773, 482)",right
1_startLeftKanRoraCam2.mp4,"(560, 485)","(774, 483)",right
1_startLeftKanRoraCam2.mp4,"(562, 485)","(777, 482)",right
1_startLeftKanRoraCam2.mp4,"(564, 486)","(778, 482)",right
1_startLeftKanRoraCam2.mp4,"(565, 485)","(781, 483)",right
1_startLeftKanRoraCam2.mp4,"(567, 487)","(783, 482)",right
1_startLeftKanRoraCam2.mp4,"(569, 486)","(785, 482)",right
1_startLeftKanRoraCam2.mp4,"(571, 486)","(787, 483)",right
1_startLeftKanRoraCam2.mp4,"(572, 486)","(789, 483)",right
1_startLeftKanRoraCam2.mp4,"(575, 488)","(791, 483)",right
1_startLeftKanRoraCam2.mp4,"(576, 486)","(793, 482)",right
1_startLeftKanRoraCam2.mp4,"(578, 486)","(794, 482)",right
1_startLeftKanRoraCam2.mp4,"(580, 486)","(796, 483)",right
1_startLeftKanRoraCam2.mp4,"(582, 486)","(798, 482)",right
1_startLeftKanRoraCam2.mp4,"(584, 487)","(800, 483)",right
1_startLeftKanRoraCam2.mp4,"(585, 487)","(802, 483)",right
1_startLeftKanRoraCam2.mp4,"(588, 488)","(804, 482)",right
1_startLeftKanRoraCam2.mp4,"(590, 488)","(806, 482)",right
1_startLeftKanRoraCam2.mp4,"(591, 487)","(808, 483)",right
1_startLeftKanRoraCam2.mp4,"(594, 487)","(810, 483)",right
1_startLeftKanRoraCam2.mp4,"(596, 487)","(812, 482)",right
1_startLeftKanRoraCam2.mp4,"(597, 486)","(814, 482)",right
1_startLeftKanRoraCam2.mp4,"(599, 487)","(816, 482)",right
1_startLeftKanRoraCam2.mp4,"(601, 486)","(818, 482)",right
1_startLeftKanRoraCam2.mp4,"(604, 488)","(820, 483)",right
1_startLeftKanRoraCam2.mp4,"(606, 490)","(822, 483)",right
1_startLeftKanRoraCam2.mp4,"(608, 489)","(824, 483)",right
1_startLeftKanRoraCam2.mp4,"(610, 489)","(826, 482)",right
1_startLeftKanRoraCam2.mp4,"(613, 489)","(829, 483)",right
1_startLeftKanRoraCam2.mp4,"(615, 488)","(831, 482)",right
1_startLeftKanRoraCam2.mp4,"(617, 488)","(833, 482)",right
1_startLeftKanRoraCam2.mp4,"(619, 487)","(836, 482)",right
1_startLeftKanRoraCam2.mp4,"(622, 490)","(838, 483)",right
1_startLeftKanRoraCam2.mp4,"(625, 487)","(840, 482)",right
1_startLeftKanRoraCam2.mp4,"(627, 487)","(843, 482)",right
1_startLeftKanRoraCam2.mp4,"(630, 487)","(846, 483)",right
1_startLeftKanRoraCam2.mp4,"(633, 487)","(849, 483)",right
1_startLeftKanRoraCam2.mp4,"(637, 488)","(852, 483)",right
1_startLeftKanRoraCam2.mp4,"(638, 486)","(855, 483)",right
1_startLeftKanRoraCam2.mp4,"(641, 486)","(858, 482)",right
1_startLeftKanRoraCam2.mp4,"(646, 486)","(862, 483)",right
1_startLeftKanRoraCam2.mp4,"(649, 486)","(865, 482)",right
1_startLeftKanRoraCam2.mp4,"(654, 486)","(868, 483)",right
1_startLeftKanRoraCam2.mp4,"(657, 486)","(872, 483)",right
1_startLeftKanRoraCam2.mp4,"(661, 486)","(875, 483)",right
1_startLeftKanRoraCam2.mp4,"(665, 486)","(879, 483)",right
1_startLeftKanRoraCam2.mp4,"(668, 486)","(882, 483)",right
1_startLeftKanRoraCam2.mp4,"(673, 485)","(886, 483)",right
1_startLeftKanRoraCam2.mp4,"(677, 485)","(890, 483)",right
1_startLeftKanRoraCam2.mp4,"(681, 487)","(894, 483)",right
