video_name,left_pupil,right_pupil,gaze_direction
1p Nystagmus VänsterCAM.mp4,"(771, 484)","(976, 483)",center
1p Nystagmus VänsterCAM.mp4,"(773, 482)","(981, 481)",center
1p Nystagmus VänsterCAM.mp4,"(774, 482)","(983, 481)",center
1p Nystagmus VänsterCAM.mp4,"(774, 484)","(981, 481)",center
1p Nystagmus VänsterCAM.mp4,"(771, 484)","(976, 482)",center
1p Nystagmus VänsterCAM.mp4,"(768, 483)","(974, 482)",center
1p Nystagmus VänsterCAM.mp4,"(767, 482)","(976, 481)",center
1p Nystagmus VänsterCAM.mp4,"(769, 481)","(978, 481)",center
1p Nystagmus VänsterCAM.mp4,"(772, 486)","(978, 482)",center
1p Nystagmus VänsterCAM.mp4,"(773, 484)","(981, 481)",center
1p Nystagmus VänsterCAM.mp4,"(774, 485)","(981, 482)",center
1p Nystagmus VänsterCAM.mp4,"(770, 485)","(976, 482)",center
1p Nystagmus VänsterCAM.mp4,"(765, 483)","(971, 483)",center
1p Nystagmus VänsterCAM.mp4,"(767, 482)","(975, 482)",center
1p Nystagmus VänsterCAM.mp4,"(770, 482)","(980, 481)",center
1p Nystagmus VänsterCAM.mp4,"(768, 482)","(979, 480)",center
1p Nystagmus VänsterCAM.mp4,"(766, 483)","(973, 482)",center
1p Nystagmus VänsterCAM.mp4,"(763, 482)","(972, 481)",center
1p Nystagmus VänsterCAM.mp4,"(762, 483)","(968, 483)",center
1p Nystagmus VänsterCAM.mp4,"(762, 486)","(968, 483)",center
1p Nystagmus VänsterCAM.mp4,"(762, 485)","(967, 483)",center
1p Nystagmus VänsterCAM.mp4,"(761, 486)","(966, 482)",center
1p Nystagmus VänsterCAM.mp4,"(760, 486)","(965, 483)",center
1p Nystagmus VänsterCAM.mp4,"(761, 484)","(967, 483)",center
1p Nystagmus VänsterCAM.mp4,"(764, 484)","(971, 482)",center
1p Nystagmus VänsterCAM.mp4,"(763, 482)","(973, 481)",center
1p Nystagmus VänsterCAM.mp4,"(762, 485)","(969, 483)",center
1p Nystagmus VänsterCAM.mp4,"(758, 485)","(964, 483)",center
1p Nystagmus VänsterCAM.mp4,"(756, 486)","(961, 483)",center
1p Nystagmus VänsterCAM.mp4,"(756, 486)","(961, 482)",center
1p Nystagmus VänsterCAM.mp4,"(756, 484)","(962, 482)",center
1p Nystagmus VänsterCAM.mp4,"(757, 484)","(965, 481)",center
1p Nystagmus VänsterCAM.mp4,"(757, 483)","(965, 482)",center
1p Nystagmus VänsterCAM.mp4,"(758, 483)","(966, 481)",center
1p Nystagmus VänsterCAM.mp4,"(752, 482)","(962, 481)",center
1p Nystagmus VänsterCAM.mp4,"(750, 485)","(955, 482)",center
1p Nystagmus VänsterCAM.mp4,"(751, 482)","(960, 481)",center
1p Nystagmus VänsterCAM.mp4,"(754, 483)","(962, 481)",center
1p Nystagmus VänsterCAM.mp4,"(753, 483)","(960, 481)",center
1p Nystagmus VänsterCAM.mp4,"(750, 484)","(956, 482)",center
1p Nystagmus VänsterCAM.mp4,"(747, 485)","(952, 482)",center
1p Nystagmus VänsterCAM.mp4,"(744, 484)","(949, 483)",center
1p Nystagmus VänsterCAM.mp4,"(742, 486)","(946, 484)",center
1p Nystagmus VänsterCAM.mp4,"(737, 485)","(944, 483)",center
1p Nystagmus VänsterCAM.mp4,"(736, 485)","(943, 484)",right
1p Nystagmus VänsterCAM.mp4,"(732, 487)","(941, 483)",right
1p Nystagmus VänsterCAM.mp4,"(730, 486)","(940, 483)",right
1p Nystagmus VänsterCAM.mp4,"(732, 486)","(938, 484)",center
1p Nystagmus VänsterCAM.mp4,"(731, 484)","(937, 484)",center
1p Nystagmus VänsterCAM.mp4,"(727, 487)","(937, 484)",right
1p Nystagmus VänsterCAM.mp4,"(733, 485)","(937, 484)",center
1p Nystagmus VänsterCAM.mp4,"(735, 485)","(938, 483)",center
1p Nystagmus VänsterCAM.mp4,"(729, 485)","(934, 483)",center
1p Nystagmus VänsterCAM.mp4,"(722, 487)","(930, 483)",right
1p Nystagmus VänsterCAM.mp4,"(722, 487)","(931, 484)",right
1p Nystagmus VänsterCAM.mp4,"(730, 486)","(932, 483)",center
1p Nystagmus VänsterCAM.mp4,"(730, 485)","(933, 483)",center
1p Nystagmus VänsterCAM.mp4,"(721, 487)","(928, 484)",right
1p Nystagmus VänsterCAM.mp4,"(713, 487)","(922, 484)",right
1p Nystagmus VänsterCAM.mp4,"(710, 487)","(918, 484)",right
1p Nystagmus VänsterCAM.mp4,"(706, 487)","(915, 484)",right
1p Nystagmus VänsterCAM.mp4,"(703, 487)","(912, 484)",right
1p Nystagmus VänsterCAM.mp4,"(702, 488)","(910, 484)",right
1p Nystagmus VänsterCAM.mp4,"(700, 489)","(908, 484)",right
1p Nystagmus VänsterCAM.mp4,"(698, 488)","(906, 484)",right
1p Nystagmus VänsterCAM.mp4,"(697, 489)","(904, 484)",right
1p Nystagmus VänsterCAM.mp4,"(695, 488)","(903, 484)",right
1p Nystagmus VänsterCAM.mp4,"(694, 489)","(903, 484)",right
1p Nystagmus VänsterCAM.mp4,"(693, 488)","(901, 484)",right
1p Nystagmus VänsterCAM.mp4,"(693, 490)","(901, 484)",right
1p Nystagmus VänsterCAM.mp4,"(692, 488)","(900, 484)",right
1p Nystagmus VänsterCAM.mp4,"(693, 489)","(900, 483)",right
1p Nystagmus VänsterCAM.mp4,"(694, 487)","(901, 484)",right
1p Nystagmus VänsterCAM.mp4,"(695, 485)","(902, 484)",right
1p Nystagmus VänsterCAM.mp4,"(696, 486)","(903, 484)",right
1p Nystagmus VänsterCAM.mp4,"(696, 487)","(903, 484)",right
1p Nystagmus VänsterCAM.mp4,"(693, 486)","(902, 483)",right
1p Nystagmus VänsterCAM.mp4,"(688, 485)","(895, 484)",right
1p Nystagmus VänsterCAM.mp4,"(687, 489)","(893, 484)",right
1p Nystagmus VänsterCAM.mp4,"(687, 488)","(893, 484)",right
1p Nystagmus VänsterCAM.mp4,"(689, 488)","(894, 484)",right
1p Nystagmus VänsterCAM.mp4,"(690, 488)","(896, 484)",right
1p Nystagmus VänsterCAM.mp4,"(690, 487)","(897, 484)",right
1p Nystagmus VänsterCAM.mp4,"(688, 487)","(893, 484)",right
1p Nystagmus VänsterCAM.mp4,"(686, 488)","(890, 484)",right
1p Nystagmus VänsterCAM.mp4,"(687, 487)","(891, 484)",right
1p Nystagmus VänsterCAM.mp4,"(689, 487)","(895, 484)",right
1p Nystagmus VänsterCAM.mp4,"(690, 487)","(896, 484)",right
1p Nystagmus VänsterCAM.mp4,"(688, 487)","(893, 484)",right
1p Nystagmus VänsterCAM.mp4,"(684, 488)","(889, 484)",right
1p Nystagmus VänsterCAM.mp4,"(685, 486)","(891, 484)",right
1p Nystagmus VänsterCAM.mp4,"(688, 488)","(894, 484)",right
1p Nystagmus VänsterCAM.mp4,"(690, 487)","(896, 484)",right
1p Nystagmus VänsterCAM.mp4,"(688, 488)","(894, 484)",right
1p Nystagmus VänsterCAM.mp4,"(686, 487)","(894, 482)",right
1p Nystagmus VänsterCAM.mp4,"(688, 487)","(895, 485)",right
1p Nystagmus VänsterCAM.mp4,"(691, 487)","(898, 484)",right
1p Nystagmus VänsterCAM.mp4,"(696, 486)","(903, 484)",right
1p Nystagmus VänsterCAM.mp4,"(699, 485)","(906, 484)",right
1p Nystagmus VänsterCAM.mp4,"(701, 487)","(909, 484)",right
1p Nystagmus VänsterCAM.mp4,"(704, 487)","(911, 484)",right
1p Nystagmus VänsterCAM.mp4,"(706, 487)","(914, 485)",right
1p Nystagmus VänsterCAM.mp4,"(710, 487)","(917, 484)",right
1p Nystagmus VänsterCAM.mp4,"(714, 487)","(921, 484)",right
1p Nystagmus VänsterCAM.mp4,"(723, 486)","(927, 484)",center
1p Nystagmus VänsterCAM.mp4,"(732, 485)","(934, 483)",center
1p Nystagmus VänsterCAM.mp4,"(737, 482)","(943, 481)",center
1p Nystagmus VänsterCAM.mp4,"(741, 482)","(950, 480)",center
1p Nystagmus VänsterCAM.mp4,"(739, 483)","(945, 482)",center
1p Nystagmus VänsterCAM.mp4,"(738, 486)","(941, 483)",center
1p Nystagmus VänsterCAM.mp4,"(740, 486)","(944, 483)",center
1p Nystagmus VänsterCAM.mp4,"(743, 484)","(947, 483)",center
1p Nystagmus VänsterCAM.mp4,"(745, 486)","(949, 483)",center
1p Nystagmus VänsterCAM.mp4,"(747, 484)","(952, 483)",center
1p Nystagmus VänsterCAM.mp4,"(750, 487)","(954, 483)",center
1p Nystagmus VänsterCAM.mp4,"(752, 486)","(957, 483)",center
1p Nystagmus VänsterCAM.mp4,"(755, 485)","(960, 482)",center
1p Nystagmus VänsterCAM.mp4,"(758, 486)","(963, 483)",center
1p Nystagmus VänsterCAM.mp4,"(762, 486)","(967, 483)",center
1p Nystagmus VänsterCAM.mp4,"(765, 483)","(971, 482)",center
1p Nystagmus VänsterCAM.mp4,"(772, 481)","(984, 480)",center
1p Nystagmus VänsterCAM.mp4,"(779, 482)","(991, 480)",left
1p Nystagmus VänsterCAM.mp4,"(780, 482)","(992, 481)",center
1p Nystagmus VänsterCAM.mp4,"(779, 482)","(991, 480)",center
1p Nystagmus VänsterCAM.mp4,"(781, 483)","(990, 481)",center
1p Nystagmus VänsterCAM.mp4,"(783, 482)","(995, 479)",center
1p Nystagmus VänsterCAM.mp4,"(786, 482)","(995, 481)",center
1p Nystagmus VänsterCAM.mp4,"(791, 484)","(998, 481)",center
1p Nystagmus VänsterCAM.mp4,"(793, 483)","(1004, 479)",center
1p Nystagmus VänsterCAM.mp4,"(797, 483)","(1005, 481)",center
1p Nystagmus VänsterCAM.mp4,"(800, 483)","(1008, 482)",center
1p Nystagmus VänsterCAM.mp4,"(804, 483)","(1012, 481)",center
1p Nystagmus VänsterCAM.mp4,"(808, 483)","(1017, 481)",center
1p Nystagmus VänsterCAM.mp4,"(814, 483)","(1022, 481)",left
1p Nystagmus VänsterCAM.mp4,"(819, 483)","(1028, 481)",left
1p Nystagmus VänsterCAM.mp4,"(826, 484)","(1034, 481)",left
1p Nystagmus VänsterCAM.mp4,"(830, 483)","(1038, 480)",left
1p Nystagmus VänsterCAM.mp4,"(831, 484)","(1040, 483)",left
1p Nystagmus VänsterCAM.mp4,"(831, 483)","(1039, 483)",left
1p Nystagmus VänsterCAM.mp4,"(835, 484)","(1044, 484)",left
1p Nystagmus VänsterCAM.mp4,"(839, 483)","(1047, 483)",left
1p Nystagmus VänsterCAM.mp4,"(843, 484)","(1050, 483)",left
1p Nystagmus VänsterCAM.mp4,"(845, 483)","(1051, 482)",left
1p Nystagmus VänsterCAM.mp4,"(849, 484)","(1052, 481)",left
1p Nystagmus VänsterCAM.mp4,"(849, 484)","(1055, 484)",left
1p Nystagmus VänsterCAM.mp4,"(853, 484)","(1057, 483)",left
1p Nystagmus VänsterCAM.mp4,"(857, 485)","(1062, 484)",left
1p Nystagmus VänsterCAM.mp4,"(860, 485)","(1066, 484)",left
1p Nystagmus VänsterCAM.mp4,"(865, 484)","(1070, 484)",left
1p Nystagmus VänsterCAM.mp4,"(868, 484)","(1070, 481)",left
1p Nystagmus VänsterCAM.mp4,"(871, 485)","(1075, 485)",left
1p Nystagmus VänsterCAM.mp4,"(872, 485)","(1072, 482)",left
1p Nystagmus VänsterCAM.mp4,"(871, 486)","(1072, 484)",left
1p Nystagmus VänsterCAM.mp4,"(871, 486)","(1068, 482)",left
1p Nystagmus VänsterCAM.mp4,"(873, 485)","(1073, 483)",left
1p Nystagmus VänsterCAM.mp4,"(876, 485)","(1076, 481)",left
1p Nystagmus VänsterCAM.mp4,"(876, 485)","(1074, 482)",left
1p Nystagmus VänsterCAM.mp4,"(874, 485)","(1074, 485)",left
1p Nystagmus VänsterCAM.mp4,"(874, 485)","(1073, 483)",left
1p Nystagmus VänsterCAM.mp4,"(874, 485)","(1073, 483)",left
