video_name,left_pupil,right_pupil,gaze_direction
CN3LeftCam2.mp4,"(797, 463)","(1082, 460)",left
CN3LeftCam2.mp4,"(797, 462)","(1083, 461)",left
CN3LeftCam2.mp4,"(797, 463)","(1083, 462)",left
CN3LeftCam2.mp4,"(796, 461)","(1082, 461)",left
CN3LeftCam2.mp4,"(796, 463)","(1082, 461)",left
CN3LeftCam2.mp4,"(796, 462)","(1081, 460)",left
CN3LeftCam2.mp4,"(795, 462)","(1082, 461)",left
CN3LeftCam2.mp4,"(795, 462)","(1081, 460)",left
CN3LeftCam2.mp4,"(794, 463)","(1081, 460)",left
CN3LeftCam2.mp4,"(793, 463)","(1081, 461)",left
CN3LeftCam2.mp4,"(793, 463)","(1081, 462)",left
CN3LeftCam2.mp4,"(792, 463)","(1080, 461)",left
CN3LeftCam2.mp4,"(791, 463)","(1080, 462)",left
CN3LeftCam2.mp4,"(790, 463)","(1079, 461)",left
CN3LeftCam2.mp4,"(789, 463)","(1079, 461)",left
CN3LeftCam2.mp4,"(788, 464)","(1082, 464)",left
CN3LeftCam2.mp4,"(786, 463)","(1078, 461)",left
CN3LeftCam2.mp4,"(785, 463)","(1077, 459)",left
CN3LeftCam2.mp4,"(784, 463)","(1077, 462)",left
CN3LeftCam2.mp4,"(782, 463)","(1076, 460)",left
CN3LeftCam2.mp4,"(781, 463)","(1076, 461)",left
CN3LeftCam2.mp4,"(779, 463)","(1076, 461)",left
CN3LeftCam2.mp4,"(778, 463)","(1075, 462)",left
CN3LeftCam2.mp4,"(778, 465)","(1074, 461)",left
CN3LeftCam2.mp4,"(774, 463)","(1074, 462)",left
CN3LeftCam2.mp4,"(775, 466)","(1072, 460)",left
CN3LeftCam2.mp4,"(773, 466)","(1071, 460)",left
CN3LeftCam2.mp4,"(771, 466)","(1070, 460)",left
CN3LeftCam2.mp4,"(769, 467)","(1070, 460)",left
CN3LeftCam2.mp4,"(767, 466)","(1069, 460)",center
CN3LeftCam2.mp4,"(765, 466)","(1069, 460)",center
CN3LeftCam2.mp4,"(763, 468)","(1068, 462)",center
CN3LeftCam2.mp4,"(762, 467)","(1066, 460)",center
CN3LeftCam2.mp4,"(759, 467)","(1065, 459)",center
CN3LeftCam2.mp4,"(758, 467)","(1065, 461)",center
CN3LeftCam2.mp4,"(755, 466)","(1064, 460)",center
CN3LeftCam2.mp4,"(752, 468)","(1064, 461)",center
CN3LeftCam2.mp4,"(747, 463)","(1063, 461)",center
CN3LeftCam2.mp4,"(741, 469)","(1062, 460)",center
CN3LeftCam2.mp4,"(738, 469)","(1061, 460)",center
CN3LeftCam2.mp4,"(736, 467)","(1061, 462)",center
CN3LeftCam2.mp4,"(734, 467)","(1059, 459)",center
CN3LeftCam2.mp4,"(736, 463)","(1058, 461)",center
CN3LeftCam2.mp4,"(729, 467)","(1060, 464)",center
CN3LeftCam2.mp4,"(728, 467)","(1056, 461)",center
CN3LeftCam2.mp4,"(725, 468)","(1055, 461)",center
CN3LeftCam2.mp4,"(724, 467)","(1053, 459)",center
CN3LeftCam2.mp4,"(721, 466)","(1052, 459)",center
CN3LeftCam2.mp4,"(719, 468)","(1052, 460)",center
CN3LeftCam2.mp4,"(717, 468)","(1051, 461)",center
CN3LeftCam2.mp4,"(716, 468)","(1050, 461)",center
CN3LeftCam2.mp4,"(713, 469)","(1049, 463)",center
CN3LeftCam2.mp4,"(709, 466)","(1047, 460)",center
CN3LeftCam2.mp4,"(707, 467)","(1047, 462)",center
CN3LeftCam2.mp4,"(706, 468)","(1045, 460)",center
CN3LeftCam2.mp4,"(704, 468)","(1044, 461)",center
CN3LeftCam2.mp4,"(702, 468)","(1044, 461)",center
CN3LeftCam2.mp4,"(701, 469)","(1041, 460)",center
CN3LeftCam2.mp4,"(702, 472)","(1040, 460)",center
CN3LeftCam2.mp4,"(699, 470)","(1040, 462)",center
CN3LeftCam2.mp4,"(697, 470)","(1039, 462)",center
CN3LeftCam2.mp4,"(698, 472)","(1037, 461)",center
CN3LeftCam2.mp4,"(695, 470)","(1036, 460)",center
CN3LeftCam2.mp4,"(695, 471)","(1034, 460)",center
CN3LeftCam2.mp4,"(692, 469)","(1033, 460)",center
CN3LeftCam2.mp4,"(694, 475)","(1036, 465)",center
CN3LeftCam2.mp4,"(690, 468)","(1032, 462)",center
CN3LeftCam2.mp4,"(690, 474)","(1030, 461)",center
CN3LeftCam2.mp4,"(689, 472)","(1029, 461)",center
CN3LeftCam2.mp4,"(687, 469)","(1027, 461)",center
CN3LeftCam2.mp4,"(686, 471)","(1026, 461)",center
CN3LeftCam2.mp4,"(686, 474)","(1025, 460)",center
CN3LeftCam2.mp4,"(684, 470)","(1023, 459)",center
CN3LeftCam2.mp4,"(686, 474)","(1025, 463)",center
CN3LeftCam2.mp4,"(685, 475)","(1025, 465)",center
CN3LeftCam2.mp4,"(681, 469)","(1020, 460)",center
CN3LeftCam2.mp4,"(684, 473)","(1021, 465)",center
CN3LeftCam2.mp4,"(684, 473)","(1020, 463)",center
CN3LeftCam2.mp4,"(683, 473)","(1015, 459)",center
CN3LeftCam2.mp4,"(682, 475)","(1019, 466)",center
CN3LeftCam2.mp4,"(682, 473)","(1017, 465)",center
CN3LeftCam2.mp4,"(679, 468)","(1013, 460)",center
CN3LeftCam2.mp4,"(681, 474)","(1014, 463)",center
CN3LeftCam2.mp4,"(681, 469)","(1014, 466)",center
CN3LeftCam2.mp4,"(679, 471)","(1013, 464)",center
CN3LeftCam2.mp4,"(678, 468)","(1010, 463)",center
CN3LeftCam2.mp4,"(677, 469)","(1008, 462)",center
CN3LeftCam2.mp4,"(677, 469)","(1007, 461)",center
CN3LeftCam2.mp4,"(676, 469)","(1006, 462)",center
CN3LeftCam2.mp4,"(676, 470)","(1005, 463)",center
CN3LeftCam2.mp4,"(678, 469)","(1003, 460)",center
CN3LeftCam2.mp4,"(678, 470)","(1005, 463)",center
CN3LeftCam2.mp4,"(678, 469)","(1001, 461)",center
CN3LeftCam2.mp4,"(678, 469)","(1000, 462)",center
CN3LeftCam2.mp4,"(679, 469)","(1000, 463)",center
CN3LeftCam2.mp4,"(679, 471)","(999, 462)",center
CN3LeftCam2.mp4,"(679, 469)","(998, 462)",center
CN3LeftCam2.mp4,"(680, 470)","(996, 462)",center
CN3LeftCam2.mp4,"(680, 468)","(996, 463)",center
CN3LeftCam2.mp4,"(685, 467)","(994, 462)",center
CN3LeftCam2.mp4,"(686, 467)","(997, 465)",center
CN3LeftCam2.mp4,"(686, 464)","(993, 463)",center
CN3LeftCam2.mp4,"(690, 467)","(994, 465)",center
CN3LeftCam2.mp4,"(689, 465)","(991, 463)",center
CN3LeftCam2.mp4,"(690, 466)","(993, 466)",center
CN3LeftCam2.mp4,"(690, 465)","(989, 463)",left
CN3LeftCam2.mp4,"(691, 466)","(989, 463)",center
CN3LeftCam2.mp4,"(691, 465)","(988, 463)",center
CN3LeftCam2.mp4,"(692, 465)","(987, 463)",left
CN3LeftCam2.mp4,"(692, 466)","(986, 464)",left
CN3LeftCam2.mp4,"(693, 466)","(985, 464)",left
CN3LeftCam2.mp4,"(693, 465)","(984, 464)",left
CN3LeftCam2.mp4,"(694, 466)","(984, 464)",left
CN3LeftCam2.mp4,"(694, 466)","(983, 463)",left
CN3LeftCam2.mp4,"(694, 466)","(981, 463)",left
CN3LeftCam2.mp4,"(695, 466)","(983, 465)",left
CN3LeftCam2.mp4,"(695, 466)","(981, 464)",left
CN3LeftCam2.mp4,"(696, 466)","(980, 463)",left
CN3LeftCam2.mp4,"(696, 467)","(981, 466)",left
CN3LeftCam2.mp4,"(696, 466)","(980, 465)",left
CN3LeftCam2.mp4,"(696, 467)","(978, 464)",left
CN3LeftCam2.mp4,"(697, 467)","(980, 468)",left
CN3LeftCam2.mp4,"(697, 467)","(978, 465)",left
CN3LeftCam2.mp4,"(697, 467)","(975, 463)",left
CN3LeftCam2.mp4,"(697, 467)","(977, 465)",left
CN3LeftCam2.mp4,"(698, 467)","(977, 466)",left
CN3LeftCam2.mp4,"(698, 466)","(977, 466)",left
CN3LeftCam2.mp4,"(698, 467)","(973, 463)",left
CN3LeftCam2.mp4,"(699, 467)","(973, 463)",left
CN3LeftCam2.mp4,"(699, 467)","(975, 466)",left
CN3LeftCam2.mp4,"(699, 467)","(976, 467)",left
CN3LeftCam2.mp4,"(699, 467)","(971, 463)",left
CN3LeftCam2.mp4,"(700, 467)","(974, 466)",left
CN3LeftCam2.mp4,"(700, 467)","(975, 469)",left
CN3LeftCam2.mp4,"(700, 465)","(974, 467)",left
CN3LeftCam2.mp4,"(700, 466)","(974, 469)",left
CN3LeftCam2.mp4,"(700, 467)","(973, 469)",left
CN3LeftCam2.mp4,"(700, 466)","(973, 467)",left
CN3LeftCam2.mp4,"(700, 466)","(973, 469)",left
CN3LeftCam2.mp4,"(700, 467)","(973, 469)",left
CN3LeftCam2.mp4,"(700, 466)","(971, 466)",left
CN3LeftCam2.mp4,"(699, 467)","(972, 469)",left
CN3LeftCam2.mp4,"(699, 467)","(971, 466)",left
CN3LeftCam2.mp4,"(700, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(699, 468)","(971, 467)",left
CN3LeftCam2.mp4,"(698, 467)","(970, 465)",left
CN3LeftCam2.mp4,"(698, 467)","(971, 468)",left
CN3LeftCam2.mp4,"(699, 467)","(968, 464)",left
CN3LeftCam2.mp4,"(698, 467)","(971, 467)",left
CN3LeftCam2.mp4,"(698, 466)","(968, 464)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
CN3LeftCam2.mp4,"(698, 466)","(972, 468)",left
