video_name,left_pupil,right_pupil,gaze_direction
1_startRightKanRoraCam3.mp4,"(663, 492)","(836, 489)",right
1_startRightKanRoraCam3.mp4,"(666, 492)","(840, 489)",right
1_startRightKanRoraCam3.mp4,"(669, 492)","(845, 489)",right
1_startRightKanRoraCam3.mp4,"(674, 492)","(852, 488)",right
1_startRightKanRoraCam3.mp4,"(681, 490)","(858, 489)",right
1_startRightKanRoraCam3.mp4,"(688, 491)","(868, 489)",right
1_startRightKanRoraCam3.mp4,"(695, 491)","(877, 488)",right
1_startRightKanRoraCam3.mp4,"(704, 491)","(888, 488)",right
1_startRightKanRoraCam3.mp4,"(711, 491)","(898, 486)",right
1_startRightKanRoraCam3.mp4,"(718, 489)","(907, 487)",right
1_startRightKanRoraCam3.mp4,"(726, 489)","(918, 487)",right
1_startRightKanRoraCam3.mp4,"(734, 489)","(927, 486)",right
1_startRightKanRoraCam3.mp4,"(740, 488)","(936, 486)",right
1_startRightKanRoraCam3.mp4,"(746, 488)","(944, 485)",right
1_startRightKanRoraCam3.mp4,"(751, 487)","(952, 485)",right
1_startRightKanRoraCam3.mp4,"(756, 485)","(959, 485)",right
1_startRightKanRoraCam3.mp4,"(760, 486)","(965, 484)",right
1_startRightKanRoraCam3.mp4,"(765, 488)","(971, 484)",right
1_startRightKanRoraCam3.mp4,"(768, 487)","(976, 484)",right
1_startRightKanRoraCam3.mp4,"(771, 486)","(980, 484)",right
1_startRightKanRoraCam3.mp4,"(773, 487)","(983, 484)",right
1_startRightKanRoraCam3.mp4,"(776, 487)","(986, 483)",right
1_startRightKanRoraCam3.mp4,"(778, 487)","(989, 483)",right
1_startRightKanRoraCam3.mp4,"(780, 487)","(992, 483)",right
1_startRightKanRoraCam3.mp4,"(782, 486)","(994, 483)",right
1_startRightKanRoraCam3.mp4,"(784, 485)","(995, 483)",right
1_startRightKanRoraCam3.mp4,"(785, 486)","(997, 483)",right
1_startRightKanRoraCam3.mp4,"(786, 487)","(998, 483)",right
1_startRightKanRoraCam3.mp4,"(788, 486)","(999, 483)",right
1_startRightKanRoraCam3.mp4,"(792, 484)","(1000, 483)",right
1_startRightKanRoraCam3.mp4,"(788, 486)","(1000, 483)",right
1_startRightKanRoraCam3.mp4,"(788, 486)","(999, 483)",right
1_startRightKanRoraCam3.mp4,"(786, 486)","(997, 483)",right
1_startRightKanRoraCam3.mp4,"(786, 482)","(993, 483)",center
1_startRightKanRoraCam3.mp4,"(783, 485)","(990, 483)",right
1_startRightKanRoraCam3.mp4,"(780, 485)","(986, 483)",center
1_startRightKanRoraCam3.mp4,"(775, 486)","(981, 483)",right
1_startRightKanRoraCam3.mp4,"(773, 485)","(975, 483)",center
1_startRightKanRoraCam3.mp4,"(768, 486)","(970, 483)",center
1_startRightKanRoraCam3.mp4,"(763, 485)","(964, 483)",center
1_startRightKanRoraCam3.mp4,"(759, 486)","(958, 484)",center
1_startRightKanRoraCam3.mp4,"(754, 486)","(953, 484)",center
1_startRightKanRoraCam3.mp4,"(751, 486)","(948, 484)",center
1_startRightKanRoraCam3.mp4,"(748, 485)","(946, 483)",center
1_startRightKanRoraCam3.mp4,"(746, 486)","(943, 483)",center
1_startRightKanRoraCam3.mp4,"(746, 486)","(943, 483)",center
1_startRightKanRoraCam3.mp4,"(746, 485)","(944, 483)",center
1_startRightKanRoraCam3.mp4,"(746, 484)","(944, 483)",center
1_startRightKanRoraCam3.mp4,"(745, 484)","(943, 483)",center
1_startRightKanRoraCam3.mp4,"(744, 485)","(943, 483)",center
1_startRightKanRoraCam3.mp4,"(743, 486)","(943, 483)",center
1_startRightKanRoraCam3.mp4,"(739, 483)","(941, 483)",center
1_startRightKanRoraCam3.mp4,"(737, 483)","(940, 481)",center
1_startRightKanRoraCam3.mp4,"(734, 483)","(938, 482)",center
1_startRightKanRoraCam3.mp4,"(730, 482)","(936, 482)",center
1_startRightKanRoraCam3.mp4,"(727, 483)","(933, 482)",center
1_startRightKanRoraCam3.mp4,"(723, 482)","(930, 482)",center
1_startRightKanRoraCam3.mp4,"(718, 482)","(927, 482)",left
1_startRightKanRoraCam3.mp4,"(716, 484)","(922, 481)",left
1_startRightKanRoraCam3.mp4,"(709, 482)","(919, 483)",left
1_startRightKanRoraCam3.mp4,"(704, 481)","(915, 482)",left
1_startRightKanRoraCam3.mp4,"(700, 483)","(910, 481)",left
1_startRightKanRoraCam3.mp4,"(693, 481)","(905, 481)",left
1_startRightKanRoraCam3.mp4,"(688, 482)","(901, 482)",left
1_startRightKanRoraCam3.mp4,"(681, 481)","(895, 481)",left
1_startRightKanRoraCam3.mp4,"(675, 482)","(890, 482)",left
1_startRightKanRoraCam3.mp4,"(669, 482)","(885, 481)",left
1_startRightKanRoraCam3.mp4,"(663, 481)","(879, 481)",left
1_startRightKanRoraCam3.mp4,"(657, 481)","(873, 481)",left
1_startRightKanRoraCam3.mp4,"(650, 481)","(867, 480)",left
1_startRightKanRoraCam3.mp4,"(645, 481)","(862, 481)",left
1_startRightKanRoraCam3.mp4,"(639, 481)","(855, 479)",left
1_startRightKanRoraCam3.mp4,"(632, 481)","(850, 480)",left
1_startRightKanRoraCam3.mp4,"(627, 482)","(845, 481)",left
1_startRightKanRoraCam3.mp4,"(622, 482)","(840, 481)",left
1_startRightKanRoraCam3.mp4,"(616, 481)","(835, 481)",left
1_startRightKanRoraCam3.mp4,"(611, 482)","(831, 482)",left
1_startRightKanRoraCam3.mp4,"(606, 482)","(827, 482)",left
1_startRightKanRoraCam3.mp4,"(602, 482)","(821, 482)",left
1_startRightKanRoraCam3.mp4,"(598, 481)","(816, 482)",left
1_startRightKanRoraCam3.mp4,"(595, 482)","(815, 485)",left
1_startRightKanRoraCam3.mp4,"(592, 482)","(811, 483)",left
1_startRightKanRoraCam3.mp4,"(589, 481)","(805, 480)",left
1_startRightKanRoraCam3.mp4,"(589, 483)","(803, 480)",left
1_startRightKanRoraCam3.mp4,"(586, 483)","(802, 482)",left
1_startRightKanRoraCam3.mp4,"(584, 482)","(798, 480)",left
1_startRightKanRoraCam3.mp4,"(584, 483)","(800, 484)",left
1_startRightKanRoraCam3.mp4,"(583, 482)","(796, 481)",left
1_startRightKanRoraCam3.mp4,"(584, 484)","(796, 482)",left
1_startRightKanRoraCam3.mp4,"(584, 483)","(796, 482)",left
1_startRightKanRoraCam3.mp4,"(585, 483)","(799, 485)",left
1_startRightKanRoraCam3.mp4,"(587, 484)","(797, 482)",left
