video_name,left_pupil,right_pupil,gaze_direction
CN6RightCam1.mp4,"(774, 468)","(1026, 461)",right
CN6RightCam1.mp4,"(773, 468)","(1024, 464)",right
CN6RightCam1.mp4,"(774, 469)","(1024, 463)",right
CN6RightCam1.mp4,"(774, 468)","(1027, 461)",right
CN6RightCam1.mp4,"(776, 469)","(1025, 463)",right
CN6RightCam1.mp4,"(776, 469)","(1027, 464)",right
CN6RightCam1.mp4,"(777, 469)","(1028, 464)",right
CN6RightCam1.mp4,"(778, 469)","(1030, 464)",right
CN6RightCam1.mp4,"(779, 468)","(1030, 464)",right
CN6RightCam1.mp4,"(780, 468)","(1032, 464)",right
CN6RightCam1.mp4,"(781, 468)","(1035, 464)",right
CN6RightCam1.mp4,"(783, 468)","(1036, 464)",right
CN6RightCam1.mp4,"(785, 469)","(1039, 465)",right
CN6RightCam1.mp4,"(787, 469)","(1041, 464)",right
CN6RightCam1.mp4,"(789, 468)","(1043, 464)",right
CN6RightCam1.mp4,"(790, 468)","(1046, 464)",right
CN6RightCam1.mp4,"(792, 468)","(1049, 465)",right
CN6RightCam1.mp4,"(795, 469)","(1052, 465)",right
CN6RightCam1.mp4,"(797, 469)","(1054, 465)",right
CN6RightCam1.mp4,"(799, 468)","(1057, 464)",right
CN6RightCam1.mp4,"(801, 467)","(1060, 464)",right
CN6RightCam1.mp4,"(803, 468)","(1063, 465)",right
CN6RightCam1.mp4,"(806, 469)","(1067, 465)",right
CN6RightCam1.mp4,"(809, 468)","(1070, 464)",right
CN6RightCam1.mp4,"(811, 469)","(1073, 465)",right
CN6RightCam1.mp4,"(814, 470)","(1077, 465)",right
CN6RightCam1.mp4,"(816, 467)","(1080, 464)",right
CN6RightCam1.mp4,"(819, 468)","(1084, 464)",right
CN6RightCam1.mp4,"(822, 467)","(1088, 465)",center
CN6RightCam1.mp4,"(824, 468)","(1091, 464)",center
CN6RightCam1.mp4,"(828, 468)","(1095, 464)",center
CN6RightCam1.mp4,"(831, 469)","(1099, 464)",center
CN6RightCam1.mp4,"(831, 463)","(1103, 464)",center
CN6RightCam1.mp4,"(836, 466)","(1107, 464)",center
CN6RightCam1.mp4,"(839, 468)","(1111, 464)",center
CN6RightCam1.mp4,"(842, 468)","(1115, 464)",center
CN6RightCam1.mp4,"(846, 467)","(1119, 463)",center
CN6RightCam1.mp4,"(849, 466)","(1123, 464)",center
CN6RightCam1.mp4,"(853, 469)","(1129, 466)",center
CN6RightCam1.mp4,"(856, 468)","(1133, 463)",center
CN6RightCam1.mp4,"(858, 464)","(1139, 461)",center
CN6RightCam1.mp4,"(863, 468)","(1141, 463)",center
CN6RightCam1.mp4,"(867, 467)","(1144, 463)",center
CN6RightCam1.mp4,"(871, 466)","(1149, 463)",center
CN6RightCam1.mp4,"(875, 467)","(1153, 462)",center
CN6RightCam1.mp4,"(876, 464)","(1160, 460)",center
CN6RightCam1.mp4,"(883, 467)","(1162, 462)",center
