video_name,left_pupil,right_pupil,gaze_direction
2_startRightCam3.mp4,"(906, 492)","(1088, 486)",right
2_startRightCam3.mp4,"(905, 492)","(1087, 486)",right
2_startRightCam3.mp4,"(901, 492)","(1085, 485)",right
2_startRightCam3.mp4,"(899, 493)","(1083, 486)",right
2_startRightCam3.mp4,"(897, 492)","(1081, 485)",right
2_startRightCam3.mp4,"(892, 492)","(1078, 485)",right
2_startRightCam3.mp4,"(887, 491)","(1076, 485)",right
2_startRightCam3.mp4,"(882, 488)","(1075, 483)",right
2_startRightCam3.mp4,"(877, 490)","(1070, 484)",right
2_startRightCam3.mp4,"(873, 489)","(1068, 483)",right
2_startRightCam3.mp4,"(868, 489)","(1064, 484)",right
2_startRightCam3.mp4,"(864, 490)","(1061, 484)",right
2_startRightCam3.mp4,"(859, 489)","(1059, 483)",right
2_startRightCam3.mp4,"(856, 491)","(1057, 483)",right
2_startRightCam3.mp4,"(853, 490)","(1056, 483)",right
2_startRightCam3.mp4,"(849, 490)","(1055, 483)",right
2_startRightCam3.mp4,"(848, 488)","(1054, 483)",right
2_startRightCam3.mp4,"(845, 489)","(1054, 483)",right
2_startRightCam3.mp4,"(844, 489)","(1055, 483)",right
2_startRightCam3.mp4,"(843, 489)","(1055, 482)",right
2_startRightCam3.mp4,"(843, 489)","(1057, 483)",right
2_startRightCam3.mp4,"(844, 489)","(1058, 483)",right
2_startRightCam3.mp4,"(845, 489)","(1059, 482)",right
2_startRightCam3.mp4,"(846, 488)","(1061, 482)",right
2_startRightCam3.mp4,"(847, 489)","(1063, 482)",right
2_startRightCam3.mp4,"(848, 488)","(1064, 482)",right
2_startRightCam3.mp4,"(851, 488)","(1065, 483)",right
2_startRightCam3.mp4,"(852, 487)","(1065, 483)",right
2_startRightCam3.mp4,"(852, 486)","(1065, 483)",right
2_startRightCam3.mp4,"(853, 486)","(1064, 484)",right
2_startRightCam3.mp4,"(854, 487)","(1063, 484)",right
2_startRightCam3.mp4,"(854, 488)","(1060, 485)",right
2_startRightCam3.mp4,"(854, 490)","(1056, 486)",right
2_startRightCam3.mp4,"(850, 489)","(1051, 485)",right
2_startRightCam3.mp4,"(847, 490)","(1045, 486)",right
2_startRightCam3.mp4,"(843, 489)","(1037, 487)",right
2_startRightCam3.mp4,"(838, 490)","(1029, 487)",right
2_startRightCam3.mp4,"(832, 491)","(1019, 488)",right
2_startRightCam3.mp4,"(824, 492)","(1008, 489)",right
2_startRightCam3.mp4,"(815, 492)","(996, 489)",right
2_startRightCam3.mp4,"(806, 492)","(982, 489)",right
2_startRightCam3.mp4,"(796, 492)","(969, 490)",right
2_startRightCam3.mp4,"(786, 493)","(955, 492)",right
2_startRightCam3.mp4,"(772, 493)","(940, 491)",right
2_startRightCam3.mp4,"(760, 494)","(924, 492)",right
2_startRightCam3.mp4,"(746, 494)","(907, 492)",right
2_startRightCam3.mp4,"(734, 494)","(891, 493)",right
2_startRightCam3.mp4,"(720, 494)","(875, 493)",right
2_startRightCam3.mp4,"(707, 495)","(860, 494)",right
2_startRightCam3.mp4,"(692, 496)","(845, 496)",right
2_startRightCam3.mp4,"(681, 496)","(829, 496)",right
2_startRightCam3.mp4,"(669, 497)","(815, 496)",right
2_startRightCam3.mp4,"(660, 497)","(802, 497)",right
2_startRightCam3.mp4,"(648, 497)","(790, 496)",right
2_startRightCam3.mp4,"(638, 498)","(778, 496)",right
2_startRightCam3.mp4,"(629, 499)","(769, 497)",right
2_startRightCam3.mp4,"(622, 499)","(761, 497)",right
2_startRightCam3.mp4,"(617, 499)","(754, 497)",right
2_startRightCam3.mp4,"(612, 499)","(749, 498)",right
2_startRightCam3.mp4,"(609, 498)","(746, 497)",right
2_startRightCam3.mp4,"(607, 497)","(745, 496)",right
2_startRightCam3.mp4,"(608, 497)","(746, 497)",right
2_startRightCam3.mp4,"(613, 499)","(751, 498)",right
2_startRightCam3.mp4,"(621, 498)","(758, 498)",right
2_startRightCam3.mp4,"(628, 499)","(767, 497)",right
2_startRightCam3.mp4,"(636, 497)","(779, 496)",right
2_startRightCam3.mp4,"(647, 497)","(791, 495)",right
2_startRightCam3.mp4,"(658, 497)","(806, 496)",right
2_startRightCam3.mp4,"(672, 496)","(821, 495)",right
2_startRightCam3.mp4,"(685, 495)","(837, 494)",right
2_startRightCam3.mp4,"(699, 495)","(853, 493)",right
2_startRightCam3.mp4,"(713, 495)","(870, 494)",right
2_startRightCam3.mp4,"(724, 493)","(886, 492)",right
2_startRightCam3.mp4,"(737, 493)","(902, 492)",right
2_startRightCam3.mp4,"(748, 493)","(917, 491)",right
2_startRightCam3.mp4,"(758, 492)","(931, 489)",right
2_startRightCam3.mp4,"(768, 493)","(945, 489)",right
2_startRightCam3.mp4,"(774, 493)","(956, 489)",right
2_startRightCam3.mp4,"(781, 491)","(965, 489)",right
2_startRightCam3.mp4,"(783, 490)","(972, 488)",right
2_startRightCam3.mp4,"(786, 490)","(979, 487)",right
2_startRightCam3.mp4,"(787, 490)","(984, 487)",right
2_startRightCam3.mp4,"(788, 490)","(987, 486)",right
2_startRightCam3.mp4,"(785, 488)","(988, 485)",right
2_startRightCam3.mp4,"(783, 487)","(989, 485)",right
2_startRightCam3.mp4,"(779, 488)","(988, 484)",right
2_startRightCam3.mp4,"(776, 488)","(986, 484)",right
2_startRightCam3.mp4,"(772, 486)","(984, 484)",right
2_startRightCam3.mp4,"(768, 489)","(981, 484)",right
2_startRightCam3.mp4,"(764, 489)","(978, 484)",right
2_startRightCam3.mp4,"(758, 486)","(974, 483)",right
2_startRightCam3.mp4,"(755, 488)","(970, 484)",right
2_startRightCam3.mp4,"(752, 488)","(967, 483)",right
2_startRightCam3.mp4,"(747, 486)","(964, 482)",right
2_startRightCam3.mp4,"(745, 487)","(961, 482)",right
2_startRightCam3.mp4,"(742, 487)","(958, 482)",right
2_startRightCam3.mp4,"(740, 488)","(956, 482)",right
2_startRightCam3.mp4,"(739, 488)","(955, 483)",right
2_startRightCam3.mp4,"(739, 487)","(954, 482)",right
2_startRightCam3.mp4,"(739, 489)","(954, 482)",right
2_startRightCam3.mp4,"(739, 487)","(954, 482)",right
2_startRightCam3.mp4,"(740, 489)","(955, 483)",right
2_startRightCam3.mp4,"(740, 486)","(956, 482)",right
2_startRightCam3.mp4,"(743, 488)","(960, 480)",right
2_startRightCam3.mp4,"(743, 486)","(960, 482)",right
2_startRightCam3.mp4,"(746, 487)","(963, 482)",right
2_startRightCam3.mp4,"(750, 488)","(966, 483)",right
2_startRightCam3.mp4,"(754, 489)","(969, 483)",right
2_startRightCam3.mp4,"(757, 489)","(972, 483)",right
2_startRightCam3.mp4,"(761, 487)","(976, 483)",right
2_startRightCam3.mp4,"(764, 488)","(979, 483)",right
2_startRightCam3.mp4,"(769, 488)","(983, 482)",right
2_startRightCam3.mp4,"(773, 487)","(987, 483)",right
2_startRightCam3.mp4,"(777, 486)","(991, 482)",right
2_startRightCam3.mp4,"(782, 488)","(994, 484)",right
2_startRightCam3.mp4,"(786, 488)","(997, 484)",right
2_startRightCam3.mp4,"(790, 489)","(999, 484)",right
2_startRightCam3.mp4,"(794, 488)","(1002, 485)",right
2_startRightCam3.mp4,"(797, 488)","(1003, 485)",right
2_startRightCam3.mp4,"(800, 486)","(1004, 486)",right
2_startRightCam3.mp4,"(802, 486)","(1004, 486)",right
2_startRightCam3.mp4,"(804, 489)","(1004, 486)",right
2_startRightCam3.mp4,"(806, 489)","(1002, 486)",right
2_startRightCam3.mp4,"(807, 490)","(1000, 487)",right
2_startRightCam3.mp4,"(807, 491)","(997, 487)",right
2_startRightCam3.mp4,"(806, 491)","(994, 487)",right
2_startRightCam3.mp4,"(804, 490)","(991, 487)",right
2_startRightCam3.mp4,"(802, 490)","(985, 488)",right
2_startRightCam3.mp4,"(801, 492)","(981, 489)",right
2_startRightCam3.mp4,"(797, 492)","(976, 488)",right
2_startRightCam3.mp4,"(794, 492)","(970, 490)",right
2_startRightCam3.mp4,"(792, 493)","(966, 490)",right
2_startRightCam3.mp4,"(787, 492)","(960, 491)",right
2_startRightCam3.mp4,"(783, 492)","(955, 490)",right
2_startRightCam3.mp4,"(780, 492)","(950, 491)",right
2_startRightCam3.mp4,"(777, 493)","(946, 491)",right
2_startRightCam3.mp4,"(775, 493)","(943, 492)",right
2_startRightCam3.mp4,"(774, 493)","(940, 491)",right
2_startRightCam3.mp4,"(773, 493)","(940, 491)",right
2_startRightCam3.mp4,"(773, 494)","(940, 490)",right
2_startRightCam3.mp4,"(773, 494)","(940, 492)",right
2_startRightCam3.mp4,"(773, 494)","(940, 490)",right
2_startRightCam3.mp4,"(773, 494)","(940, 490)",right
2_startRightCam3.mp4,"(773, 494)","(940, 490)",right
