video_name,left_pupil,right_pupil,gaze_direction
C0004.MP4,"(874, 495)","(1114, 497)",center
C0004.MP4,"(875, 495)","(1114, 496)",center
C0004.MP4,"(875, 494)","(1113, 497)",center
C0004.MP4,"(875, 494)","(1113, 497)",center
C0004.MP4,"(875, 495)","(1113, 497)",center
C0004.MP4,"(875, 495)","(1113, 496)",center
C0004.MP4,"(876, 494)","(1112, 496)",center
C0004.MP4,"(876, 494)","(1113, 496)",center
C0004.MP4,"(875, 494)","(1113, 496)",center
C0004.MP4,"(875, 495)","(1112, 496)",center
C0004.MP4,"(875, 495)","(1112, 496)",center
C0004.MP4,"(875, 495)","(1114, 498)",center
C0004.MP4,"(876, 494)","(1112, 496)",center
C0004.MP4,"(876, 495)","(1114, 497)",center
C0004.MP4,"(874, 493)","(1115, 497)",center
C0004.MP4,"(874, 493)","(1113, 496)",center
C0004.MP4,"(876, 495)","(1114, 499)",center
C0004.MP4,"(876, 495)","(1115, 497)",center
C0004.MP4,"(876, 494)","(1115, 497)",center
C0004.MP4,"(876, 495)","(1114, 497)",center
C0004.MP4,"(876, 495)","(1114, 497)",center
C0004.MP4,"(876, 495)","(1115, 497)",center
C0004.MP4,"(876, 494)","(1115, 496)",center
C0004.MP4,"(876, 495)","(1114, 496)",center
C0004.MP4,"(877, 495)","(1113, 495)",center
C0004.MP4,"(876, 495)","(1114, 496)",center
C0004.MP4,"(876, 495)","(1113, 495)",center
C0004.MP4,"(877, 495)","(1114, 495)",center
C0004.MP4,"(877, 495)","(1115, 496)",center
C0004.MP4,"(875, 492)","(1114, 496)",center
C0004.MP4,"(878, 494)","(1115, 496)",center
C0004.MP4,"(880, 492)","(1115, 496)",center
C0004.MP4,"(878, 494)","(1114, 496)",center
C0004.MP4,"(878, 494)","(1115, 495)",center
C0004.MP4,"(880, 492)","(1114, 495)",center
C0004.MP4,"(879, 494)","(1115, 496)",center
C0004.MP4,"(879, 495)","(1117, 496)",center
C0004.MP4,"(880, 495)","(1118, 496)",center
C0004.MP4,"(880, 495)","(1117, 497)",center
C0004.MP4,"(881, 495)","(1118, 497)",center
C0004.MP4,"(882, 495)","(1119, 496)",center
C0004.MP4,"(882, 494)","(1120, 496)",center
C0004.MP4,"(883, 494)","(1120, 496)",center
C0004.MP4,"(883, 494)","(1121, 496)",center
C0004.MP4,"(883, 494)","(1122, 497)",center
C0004.MP4,"(884, 494)","(1123, 497)",center
C0004.MP4,"(884, 493)","(1122, 497)",center
C0004.MP4,"(885, 494)","(1122, 497)",center
C0004.MP4,"(885, 493)","(1121, 496)",center
C0004.MP4,"(886, 492)","(1122, 494)",center
C0004.MP4,"(886, 493)","(1123, 495)",center
C0004.MP4,"(886, 492)","(1123, 494)",center
C0004.MP4,"(887, 492)","(1124, 494)",center
C0004.MP4,"(887, 493)","(1125, 495)",center
C0004.MP4,"(887, 492)","(1125, 495)",center
C0004.MP4,"(888, 493)","(1125, 495)",center
C0004.MP4,"(888, 494)","(1125, 495)",center
C0004.MP4,"(889, 493)","(1126, 495)",center
C0004.MP4,"(889, 493)","(1127, 496)",center
C0004.MP4,"(889, 493)","(1127, 495)",center
C0004.MP4,"(890, 493)","(1127, 495)",center
C0004.MP4,"(890, 493)","(1129, 496)",center
C0004.MP4,"(891, 493)","(1129, 496)",center
C0004.MP4,"(891, 493)","(1129, 496)",center
C0004.MP4,"(891, 493)","(1129, 495)",center
C0004.MP4,"(891, 494)","(1130, 496)",center
C0004.MP4,"(891, 492)","(1129, 496)",center
C0004.MP4,"(892, 493)","(1129, 495)",center
