video_name,left_pupil,right_pupil,gaze_direction
C0042.MP4,"(868, 523)","(1122, 517)",left
C0042.MP4,"(868, 523)","(1124, 517)",left
C0042.MP4,"(868, 523)","(1119, 518)",left
C0042.MP4,"(868, 523)","(1120, 518)",left
C0042.MP4,"(868, 523)","(1120, 519)",left
C0042.MP4,"(869, 523)","(1120, 518)",left
C0042.MP4,"(869, 523)","(1121, 517)",left
C0042.MP4,"(869, 522)","(1123, 517)",left
C0042.MP4,"(869, 522)","(1123, 516)",left
C0042.MP4,"(869, 523)","(1124, 516)",left
C0042.MP4,"(869, 522)","(1123, 517)",left
C0042.MP4,"(869, 523)","(1121, 517)",left
C0042.MP4,"(869, 523)","(1120, 517)",left
C0042.MP4,"(869, 522)","(1118, 519)",left
C0042.MP4,"(868, 522)","(1118, 519)",left
C0042.MP4,"(868, 522)","(1117, 516)",left
C0042.MP4,"(868, 522)","(1118, 516)",left
C0042.MP4,"(868, 522)","(1117, 516)",left
C0042.MP4,"(867, 522)","(1118, 515)",left
C0042.MP4,"(867, 522)","(1118, 515)",left
C0042.MP4,"(867, 522)","(1120, 516)",left
C0042.MP4,"(867, 523)","(1120, 516)",left
C0042.MP4,"(867, 523)","(1122, 516)",left
C0042.MP4,"(866, 523)","(1120, 516)",left
C0042.MP4,"(866, 523)","(1122, 516)",left
C0042.MP4,"(866, 523)","(1119, 516)",left
C0042.MP4,"(866, 523)","(1118, 516)",left
C0042.MP4,"(867, 524)","(1120, 517)",left
C0042.MP4,"(867, 523)","(1119, 516)",left
C0042.MP4,"(867, 523)","(1119, 516)",left
C0042.MP4,"(866, 523)","(1118, 517)",left
C0042.MP4,"(866, 523)","(1119, 516)",left
C0042.MP4,"(866, 523)","(1119, 516)",left
C0042.MP4,"(866, 524)","(1119, 516)",left
C0042.MP4,"(866, 523)","(1120, 517)",left
C0042.MP4,"(866, 524)","(1118, 516)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1122, 517)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(865, 524)","(1121, 516)",left
C0042.MP4,"(865, 524)","(1120, 516)",left
C0042.MP4,"(865, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1121, 516)",left
C0042.MP4,"(866, 524)","(1120, 517)",left
C0042.MP4,"(865, 524)","(1118, 516)",left
C0042.MP4,"(865, 523)","(1119, 516)",left
C0042.MP4,"(866, 524)","(1122, 517)",left
C0042.MP4,"(865, 524)","(1118, 516)",left
C0042.MP4,"(865, 524)","(1118, 516)",left
C0042.MP4,"(865, 524)","(1119, 517)",left
C0042.MP4,"(865, 524)","(1120, 517)",left
C0042.MP4,"(865, 524)","(1121, 517)",left
C0042.MP4,"(865, 524)","(1118, 516)",left
C0042.MP4,"(865, 524)","(1120, 516)",left
C0042.MP4,"(865, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1121, 517)",left
C0042.MP4,"(865, 525)","(1118, 517)",left
C0042.MP4,"(866, 524)","(1121, 517)",left
C0042.MP4,"(866, 525)","(1119, 516)",left
C0042.MP4,"(866, 525)","(1122, 517)",left
C0042.MP4,"(866, 524)","(1120, 517)",left
C0042.MP4,"(866, 525)","(1120, 517)",left
C0042.MP4,"(866, 524)","(1121, 516)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1120, 515)",left
C0042.MP4,"(866, 524)","(1120, 516)",left
C0042.MP4,"(866, 524)","(1121, 516)",left
C0042.MP4,"(866, 523)","(1122, 516)",left
C0042.MP4,"(866, 523)","(1120, 516)",left
C0042.MP4,"(865, 523)","(1120, 516)",left
C0042.MP4,"(864, 524)","(1118, 516)",left
C0042.MP4,"(864, 524)","(1117, 515)",left
C0042.MP4,"(865, 523)","(1118, 515)",left
C0042.MP4,"(866, 523)","(1117, 515)",left
C0042.MP4,"(866, 523)","(1118, 515)",left
C0042.MP4,"(867, 523)","(1118, 515)",left
C0042.MP4,"(867, 524)","(1118, 515)",left
C0042.MP4,"(868, 523)","(1120, 515)",left
C0042.MP4,"(869, 523)","(1121, 514)",left
C0042.MP4,"(870, 523)","(1122, 514)",left
C0042.MP4,"(871, 523)","(1122, 514)",left
C0042.MP4,"(872, 523)","(1125, 514)",left
C0042.MP4,"(873, 522)","(1124, 513)",left
C0042.MP4,"(874, 522)","(1124, 513)",left
C0042.MP4,"(875, 522)","(1128, 514)",left
C0042.MP4,"(876, 522)","(1125, 514)",left
C0042.MP4,"(877, 522)","(1127, 514)",left
C0042.MP4,"(878, 521)","(1128, 515)",left
C0042.MP4,"(878, 522)","(1130, 514)",left
C0042.MP4,"(879, 522)","(1130, 514)",left
C0042.MP4,"(879, 522)","(1129, 514)",left
C0042.MP4,"(879, 522)","(1131, 514)",left
C0042.MP4,"(879, 522)","(1129, 513)",left
C0042.MP4,"(879, 522)","(1129, 514)",left
C0042.MP4,"(879, 522)","(1128, 513)",left
C0042.MP4,"(880, 522)","(1129, 514)",left
C0042.MP4,"(880, 522)","(1130, 513)",left
C0042.MP4,"(880, 522)","(1130, 513)",left
C0042.MP4,"(881, 522)","(1130, 513)",left
C0042.MP4,"(881, 522)","(1130, 514)",left
C0042.MP4,"(881, 522)","(1130, 513)",left
C0042.MP4,"(881, 522)","(1131, 514)",left
C0042.MP4,"(881, 522)","(1129, 514)",left
C0042.MP4,"(882, 522)","(1129, 514)",left
C0042.MP4,"(882, 522)","(1130, 514)",left
C0042.MP4,"(883, 521)","(1132, 515)",left
C0042.MP4,"(883, 523)","(1133, 514)",left
C0042.MP4,"(884, 522)","(1133, 514)",left
C0042.MP4,"(884, 522)","(1134, 515)",left
C0042.MP4,"(884, 522)","(1135, 515)",left
C0042.MP4,"(885, 522)","(1135, 514)",left
C0042.MP4,"(885, 522)","(1132, 514)",left
C0042.MP4,"(884, 523)","(1135, 514)",left
C0042.MP4,"(885, 523)","(1133, 514)",left
C0042.MP4,"(885, 522)","(1133, 514)",left
C0042.MP4,"(885, 522)","(1131, 514)",left
C0042.MP4,"(884, 521)","(1132, 514)",left
C0042.MP4,"(884, 522)","(1131, 515)",left
C0042.MP4,"(884, 522)","(1135, 515)",left
C0042.MP4,"(884, 522)","(1131, 514)",left
C0042.MP4,"(884, 522)","(1134, 515)",left
C0042.MP4,"(884, 522)","(1132, 514)",left
C0042.MP4,"(884, 523)","(1131, 514)",left
C0042.MP4,"(884, 523)","(1131, 514)",left
C0042.MP4,"(883, 523)","(1133, 514)",left
C0042.MP4,"(883, 523)","(1132, 515)",left
C0042.MP4,"(883, 523)","(1131, 514)",left
C0042.MP4,"(884, 522)","(1132, 515)",left
C0042.MP4,"(884, 523)","(1132, 515)",left
C0042.MP4,"(884, 523)","(1132, 515)",left
C0042.MP4,"(883, 523)","(1131, 514)",left
C0042.MP4,"(884, 523)","(1133, 514)",left
C0042.MP4,"(884, 523)","(1133, 514)",left
C0042.MP4,"(884, 523)","(1133, 514)",left
C0042.MP4,"(884, 523)","(1132, 514)",left
C0042.MP4,"(883, 523)","(1133, 515)",left
C0042.MP4,"(884, 523)","(1132, 515)",left
C0042.MP4,"(884, 523)","(1132, 515)",left
C0042.MP4,"(884, 524)","(1134, 515)",left
C0042.MP4,"(883, 523)","(1132, 515)",left
C0042.MP4,"(884, 523)","(1134, 515)",left
C0042.MP4,"(884, 523)","(1132, 516)",left
C0042.MP4,"(884, 523)","(1134, 515)",left
C0042.MP4,"(884, 523)","(1131, 516)",left
C0042.MP4,"(884, 523)","(1132, 516)",left
C0042.MP4,"(884, 523)","(1135, 515)",left
C0042.MP4,"(883, 524)","(1134, 516)",left
C0042.MP4,"(884, 524)","(1133, 516)",left
C0042.MP4,"(884, 524)","(1136, 517)",left
C0042.MP4,"(884, 524)","(1133, 517)",left
C0042.MP4,"(883, 524)","(1134, 516)",left
C0042.MP4,"(883, 524)","(1133, 517)",left
C0042.MP4,"(883, 524)","(1133, 516)",left
C0042.MP4,"(883, 523)","(1134, 517)",left
C0042.MP4,"(883, 524)","(1133, 516)",left
C0042.MP4,"(882, 524)","(1134, 517)",left
C0042.MP4,"(883, 524)","(1133, 517)",left
C0042.MP4,"(882, 524)","(1135, 517)",left
C0042.MP4,"(882, 523)","(1135, 517)",left
C0042.MP4,"(882, 523)","(1133, 517)",left
C0042.MP4,"(881, 523)","(1133, 517)",left
C0042.MP4,"(881, 523)","(1134, 517)",left
C0042.MP4,"(880, 523)","(1133, 518)",left
C0042.MP4,"(880, 523)","(1131, 516)",left
C0042.MP4,"(880, 523)","(1131, 517)",left
C0042.MP4,"(879, 523)","(1131, 517)",left
C0042.MP4,"(879, 523)","(1131, 516)",left
C0042.MP4,"(878, 523)","(1130, 517)",left
C0042.MP4,"(878, 523)","(1128, 515)",left
C0042.MP4,"(877, 523)","(1129, 516)",left
C0042.MP4,"(877, 522)","(1128, 515)",left
C0042.MP4,"(877, 523)","(1128, 515)",left
C0042.MP4,"(876, 522)","(1128, 516)",left
C0042.MP4,"(875, 522)","(1126, 515)",left
C0042.MP4,"(874, 522)","(1126, 515)",left
C0042.MP4,"(874, 523)","(1126, 515)",left
C0042.MP4,"(873, 522)","(1124, 515)",left
C0042.MP4,"(873, 522)","(1125, 516)",left
C0042.MP4,"(872, 523)","(1125, 516)",left
C0042.MP4,"(872, 523)","(1123, 516)",left
C0042.MP4,"(871, 523)","(1122, 515)",left
C0042.MP4,"(871, 522)","(1124, 517)",left
C0042.MP4,"(875, 523)","(1128, 517)",left
C0042.MP4,"(878, 524)","(1132, 518)",left
C0042.MP4,"(879, 524)","(1130, 517)",left
C0042.MP4,"(879, 525)","(1131, 517)",left
C0042.MP4,"(879, 525)","(1130, 517)",left
C0042.MP4,"(878, 525)","(1129, 516)",left
C0042.MP4,"(878, 524)","(1132, 516)",left
C0042.MP4,"(878, 525)","(1130, 517)",left
C0042.MP4,"(879, 524)","(1134, 517)",left
C0042.MP4,"(879, 525)","(1131, 516)",left
C0042.MP4,"(878, 524)","(1134, 518)",left
C0042.MP4,"(878, 525)","(1131, 518)",left
C0042.MP4,"(878, 525)","(1132, 517)",left
C0042.MP4,"(878, 525)","(1132, 517)",left
C0042.MP4,"(878, 524)","(1133, 516)",left
C0042.MP4,"(878, 524)","(1131, 517)",left
C0042.MP4,"(878, 524)","(1131, 517)",left
C0042.MP4,"(878, 525)","(1131, 517)",left
C0042.MP4,"(879, 525)","(1130, 516)",left
C0042.MP4,"(879, 525)","(1131, 518)",left
C0042.MP4,"(879, 525)","(1131, 517)",left
C0042.MP4,"(879, 525)","(1131, 516)",left
C0042.MP4,"(879, 525)","(1127, 519)",left
C0042.MP4,"(879, 525)","(1127, 518)",left
C0042.MP4,"(879, 525)","(1132, 519)",left
C0042.MP4,"(879, 525)","(1136, 518)",left
C0042.MP4,"(880, 526)","(1132, 517)",left
C0042.MP4,"(880, 526)","(1134, 519)",left
C0042.MP4,"(879, 525)","(1134, 519)",left
C0042.MP4,"(879, 526)","(1135, 518)",left
C0042.MP4,"(879, 526)","(1134, 518)",left
C0042.MP4,"(879, 526)","(1134, 519)",left
C0042.MP4,"(879, 526)","(1133, 518)",left
C0042.MP4,"(879, 526)","(1132, 517)",left
C0042.MP4,"(879, 526)","(1130, 517)",left
C0042.MP4,"(879, 525)","(1134, 518)",left
C0042.MP4,"(878, 525)","(1130, 517)",left
C0042.MP4,"(878, 525)","(1130, 518)",left
C0042.MP4,"(878, 525)","(1131, 518)",left
C0042.MP4,"(877, 524)","(1132, 517)",left
C0042.MP4,"(877, 524)","(1131, 517)",left
C0042.MP4,"(877, 525)","(1131, 517)",left
C0042.MP4,"(877, 525)","(1132, 518)",left
C0042.MP4,"(877, 525)","(1131, 517)",left
C0042.MP4,"(877, 525)","(1129, 518)",left
C0042.MP4,"(877, 525)","(1131, 518)",left
C0042.MP4,"(877, 525)","(1130, 517)",left
C0042.MP4,"(876, 525)","(1130, 517)",left
C0042.MP4,"(876, 525)","(1131, 518)",left
C0042.MP4,"(876, 526)","(1131, 518)",left
C0042.MP4,"(876, 525)","(1129, 518)",left
C0042.MP4,"(876, 525)","(1128, 518)",left
C0042.MP4,"(876, 526)","(1131, 518)",left
C0042.MP4,"(876, 526)","(1128, 518)",left
C0042.MP4,"(876, 526)","(1129, 518)",left
C0042.MP4,"(876, 526)","(1130, 518)",left
C0042.MP4,"(876, 526)","(1130, 518)",left
C0042.MP4,"(876, 526)","(1130, 519)",left
C0042.MP4,"(876, 526)","(1131, 518)",left
C0042.MP4,"(876, 526)","(1130, 518)",left
C0042.MP4,"(876, 526)","(1129, 519)",left
C0042.MP4,"(876, 526)","(1129, 520)",left
C0042.MP4,"(876, 526)","(1130, 519)",left
C0042.MP4,"(876, 526)","(1129, 519)",left
C0042.MP4,"(877, 526)","(1131, 519)",left
C0042.MP4,"(876, 526)","(1129, 519)",left
C0042.MP4,"(876, 526)","(1130, 519)",left
C0042.MP4,"(877, 526)","(1132, 520)",left
C0042.MP4,"(877, 526)","(1130, 519)",left
C0042.MP4,"(877, 526)","(1131, 519)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1129, 519)",left
C0042.MP4,"(877, 527)","(1131, 519)",left
C0042.MP4,"(877, 527)","(1130, 520)",left
C0042.MP4,"(877, 527)","(1133, 520)",left
C0042.MP4,"(877, 527)","(1129, 519)",left
C0042.MP4,"(877, 527)","(1130, 520)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(878, 527)","(1133, 520)",left
C0042.MP4,"(878, 527)","(1131, 520)",left
C0042.MP4,"(878, 527)","(1135, 521)",left
C0042.MP4,"(878, 527)","(1132, 521)",left
C0042.MP4,"(878, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1133, 520)",left
C0042.MP4,"(877, 527)","(1132, 519)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1131, 519)",left
C0042.MP4,"(877, 526)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1132, 519)",left
C0042.MP4,"(877, 526)","(1132, 519)",left
C0042.MP4,"(877, 526)","(1131, 519)",left
C0042.MP4,"(877, 527)","(1132, 519)",left
C0042.MP4,"(877, 527)","(1131, 519)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1132, 520)",left
C0042.MP4,"(877, 527)","(1131, 519)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1132, 519)",left
C0042.MP4,"(878, 527)","(1131, 520)",left
C0042.MP4,"(878, 527)","(1132, 519)",left
C0042.MP4,"(878, 527)","(1134, 520)",left
C0042.MP4,"(878, 527)","(1133, 520)",left
C0042.MP4,"(878, 527)","(1132, 520)",left
C0042.MP4,"(878, 527)","(1133, 520)",left
C0042.MP4,"(878, 527)","(1132, 520)",left
C0042.MP4,"(878, 527)","(1131, 519)",left
C0042.MP4,"(877, 526)","(1132, 520)",left
C0042.MP4,"(877, 527)","(1130, 520)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1130, 519)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 526)","(1132, 521)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 526)","(1133, 520)",left
C0042.MP4,"(877, 527)","(1129, 519)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1129, 520)",left
C0042.MP4,"(877, 527)","(1132, 521)",left
C0042.MP4,"(877, 527)","(1133, 521)",left
C0042.MP4,"(877, 527)","(1131, 521)",left
C0042.MP4,"(878, 527)","(1134, 521)",left
C0042.MP4,"(878, 528)","(1131, 520)",left
C0042.MP4,"(878, 528)","(1133, 521)",left
C0042.MP4,"(878, 527)","(1135, 521)",left
C0042.MP4,"(878, 528)","(1133, 520)",left
C0042.MP4,"(878, 527)","(1132, 521)",left
C0042.MP4,"(878, 527)","(1133, 521)",left
C0042.MP4,"(878, 527)","(1132, 520)",left
C0042.MP4,"(877, 527)","(1132, 520)",left
C0042.MP4,"(878, 527)","(1131, 520)",left
C0042.MP4,"(878, 527)","(1129, 519)",left
C0042.MP4,"(877, 526)","(1131, 521)",left
C0042.MP4,"(877, 527)","(1134, 520)",left
C0042.MP4,"(877, 526)","(1133, 520)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1131, 520)",left
C0042.MP4,"(877, 527)","(1132, 519)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(877, 526)","(1132, 519)",left
C0042.MP4,"(877, 526)","(1131, 520)",left
C0042.MP4,"(878, 527)","(1131, 520)",left
C0042.MP4,"(878, 527)","(1130, 520)",left
C0042.MP4,"(878, 527)","(1132, 520)",left
C0042.MP4,"(878, 527)","(1133, 520)",left
C0042.MP4,"(878, 527)","(1132, 520)",left
C0042.MP4,"(878, 527)","(1135, 521)",left
C0042.MP4,"(878, 527)","(1133, 520)",left
C0042.MP4,"(878, 526)","(1132, 521)",left
C0042.MP4,"(878, 527)","(1134, 521)",left
C0042.MP4,"(879, 527)","(1135, 521)",left
C0042.MP4,"(879, 527)","(1132, 521)",left
C0042.MP4,"(879, 527)","(1133, 521)",left
C0042.MP4,"(879, 527)","(1132, 521)",left
C0042.MP4,"(879, 527)","(1134, 521)",left
C0042.MP4,"(879, 527)","(1135, 521)",left
C0042.MP4,"(879, 527)","(1133, 521)",left
C0042.MP4,"(879, 527)","(1133, 521)",left
C0042.MP4,"(879, 527)","(1133, 521)",left
C0042.MP4,"(879, 527)","(1132, 521)",left
C0042.MP4,"(880, 527)","(1131, 520)",left
C0042.MP4,"(880, 527)","(1136, 521)",left
C0042.MP4,"(880, 526)","(1134, 520)",left
C0042.MP4,"(880, 527)","(1131, 520)",left
C0042.MP4,"(879, 527)","(1131, 520)",left
C0042.MP4,"(879, 528)","(1135, 522)",left
C0042.MP4,"(879, 528)","(1135, 522)",left
C0042.MP4,"(880, 527)","(1132, 521)",left
C0042.MP4,"(879, 528)","(1136, 522)",left
C0042.MP4,"(880, 528)","(1135, 522)",left
C0042.MP4,"(880, 527)","(1135, 522)",left
C0042.MP4,"(879, 527)","(1134, 521)",left
C0042.MP4,"(880, 527)","(1134, 521)",left
