video_name,left_pupil,right_pupil,gaze_direction
C0036.MP4,"(838, 537)","(1078, 531)",center
C0036.MP4,"(842, 536)","(1079, 530)",center
C0036.MP4,"(841, 535)","(1080, 529)",center
C0036.MP4,"(842, 536)","(1081, 529)",center
C0036.MP4,"(843, 535)","(1080, 529)",center
C0036.MP4,"(844, 536)","(1081, 529)",center
C0036.MP4,"(845, 536)","(1082, 530)",center
C0036.MP4,"(844, 537)","(1082, 530)",center
C0036.MP4,"(843, 538)","(1082, 530)",center
C0036.MP4,"(846, 536)","(1083, 530)",center
C0036.MP4,"(843, 535)","(1084, 530)",center
C0036.MP4,"(847, 536)","(1084, 530)",center
C0036.MP4,"(846, 535)","(1086, 530)",center
C0036.MP4,"(846, 539)","(1088, 531)",center
C0036.MP4,"(847, 539)","(1087, 530)",center
C0036.MP4,"(847, 539)","(1087, 531)",center
C0036.MP4,"(848, 539)","(1091, 532)",center
C0036.MP4,"(849, 539)","(1090, 531)",center
C0036.MP4,"(849, 539)","(1092, 532)",center
C0036.MP4,"(852, 538)","(1094, 532)",center
C0036.MP4,"(852, 538)","(1094, 533)",center
C0036.MP4,"(851, 540)","(1097, 533)",left
C0036.MP4,"(852, 540)","(1097, 533)",left
C0036.MP4,"(853, 540)","(1097, 533)",left
C0036.MP4,"(854, 540)","(1099, 533)",left
C0036.MP4,"(855, 541)","(1099, 534)",left
C0036.MP4,"(855, 541)","(1101, 534)",left
C0036.MP4,"(856, 541)","(1101, 534)",left
C0036.MP4,"(857, 541)","(1102, 534)",left
C0036.MP4,"(857, 541)","(1102, 534)",left
C0036.MP4,"(859, 541)","(1104, 534)",left
C0036.MP4,"(860, 541)","(1104, 534)",left
C0036.MP4,"(860, 541)","(1106, 534)",left
C0036.MP4,"(861, 541)","(1106, 535)",left
C0036.MP4,"(862, 541)","(1108, 534)",left
C0036.MP4,"(863, 541)","(1107, 534)",left
C0036.MP4,"(863, 541)","(1108, 534)",left
C0036.MP4,"(864, 541)","(1108, 533)",left
C0036.MP4,"(865, 540)","(1109, 534)",left
C0036.MP4,"(865, 540)","(1111, 534)",left
C0036.MP4,"(866, 540)","(1110, 534)",left
C0036.MP4,"(867, 539)","(1110, 533)",left
C0036.MP4,"(868, 539)","(1112, 534)",left
C0036.MP4,"(868, 539)","(1112, 534)",left
C0036.MP4,"(869, 539)","(1114, 533)",left
C0036.MP4,"(871, 539)","(1115, 533)",left
C0036.MP4,"(871, 539)","(1116, 534)",left
C0036.MP4,"(873, 540)","(1117, 533)",left
C0036.MP4,"(874, 540)","(1117, 533)",left
C0036.MP4,"(874, 540)","(1117, 533)",left
C0036.MP4,"(873, 540)","(1116, 532)",left
C0036.MP4,"(874, 540)","(1120, 534)",left
C0036.MP4,"(875, 540)","(1119, 534)",left
C0036.MP4,"(876, 540)","(1121, 534)",left
C0036.MP4,"(876, 540)","(1123, 534)",left
C0036.MP4,"(877, 540)","(1123, 534)",left
C0036.MP4,"(877, 540)","(1123, 534)",left
C0036.MP4,"(877, 540)","(1123, 533)",left
C0036.MP4,"(878, 541)","(1122, 533)",left
C0036.MP4,"(878, 540)","(1123, 533)",left
C0036.MP4,"(878, 541)","(1125, 534)",left
C0036.MP4,"(878, 540)","(1124, 534)",left
C0036.MP4,"(879, 541)","(1125, 535)",left
C0036.MP4,"(879, 541)","(1124, 534)",left
C0036.MP4,"(879, 541)","(1125, 535)",left
C0036.MP4,"(880, 541)","(1126, 535)",left
C0036.MP4,"(880, 542)","(1126, 535)",left
C0036.MP4,"(880, 541)","(1128, 535)",left
C0036.MP4,"(880, 541)","(1127, 535)",left
C0036.MP4,"(880, 542)","(1126, 535)",left
C0036.MP4,"(881, 542)","(1128, 536)",left
C0036.MP4,"(880, 542)","(1128, 536)",left
C0036.MP4,"(881, 542)","(1128, 536)",left
C0036.MP4,"(880, 542)","(1128, 536)",left
C0036.MP4,"(884, 539)","(1127, 536)",left
