video_name,left_pupil,right_pupil,gaze_direction
C0045.MP4,"(786, 500)","(1032, 506)",right
C0045.MP4,"(786, 499)","(1031, 506)",right
C0045.MP4,"(789, 499)","(1032, 507)",right
C0045.MP4,"(785, 500)","(1032, 506)",right
C0045.MP4,"(786, 499)","(1032, 506)",right
C0045.MP4,"(784, 501)","(1033, 507)",right
C0045.MP4,"(788, 499)","(1033, 505)",right
C0045.MP4,"(782, 502)","(1031, 507)",right
C0045.MP4,"(788, 499)","(1034, 507)",right
C0045.MP4,"(783, 503)","(1032, 506)",right
C0045.MP4,"(784, 502)","(1035, 506)",right
C0045.MP4,"(788, 498)","(1036, 506)",right
C0045.MP4,"(788, 498)","(1036, 506)",right
C0045.MP4,"(785, 501)","(1034, 507)",right
C0045.MP4,"(790, 498)","(1037, 505)",right
C0045.MP4,"(795, 498)","(1034, 507)",right
C0045.MP4,"(789, 499)","(1034, 507)",right
C0045.MP4,"(788, 498)","(1037, 504)",right
C0045.MP4,"(791, 498)","(1035, 508)",right
C0045.MP4,"(788, 500)","(1037, 505)",right
C0045.MP4,"(791, 499)","(1038, 504)",right
C0045.MP4,"(791, 498)","(1035, 506)",right
C0045.MP4,"(792, 499)","(1038, 506)",right
C0045.MP4,"(792, 499)","(1039, 506)",right
C0045.MP4,"(790, 500)","(1039, 505)",right
C0045.MP4,"(789, 500)","(1040, 505)",right
C0045.MP4,"(789, 501)","(1040, 505)",right
C0045.MP4,"(794, 499)","(1043, 507)",right
C0045.MP4,"(801, 501)","(1050, 506)",center
C0045.MP4,"(807, 501)","(1054, 506)",center
C0045.MP4,"(809, 498)","(1058, 507)",center
C0045.MP4,"(809, 500)","(1060, 507)",center
C0045.MP4,"(809, 498)","(1060, 508)",center
C0045.MP4,"(811, 499)","(1059, 506)",center
C0045.MP4,"(809, 499)","(1060, 507)",center
C0045.MP4,"(810, 499)","(1062, 508)",center
C0045.MP4,"(810, 499)","(1060, 507)",center
C0045.MP4,"(813, 500)","(1061, 508)",center
C0045.MP4,"(814, 500)","(1061, 506)",center
C0045.MP4,"(812, 499)","(1062, 508)",center
C0045.MP4,"(808, 498)","(1062, 508)",center
C0045.MP4,"(815, 500)","(1066, 509)",center
C0045.MP4,"(814, 500)","(1065, 509)",center
C0045.MP4,"(813, 499)","(1066, 509)",center
C0045.MP4,"(815, 499)","(1066, 509)",center
C0045.MP4,"(815, 499)","(1068, 508)",center
C0045.MP4,"(817, 499)","(1067, 508)",center
C0045.MP4,"(821, 500)","(1069, 509)",center
C0045.MP4,"(826, 499)","(1069, 508)",center
C0045.MP4,"(822, 500)","(1068, 508)",center
C0045.MP4,"(822, 501)","(1071, 508)",center
C0045.MP4,"(822, 500)","(1070, 509)",center
C0045.MP4,"(824, 498)","(1071, 509)",center
C0045.MP4,"(824, 498)","(1070, 509)",center
C0045.MP4,"(827, 499)","(1072, 509)",center
C0045.MP4,"(826, 501)","(1075, 510)",center
C0045.MP4,"(829, 500)","(1073, 508)",center
C0045.MP4,"(828, 500)","(1077, 510)",center
C0045.MP4,"(830, 499)","(1074, 509)",center
C0045.MP4,"(830, 500)","(1075, 509)",center
C0045.MP4,"(831, 500)","(1077, 510)",center
C0045.MP4,"(831, 500)","(1078, 509)",center
C0045.MP4,"(833, 500)","(1077, 509)",center
C0045.MP4,"(830, 499)","(1080, 511)",center
C0045.MP4,"(833, 500)","(1079, 510)",center
C0045.MP4,"(834, 501)","(1080, 510)",center
C0045.MP4,"(836, 500)","(1082, 510)",center
C0045.MP4,"(836, 501)","(1082, 510)",center
C0045.MP4,"(837, 501)","(1084, 511)",center
C0045.MP4,"(838, 501)","(1085, 511)",center
C0045.MP4,"(839, 501)","(1086, 512)",center
C0045.MP4,"(840, 501)","(1086, 512)",center
C0045.MP4,"(841, 501)","(1087, 512)",center
C0045.MP4,"(842, 501)","(1088, 512)",center
C0045.MP4,"(840, 500)","(1090, 513)",center
C0045.MP4,"(843, 501)","(1092, 513)",center
C0045.MP4,"(846, 502)","(1092, 513)",center
C0045.MP4,"(846, 502)","(1093, 514)",center
C0045.MP4,"(846, 502)","(1094, 514)",center
C0045.MP4,"(848, 503)","(1094, 514)",center
C0045.MP4,"(845, 501)","(1094, 514)",center
C0045.MP4,"(848, 502)","(1095, 514)",center
C0045.MP4,"(846, 501)","(1096, 515)",center
C0045.MP4,"(847, 501)","(1097, 515)",center
C0045.MP4,"(851, 503)","(1096, 514)",left
C0045.MP4,"(852, 503)","(1098, 515)",left
