video_name,left_pupil,right_pupil,gaze_direction
C0010.MP4,"(798, 473)","(1038, 472)",center
C0010.MP4,"(799, 473)","(1039, 473)",center
C0010.MP4,"(798, 474)","(1039, 474)",center
C0010.MP4,"(800, 474)","(1039, 474)",center
C0010.MP4,"(801, 475)","(1042, 474)",center
C0010.MP4,"(800, 475)","(1041, 474)",center
C0010.MP4,"(804, 477)","(1042, 475)",center
C0010.MP4,"(804, 476)","(1044, 476)",center
C0010.MP4,"(802, 475)","(1043, 475)",center
C0010.MP4,"(803, 475)","(1044, 475)",center
C0010.MP4,"(806, 477)","(1046, 476)",center
C0010.MP4,"(805, 476)","(1046, 476)",center
C0010.MP4,"(808, 479)","(1048, 478)",center
C0010.MP4,"(808, 478)","(1048, 478)",center
C0010.MP4,"(810, 478)","(1050, 478)",center
C0010.MP4,"(812, 477)","(1051, 478)",center
C0010.MP4,"(812, 478)","(1052, 478)",center
C0010.MP4,"(815, 479)","(1053, 479)",center
C0010.MP4,"(814, 478)","(1054, 478)",center
C0010.MP4,"(816, 479)","(1056, 479)",center
C0010.MP4,"(819, 479)","(1057, 479)",center
C0010.MP4,"(819, 478)","(1058, 479)",center
C0010.MP4,"(821, 479)","(1059, 479)",center
C0010.MP4,"(824, 479)","(1061, 479)",center
C0010.MP4,"(824, 478)","(1063, 479)",center
C0010.MP4,"(826, 480)","(1065, 479)",left
C0010.MP4,"(827, 478)","(1065, 481)",left
C0010.MP4,"(827, 478)","(1067, 479)",left
C0010.MP4,"(830, 481)","(1068, 480)",left
C0010.MP4,"(829, 478)","(1069, 479)",center
C0010.MP4,"(833, 479)","(1070, 479)",left
C0010.MP4,"(834, 478)","(1070, 479)",left
C0010.MP4,"(834, 479)","(1071, 479)",left
C0010.MP4,"(835, 478)","(1070, 480)",left
C0010.MP4,"(835, 479)","(1070, 480)",left
C0010.MP4,"(835, 479)","(1071, 480)",left
C0010.MP4,"(835, 480)","(1073, 481)",left
C0010.MP4,"(836, 479)","(1071, 481)",left
C0010.MP4,"(836, 481)","(1070, 482)",left
C0010.MP4,"(836, 480)","(1072, 481)",left
C0010.MP4,"(836, 480)","(1071, 482)",left
C0010.MP4,"(836, 481)","(1071, 482)",left
C0010.MP4,"(836, 481)","(1070, 483)",left
C0010.MP4,"(837, 480)","(1071, 482)",left
C0010.MP4,"(837, 481)","(1072, 482)",left
C0010.MP4,"(838, 480)","(1073, 482)",left
C0010.MP4,"(838, 480)","(1073, 482)",left
C0010.MP4,"(838, 482)","(1073, 483)",left
C0010.MP4,"(838, 481)","(1074, 482)",left
C0010.MP4,"(839, 481)","(1073, 483)",left
C0010.MP4,"(839, 481)","(1072, 483)",left
C0010.MP4,"(839, 481)","(1074, 482)",left
C0010.MP4,"(839, 481)","(1073, 483)",left
C0010.MP4,"(839, 480)","(1074, 482)",left
C0010.MP4,"(839, 480)","(1076, 483)",left
C0010.MP4,"(839, 481)","(1075, 483)",left
C0010.MP4,"(839, 481)","(1073, 484)",left
C0010.MP4,"(840, 482)","(1073, 485)",left
C0010.MP4,"(840, 482)","(1075, 484)",left
C0010.MP4,"(840, 482)","(1074, 484)",left
