video_name,left_pupil,right_pupil,gaze_direction
C0088_22.mp4,"(919, 442)","(1176, 423)",left
C0088_22.mp4,"(918, 442)","(1176, 422)",left
C0088_22.mp4,"(918, 442)","(1177, 422)",left
C0088_22.mp4,"(919, 442)","(1177, 423)",left
C0088_22.mp4,"(920, 442)","(1178, 422)",left
C0088_22.mp4,"(919, 442)","(1177, 423)",left
C0088_22.mp4,"(920, 442)","(1178, 422)",left
C0088_22.mp4,"(920, 442)","(1178, 423)",left
C0088_22.mp4,"(919, 444)","(1177, 423)",left
C0088_22.mp4,"(920, 444)","(1177, 424)",left
C0088_22.mp4,"(920, 443)","(1177, 423)",left
C0088_22.mp4,"(919, 443)","(1177, 423)",left
C0088_22.mp4,"(919, 443)","(1177, 423)",left
C0088_22.mp4,"(919, 443)","(1177, 424)",left
C0088_22.mp4,"(919, 443)","(1177, 424)",left
C0088_22.mp4,"(920, 444)","(1177, 424)",left
C0088_22.mp4,"(919, 443)","(1177, 424)",left
C0088_22.mp4,"(919, 444)","(1176, 424)",left
C0088_22.mp4,"(919, 444)","(1175, 424)",left
C0088_22.mp4,"(918, 445)","(1175, 424)",left
C0088_22.mp4,"(918, 445)","(1175, 424)",left
C0088_22.mp4,"(918, 446)","(1174, 426)",left
C0088_22.mp4,"(918, 446)","(1174, 426)",left
C0088_22.mp4,"(918, 446)","(1174, 425)",left
C0088_22.mp4,"(918, 446)","(1174, 426)",left
C0088_22.mp4,"(917, 447)","(1173, 426)",left
C0088_22.mp4,"(918, 446)","(1173, 426)",left
C0088_22.mp4,"(918, 446)","(1173, 426)",left
C0088_22.mp4,"(917, 446)","(1172, 426)",left
C0088_22.mp4,"(917, 446)","(1171, 426)",left
C0088_22.mp4,"(917, 447)","(1171, 426)",left
C0088_22.mp4,"(916, 447)","(1169, 427)",left
C0088_22.mp4,"(914, 447)","(1172, 426)",left
C0088_22.mp4,"(914, 447)","(1168, 426)",left
C0088_22.mp4,"(914, 447)","(1171, 426)",left
C0088_22.mp4,"(914, 448)","(1167, 427)",left
C0088_22.mp4,"(912, 447)","(1166, 426)",left
C0088_22.mp4,"(913, 448)","(1169, 425)",left
C0088_22.mp4,"(905, 446)","(1168, 426)",center
C0088_22.mp4,"(904, 448)","(1167, 426)",left
C0088_22.mp4,"(904, 448)","(1163, 427)",center
C0088_22.mp4,"(903, 448)","(1166, 427)",center
C0088_22.mp4,"(902, 448)","(1164, 427)",center
C0088_22.mp4,"(902, 448)","(1165, 427)",center
C0088_22.mp4,"(902, 448)","(1164, 426)",center
C0088_22.mp4,"(900, 447)","(1162, 426)",center
C0088_22.mp4,"(900, 448)","(1163, 426)",center
C0088_22.mp4,"(899, 448)","(1162, 426)",center
C0088_22.mp4,"(899, 448)","(1161, 427)",center
C0088_22.mp4,"(891, 449)","(1161, 426)",center
C0088_22.mp4,"(898, 449)","(1159, 427)",center
C0088_22.mp4,"(890, 449)","(1157, 427)",center
C0088_22.mp4,"(897, 449)","(1158, 427)",center
C0088_22.mp4,"(889, 449)","(1155, 427)",center
C0088_22.mp4,"(889, 449)","(1159, 426)",center
C0088_22.mp4,"(888, 450)","(1156, 427)",center
C0088_22.mp4,"(894, 450)","(1153, 428)",center
C0088_22.mp4,"(888, 450)","(1157, 427)",center
C0088_22.mp4,"(888, 450)","(1156, 427)",center
C0088_22.mp4,"(886, 450)","(1154, 426)",center
C0088_22.mp4,"(887, 450)","(1150, 427)",center
C0088_22.mp4,"(890, 449)","(1149, 427)",center
C0088_22.mp4,"(885, 450)","(1148, 427)",center
C0088_22.mp4,"(883, 450)","(1147, 426)",center
C0088_22.mp4,"(883, 450)","(1147, 426)",center
C0088_22.mp4,"(882, 450)","(1147, 426)",center
C0088_22.mp4,"(882, 451)","(1145, 428)",center
C0088_22.mp4,"(881, 450)","(1145, 426)",center
C0088_22.mp4,"(880, 450)","(1143, 427)",center
C0088_22.mp4,"(880, 450)","(1144, 425)",right
C0088_22.mp4,"(880, 450)","(1142, 426)",center
C0088_22.mp4,"(879, 450)","(1142, 427)",right
C0088_22.mp4,"(878, 451)","(1141, 427)",right
C0088_22.mp4,"(882, 450)","(1141, 427)",center
C0088_22.mp4,"(882, 450)","(1140, 428)",right
C0088_22.mp4,"(882, 450)","(1140, 428)",center
C0088_22.mp4,"(878, 450)","(1140, 427)",right
C0088_22.mp4,"(880, 449)","(1139, 427)",right
C0088_22.mp4,"(880, 449)","(1138, 426)",right
C0088_22.mp4,"(880, 450)","(1138, 427)",right
C0088_22.mp4,"(879, 449)","(1137, 427)",right
C0088_22.mp4,"(875, 450)","(1136, 428)",right
C0088_22.mp4,"(875, 451)","(1136, 427)",right
C0088_22.mp4,"(873, 450)","(1136, 427)",right
C0088_22.mp4,"(874, 450)","(1136, 427)",right
C0088_22.mp4,"(873, 451)","(1135, 427)",right
C0088_22.mp4,"(873, 449)","(1136, 425)",right
C0088_22.mp4,"(873, 450)","(1135, 426)",right
C0088_22.mp4,"(872, 450)","(1135, 426)",right
C0088_22.mp4,"(872, 449)","(1135, 426)",right
C0088_22.mp4,"(871, 450)","(1134, 426)",right
C0088_22.mp4,"(871, 450)","(1134, 426)",right
C0088_22.mp4,"(871, 449)","(1133, 426)",right
C0088_22.mp4,"(873, 450)","(1133, 426)",right
C0088_22.mp4,"(871, 450)","(1133, 425)",right
C0088_22.mp4,"(870, 451)","(1133, 426)",right
C0088_22.mp4,"(871, 450)","(1132, 425)",right
C0088_22.mp4,"(870, 450)","(1132, 426)",right
C0088_22.mp4,"(870, 449)","(1132, 426)",right
C0088_22.mp4,"(871, 450)","(1132, 425)",right
C0088_22.mp4,"(871, 449)","(1130, 426)",right
C0088_22.mp4,"(870, 448)","(1128, 425)",right
C0088_22.mp4,"(869, 450)","(1126, 426)",right
C0088_22.mp4,"(869, 449)","(1131, 424)",right
C0088_22.mp4,"(870, 448)","(1125, 426)",right
C0088_22.mp4,"(868, 450)","(1125, 426)",right
C0088_22.mp4,"(867, 449)","(1128, 425)",right
C0088_22.mp4,"(868, 450)","(1125, 426)",right
C0088_22.mp4,"(867, 450)","(1126, 426)",right
C0088_22.mp4,"(867, 449)","(1129, 426)",right
C0088_22.mp4,"(868, 448)","(1128, 424)",right
C0088_22.mp4,"(867, 449)","(1125, 426)",right
C0088_22.mp4,"(867, 449)","(1125, 426)",right
C0088_22.mp4,"(867, 448)","(1125, 425)",right
C0088_22.mp4,"(871, 448)","(1128, 424)",right
C0088_22.mp4,"(867, 450)","(1124, 427)",right
C0088_22.mp4,"(867, 449)","(1125, 426)",right
C0088_22.mp4,"(867, 449)","(1125, 426)",right
C0088_22.mp4,"(867, 450)","(1125, 426)",right
C0088_22.mp4,"(867, 450)","(1128, 425)",right
C0088_22.mp4,"(868, 448)","(1126, 425)",right
C0088_22.mp4,"(869, 449)","(1126, 425)",right
C0088_22.mp4,"(869, 448)","(1130, 425)",right
C0088_22.mp4,"(869, 449)","(1129, 425)",right
C0088_22.mp4,"(870, 449)","(1129, 425)",right
C0088_22.mp4,"(870, 450)","(1130, 426)",right
C0088_22.mp4,"(869, 448)","(1130, 425)",right
C0088_22.mp4,"(870, 449)","(1130, 425)",right
C0088_22.mp4,"(870, 450)","(1131, 426)",right
C0088_22.mp4,"(871, 448)","(1131, 425)",right
C0088_22.mp4,"(871, 448)","(1131, 425)",right
C0088_22.mp4,"(872, 448)","(1131, 425)",right
C0088_22.mp4,"(872, 447)","(1132, 425)",right
C0088_22.mp4,"(872, 447)","(1132, 424)",right
C0088_22.mp4,"(873, 448)","(1132, 425)",right
C0088_22.mp4,"(873, 448)","(1133, 425)",right
C0088_22.mp4,"(872, 448)","(1133, 425)",right
C0088_22.mp4,"(873, 448)","(1133, 425)",right
C0088_22.mp4,"(874, 448)","(1134, 425)",right
C0088_22.mp4,"(873, 450)","(1135, 425)",right
C0088_22.mp4,"(874, 448)","(1136, 424)",right
C0088_22.mp4,"(875, 448)","(1136, 424)",right
C0088_22.mp4,"(879, 447)","(1137, 424)",right
C0088_22.mp4,"(879, 448)","(1137, 425)",right
C0088_22.mp4,"(879, 448)","(1138, 425)",right
C0088_22.mp4,"(879, 448)","(1139, 424)",right
C0088_22.mp4,"(880, 448)","(1140, 424)",center
C0088_22.mp4,"(881, 448)","(1139, 425)",right
C0088_22.mp4,"(881, 447)","(1140, 424)",center
C0088_22.mp4,"(882, 447)","(1142, 423)",center
C0088_22.mp4,"(884, 446)","(1144, 423)",center
C0088_22.mp4,"(884, 445)","(1144, 422)",center
C0088_22.mp4,"(886, 446)","(1145, 423)",center
C0088_22.mp4,"(886, 446)","(1146, 422)",center
C0088_22.mp4,"(887, 446)","(1147, 422)",center
C0088_22.mp4,"(888, 445)","(1147, 423)",center
C0088_22.mp4,"(890, 446)","(1147, 424)",center
C0088_22.mp4,"(889, 445)","(1148, 422)",center
C0088_22.mp4,"(886, 445)","(1149, 422)",center
C0088_22.mp4,"(891, 444)","(1151, 421)",center
C0088_22.mp4,"(893, 445)","(1151, 422)",center
C0088_22.mp4,"(893, 444)","(1152, 422)",center
C0088_22.mp4,"(893, 444)","(1152, 423)",center
C0088_22.mp4,"(894, 445)","(1153, 422)",center
C0088_22.mp4,"(894, 445)","(1156, 422)",center
C0088_22.mp4,"(895, 445)","(1154, 422)",center
C0088_22.mp4,"(896, 444)","(1155, 422)",center
C0088_22.mp4,"(891, 445)","(1158, 422)",center
C0088_22.mp4,"(891, 445)","(1160, 422)",center
C0088_22.mp4,"(898, 444)","(1161, 422)",center
C0088_22.mp4,"(892, 445)","(1162, 422)",center
C0088_22.mp4,"(900, 445)","(1160, 422)",center
