video_name,left_pupil,right_pupil,gaze_direction
C0072.MP4,"(733, 465)","(1019, 459)",right
C0072.MP4,"(732, 461)","(1025, 453)",right
C0072.MP4,"(734, 460)","(1026, 450)",right
C0072.MP4,"(734, 457)","(1025, 450)",right
C0072.MP4,"(734, 458)","(1025, 450)",right
C0072.MP4,"(735, 462)","(1025, 452)",right
C0072.MP4,"(734, 459)","(1024, 450)",right
C0072.MP4,"(735, 461)","(1025, 451)",right
C0072.MP4,"(735, 461)","(1024, 451)",right
C0072.MP4,"(734, 461)","(1024, 451)",right
C0072.MP4,"(734, 461)","(1024, 450)",right
C0072.MP4,"(733, 460)","(1024, 450)",right
C0072.MP4,"(734, 461)","(1024, 450)",right
C0072.MP4,"(733, 462)","(1024, 450)",right
C0072.MP4,"(731, 460)","(1023, 450)",right
C0072.MP4,"(732, 461)","(1022, 449)",right
C0072.MP4,"(731, 461)","(1022, 449)",right
C0072.MP4,"(732, 461)","(1022, 450)",right
C0072.MP4,"(731, 462)","(1021, 449)",right
C0072.MP4,"(731, 463)","(1022, 450)",right
C0072.MP4,"(730, 463)","(1020, 449)",right
C0072.MP4,"(731, 464)","(1021, 452)",right
C0072.MP4,"(729, 461)","(1021, 450)",right
C0072.MP4,"(731, 464)","(1021, 451)",right
C0072.MP4,"(731, 465)","(1021, 450)",right
C0072.MP4,"(730, 463)","(1021, 450)",right
C0072.MP4,"(730, 463)","(1020, 451)",right
C0072.MP4,"(730, 464)","(1020, 450)",right
C0072.MP4,"(730, 463)","(1020, 450)",right
C0072.MP4,"(729, 462)","(1021, 449)",right
C0072.MP4,"(729, 462)","(1015, 453)",right
C0072.MP4,"(730, 464)","(1021, 450)",right
C0072.MP4,"(730, 463)","(1020, 450)",right
C0072.MP4,"(731, 465)","(1021, 453)",right
C0072.MP4,"(731, 464)","(1021, 451)",right
C0072.MP4,"(730, 463)","(1021, 451)",right
C0072.MP4,"(730, 465)","(1020, 452)",right
C0072.MP4,"(730, 462)","(1020, 449)",right
C0072.MP4,"(729, 463)","(1020, 451)",right
C0072.MP4,"(728, 463)","(1019, 451)",right
C0072.MP4,"(728, 464)","(1018, 451)",right
C0072.MP4,"(728, 463)","(1017, 449)",right
C0072.MP4,"(727, 462)","(1017, 450)",right
C0072.MP4,"(726, 461)","(1017, 449)",right
C0072.MP4,"(728, 464)","(1018, 451)",right
C0072.MP4,"(727, 461)","(1018, 448)",right
C0072.MP4,"(727, 464)","(1017, 450)",right
C0072.MP4,"(727, 463)","(1017, 448)",right
C0072.MP4,"(728, 463)","(1018, 450)",right
C0072.MP4,"(728, 463)","(1017, 450)",right
C0072.MP4,"(727, 462)","(1018, 448)",right
C0072.MP4,"(728, 462)","(1018, 449)",right
C0072.MP4,"(727, 461)","(1017, 448)",right
C0072.MP4,"(728, 461)","(1018, 448)",right
C0072.MP4,"(727, 461)","(1017, 449)",right
C0072.MP4,"(726, 460)","(1017, 447)",right
C0072.MP4,"(726, 459)","(1018, 448)",right
C0072.MP4,"(727, 462)","(1018, 449)",right
C0072.MP4,"(728, 464)","(1019, 451)",right
C0072.MP4,"(728, 463)","(1019, 449)",right
C0072.MP4,"(727, 460)","(1018, 448)",right
C0072.MP4,"(728, 461)","(1019, 449)",right
C0072.MP4,"(728, 462)","(1019, 449)",right
C0072.MP4,"(729, 461)","(1019, 447)",right
C0072.MP4,"(730, 462)","(1020, 448)",right
C0072.MP4,"(729, 462)","(1020, 449)",right
C0072.MP4,"(730, 468)","(1024, 458)",right
C0072.MP4,"(729, 475)","(1021, 469)",blinking
C0072.MP4,,,center
C0072.MP4,"(725, 474)","(1029, 464)",blinking
C0072.MP4,"(727, 472)","(1030, 461)",blinking
C0072.MP4,"(728, 467)","(1024, 455)",right
C0072.MP4,"(730, 465)","(1023, 452)",right
C0072.MP4,"(730, 464)","(1024, 452)",right
C0072.MP4,"(731, 465)","(1023, 451)",right
C0072.MP4,"(731, 464)","(1022, 451)",right
C0072.MP4,"(731, 465)","(1022, 453)",right
