video_name,left_pupil,right_pupil,gaze_direction
C0231.mp4,"(1013, 581)","(1282, 577)",left
C0231.mp4,"(1012, 580)","(1281, 576)",left
C0231.mp4,"(1012, 580)","(1276, 575)",left
C0231.mp4,"(1011, 581)","(1275, 575)",left
C0231.mp4,"(1013, 582)","(1278, 577)",left
C0231.mp4,"(1012, 582)","(1275, 576)",left
C0231.mp4,"(1012, 583)","(1280, 578)",left
C0231.mp4,"(1012, 582)","(1277, 577)",left
C0231.mp4,"(1011, 583)","(1273, 576)",left
C0231.mp4,"(1011, 583)","(1278, 577)",left
C0231.mp4,"(1011, 582)","(1280, 578)",left
C0231.mp4,"(1012, 584)","(1280, 579)",left
C0231.mp4,"(1011, 584)","(1276, 578)",left
C0231.mp4,"(1009, 583)","(1279, 579)",left
C0231.mp4,"(1011, 585)","(1274, 579)",left
C0231.mp4,"(1011, 585)","(1278, 579)",left
C0231.mp4,"(1009, 584)","(1275, 577)",left
C0231.mp4,"(1011, 585)","(1275, 578)",left
C0231.mp4,"(1011, 585)","(1278, 579)",left
C0231.mp4,"(1011, 585)","(1274, 578)",left
C0231.mp4,"(1010, 584)","(1279, 579)",left
C0231.mp4,"(1009, 583)","(1273, 576)",left
C0231.mp4,"(1009, 584)","(1278, 579)",left
C0231.mp4,"(1010, 584)","(1275, 578)",left
C0231.mp4,"(1009, 583)","(1273, 576)",left
C0231.mp4,"(1009, 584)","(1277, 578)",left
C0231.mp4,"(1007, 583)","(1272, 576)",left
C0231.mp4,"(1005, 582)","(1272, 576)",left
C0231.mp4,"(1007, 583)","(1276, 577)",left
C0231.mp4,"(1008, 583)","(1278, 578)",left
C0231.mp4,"(1007, 583)","(1273, 577)",left
C0231.mp4,"(1009, 583)","(1274, 577)",left
C0231.mp4,"(1010, 583)","(1278, 578)",left
C0231.mp4,"(1010, 582)","(1276, 576)",left
C0231.mp4,"(1011, 583)","(1280, 577)",left
C0231.mp4,"(1011, 580)","(1276, 576)",left
C0231.mp4,"(1012, 582)","(1279, 577)",left
C0231.mp4,"(1011, 582)","(1277, 576)",left
C0231.mp4,"(1010, 582)","(1278, 576)",left
C0231.mp4,"(1010, 582)","(1277, 577)",left
C0231.mp4,"(1010, 582)","(1274, 576)",left
C0231.mp4,"(1010, 582)","(1278, 577)",left
C0231.mp4,"(1009, 582)","(1278, 577)",left
C0231.mp4,"(1008, 581)","(1277, 577)",left
C0231.mp4,"(1008, 581)","(1273, 575)",left
C0231.mp4,"(1010, 581)","(1278, 577)",left
C0231.mp4,"(1008, 581)","(1277, 577)",left
C0231.mp4,"(1008, 582)","(1276, 576)",left
C0231.mp4,"(1007, 582)","(1271, 575)",left
C0231.mp4,"(1006, 581)","(1275, 576)",left
C0231.mp4,"(1007, 582)","(1275, 576)",left
C0231.mp4,"(1006, 581)","(1276, 576)",left
C0231.mp4,"(1007, 582)","(1276, 576)",left
C0231.mp4,"(1008, 582)","(1276, 577)",left
C0231.mp4,"(1008, 582)","(1277, 577)",left
C0231.mp4,"(1008, 582)","(1275, 576)",left
C0231.mp4,"(1008, 581)","(1277, 577)",left
C0231.mp4,"(1009, 582)","(1277, 578)",left
C0231.mp4,"(1010, 582)","(1278, 578)",left
C0231.mp4,"(1011, 582)","(1278, 577)",left
C0231.mp4,"(1012, 581)","(1276, 575)",left
C0231.mp4,"(1013, 582)","(1280, 577)",left
C0231.mp4,"(1014, 583)","(1281, 578)",left
C0231.mp4,"(1014, 581)","(1277, 576)",left
C0231.mp4,"(1015, 582)","(1278, 577)",left
C0231.mp4,"(1016, 582)","(1283, 578)",left
C0231.mp4,"(1014, 581)","(1283, 579)",left
C0231.mp4,"(1016, 582)","(1283, 578)",left
C0231.mp4,"(1015, 582)","(1280, 577)",left
C0231.mp4,"(1018, 582)","(1285, 579)",left
C0231.mp4,"(1019, 582)","(1287, 578)",left
C0231.mp4,"(1022, 582)","(1292, 580)",left
C0231.mp4,"(1024, 581)","(1293, 580)",left
C0231.mp4,"(1024, 581)","(1293, 580)",left
C0231.mp4,"(1025, 581)","(1291, 579)",left
C0231.mp4,"(1025, 580)","(1294, 580)",left
C0231.mp4,"(1026, 582)","(1295, 580)",left
C0231.mp4,"(1026, 582)","(1292, 580)",left
C0231.mp4,"(1025, 581)","(1289, 579)",left
C0231.mp4,"(1026, 581)","(1293, 579)",left
C0231.mp4,"(1025, 581)","(1292, 579)",left
C0231.mp4,"(1023, 582)","(1287, 578)",left
C0231.mp4,"(1020, 580)","(1288, 579)",left
C0231.mp4,"(1021, 582)","(1289, 580)",left
C0231.mp4,"(1020, 582)","(1287, 580)",left
C0231.mp4,"(1019, 582)","(1287, 579)",left
C0231.mp4,"(1015, 581)","(1286, 579)",left
C0231.mp4,"(1018, 582)","(1283, 578)",left
C0231.mp4,"(1016, 580)","(1281, 577)",left
C0231.mp4,"(1018, 582)","(1286, 580)",left
C0231.mp4,"(1019, 582)","(1283, 577)",left
C0231.mp4,"(1019, 582)","(1287, 579)",left
C0231.mp4,"(1019, 581)","(1288, 579)",left
C0231.mp4,"(1019, 581)","(1287, 579)",left
C0231.mp4,"(1019, 580)","(1288, 579)",left
C0231.mp4,"(1018, 582)","(1287, 580)",left
C0231.mp4,"(1019, 582)","(1287, 579)",left
C0231.mp4,"(1018, 581)","(1287, 579)",left
C0231.mp4,"(1019, 581)","(1287, 579)",left
C0231.mp4,"(1019, 581)","(1283, 578)",left
C0231.mp4,"(1018, 581)","(1286, 579)",left
C0231.mp4,"(1018, 581)","(1285, 579)",left
C0231.mp4,"(1018, 581)","(1286, 580)",left
C0231.mp4,"(1017, 581)","(1286, 580)",left
C0231.mp4,"(1017, 581)","(1287, 579)",left
C0231.mp4,"(1017, 581)","(1286, 579)",left
C0231.mp4,"(1016, 581)","(1282, 577)",left
C0231.mp4,"(1015, 580)","(1282, 577)",left
C0231.mp4,"(1015, 581)","(1281, 578)",left
C0231.mp4,"(1016, 582)","(1285, 579)",left
C0231.mp4,"(1015, 580)","(1280, 577)",left
C0231.mp4,"(1013, 581)","(1282, 578)",left
C0231.mp4,"(1015, 581)","(1280, 578)",left
C0231.mp4,"(1014, 581)","(1279, 578)",left
C0231.mp4,"(1015, 582)","(1283, 579)",left
C0231.mp4,"(1014, 581)","(1283, 578)",left
C0231.mp4,"(1013, 582)","(1277, 577)",left
C0231.mp4,"(1012, 581)","(1277, 576)",left
C0231.mp4,"(1012, 581)","(1280, 579)",left
C0231.mp4,"(1012, 582)","(1277, 578)",left
C0231.mp4,"(1012, 582)","(1280, 578)",left
C0231.mp4,"(1012, 581)","(1281, 578)",left
C0231.mp4,"(1014, 582)","(1279, 578)",left
C0231.mp4,"(1015, 582)","(1281, 577)",left
C0231.mp4,"(1014, 582)","(1280, 578)",left
C0231.mp4,"(1013, 581)","(1279, 578)",left
C0231.mp4,"(1015, 583)","(1283, 580)",left
C0231.mp4,"(1015, 583)","(1279, 578)",left
C0231.mp4,"(1016, 583)","(1282, 579)",left
