video_name,left_pupil,right_pupil,gaze_direction
C0231_5.mp4,"(1011, 455)","(1272, 474)",blinking
C0231_5.mp4,"(1016, 453)","(1272, 471)",blinking
C0231_5.mp4,"(1017, 450)","(1272, 467)",blinking
C0231_5.mp4,"(1016, 449)","(1273, 466)",blinking
C0231_5.mp4,"(1018, 450)","(1273, 466)",left
C0231_5.mp4,"(1017, 449)","(1273, 466)",blinking
C0231_5.mp4,"(1017, 450)","(1272, 465)",blinking
C0231_5.mp4,"(1018, 449)","(1273, 465)",blinking
C0231_5.mp4,"(1018, 451)","(1273, 465)",left
C0231_5.mp4,"(1018, 450)","(1273, 465)",left
C0231_5.mp4,"(1019, 451)","(1273, 465)",left
C0231_5.mp4,"(1019, 450)","(1274, 465)",left
C0231_5.mp4,"(1020, 451)","(1274, 466)",left
C0231_5.mp4,"(1018, 450)","(1274, 466)",left
C0231_5.mp4,"(1019, 451)","(1273, 466)",left
C0231_5.mp4,"(1020, 451)","(1275, 466)",left
C0231_5.mp4,"(1019, 451)","(1274, 466)",left
C0231_5.mp4,"(1020, 452)","(1275, 466)",left
C0231_5.mp4,"(1020, 451)","(1275, 466)",left
C0231_5.mp4,"(1020, 451)","(1275, 466)",blinking
C0231_5.mp4,"(1020, 452)","(1275, 466)",left
C0231_5.mp4,"(1020, 453)","(1275, 467)",left
C0231_5.mp4,"(1020, 451)","(1276, 467)",blinking
C0231_5.mp4,"(1020, 452)","(1276, 467)",blinking
C0231_5.mp4,"(1020, 452)","(1275, 466)",blinking
C0231_5.mp4,"(1021, 452)","(1276, 467)",blinking
C0231_5.mp4,"(1021, 452)","(1275, 467)",left
C0231_5.mp4,"(1020, 452)","(1274, 467)",left
C0231_5.mp4,"(1020, 452)","(1275, 467)",left
C0231_5.mp4,"(1021, 452)","(1275, 467)",left
C0231_5.mp4,"(1020, 452)","(1275, 468)",left
C0231_5.mp4,"(1020, 452)","(1275, 467)",left
C0231_5.mp4,"(1021, 452)","(1275, 468)",left
C0231_5.mp4,"(1022, 452)","(1277, 468)",left
C0231_5.mp4,"(1021, 452)","(1277, 468)",blinking
C0231_5.mp4,"(1021, 452)","(1276, 468)",left
C0231_5.mp4,"(1021, 453)","(1275, 467)",left
C0231_5.mp4,"(1021, 453)","(1275, 468)",left
C0231_5.mp4,"(1021, 453)","(1276, 468)",left
C0231_5.mp4,"(1021, 453)","(1275, 468)",left
C0231_5.mp4,"(1021, 453)","(1277, 468)",blinking
C0231_5.mp4,"(1022, 453)","(1277, 468)",left
C0231_5.mp4,"(1022, 454)","(1278, 469)",blinking
C0231_5.mp4,"(1022, 453)","(1278, 469)",blinking
C0231_5.mp4,"(1022, 453)","(1276, 469)",blinking
C0231_5.mp4,"(1022, 452)","(1276, 469)",blinking
C0231_5.mp4,"(1022, 454)","(1277, 469)",left
C0231_5.mp4,"(1022, 452)","(1277, 468)",left
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1023, 453)","(1278, 469)",blinking
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1023, 454)","(1278, 469)",left
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1022, 452)","(1278, 469)",left
C0231_5.mp4,"(1023, 454)","(1277, 469)",left
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1023, 453)","(1279, 469)",left
C0231_5.mp4,"(1023, 452)","(1278, 469)",left
C0231_5.mp4,"(1024, 454)","(1279, 469)",left
C0231_5.mp4,"(1024, 452)","(1278, 469)",left
C0231_5.mp4,"(1024, 452)","(1279, 469)",left
C0231_5.mp4,"(1023, 452)","(1280, 469)",left
C0231_5.mp4,"(1024, 452)","(1280, 469)",left
C0231_5.mp4,"(1024, 453)","(1281, 469)",left
C0231_5.mp4,"(1025, 454)","(1280, 470)",left
C0231_5.mp4,"(1025, 453)","(1279, 469)",blinking
C0231_5.mp4,"(1025, 453)","(1280, 469)",left
C0231_5.mp4,"(1025, 454)","(1280, 470)",left
C0231_5.mp4,"(1024, 453)","(1278, 469)",left
C0231_5.mp4,"(1024, 453)","(1279, 469)",left
C0231_5.mp4,"(1024, 454)","(1279, 469)",left
C0231_5.mp4,"(1024, 454)","(1279, 469)",left
C0231_5.mp4,"(1024, 454)","(1279, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1279, 469)",left
C0231_5.mp4,"(1024, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1279, 470)",blinking
C0231_5.mp4,"(1024, 453)","(1279, 470)",blinking
C0231_5.mp4,"(1024, 454)","(1280, 470)",left
C0231_5.mp4,"(1025, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1025, 453)","(1280, 470)",left
C0231_5.mp4,"(1025, 454)","(1279, 470)",left
C0231_5.mp4,"(1025, 455)","(1277, 470)",left
C0231_5.mp4,"(1026, 454)","(1279, 470)",left
C0231_5.mp4,"(1024, 453)","(1280, 469)",left
C0231_5.mp4,"(1025, 453)","(1280, 469)",left
C0231_5.mp4,"(1025, 455)","(1280, 470)",left
C0231_5.mp4,"(1026, 454)","(1280, 470)",left
C0231_5.mp4,"(1026, 454)","(1281, 470)",blinking
C0231_5.mp4,"(1025, 453)","(1281, 469)",blinking
C0231_5.mp4,"(1026, 455)","(1281, 471)",left
C0231_5.mp4,"(1025, 454)","(1280, 470)",blinking
C0231_5.mp4,"(1025, 455)","(1279, 470)",left
C0231_5.mp4,"(1024, 453)","(1280, 469)",left
C0231_5.mp4,"(1024, 453)","(1279, 469)",left
C0231_5.mp4,"(1025, 453)","(1280, 469)",left
C0231_5.mp4,"(1024, 454)","(1279, 469)",blinking
C0231_5.mp4,"(1025, 454)","(1279, 469)",left
C0231_5.mp4,"(1024, 453)","(1280, 469)",left
C0231_5.mp4,"(1024, 453)","(1280, 470)",blinking
C0231_5.mp4,"(1025, 453)","(1280, 470)",left
C0231_5.mp4,"(1025, 452)","(1280, 469)",blinking
C0231_5.mp4,"(1026, 453)","(1280, 469)",left
C0231_5.mp4,"(1025, 454)","(1278, 470)",left
C0231_5.mp4,"(1025, 452)","(1280, 469)",left
C0231_5.mp4,"(1025, 453)","(1280, 470)",left
C0231_5.mp4,"(1025, 453)","(1280, 470)",blinking
C0231_5.mp4,"(1024, 453)","(1280, 469)",left
C0231_5.mp4,"(1024, 452)","(1280, 469)",left
C0231_5.mp4,"(1025, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1025, 453)","(1280, 469)",left
C0231_5.mp4,"(1025, 454)","(1280, 470)",left
C0231_5.mp4,"(1025, 454)","(1280, 470)",left
C0231_5.mp4,"(1025, 453)","(1281, 470)",left
C0231_5.mp4,"(1025, 453)","(1280, 470)",left
C0231_5.mp4,"(1023, 453)","(1279, 470)",blinking
C0231_5.mp4,"(1024, 452)","(1279, 470)",left
C0231_5.mp4,"(1024, 453)","(1280, 470)",left
C0231_5.mp4,"(1024, 453)","(1279, 469)",left
C0231_5.mp4,"(1024, 455)","(1280, 470)",left
C0231_5.mp4,"(1024, 455)","(1279, 470)",left
C0231_5.mp4,"(1024, 455)","(1279, 470)",left
C0231_5.mp4,"(1025, 455)","(1279, 469)",left
C0231_5.mp4,"(1023, 454)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1279, 470)",blinking
C0231_5.mp4,"(1025, 453)","(1279, 470)",left
C0231_5.mp4,"(1025, 453)","(1280, 470)",left
C0231_5.mp4,"(1025, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 453)","(1280, 469)",blinking
C0231_5.mp4,"(1024, 454)","(1280, 470)",left
C0231_5.mp4,"(1023, 452)","(1280, 470)",left
C0231_5.mp4,"(1023, 453)","(1279, 470)",left
C0231_5.mp4,"(1024, 453)","(1279, 469)",left
C0231_5.mp4,"(1024, 454)","(1280, 470)",blinking
C0231_5.mp4,"(1024, 453)","(1279, 470)",left
