video_name,left_pupil,right_pupil,gaze_direction
C0132_9.mp4,"(862, 445)","(1131, 433)",right
C0132_9.mp4,"(862, 446)","(1130, 434)",right
C0132_9.mp4,"(863, 445)","(1132, 433)",right
C0132_9.mp4,"(864, 446)","(1133, 433)",right
C0132_9.mp4,"(864, 446)","(1133, 434)",right
C0132_9.mp4,"(865, 446)","(1134, 434)",right
C0132_9.mp4,"(866, 446)","(1135, 434)",right
C0132_9.mp4,"(868, 446)","(1136, 434)",right
C0132_9.mp4,"(867, 446)","(1136, 435)",right
C0132_9.mp4,"(867, 445)","(1136, 434)",right
C0132_9.mp4,"(868, 445)","(1137, 434)",right
C0132_9.mp4,"(868, 446)","(1136, 434)",right
C0132_9.mp4,"(867, 446)","(1135, 434)",right
C0132_9.mp4,"(868, 446)","(1136, 435)",right
C0132_9.mp4,"(869, 447)","(1136, 437)",right
C0132_9.mp4,"(868, 447)","(1136, 434)",right
C0132_9.mp4,"(868, 447)","(1136, 435)",right
C0132_9.mp4,"(868, 447)","(1136, 435)",right
C0132_9.mp4,"(870, 447)","(1138, 435)",right
C0132_9.mp4,"(869, 447)","(1138, 435)",right
C0132_9.mp4,"(870, 447)","(1140, 435)",right
C0132_9.mp4,"(871, 448)","(1139, 436)",right
C0132_9.mp4,"(871, 448)","(1139, 435)",right
C0132_9.mp4,"(869, 448)","(1139, 435)",right
C0132_9.mp4,"(870, 448)","(1139, 435)",right
C0132_9.mp4,"(869, 448)","(1139, 435)",right
C0132_9.mp4,"(870, 447)","(1140, 435)",right
C0132_9.mp4,"(871, 448)","(1141, 435)",right
C0132_9.mp4,"(871, 448)","(1141, 435)",right
C0132_9.mp4,"(867, 450)","(1142, 436)",right
C0132_9.mp4,"(871, 447)","(1141, 434)",right
C0132_9.mp4,"(872, 447)","(1141, 436)",right
C0132_9.mp4,"(871, 448)","(1140, 436)",right
C0132_9.mp4,"(870, 448)","(1140, 435)",right
C0132_9.mp4,"(870, 448)","(1139, 435)",right
C0132_9.mp4,"(869, 449)","(1139, 435)",right
C0132_9.mp4,"(869, 449)","(1138, 437)",right
C0132_9.mp4,"(869, 450)","(1137, 437)",right
C0132_9.mp4,"(868, 449)","(1137, 435)",right
C0132_9.mp4,"(869, 451)","(1136, 437)",right
C0132_9.mp4,"(867, 449)","(1136, 436)",right
C0132_9.mp4,"(868, 449)","(1137, 436)",right
C0132_9.mp4,"(870, 451)","(1137, 437)",right
C0132_9.mp4,"(869, 450)","(1137, 437)",right
C0132_9.mp4,"(869, 449)","(1137, 436)",right
C0132_9.mp4,"(866, 449)","(1136, 436)",right
C0132_9.mp4,"(869, 450)","(1136, 437)",right
C0132_9.mp4,"(867, 449)","(1136, 436)",right
C0132_9.mp4,"(867, 449)","(1136, 436)",right
C0132_9.mp4,"(866, 448)","(1136, 436)",right
C0132_9.mp4,"(867, 449)","(1136, 437)",right
