video_name,left_pupil,right_pupil,gaze_direction
C0048.MP4,"(871, 464)","(1115, 471)",left
C0048.MP4,"(872, 463)","(1116, 469)",left
C0048.MP4,"(871, 463)","(1114, 467)",left
C0048.MP4,"(871, 463)","(1113, 472)",left
C0048.MP4,"(872, 463)","(1114, 473)",left
C0048.MP4,"(871, 462)","(1114, 471)",left
C0048.MP4,"(872, 463)","(1115, 471)",left
C0048.MP4,"(871, 463)","(1115, 470)",left
C0048.MP4,"(872, 462)","(1116, 469)",left
C0048.MP4,"(872, 461)","(1115, 468)",left
C0048.MP4,"(873, 463)","(1116, 470)",left
C0048.MP4,"(872, 463)","(1117, 472)",left
C0048.MP4,"(873, 463)","(1114, 471)",left
C0048.MP4,"(872, 462)","(1116, 470)",left
C0048.MP4,"(865, 459)","(1115, 469)",left
C0048.MP4,"(874, 462)","(1117, 470)",left
C0048.MP4,"(865, 459)","(1116, 470)",left
C0048.MP4,"(874, 462)","(1117, 469)",left
C0048.MP4,"(873, 462)","(1117, 468)",left
C0048.MP4,"(873, 461)","(1117, 467)",left
C0048.MP4,"(872, 463)","(1115, 468)",left
C0048.MP4,"(854, 459)","(1107, 467)",center
C0048.MP4,"(852, 460)","(1102, 467)",center
C0048.MP4,"(843, 459)","(1090, 465)",center
C0048.MP4,"(842, 459)","(1089, 465)",center
C0048.MP4,"(843, 458)","(1089, 465)",center
C0048.MP4,"(842, 459)","(1089, 465)",center
C0048.MP4,"(843, 460)","(1089, 467)",center
C0048.MP4,"(843, 460)","(1089, 466)",center
C0048.MP4,"(843, 459)","(1089, 466)",center
C0048.MP4,"(844, 459)","(1090, 466)",center
C0048.MP4,"(844, 458)","(1090, 466)",center
C0048.MP4,"(844, 458)","(1091, 465)",center
C0048.MP4,"(844, 459)","(1090, 465)",center
C0048.MP4,"(844, 459)","(1090, 465)",center
C0048.MP4,"(845, 459)","(1089, 464)",center
C0048.MP4,"(842, 460)","(1091, 465)",center
C0048.MP4,"(844, 459)","(1090, 465)",center
C0048.MP4,"(843, 457)","(1089, 465)",center
C0048.MP4,"(844, 459)","(1089, 465)",center
C0048.MP4,"(843, 460)","(1091, 466)",center
C0048.MP4,"(842, 460)","(1089, 466)",center
C0048.MP4,"(844, 460)","(1091, 465)",center
C0048.MP4,"(843, 459)","(1091, 465)",center
C0048.MP4,"(844, 459)","(1091, 465)",center
C0048.MP4,"(845, 460)","(1092, 466)",center
C0048.MP4,"(846, 460)","(1093, 466)",center
C0048.MP4,"(845, 460)","(1094, 466)",center
C0048.MP4,"(847, 460)","(1095, 466)",center
C0048.MP4,"(848, 460)","(1096, 467)",center
C0048.MP4,"(849, 460)","(1096, 466)",center
C0048.MP4,"(850, 460)","(1098, 466)",center
C0048.MP4,"(851, 460)","(1099, 467)",center
C0048.MP4,"(852, 459)","(1099, 466)",center
C0048.MP4,"(852, 460)","(1100, 467)",center
C0048.MP4,"(853, 461)","(1101, 467)",center
C0048.MP4,"(854, 459)","(1102, 467)",center
C0048.MP4,"(855, 459)","(1103, 467)",center
C0048.MP4,"(856, 459)","(1103, 467)",center
C0048.MP4,"(857, 460)","(1104, 467)",center
C0048.MP4,"(859, 459)","(1106, 467)",center
C0048.MP4,"(859, 459)","(1106, 467)",center
C0048.MP4,"(860, 459)","(1108, 467)",center
C0048.MP4,"(863, 460)","(1110, 468)",center
C0048.MP4,"(864, 458)","(1109, 467)",center
C0048.MP4,"(863, 457)","(1111, 467)",center
C0048.MP4,"(866, 459)","(1115, 468)",center
C0048.MP4,"(866, 458)","(1115, 469)",center
C0048.MP4,"(866, 458)","(1116, 469)",left
C0048.MP4,"(869, 458)","(1117, 469)",left
C0048.MP4,"(868, 457)","(1117, 468)",center
C0048.MP4,"(868, 457)","(1119, 470)",left
C0048.MP4,"(871, 457)","(1119, 469)",left
C0048.MP4,"(874, 459)","(1121, 471)",left
C0048.MP4,"(876, 459)","(1123, 471)",left
C0048.MP4,"(876, 457)","(1125, 471)",left
C0048.MP4,"(880, 459)","(1126, 471)",left
C0048.MP4,"(882, 459)","(1129, 473)",left
C0048.MP4,"(883, 457)","(1132, 473)",left
C0048.MP4,"(887, 459)","(1133, 473)",left
C0048.MP4,"(887, 457)","(1136, 473)",left
C0048.MP4,"(893, 459)","(1138, 475)",left
C0048.MP4,"(894, 458)","(1140, 475)",left
C0048.MP4,"(893, 456)","(1142, 475)",left
C0048.MP4,"(895, 455)","(1143, 475)",left
C0048.MP4,"(899, 458)","(1144, 476)",left
C0048.MP4,"(900, 459)","(1145, 476)",left
C0048.MP4,"(902, 458)","(1147, 477)",left
C0048.MP4,"(903, 459)","(1148, 477)",left
C0048.MP4,"(905, 459)","(1149, 477)",left
C0048.MP4,"(906, 459)","(1150, 478)",left
C0048.MP4,"(903, 457)","(1148, 476)",left
C0048.MP4,"(908, 459)","(1152, 478)",left
C0048.MP4,"(906, 458)","(1150, 477)",left
C0048.MP4,"(905, 457)","(1153, 479)",left
C0048.MP4,"(909, 459)","(1153, 479)",left
C0048.MP4,"(910, 460)","(1154, 480)",left
C0048.MP4,"(912, 459)","(1154, 480)",left
C0048.MP4,"(901, 473)","(1142, 490)",center
C0048.MP4,"(900, 475)","(1143, 492)",center
C0048.MP4,"(898, 470)","(1147, 490)",center
C0048.MP4,"(910, 463)","(1153, 484)",left
C0048.MP4,"(910, 461)","(1153, 480)",left
C0048.MP4,"(908, 460)","(1154, 481)",left
C0048.MP4,"(911, 460)","(1156, 481)",left
C0048.MP4,"(911, 459)","(1155, 480)",left
C0048.MP4,"(909, 457)","(1156, 480)",left
C0048.MP4,"(908, 457)","(1152, 479)",left
C0048.MP4,"(908, 457)","(1154, 480)",left
C0048.MP4,"(907, 457)","(1154, 480)",left
C0048.MP4,"(910, 459)","(1153, 479)",left
C0048.MP4,"(907, 458)","(1153, 480)",left
C0048.MP4,"(909, 459)","(1152, 479)",left
C0048.MP4,"(906, 457)","(1152, 480)",left
C0048.MP4,"(905, 457)","(1152, 479)",left
C0048.MP4,"(908, 458)","(1151, 479)",left
C0048.MP4,"(906, 459)","(1148, 478)",left
C0048.MP4,"(902, 457)","(1150, 480)",left
C0048.MP4,"(905, 459)","(1147, 478)",center
C0048.MP4,"(900, 457)","(1148, 480)",center
C0048.MP4,"(902, 459)","(1146, 479)",center
C0048.MP4,"(898, 458)","(1145, 479)",center
C0048.MP4,"(896, 458)","(1144, 479)",center
C0048.MP4,"(894, 458)","(1141, 478)",center
C0048.MP4,"(894, 457)","(1140, 478)",center
C0048.MP4,"(892, 458)","(1138, 477)",center
C0048.MP4,"(891, 458)","(1137, 477)",center
C0048.MP4,"(889, 458)","(1135, 475)",center
C0048.MP4,"(887, 457)","(1134, 476)",center
C0048.MP4,"(886, 459)","(1131, 476)",center
C0048.MP4,"(886, 458)","(1131, 476)",center
C0048.MP4,"(885, 458)","(1130, 475)",center
C0048.MP4,"(883, 459)","(1129, 476)",center
C0048.MP4,"(883, 458)","(1128, 475)",center
C0048.MP4,"(883, 459)","(1128, 476)",center
C0048.MP4,"(882, 458)","(1128, 476)",center
C0048.MP4,"(883, 458)","(1128, 476)",center
C0048.MP4,"(881, 459)","(1127, 476)",center
C0048.MP4,"(882, 458)","(1126, 475)",center
C0048.MP4,"(881, 459)","(1127, 476)",center
C0048.MP4,"(881, 458)","(1126, 476)",center
C0048.MP4,"(880, 459)","(1125, 475)",center
C0048.MP4,"(880, 459)","(1124, 475)",center
C0048.MP4,"(878, 458)","(1123, 475)",center
C0048.MP4,"(878, 459)","(1122, 475)",center
C0048.MP4,"(877, 458)","(1122, 474)",center
C0048.MP4,"(875, 458)","(1119, 475)",center
C0048.MP4,"(872, 460)","(1119, 475)",center
C0048.MP4,"(875, 458)","(1118, 474)",center
C0048.MP4,"(874, 458)","(1117, 475)",center
C0048.MP4,"(872, 458)","(1117, 474)",center
C0048.MP4,"(872, 459)","(1116, 475)",center
C0048.MP4,"(871, 459)","(1116, 475)",center
C0048.MP4,"(870, 459)","(1115, 475)",center
C0048.MP4,"(871, 459)","(1115, 475)",center
C0048.MP4,"(869, 459)","(1115, 475)",center
C0048.MP4,"(871, 458)","(1115, 475)",center
C0048.MP4,"(868, 461)","(1114, 476)",center
C0048.MP4,"(871, 458)","(1114, 475)",center
C0048.MP4,"(869, 460)","(1113, 475)",center
C0048.MP4,"(866, 460)","(1114, 475)",center
C0048.MP4,"(866, 461)","(1111, 476)",center
C0048.MP4,"(865, 461)","(1112, 475)",center
C0048.MP4,"(864, 461)","(1110, 475)",center
C0048.MP4,"(863, 461)","(1109, 476)",right
C0048.MP4,"(862, 461)","(1108, 476)",right
C0048.MP4,"(861, 461)","(1109, 475)",right
C0048.MP4,"(860, 461)","(1106, 474)",right
C0048.MP4,"(859, 462)","(1106, 475)",right
C0048.MP4,"(858, 462)","(1104, 475)",right
C0048.MP4,"(857, 461)","(1104, 475)",right
