video_name,left_pupil,right_pupil,gaze_direction
C0075.MP4,"(730, 392)","(1028, 362)",right
C0075.MP4,"(732, 392)","(1028, 360)",right
C0075.MP4,"(734, 392)","(1025, 362)",right
C0075.MP4,"(733, 391)","(1029, 361)",right
C0075.MP4,"(732, 391)","(1025, 362)",right
C0075.MP4,"(733, 393)","(1024, 362)",right
C0075.MP4,"(735, 392)","(1025, 363)",right
C0075.MP4,"(734, 392)","(1029, 362)",right
C0075.MP4,"(735, 395)","(1025, 362)",right
C0075.MP4,"(734, 393)","(1025, 362)",right
C0075.MP4,"(734, 392)","(1029, 361)",right
C0075.MP4,"(733, 391)","(1026, 361)",right
C0075.MP4,"(733, 391)","(1028, 360)",right
C0075.MP4,"(732, 391)","(1025, 360)",right
C0075.MP4,"(730, 390)","(1027, 360)",right
C0075.MP4,"(731, 391)","(1027, 360)",right
C0075.MP4,"(729, 391)","(1026, 360)",right
C0075.MP4,"(730, 392)","(1026, 360)",right
C0075.MP4,"(731, 393)","(1026, 361)",right
C0075.MP4,"(730, 392)","(1026, 361)",right
C0075.MP4,"(729, 392)","(1025, 361)",right
C0075.MP4,"(729, 393)","(1026, 362)",right
C0075.MP4,"(731, 395)","(1026, 361)",right
C0075.MP4,"(730, 391)","(1026, 362)",right
C0075.MP4,"(731, 396)","(1021, 363)",right
C0075.MP4,"(730, 394)","(1026, 362)",right
C0075.MP4,"(731, 396)","(1026, 362)",right
C0075.MP4,"(731, 397)","(1025, 362)",right
C0075.MP4,"(733, 397)","(1027, 363)",right
C0075.MP4,"(744, 395)","(1041, 361)",right
C0075.MP4,"(745, 393)","(1044, 362)",right
C0075.MP4,"(746, 394)","(1044, 361)",center
C0075.MP4,"(746, 394)","(1043, 362)",right
C0075.MP4,"(751, 394)","(1042, 363)",right
C0075.MP4,"(751, 396)","(1044, 362)",center
C0075.MP4,"(751, 395)","(1043, 363)",right
C0075.MP4,"(751, 396)","(1043, 364)",right
C0075.MP4,"(751, 396)","(1045, 363)",right
C0075.MP4,"(751, 394)","(1045, 362)",right
C0075.MP4,"(751, 396)","(1044, 362)",right
C0075.MP4,"(750, 396)","(1042, 364)",center
C0075.MP4,"(749, 395)","(1043, 362)",center
C0075.MP4,"(748, 395)","(1039, 363)",right
C0075.MP4,"(748, 395)","(1042, 362)",right
C0075.MP4,"(740, 395)","(1043, 365)",center
C0075.MP4,"(748, 396)","(1042, 361)",right
C0075.MP4,"(748, 396)","(1042, 362)",right
C0075.MP4,"(748, 397)","(1038, 363)",right
C0075.MP4,"(748, 396)","(1038, 363)",right
C0075.MP4,"(738, 393)","(1043, 360)",center
C0075.MP4,"(748, 396)","(1038, 364)",right
