video_name,left_pupil,right_pupil,gaze_direction
0_prt2.mp4,"(773, 468)","(1047, 464)",center
0_prt2.mp4,"(772, 464)","(1049, 461)",center
0_prt2.mp4,"(771, 465)","(1048, 461)",center
0_prt2.mp4,"(769, 467)","(1043, 464)",center
0_prt2.mp4,"(765, 466)","(1040, 463)",center
0_prt2.mp4,"(763, 469)","(1037, 465)",center
0_prt2.mp4,"(758, 468)","(1033, 465)",center
0_prt2.mp4,"(755, 468)","(1028, 464)",center
0_prt2.mp4,"(750, 467)","(1024, 464)",center
0_prt2.mp4,"(744, 468)","(1018, 464)",right
0_prt2.mp4,"(738, 468)","(1013, 464)",center
0_prt2.mp4,"(733, 467)","(1007, 464)",right
0_prt2.mp4,"(723, 465)","(1000, 464)",center
0_prt2.mp4,"(716, 465)","(993, 464)",right
0_prt2.mp4,"(705, 468)","(986, 464)",right
0_prt2.mp4,"(697, 468)","(979, 464)",right
0_prt2.mp4,"(689, 468)","(971, 464)",right
0_prt2.mp4,"(680, 468)","(963, 465)",right
0_prt2.mp4,"(672, 468)","(954, 465)",right
0_prt2.mp4,"(663, 467)","(946, 464)",right
0_prt2.mp4,"(654, 468)","(937, 465)",right
0_prt2.mp4,"(645, 468)","(928, 464)",right
0_prt2.mp4,"(635, 468)","(919, 465)",right
0_prt2.mp4,"(626, 469)","(910, 465)",right
0_prt2.mp4,"(616, 468)","(901, 465)",right
0_prt2.mp4,"(607, 470)","(891, 465)",right
0_prt2.mp4,"(597, 468)","(882, 464)",right
0_prt2.mp4,"(588, 469)","(872, 464)",right
0_prt2.mp4,"(578, 468)","(862, 464)",right
0_prt2.mp4,"(569, 469)","(852, 465)",right
0_prt2.mp4,"(559, 469)","(843, 464)",right
0_prt2.mp4,"(549, 470)","(833, 464)",right
0_prt2.mp4,"(539, 470)","(823, 464)",right
0_prt2.mp4,"(530, 470)","(814, 465)",right
0_prt2.mp4,"(521, 471)","(804, 464)",right
0_prt2.mp4,"(511, 472)","(795, 466)",right
0_prt2.mp4,"(501, 468)","(787, 462)",right
0_prt2.mp4,"(492, 468)","(776, 464)",right
0_prt2.mp4,"(483, 469)","(767, 464)",right
0_prt2.mp4,"(475, 470)","(758, 465)",right
0_prt2.mp4,"(466, 469)","(750, 464)",right
0_prt2.mp4,"(457, 468)","(742, 465)",right
0_prt2.mp4,"(449, 469)","(734, 464)",right
0_prt2.mp4,"(442, 470)","(726, 465)",right
0_prt2.mp4,"(434, 469)","(719, 465)",right
0_prt2.mp4,"(427, 470)","(712, 465)",right
0_prt2.mp4,"(421, 470)","(705, 464)",right
0_prt2.mp4,"(415, 470)","(699, 464)",right
0_prt2.mp4,"(410, 468)","(693, 465)",right
0_prt2.mp4,"(404, 468)","(687, 465)",right
0_prt2.mp4,"(400, 468)","(683, 464)",right
0_prt2.mp4,"(395, 468)","(678, 464)",right
0_prt2.mp4,"(390, 469)","(674, 465)",right
0_prt2.mp4,"(386, 468)","(671, 466)",right
0_prt2.mp4,"(385, 469)","(668, 466)",right
0_prt2.mp4,"(381, 468)","(665, 464)",right
0_prt2.mp4,"(379, 468)","(663, 464)",right
0_prt2.mp4,"(378, 470)","(662, 465)",right
0_prt2.mp4,"(378, 468)","(661, 465)",right
0_prt2.mp4,"(377, 467)","(661, 465)",right
0_prt2.mp4,"(377, 467)","(661, 464)",right
0_prt2.mp4,"(379, 469)","(662, 466)",right
0_prt2.mp4,"(380, 469)","(663, 465)",right
0_prt2.mp4,"(381, 467)","(665, 464)",right
0_prt2.mp4,"(383, 467)","(666, 465)",right
0_prt2.mp4,"(384, 467)","(668, 464)",right
0_prt2.mp4,"(386, 467)","(671, 465)",right
0_prt2.mp4,"(389, 468)","(673, 464)",right
0_prt2.mp4,"(391, 466)","(676, 465)",right
0_prt2.mp4,"(393, 467)","(679, 464)",right
0_prt2.mp4,"(396, 465)","(682, 464)",right
