video_name,left_pupil,right_pupil,gaze_direction
0p_S.mp4,"(773, 467)","(1048, 464)",center
0p_S.mp4,"(773, 467)","(1048, 464)",center
0p_S.mp4,"(773, 466)","(1047, 463)",center
0p_S.mp4,"(773, 467)","(1047, 463)",center
0p_S.mp4,"(772, 467)","(1047, 463)",center
0p_S.mp4,"(772, 467)","(1047, 464)",center
0p_S.mp4,"(772, 467)","(1047, 462)",center
0p_S.mp4,"(771, 467)","(1046, 463)",center
0p_S.mp4,"(770, 466)","(1045, 464)",center
0p_S.mp4,"(769, 464)","(1045, 463)",center
0p_S.mp4,"(767, 466)","(1044, 464)",center
0p_S.mp4,"(762, 468)","(1044, 465)",right
0p_S.mp4,"(761, 468)","(1043, 464)",right
0p_S.mp4,"(760, 468)","(1042, 464)",right
0p_S.mp4,"(759, 467)","(1042, 464)",right
0p_S.mp4,"(759, 467)","(1041, 464)",right
0p_S.mp4,"(758, 467)","(1040, 464)",right
0p_S.mp4,"(757, 467)","(1039, 464)",right
0p_S.mp4,"(756, 467)","(1039, 464)",right
0p_S.mp4,"(755, 467)","(1038, 464)",right
0p_S.mp4,"(754, 467)","(1037, 464)",right
0p_S.mp4,"(753, 467)","(1036, 465)",right
0p_S.mp4,"(752, 468)","(1036, 464)",right
0p_S.mp4,"(751, 467)","(1035, 464)",right
0p_S.mp4,"(751, 469)","(1034, 464)",right
0p_S.mp4,"(750, 467)","(1033, 464)",right
0p_S.mp4,"(749, 468)","(1034, 465)",right
0p_S.mp4,"(749, 469)","(1032, 464)",right
0p_S.mp4,"(748, 469)","(1031, 464)",right
0p_S.mp4,"(747, 468)","(1031, 463)",right
0p_S.mp4,"(747, 470)","(1031, 465)",right
0p_S.mp4,"(745, 469)","(1029, 464)",right
0p_S.mp4,"(745, 467)","(1029, 463)",right
0p_S.mp4,"(744, 469)","(1028, 464)",right
0p_S.mp4,"(744, 469)","(1027, 463)",right
0p_S.mp4,"(743, 470)","(1028, 464)",right
0p_S.mp4,"(742, 469)","(1026, 463)",right
0p_S.mp4,"(743, 469)","(1026, 464)",right
0p_S.mp4,"(743, 471)","(1025, 463)",right
0p_S.mp4,"(740, 467)","(1025, 464)",right
0p_S.mp4,"(741, 469)","(1025, 464)",right
0p_S.mp4,"(740, 469)","(1025, 464)",right
0p_S.mp4,"(740, 473)","(1025, 465)",right
0p_S.mp4,"(740, 472)","(1024, 464)",right
0p_S.mp4,"(740, 472)","(1024, 463)",right
0p_S.mp4,"(738, 469)","(1023, 463)",right
0p_S.mp4,"(737, 468)","(1023, 464)",right
0p_S.mp4,"(739, 469)","(1023, 463)",right
0p_S.mp4,"(737, 470)","(1023, 463)",right
0p_S.mp4,"(738, 469)","(1023, 463)",right
0p_S.mp4,"(738, 469)","(1023, 463)",right
0p_S.mp4,"(738, 470)","(1023, 464)",right
0p_S.mp4,"(739, 469)","(1023, 463)",right
0p_S.mp4,"(737, 470)","(1023, 463)",right
0p_S.mp4,"(739, 473)","(1024, 464)",right
0p_S.mp4,"(738, 470)","(1023, 464)",right
0p_S.mp4,"(741, 472)","(1024, 464)",right
0p_S.mp4,"(739, 471)","(1023, 463)",right
0p_S.mp4,"(739, 471)","(1025, 464)",right
0p_S.mp4,"(740, 469)","(1024, 464)",right
0p_S.mp4,"(740, 469)","(1025, 464)",right
0p_S.mp4,"(741, 471)","(1024, 464)",right
0p_S.mp4,"(741, 470)","(1025, 463)",right
0p_S.mp4,"(742, 468)","(1025, 464)",right
0p_S.mp4,"(743, 472)","(1026, 464)",right
0p_S.mp4,"(742, 469)","(1026, 463)",right
0p_S.mp4,"(743, 471)","(1026, 464)",right
0p_S.mp4,"(742, 468)","(1026, 463)",right
0p_S.mp4,"(742, 468)","(1027, 463)",right
0p_S.mp4,"(743, 469)","(1028, 463)",right
0p_S.mp4,"(744, 469)","(1031, 461)",right
0p_S.mp4,"(744, 469)","(1029, 463)",right
0p_S.mp4,"(746, 469)","(1029, 463)",right
0p_S.mp4,"(747, 471)","(1030, 464)",right
0p_S.mp4,"(746, 468)","(1030, 464)",right
0p_S.mp4,"(746, 468)","(1030, 463)",right
0p_S.mp4,"(747, 467)","(1031, 463)",right
0p_S.mp4,"(748, 470)","(1032, 464)",right
0p_S.mp4,"(748, 467)","(1032, 464)",right
0p_S.mp4,"(749, 469)","(1033, 464)",right
0p_S.mp4,"(749, 466)","(1033, 463)",right
0p_S.mp4,"(751, 469)","(1033, 464)",right
0p_S.mp4,"(752, 471)","(1035, 464)",right
0p_S.mp4,"(752, 468)","(1035, 465)",right
0p_S.mp4,"(752, 468)","(1036, 463)",right
0p_S.mp4,"(754, 467)","(1036, 464)",right
0p_S.mp4,"(754, 469)","(1037, 464)",right
0p_S.mp4,"(755, 468)","(1038, 464)",right
0p_S.mp4,"(756, 468)","(1039, 464)",right
0p_S.mp4,"(757, 467)","(1039, 463)",right
0p_S.mp4,"(758, 467)","(1040, 464)",right
0p_S.mp4,"(759, 467)","(1041, 464)",right
0p_S.mp4,"(764, 465)","(1042, 464)",center
0p_S.mp4,"(765, 467)","(1043, 464)",right
0p_S.mp4,"(766, 466)","(1043, 464)",right
0p_S.mp4,"(767, 466)","(1044, 464)",right
0p_S.mp4,"(770, 466)","(1047, 462)",center
0p_S.mp4,"(771, 467)","(1046, 464)",center
