video_name,left_pupil,right_pupil,gaze_direction
0p__StartL_1.mp4,"(795, 463)","(1080, 459)",left
0p__StartL_1.mp4,"(795, 462)","(1080, 460)",left
0p__StartL_1.mp4,"(795, 462)","(1080, 460)",left
0p__StartL_1.mp4,"(795, 463)","(1080, 461)",left
0p__StartL_1.mp4,"(795, 462)","(1080, 461)",left
0p__StartL_1.mp4,"(795, 463)","(1079, 460)",left
0p__StartL_1.mp4,"(795, 463)","(1079, 460)",left
0p__StartL_1.mp4,"(795, 463)","(1079, 461)",left
0p__StartL_1.mp4,"(794, 463)","(1079, 461)",left
0p__StartL_1.mp4,"(795, 463)","(1079, 461)",left
0p__StartL_1.mp4,"(794, 463)","(1079, 460)",left
0p__StartL_1.mp4,"(794, 462)","(1078, 460)",left
0p__StartL_1.mp4,"(794, 463)","(1078, 461)",left
0p__StartL_1.mp4,"(793, 463)","(1077, 460)",left
0p__StartL_1.mp4,"(793, 463)","(1077, 461)",left
0p__StartL_1.mp4,"(793, 462)","(1077, 461)",left
0p__StartL_1.mp4,"(792, 463)","(1076, 461)",left
0p__StartL_1.mp4,"(791, 463)","(1076, 461)",left
0p__StartL_1.mp4,"(791, 462)","(1075, 460)",left
0p__StartL_1.mp4,"(791, 461)","(1074, 460)",left
0p__StartL_1.mp4,"(791, 463)","(1074, 460)",left
0p__StartL_1.mp4,"(790, 462)","(1074, 461)",left
0p__StartL_1.mp4,"(790, 462)","(1073, 461)",center
0p__StartL_1.mp4,"(789, 463)","(1073, 461)",center
0p__StartL_1.mp4,"(789, 462)","(1071, 460)",center
0p__StartL_1.mp4,"(788, 462)","(1071, 460)",center
0p__StartL_1.mp4,"(788, 463)","(1070, 461)",center
0p__StartL_1.mp4,"(789, 464)","(1069, 462)",center
0p__StartL_1.mp4,"(786, 462)","(1070, 459)",center
0p__StartL_1.mp4,"(786, 463)","(1067, 461)",center
0p__StartL_1.mp4,"(785, 463)","(1066, 461)",center
0p__StartL_1.mp4,"(786, 464)","(1065, 461)",center
0p__StartL_1.mp4,"(786, 465)","(1064, 463)",center
0p__StartL_1.mp4,"(785, 466)","(1065, 459)",center
0p__StartL_1.mp4,"(785, 467)","(1063, 461)",center
0p__StartL_1.mp4,"(784, 465)","(1062, 461)",center
0p__StartL_1.mp4,"(781, 463)","(1061, 461)",center
0p__StartL_1.mp4,"(781, 464)","(1061, 463)",center
0p__StartL_1.mp4,"(781, 464)","(1060, 461)",center
0p__StartL_1.mp4,"(781, 466)","(1059, 462)",center
0p__StartL_1.mp4,"(780, 466)","(1057, 463)",center
0p__StartL_1.mp4,"(777, 463)","(1056, 462)",center
0p__StartL_1.mp4,"(778, 466)","(1054, 465)",center
0p__StartL_1.mp4,"(778, 468)","(1053, 464)",center
0p__StartL_1.mp4,"(777, 466)","(1052, 462)",center
0p__StartL_1.mp4,"(777, 467)","(1051, 463)",center
0p__StartL_1.mp4,"(775, 465)","(1050, 463)",center
0p__StartL_1.mp4,"(775, 465)","(1049, 464)",center
0p__StartL_1.mp4,"(774, 466)","(1048, 465)",center
0p__StartL_1.mp4,"(773, 467)","(1048, 463)",center
0p__StartL_1.mp4,"(772, 466)","(1048, 463)",center
0p__StartL_1.mp4,"(771, 466)","(1046, 464)",center
0p__StartL_1.mp4,"(771, 466)","(1047, 462)",center
0p__StartL_1.mp4,"(768, 464)","(1047, 461)",center
0p__StartL_1.mp4,"(766, 467)","(1044, 464)",right
0p__StartL_1.mp4,"(766, 465)","(1046, 462)",center
0p__StartL_1.mp4,"(764, 465)","(1042, 464)",right
0p__StartL_1.mp4,"(760, 467)","(1041, 464)",right
0p__StartL_1.mp4,"(763, 465)","(1040, 464)",right
0p__StartL_1.mp4,"(757, 467)","(1040, 465)",right
0p__StartL_1.mp4,"(757, 468)","(1039, 464)",right
0p__StartL_1.mp4,"(756, 468)","(1039, 465)",right
0p__StartL_1.mp4,"(755, 469)","(1038, 464)",right
0p__StartL_1.mp4,"(754, 468)","(1037, 465)",right
0p__StartL_1.mp4,"(754, 467)","(1037, 464)",right
0p__StartL_1.mp4,"(753, 467)","(1036, 464)",right
0p__StartL_1.mp4,"(752, 467)","(1035, 464)",right
0p__StartL_1.mp4,"(752, 469)","(1036, 466)",right
0p__StartL_1.mp4,"(751, 469)","(1034, 465)",right
0p__StartL_1.mp4,"(751, 470)","(1034, 465)",right
0p__StartL_1.mp4,"(750, 467)","(1034, 464)",right
0p__StartL_1.mp4,"(750, 471)","(1033, 465)",right
0p__StartL_1.mp4,"(749, 468)","(1032, 464)",right
0p__StartL_1.mp4,"(748, 470)","(1032, 465)",right
0p__StartL_1.mp4,"(748, 470)","(1031, 464)",right
0p__StartL_1.mp4,"(747, 470)","(1031, 464)",right
0p__StartL_1.mp4,"(746, 470)","(1031, 464)",right
0p__StartL_1.mp4,"(746, 469)","(1030, 464)",right
0p__StartL_1.mp4,"(747, 471)","(1030, 465)",right
0p__StartL_1.mp4,"(745, 468)","(1029, 464)",right
0p__StartL_1.mp4,"(746, 470)","(1029, 464)",right
0p__StartL_1.mp4,"(744, 469)","(1029, 464)",right
0p__StartL_1.mp4,"(744, 470)","(1028, 464)",right
