video_name,left_pupil,right_pupil,gaze_direction
0p__StartR_2.mp4,"(739, 471)","(1025, 462)",right
0p__StartR_2.mp4,"(740, 473)","(1023, 465)",right
0p__StartR_2.mp4,"(738, 470)","(1022, 464)",right
0p__StartR_2.mp4,"(740, 474)","(1023, 465)",right
0p__StartR_2.mp4,"(740, 475)","(1023, 465)",right
0p__StartR_2.mp4,"(740, 474)","(1023, 464)",right
0p__StartR_2.mp4,"(740, 474)","(1023, 465)",right
0p__StartR_2.mp4,"(741, 473)","(1023, 465)",right
0p__StartR_2.mp4,"(740, 472)","(1023, 465)",right
0p__StartR_2.mp4,"(741, 474)","(1023, 464)",right
0p__StartR_2.mp4,"(741, 470)","(1023, 464)",right
0p__StartR_2.mp4,"(741, 469)","(1025, 462)",right
0p__StartR_2.mp4,"(740, 470)","(1025, 462)",right
0p__StartR_2.mp4,"(740, 470)","(1024, 464)",right
0p__StartR_2.mp4,"(742, 473)","(1024, 464)",right
0p__StartR_2.mp4,"(741, 471)","(1024, 464)",right
0p__StartR_2.mp4,"(741, 470)","(1024, 464)",right
0p__StartR_2.mp4,"(741, 471)","(1024, 464)",right
0p__StartR_2.mp4,"(741, 473)","(1025, 465)",right
0p__StartR_2.mp4,"(741, 470)","(1024, 463)",right
0p__StartR_2.mp4,"(742, 472)","(1025, 464)",right
0p__StartR_2.mp4,"(743, 469)","(1025, 464)",right
0p__StartR_2.mp4,"(743, 471)","(1026, 464)",right
0p__StartR_2.mp4,"(740, 470)","(1026, 464)",right
0p__StartR_2.mp4,"(740, 468)","(1029, 461)",right
0p__StartR_2.mp4,"(741, 468)","(1029, 461)",right
0p__StartR_2.mp4,"(743, 470)","(1027, 464)",right
0p__StartR_2.mp4,"(743, 469)","(1027, 463)",right
0p__StartR_2.mp4,"(744, 471)","(1028, 464)",right
0p__StartR_2.mp4,"(745, 470)","(1028, 464)",right
0p__StartR_2.mp4,"(745, 470)","(1029, 464)",right
0p__StartR_2.mp4,"(746, 470)","(1029, 465)",right
0p__StartR_2.mp4,"(746, 472)","(1030, 465)",right
0p__StartR_2.mp4,"(746, 469)","(1030, 464)",right
0p__StartR_2.mp4,"(747, 468)","(1031, 464)",right
0p__StartR_2.mp4,"(747, 472)","(1031, 465)",right
0p__StartR_2.mp4,"(748, 469)","(1032, 465)",right
0p__StartR_2.mp4,"(749, 469)","(1032, 465)",right
0p__StartR_2.mp4,"(749, 468)","(1033, 464)",right
0p__StartR_2.mp4,"(749, 468)","(1033, 464)",right
0p__StartR_2.mp4,"(750, 468)","(1034, 465)",right
0p__StartR_2.mp4,"(751, 470)","(1035, 465)",right
0p__StartR_2.mp4,"(752, 469)","(1035, 465)",right
0p__StartR_2.mp4,"(752, 469)","(1035, 465)",right
0p__StartR_2.mp4,"(752, 468)","(1036, 464)",right
0p__StartR_2.mp4,"(753, 468)","(1036, 464)",right
0p__StartR_2.mp4,"(754, 469)","(1037, 465)",right
0p__StartR_2.mp4,"(755, 468)","(1038, 465)",right
0p__StartR_2.mp4,"(755, 468)","(1038, 465)",right
0p__StartR_2.mp4,"(756, 468)","(1039, 464)",right
0p__StartR_2.mp4,"(757, 468)","(1040, 465)",right
0p__StartR_2.mp4,"(758, 469)","(1041, 465)",right
0p__StartR_2.mp4,"(759, 468)","(1042, 465)",right
0p__StartR_2.mp4,"(760, 469)","(1042, 465)",right
0p__StartR_2.mp4,"(765, 466)","(1043, 464)",right
0p__StartR_2.mp4,"(767, 466)","(1044, 464)",center
0p__StartR_2.mp4,"(770, 468)","(1045, 464)",center
0p__StartR_2.mp4,"(771, 468)","(1046, 464)",center
0p__StartR_2.mp4,"(772, 467)","(1047, 464)",center
0p__StartR_2.mp4,"(773, 467)","(1048, 465)",center
0p__StartR_2.mp4,"(774, 466)","(1049, 464)",center
0p__StartR_2.mp4,"(775, 468)","(1050, 464)",center
0p__StartR_2.mp4,"(776, 468)","(1051, 465)",center
0p__StartR_2.mp4,"(777, 466)","(1052, 464)",center
0p__StartR_2.mp4,"(778, 466)","(1053, 464)",center
0p__StartR_2.mp4,"(779, 469)","(1054, 464)",center
0p__StartR_2.mp4,"(780, 466)","(1056, 465)",center
0p__StartR_2.mp4,"(781, 468)","(1059, 465)",center
0p__StartR_2.mp4,"(782, 467)","(1061, 465)",center
0p__StartR_2.mp4,"(783, 467)","(1061, 464)",center
0p__StartR_2.mp4,"(782, 464)","(1063, 463)",center
0p__StartR_2.mp4,"(785, 467)","(1064, 464)",center
0p__StartR_2.mp4,"(784, 463)","(1064, 463)",center
0p__StartR_2.mp4,"(784, 463)","(1065, 462)",center
0p__StartR_2.mp4,"(785, 463)","(1067, 462)",center
0p__StartR_2.mp4,"(786, 463)","(1068, 463)",center
0p__StartR_2.mp4,"(789, 466)","(1070, 463)",center
0p__StartR_2.mp4,"(790, 465)","(1071, 464)",left
0p__StartR_2.mp4,"(789, 462)","(1072, 462)",center
0p__StartR_2.mp4,"(789, 462)","(1073, 462)",left
0p__StartR_2.mp4,"(791, 463)","(1074, 462)",left
0p__StartR_2.mp4,"(791, 463)","(1075, 462)",left
0p__StartR_2.mp4,"(791, 462)","(1076, 463)",left
0p__StartR_2.mp4,"(792, 463)","(1077, 463)",left
0p__StartR_2.mp4,"(793, 463)","(1077, 463)",left
0p__StartR_2.mp4,"(794, 463)","(1078, 463)",left
