video_name,left_pupil,right_pupil,gaze_direction
1p SVB C1 E.mp4,"(445, 488)","(632, 488)",left
1p SVB C1 E.mp4,"(445, 488)","(631, 486)",left
1p SVB C1 E.mp4,"(445, 489)","(631, 488)",left
1p SVB C1 E.mp4,"(444, 488)","(629, 485)",left
1p SVB C1 E.mp4,"(444, 488)","(630, 487)",left
1p SVB C1 E.mp4,"(444, 489)","(630, 488)",left
1p SVB C1 E.mp4,"(443, 488)","(629, 487)",left
1p SVB C1 E.mp4,"(442, 488)","(629, 487)",left
1p SVB C1 E.mp4,"(442, 488)","(627, 486)",left
1p SVB C1 E.mp4,"(442, 487)","(627, 486)",left
1p SVB C1 E.mp4,"(441, 489)","(627, 487)",left
1p SVB C1 E.mp4,"(440, 488)","(626, 487)",left
1p SVB C1 E.mp4,"(440, 488)","(625, 487)",left
1p SVB C1 E.mp4,"(439, 488)","(624, 487)",left
1p SVB C1 E.mp4,"(438, 487)","(624, 487)",left
1p SVB C1 E.mp4,"(438, 488)","(623, 487)",left
1p SVB C1 E.mp4,"(437, 488)","(622, 486)",left
1p SVB C1 E.mp4,"(436, 487)","(622, 487)",center
1p SVB C1 E.mp4,"(435, 487)","(621, 487)",left
1p SVB C1 E.mp4,"(435, 487)","(619, 486)",center
1p SVB C1 E.mp4,"(435, 487)","(620, 487)",center
1p SVB C1 E.mp4,"(434, 487)","(618, 486)",center
1p SVB C1 E.mp4,"(433, 487)","(617, 485)",center
1p SVB C1 E.mp4,"(433, 487)","(617, 485)",center
1p SVB C1 E.mp4,"(433, 486)","(617, 485)",center
1p SVB C1 E.mp4,"(433, 487)","(617, 485)",center
1p SVB C1 E.mp4,"(434, 488)","(616, 485)",center
1p SVB C1 E.mp4,"(432, 486)","(619, 483)",center
1p SVB C1 E.mp4,"(432, 486)","(616, 485)",center
1p SVB C1 E.mp4,"(433, 487)","(617, 485)",center
1p SVB C1 E.mp4,"(434, 486)","(617, 484)",center
1p SVB C1 E.mp4,"(434, 486)","(618, 484)",center
1p SVB C1 E.mp4,"(435, 485)","(621, 482)",center
1p SVB C1 E.mp4,"(435, 485)","(619, 485)",center
1p SVB C1 E.mp4,"(436, 486)","(620, 485)",center
1p SVB C1 E.mp4,"(437, 485)","(621, 485)",center
1p SVB C1 E.mp4,"(438, 485)","(625, 483)",center
1p SVB C1 E.mp4,"(441, 486)","(624, 485)",center
1p SVB C1 E.mp4,"(442, 486)","(626, 485)",center
1p SVB C1 E.mp4,"(443, 485)","(628, 485)",center
1p SVB C1 E.mp4,"(446, 486)","(630, 485)",center
1p SVB C1 E.mp4,"(447, 484)","(633, 485)",center
1p SVB C1 E.mp4,"(450, 485)","(635, 485)",center
1p SVB C1 E.mp4,"(453, 486)","(638, 485)",center
1p SVB C1 E.mp4,"(456, 486)","(642, 485)",center
1p SVB C1 E.mp4,"(459, 485)","(645, 485)",center
1p SVB C1 E.mp4,"(462, 486)","(649, 486)",center
1p SVB C1 E.mp4,"(465, 485)","(652, 485)",center
1p SVB C1 E.mp4,"(470, 486)","(656, 485)",center
1p SVB C1 E.mp4,"(473, 485)","(660, 485)",center
1p SVB C1 E.mp4,"(477, 485)","(667, 483)",center
1p SVB C1 E.mp4,"(481, 485)","(669, 484)",center
1p SVB C1 E.mp4,"(487, 487)","(674, 484)",center
1p SVB C1 E.mp4,"(491, 486)","(679, 484)",center
1p SVB C1 E.mp4,"(496, 486)","(684, 485)",center
1p SVB C1 E.mp4,"(501, 485)","(690, 484)",center
1p SVB C1 E.mp4,"(505, 485)","(695, 485)",center
1p SVB C1 E.mp4,"(512, 485)","(701, 484)",center
1p SVB C1 E.mp4,"(517, 485)","(707, 484)",center
1p SVB C1 E.mp4,"(523, 484)","(715, 483)",center
1p SVB C1 E.mp4,"(529, 485)","(719, 484)",center
1p SVB C1 E.mp4,"(535, 484)","(727, 483)",center
1p SVB C1 E.mp4,"(542, 486)","(731, 484)",center
1p SVB C1 E.mp4,"(548, 487)","(737, 484)",center
1p SVB C1 E.mp4,"(553, 486)","(743, 484)",center
1p SVB C1 E.mp4,"(557, 484)","(748, 484)",center
1p SVB C1 E.mp4,"(562, 485)","(753, 484)",center
1p SVB C1 E.mp4,"(567, 484)","(759, 484)",center
1p SVB C1 E.mp4,"(572, 485)","(763, 484)",center
1p SVB C1 E.mp4,"(578, 485)","(768, 484)",center
1p SVB C1 E.mp4,"(581, 484)","(775, 483)",center
1p SVB C1 E.mp4,"(586, 484)","(780, 482)",center
1p SVB C1 E.mp4,"(590, 485)","(782, 484)",center
1p SVB C1 E.mp4,"(594, 484)","(786, 484)",center
1p SVB C1 E.mp4,"(598, 484)","(790, 484)",center
1p SVB C1 E.mp4,"(602, 484)","(794, 484)",center
1p SVB C1 E.mp4,"(606, 484)","(798, 484)",center
1p SVB C1 E.mp4,"(611, 487)","(802, 484)",center
1p SVB C1 E.mp4,"(615, 486)","(808, 482)",center
1p SVB C1 E.mp4,"(618, 486)","(809, 484)",right
1p SVB C1 E.mp4,"(621, 486)","(812, 484)",center
1p SVB C1 E.mp4,"(623, 484)","(816, 485)",center
1p SVB C1 E.mp4,"(626, 484)","(822, 482)",center
1p SVB C1 E.mp4,"(630, 486)","(822, 484)",center
1p SVB C1 E.mp4,"(632, 484)","(827, 482)",center
1p SVB C1 E.mp4,"(636, 486)","(827, 484)",center
1p SVB C1 E.mp4,"(638, 485)","(830, 484)",center
1p SVB C1 E.mp4,"(640, 485)","(833, 484)",center
1p SVB C1 E.mp4,"(642, 485)","(835, 484)",center
1p SVB C1 E.mp4,"(644, 483)","(837, 483)",center
1p SVB C1 E.mp4,"(646, 484)","(839, 484)",center
1p SVB C1 E.mp4,"(648, 484)","(841, 483)",center
1p SVB C1 E.mp4,"(650, 484)","(846, 481)",center
1p SVB C1 E.mp4,"(651, 483)","(848, 482)",center
1p SVB C1 E.mp4,"(653, 484)","(850, 481)",center
1p SVB C1 E.mp4,"(655, 484)","(852, 482)",center
1p SVB C1 E.mp4,"(656, 484)","(853, 482)",center
1p SVB C1 E.mp4,"(658, 484)","(855, 482)",center
1p SVB C1 E.mp4,"(660, 485)","(856, 482)",center
1p SVB C1 E.mp4,"(661, 485)","(855, 484)",center
1p SVB C1 E.mp4,"(664, 486)","(856, 484)",center
1p SVB C1 E.mp4,"(663, 485)","(857, 484)",center
1p SVB C1 E.mp4,"(666, 486)","(858, 484)",center
1p SVB C1 E.mp4,"(667, 485)","(859, 484)",center
1p SVB C1 E.mp4,"(667, 484)","(860, 484)",center
1p SVB C1 E.mp4,"(668, 485)","(864, 482)",center
1p SVB C1 E.mp4,"(668, 485)","(865, 482)",center
1p SVB C1 E.mp4,"(670, 486)","(863, 484)",center
1p SVB C1 E.mp4,"(671, 487)","(863, 484)",center
1p SVB C1 E.mp4,"(671, 486)","(864, 483)",right
1p SVB C1 E.mp4,"(672, 486)","(864, 484)",center
1p SVB C1 E.mp4,"(672, 486)","(865, 484)",center
1p SVB C1 E.mp4,"(673, 486)","(865, 484)",center
1p SVB C1 E.mp4,"(673, 486)","(866, 483)",center
1p SVB C1 E.mp4,"(673, 486)","(866, 484)",center
1p SVB C1 E.mp4,"(673, 486)","(866, 484)",center
1p SVB C1 E.mp4,"(673, 486)","(866, 484)",center
1p SVB C1 E.mp4,"(673, 485)","(866, 484)",center
1p SVB C1 E.mp4,"(674, 486)","(866, 484)",center
1p SVB C1 E.mp4,"(674, 486)","(866, 483)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(672, 484)","(866, 484)",center
1p SVB C1 E.mp4,"(674, 486)","(867, 484)",center
1p SVB C1 E.mp4,"(675, 486)","(869, 484)",center
1p SVB C1 E.mp4,"(676, 484)","(872, 483)",center
1p SVB C1 E.mp4,"(678, 485)","(876, 482)",center
1p SVB C1 E.mp4,"(681, 485)","(880, 483)",center
1p SVB C1 E.mp4,"(682, 485)","(884, 483)",center
1p SVB C1 E.mp4,"(684, 484)","(889, 484)",left
1p SVB C1 E.mp4,"(686, 484)","(890, 482)",left
1p SVB C1 E.mp4,"(687, 484)","(894, 484)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 484)","(892, 482)",left
1p SVB C1 E.mp4,"(688, 485)","(895, 485)",left
