video_name,left_pupil,right_pupil,gaze_direction
1p SVB C2.mp4,"(605, 494)","(760, 492)",left
1p SVB C2.mp4,"(605, 493)","(759, 492)",left
1p SVB C2.mp4,"(605, 493)","(760, 493)",left
1p SVB C2.mp4,"(605, 493)","(759, 492)",left
1p SVB C2.mp4,"(605, 493)","(759, 492)",left
1p SVB C2.mp4,"(605, 493)","(759, 492)",left
1p SVB C2.mp4,"(605, 494)","(758, 492)",left
1p SVB C2.mp4,"(604, 493)","(758, 492)",left
1p SVB C2.mp4,"(604, 493)","(757, 492)",left
1p SVB C2.mp4,"(604, 493)","(756, 490)",left
1p SVB C2.mp4,"(604, 493)","(756, 492)",left
1p SVB C2.mp4,"(603, 493)","(756, 492)",left
1p SVB C2.mp4,"(603, 493)","(755, 491)",left
1p SVB C2.mp4,"(603, 493)","(755, 491)",center
1p SVB C2.mp4,"(603, 494)","(754, 492)",left
1p SVB C2.mp4,"(603, 493)","(754, 492)",left
1p SVB C2.mp4,"(603, 493)","(753, 492)",left
1p SVB C2.mp4,"(602, 493)","(752, 491)",center
1p SVB C2.mp4,"(601, 493)","(751, 491)",center
1p SVB C2.mp4,"(601, 493)","(751, 492)",center
1p SVB C2.mp4,"(601, 493)","(750, 492)",center
1p SVB C2.mp4,"(600, 493)","(750, 491)",center
1p SVB C2.mp4,"(600, 493)","(749, 492)",center
1p SVB C2.mp4,"(600, 493)","(749, 492)",center
1p SVB C2.mp4,"(600, 493)","(747, 491)",center
1p SVB C2.mp4,"(599, 493)","(746, 490)",center
1p SVB C2.mp4,"(599, 493)","(746, 491)",center
1p SVB C2.mp4,"(598, 493)","(745, 491)",center
1p SVB C2.mp4,"(599, 493)","(744, 490)",center
1p SVB C2.mp4,"(598, 493)","(744, 491)",center
1p SVB C2.mp4,"(597, 493)","(743, 490)",center
1p SVB C2.mp4,"(597, 493)","(743, 490)",center
1p SVB C2.mp4,"(597, 493)","(742, 490)",center
1p SVB C2.mp4,"(596, 493)","(742, 490)",center
1p SVB C2.mp4,"(596, 493)","(741, 491)",center
1p SVB C2.mp4,"(596, 493)","(741, 491)",center
1p SVB C2.mp4,"(595, 493)","(740, 491)",center
1p SVB C2.mp4,"(595, 492)","(740, 490)",center
1p SVB C2.mp4,"(595, 493)","(740, 490)",center
1p SVB C2.mp4,"(595, 493)","(739, 490)",center
1p SVB C2.mp4,"(595, 492)","(739, 491)",center
1p SVB C2.mp4,"(595, 493)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(593, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(594, 492)","(738, 491)",center
1p SVB C2.mp4,"(592, 492)","(736, 491)",center
1p SVB C2.mp4,"(590, 493)","(735, 491)",center
1p SVB C2.mp4,"(586, 492)","(732, 491)",right
1p SVB C2.mp4,"(582, 492)","(729, 490)",center
1p SVB C2.mp4,"(577, 493)","(726, 490)",right
1p SVB C2.mp4,"(571, 491)","(723, 490)",center
1p SVB C2.mp4,"(565, 490)","(719, 489)",center
1p SVB C2.mp4,"(560, 490)","(715, 490)",center
1p SVB C2.mp4,"(553, 489)","(711, 489)",center
1p SVB C2.mp4,"(547, 489)","(708, 489)",center
1p SVB C2.mp4,"(543, 489)","(705, 488)",center
1p SVB C2.mp4,"(538, 490)","(703, 488)",center
1p SVB C2.mp4,"(533, 489)","(701, 487)",right
1p SVB C2.mp4,"(528, 487)","(700, 487)",center
1p SVB C2.mp4,"(525, 487)","(700, 486)",center
1p SVB C2.mp4,"(523, 487)","(700, 486)",center
1p SVB C2.mp4,"(522, 487)","(701, 486)",center
1p SVB C2.mp4,"(521, 486)","(703, 485)",center
1p SVB C2.mp4,"(522, 488)","(706, 485)",center
1p SVB C2.mp4,"(521, 485)","(710, 484)",center
1p SVB C2.mp4,"(524, 485)","(714, 484)",center
1p SVB C2.mp4,"(526, 484)","(721, 482)",center
1p SVB C2.mp4,"(530, 485)","(724, 484)",center
1p SVB C2.mp4,"(533, 484)","(732, 481)",center
1p SVB C2.mp4,"(537, 483)","(736, 483)",center
1p SVB C2.mp4,"(543, 485)","(742, 483)",center
1p SVB C2.mp4,"(548, 484)","(749, 483)",center
1p SVB C2.mp4,"(553, 483)","(755, 483)",center
1p SVB C2.mp4,"(559, 485)","(762, 482)",center
1p SVB C2.mp4,"(564, 485)","(768, 483)",center
1p SVB C2.mp4,"(567, 482)","(773, 482)",center
1p SVB C2.mp4,"(573, 485)","(778, 483)",center
1p SVB C2.mp4,"(578, 487)","(783, 483)",center
1p SVB C2.mp4,"(581, 483)","(787, 482)",center
1p SVB C2.mp4,"(585, 485)","(790, 483)",center
1p SVB C2.mp4,"(588, 486)","(794, 483)",center
1p SVB C2.mp4,"(590, 485)","(796, 482)",center
1p SVB C2.mp4,"(591, 484)","(797, 482)",center
1p SVB C2.mp4,"(590, 482)","(800, 480)",center
1p SVB C2.mp4,"(590, 482)","(801, 481)",center
1p SVB C2.mp4,"(591, 482)","(802, 481)",center
