video_name,left_pupil,right_pupil,gaze_direction
CN3LeftNoCam.mp4,"(797, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(797, 462)","(1083, 462)",left
CN3LeftNoCam.mp4,"(797, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(797, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(796, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(796, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(796, 462)","(1084, 463)",left
CN3LeftNoCam.mp4,"(795, 462)","(1083, 461)",left
CN3LeftNoCam.mp4,"(795, 462)","(1083, 461)",left
CN3LeftNoCam.mp4,"(795, 463)","(1082, 461)",left
CN3LeftNoCam.mp4,"(795, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(793, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(793, 463)","(1082, 461)",left
CN3LeftNoCam.mp4,"(793, 462)","(1082, 460)",left
CN3LeftNoCam.mp4,"(792, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(791, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(791, 463)","(1083, 463)",left
CN3LeftNoCam.mp4,"(790, 462)","(1083, 462)",left
CN3LeftNoCam.mp4,"(789, 462)","(1083, 462)",left
CN3LeftNoCam.mp4,"(788, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(787, 463)","(1083, 463)",left
CN3LeftNoCam.mp4,"(786, 463)","(1083, 461)",left
CN3LeftNoCam.mp4,"(785, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(784, 463)","(1083, 462)",left
CN3LeftNoCam.mp4,"(784, 464)","(1083, 462)",left
CN3LeftNoCam.mp4,"(784, 466)","(1082, 461)",left
CN3LeftNoCam.mp4,"(781, 464)","(1083, 462)",left
CN3LeftNoCam.mp4,"(782, 466)","(1083, 461)",left
CN3LeftNoCam.mp4,"(780, 466)","(1083, 462)",center
CN3LeftNoCam.mp4,"(778, 465)","(1083, 462)",left
CN3LeftNoCam.mp4,"(778, 467)","(1081, 460)",center
CN3LeftNoCam.mp4,"(777, 466)","(1082, 462)",center
CN3LeftNoCam.mp4,"(776, 466)","(1083, 462)",center
CN3LeftNoCam.mp4,"(775, 466)","(1082, 459)",center
CN3LeftNoCam.mp4,"(773, 466)","(1082, 461)",center
CN3LeftNoCam.mp4,"(772, 467)","(1082, 461)",center
CN3LeftNoCam.mp4,"(771, 468)","(1084, 464)",center
CN3LeftNoCam.mp4,"(769, 465)","(1082, 460)",center
CN3LeftNoCam.mp4,"(765, 464)","(1081, 459)",center
CN3LeftNoCam.mp4,"(764, 466)","(1082, 461)",center
CN3LeftNoCam.mp4,"(758, 469)","(1085, 465)",center
CN3LeftNoCam.mp4,"(757, 468)","(1082, 461)",center
CN3LeftNoCam.mp4,"(755, 469)","(1083, 462)",center
CN3LeftNoCam.mp4,"(754, 468)","(1082, 461)",center
CN3LeftNoCam.mp4,"(753, 468)","(1081, 460)",center
CN3LeftNoCam.mp4,"(752, 468)","(1081, 459)",center
CN3LeftNoCam.mp4,"(751, 467)","(1082, 460)",center
CN3LeftNoCam.mp4,"(750, 469)","(1081, 460)",center
CN3LeftNoCam.mp4,"(749, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(748, 466)","(1081, 459)",center
CN3LeftNoCam.mp4,"(748, 470)","(1084, 466)",center
CN3LeftNoCam.mp4,"(748, 471)","(1081, 460)",center
CN3LeftNoCam.mp4,"(745, 469)","(1081, 460)",center
CN3LeftNoCam.mp4,"(744, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(742, 468)","(1082, 461)",center
CN3LeftNoCam.mp4,"(742, 469)","(1081, 460)",center
CN3LeftNoCam.mp4,"(741, 468)","(1082, 461)",center
CN3LeftNoCam.mp4,"(742, 468)","(1082, 461)",center
CN3LeftNoCam.mp4,"(741, 471)","(1086, 465)",center
CN3LeftNoCam.mp4,"(740, 471)","(1081, 460)",center
CN3LeftNoCam.mp4,"(740, 471)","(1081, 459)",center
CN3LeftNoCam.mp4,"(740, 470)","(1082, 461)",center
CN3LeftNoCam.mp4,"(739, 470)","(1085, 463)",center
CN3LeftNoCam.mp4,"(738, 469)","(1081, 460)",center
CN3LeftNoCam.mp4,"(738, 468)","(1081, 459)",center
CN3LeftNoCam.mp4,"(737, 468)","(1082, 460)",center
CN3LeftNoCam.mp4,"(738, 471)","(1086, 466)",center
CN3LeftNoCam.mp4,"(737, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(737, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(737, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(737, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(738, 471)","(1085, 465)",center
CN3LeftNoCam.mp4,"(739, 471)","(1085, 464)",center
CN3LeftNoCam.mp4,"(738, 470)","(1082, 460)",center
CN3LeftNoCam.mp4,"(738, 469)","(1082, 461)",center
CN3LeftNoCam.mp4,"(738, 468)","(1082, 460)",center
CN3LeftNoCam.mp4,"(739, 471)","(1085, 465)",center
CN3LeftNoCam.mp4,"(740, 470)","(1082, 461)",center
CN3LeftNoCam.mp4,"(740, 471)","(1081, 459)",center
CN3LeftNoCam.mp4,"(741, 471)","(1081, 460)",center
CN3LeftNoCam.mp4,"(742, 470)","(1086, 465)",center
CN3LeftNoCam.mp4,"(741, 467)","(1081, 459)",center
CN3LeftNoCam.mp4,"(740, 468)","(1082, 460)",center
CN3LeftNoCam.mp4,"(740, 466)","(1082, 461)",center
