video_name,left_pupil,right_pupil,gaze_direction
CN4LeftCam2.mp4,"(797, 462)","(1082, 461)",left
CN4LeftCam2.mp4,"(796, 463)","(1082, 461)",left
CN4LeftCam2.mp4,"(795, 463)","(1081, 462)",left
CN4LeftCam2.mp4,"(794, 463)","(1080, 462)",left
CN4LeftCam2.mp4,"(793, 463)","(1078, 459)",left
CN4LeftCam2.mp4,"(791, 463)","(1077, 461)",left
CN4LeftCam2.mp4,"(789, 463)","(1074, 460)",left
CN4LeftCam2.mp4,"(787, 462)","(1072, 461)",left
CN4LeftCam2.mp4,"(785, 463)","(1068, 459)",left
CN4LeftCam2.mp4,"(781, 462)","(1066, 460)",left
CN4LeftCam2.mp4,"(778, 462)","(1062, 460)",left
CN4LeftCam2.mp4,"(775, 463)","(1058, 459)",left
CN4LeftCam2.mp4,"(771, 463)","(1054, 459)",left
CN4LeftCam2.mp4,"(767, 462)","(1050, 458)",left
CN4LeftCam2.mp4,"(763, 463)","(1045, 458)",center
CN4LeftCam2.mp4,"(758, 463)","(1041, 457)",left
CN4LeftCam2.mp4,"(753, 463)","(1035, 457)",center
CN4LeftCam2.mp4,"(748, 463)","(1030, 457)",center
CN4LeftCam2.mp4,"(743, 463)","(1023, 457)",center
CN4LeftCam2.mp4,"(738, 463)","(1017, 456)",center
CN4LeftCam2.mp4,"(732, 463)","(1012, 456)",center
CN4LeftCam2.mp4,"(727, 464)","(1006, 455)",center
CN4LeftCam2.mp4,"(721, 463)","(1002, 454)",center
CN4LeftCam2.mp4,"(717, 465)","(994, 454)",center
CN4LeftCam2.mp4,"(711, 466)","(987, 454)",center
CN4LeftCam2.mp4,"(705, 467)","(980, 455)",center
CN4LeftCam2.mp4,"(698, 466)","(974, 454)",center
CN4LeftCam2.mp4,"(691, 465)","(966, 455)",center
CN4LeftCam2.mp4,"(683, 464)","(960, 454)",center
CN4LeftCam2.mp4,"(679, 467)","(952, 454)",center
CN4LeftCam2.mp4,"(672, 466)","(945, 455)",center
CN4LeftCam2.mp4,"(664, 464)","(937, 455)",center
CN4LeftCam2.mp4,"(657, 464)","(930, 455)",center
CN4LeftCam2.mp4,"(650, 464)","(924, 455)",center
CN4LeftCam2.mp4,"(643, 464)","(916, 455)",center
CN4LeftCam2.mp4,"(638, 465)","(910, 455)",center
CN4LeftCam2.mp4,"(632, 467)","(899, 457)",center
CN4LeftCam2.mp4,"(625, 468)","(891, 460)",right
CN4LeftCam2.mp4,"(611, 469)","(885, 461)",right
CN4LeftCam2.mp4,"(605, 470)","(877, 463)",right
CN4LeftCam2.mp4,"(598, 468)","(870, 461)",right
CN4LeftCam2.mp4,"(592, 470)","(863, 461)",right
CN4LeftCam2.mp4,"(585, 470)","(857, 461)",right
