video_name,left_pupil,right_pupil,gaze_direction
V3rdNerve_StartV.mp4,"(793, 463)","(1082, 460)",left
V3rdNerve_StartV.mp4,"(793, 462)","(1083, 461)",left
V3rdNerve_StartV.mp4,"(792, 462)","(1082, 460)",left
V3rdNerve_StartV.mp4,"(793, 463)","(1082, 461)",left
V3rdNerve_StartV.mp4,"(793, 463)","(1083, 462)",left
V3rdNerve_StartV.mp4,"(792, 463)","(1083, 461)",left
V3rdNerve_StartV.mp4,"(792, 462)","(1082, 460)",left
V3rdNerve_StartV.mp4,"(792, 463)","(1082, 460)",left
V3rdNerve_StartV.mp4,"(792, 463)","(1083, 462)",left
V3rdNerve_StartV.mp4,"(792, 463)","(1083, 462)",left
V3rdNerve_StartV.mp4,"(792, 462)","(1082, 460)",left
V3rdNerve_StartV.mp4,"(792, 462)","(1082, 461)",left
V3rdNerve_StartV.mp4,"(791, 462)","(1083, 461)",left
V3rdNerve_StartV.mp4,"(791, 462)","(1083, 462)",left
V3rdNerve_StartV.mp4,"(791, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(790, 463)","(1082, 461)",left
V3rdNerve_StartV.mp4,"(790, 462)","(1082, 461)",left
V3rdNerve_StartV.mp4,"(789, 462)","(1082, 461)",left
V3rdNerve_StartV.mp4,"(789, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(788, 461)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(788, 462)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(790, 464)","(1081, 461)",left
V3rdNerve_StartV.mp4,"(787, 462)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(787, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(786, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(786, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(786, 463)","(1082, 462)",left
V3rdNerve_StartV.mp4,"(787, 466)","(1081, 462)",left
V3rdNerve_StartV.mp4,"(786, 463)","(1081, 461)",left
V3rdNerve_StartV.mp4,"(786, 466)","(1081, 462)",left
V3rdNerve_StartV.mp4,"(783, 462)","(1081, 461)",left
V3rdNerve_StartV.mp4,"(783, 463)","(1081, 462)",left
V3rdNerve_StartV.mp4,"(782, 463)","(1081, 462)",left
V3rdNerve_StartV.mp4,"(782, 463)","(1081, 461)",left
V3rdNerve_StartV.mp4,"(783, 464)","(1080, 462)",left
V3rdNerve_StartV.mp4,"(781, 463)","(1081, 462)",left
V3rdNerve_StartV.mp4,"(782, 466)","(1079, 460)",left
V3rdNerve_StartV.mp4,"(781, 465)","(1080, 461)",left
V3rdNerve_StartV.mp4,"(779, 464)","(1080, 461)",center
V3rdNerve_StartV.mp4,"(780, 465)","(1079, 460)",left
V3rdNerve_StartV.mp4,"(779, 466)","(1080, 462)",center
