video_name,left_pupil,right_pupil,gaze_direction
V6thNerve_StartV.mp4,"(765, 466)","(1027, 464)",right
V6thNerve_StartV.mp4,"(760, 467)","(1026, 464)",right
V6thNerve_StartV.mp4,"(760, 468)","(1027, 464)",right
V6thNerve_StartV.mp4,"(759, 468)","(1027, 464)",right
V6thNerve_StartV.mp4,"(758, 468)","(1026, 464)",right
V6thNerve_StartV.mp4,"(758, 467)","(1027, 464)",right
V6thNerve_StartV.mp4,"(757, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(756, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(755, 468)","(1026, 463)",right
V6thNerve_StartV.mp4,"(754, 469)","(1027, 465)",right
V6thNerve_StartV.mp4,"(754, 469)","(1026, 465)",right
V6thNerve_StartV.mp4,"(753, 468)","(1027, 465)",right
V6thNerve_StartV.mp4,"(753, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(752, 469)","(1026, 463)",right
V6thNerve_StartV.mp4,"(752, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(751, 467)","(1025, 463)",right
V6thNerve_StartV.mp4,"(751, 466)","(1025, 463)",right
V6thNerve_StartV.mp4,"(751, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(749, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(749, 467)","(1026, 463)",right
V6thNerve_StartV.mp4,"(749, 467)","(1025, 463)",right
V6thNerve_StartV.mp4,"(748, 466)","(1025, 463)",right
V6thNerve_StartV.mp4,"(748, 468)","(1026, 463)",right
V6thNerve_StartV.mp4,"(747, 466)","(1025, 463)",right
V6thNerve_StartV.mp4,"(746, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(747, 467)","(1025, 463)",right
V6thNerve_StartV.mp4,"(746, 466)","(1025, 463)",right
V6thNerve_StartV.mp4,"(746, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(746, 467)","(1025, 463)",right
V6thNerve_StartV.mp4,"(745, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(745, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(745, 470)","(1025, 464)",right
V6thNerve_StartV.mp4,"(746, 469)","(1026, 464)",right
V6thNerve_StartV.mp4,"(744, 468)","(1026, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1026, 464)",right
V6thNerve_StartV.mp4,"(744, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(744, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(744, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(744, 468)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
V6thNerve_StartV.mp4,"(743, 469)","(1025, 463)",right
