video_name,left_pupil,right_pupil,gaze_direction
1_startRightKanRoraCam4.mp4,"(964, 489)","(1157, 483)",right
1_startRightKanRoraCam4.mp4,"(955, 489)","(1154, 483)",right
1_startRightKanRoraCam4.mp4,"(948, 486)","(1157, 481)",right
1_startRightKanRoraCam4.mp4,"(949, 487)","(1161, 482)",right
1_startRightKanRoraCam4.mp4,"(958, 486)","(1172, 482)",right
1_startRightKanRoraCam4.mp4,"(969, 486)","(1180, 482)",right
1_startRightKanRoraCam4.mp4,"(977, 486)","(1182, 484)",right
1_startRightKanRoraCam4.mp4,"(978, 487)","(1178, 484)",right
1_startRightKanRoraCam4.mp4,"(975, 489)","(1170, 486)",right
1_startRightKanRoraCam4.mp4,"(975, 489)","(1167, 487)",right
1_startRightKanRoraCam4.mp4,"(975, 489)","(1167, 486)",right
1_startRightKanRoraCam4.mp4,"(978, 490)","(1170, 486)",right
1_startRightKanRoraCam4.mp4,"(981, 490)","(1174, 486)",right
1_startRightKanRoraCam4.mp4,"(986, 489)","(1180, 486)",right
1_startRightKanRoraCam4.mp4,"(992, 490)","(1187, 486)",right
1_startRightKanRoraCam4.mp4,"(998, 489)","(1194, 486)",right
1_startRightKanRoraCam4.mp4,"(1003, 488)","(1202, 485)",right
1_startRightKanRoraCam4.mp4,"(1013, 490)","(1212, 486)",right
1_startRightKanRoraCam4.mp4,"(1019, 487)","(1220, 485)",right
1_startRightKanRoraCam4.mp4,"(1029, 489)","(1230, 485)",right
1_startRightKanRoraCam4.mp4,"(1037, 487)","(1240, 485)",right
1_startRightKanRoraCam4.mp4,"(1046, 488)","(1250, 485)",right
1_startRightKanRoraCam4.mp4,"(1053, 486)","(1259, 484)",right
1_startRightKanRoraCam4.mp4,"(1062, 486)","(1269, 484)",right
1_startRightKanRoraCam4.mp4,"(1071, 488)","(1279, 484)",right
1_startRightKanRoraCam4.mp4,"(1078, 487)","(1287, 484)",right
1_startRightKanRoraCam4.mp4,"(1086, 486)","(1296, 484)",right
1_startRightKanRoraCam4.mp4,"(1093, 486)","(1304, 483)",right
1_startRightKanRoraCam4.mp4,"(1100, 487)","(1312, 483)",right
1_startRightKanRoraCam4.mp4,"(1110, 485)","(1318, 483)",right
1_startRightKanRoraCam4.mp4,"(1113, 486)","(1326, 483)",right
1_startRightKanRoraCam4.mp4,"(1122, 482)","(1332, 482)",center
1_startRightKanRoraCam4.mp4,"(1128, 484)","(1337, 483)",right
1_startRightKanRoraCam4.mp4,"(1133, 484)","(1342, 482)",right
1_startRightKanRoraCam4.mp4,"(1137, 485)","(1347, 483)",right
1_startRightKanRoraCam4.mp4,"(1141, 484)","(1350, 483)",right
1_startRightKanRoraCam4.mp4,"(1146, 486)","(1353, 482)",center
1_startRightKanRoraCam4.mp4,"(1147, 484)","(1355, 482)",center
1_startRightKanRoraCam4.mp4,"(1149, 486)","(1357, 482)",center
1_startRightKanRoraCam4.mp4,"(1149, 485)","(1357, 482)",center
1_startRightKanRoraCam4.mp4,"(1148, 486)","(1356, 482)",center
1_startRightKanRoraCam4.mp4,"(1146, 485)","(1354, 482)",center
1_startRightKanRoraCam4.mp4,"(1143, 484)","(1353, 481)",center
1_startRightKanRoraCam4.mp4,"(1138, 485)","(1346, 482)",center
1_startRightKanRoraCam4.mp4,"(1133, 484)","(1342, 482)",center
1_startRightKanRoraCam4.mp4,"(1127, 484)","(1336, 483)",center
1_startRightKanRoraCam4.mp4,"(1120, 484)","(1330, 482)",center
1_startRightKanRoraCam4.mp4,"(1113, 485)","(1323, 481)",center
1_startRightKanRoraCam4.mp4,"(1104, 483)","(1316, 481)",center
1_startRightKanRoraCam4.mp4,"(1096, 484)","(1306, 481)",center
1_startRightKanRoraCam4.mp4,"(1085, 482)","(1297, 480)",center
1_startRightKanRoraCam4.mp4,"(1075, 482)","(1288, 481)",center
1_startRightKanRoraCam4.mp4,"(1066, 485)","(1278, 482)",center
1_startRightKanRoraCam4.mp4,"(1053, 482)","(1266, 481)",center
1_startRightKanRoraCam4.mp4,"(1042, 482)","(1255, 480)",center
1_startRightKanRoraCam4.mp4,"(1030, 482)","(1244, 480)",center
1_startRightKanRoraCam4.mp4,"(1019, 482)","(1232, 481)",center
1_startRightKanRoraCam4.mp4,"(1008, 482)","(1221, 481)",left
1_startRightKanRoraCam4.mp4,"(995, 482)","(1209, 481)",left
1_startRightKanRoraCam4.mp4,"(982, 481)","(1198, 480)",left
1_startRightKanRoraCam4.mp4,"(970, 482)","(1185, 481)",left
1_startRightKanRoraCam4.mp4,"(958, 482)","(1173, 482)",left
1_startRightKanRoraCam4.mp4,"(946, 482)","(1160, 481)",left
1_startRightKanRoraCam4.mp4,"(934, 482)","(1149, 482)",left
