video_name,left_pupil,right_pupil,gaze_direction
1p SHB C1.mp4,"(738, 469)","(1023, 464)",right
1p SHB C1.mp4,"(739, 471)","(1023, 464)",right
1p SHB C1.mp4,"(740, 472)","(1024, 464)",right
1p SHB C1.mp4,"(740, 471)","(1023, 463)",right
1p SHB C1.mp4,"(741, 471)","(1025, 465)",right
1p SHB C1.mp4,"(741, 471)","(1026, 465)",right
1p SHB C1.mp4,"(741, 469)","(1026, 464)",right
1p SHB C1.mp4,"(744, 473)","(1027, 464)",right
1p SHB C1.mp4,"(745, 470)","(1027, 463)",right
1p SHB C1.mp4,"(745, 468)","(1028, 463)",right
1p SHB C1.mp4,"(746, 468)","(1029, 463)",right
1p SHB C1.mp4,"(748, 471)","(1032, 464)",right
1p SHB C1.mp4,"(748, 467)","(1032, 463)",right
1p SHB C1.mp4,"(751, 471)","(1033, 465)",right
1p SHB C1.mp4,"(752, 471)","(1035, 464)",right
1p SHB C1.mp4,"(753, 469)","(1036, 464)",right
1p SHB C1.mp4,"(756, 471)","(1038, 464)",right
1p SHB C1.mp4,"(758, 472)","(1040, 465)",right
1p SHB C1.mp4,"(759, 472)","(1041, 465)",right
1p SHB C1.mp4,"(760, 469)","(1043, 464)",right
1p SHB C1.mp4,"(762, 469)","(1044, 465)",right
1p SHB C1.mp4,"(763, 470)","(1046, 464)",right
1p SHB C1.mp4,"(765, 470)","(1047, 465)",right
1p SHB C1.mp4,"(768, 471)","(1049, 465)",right
1p SHB C1.mp4,"(769, 470)","(1051, 465)",right
1p SHB C1.mp4,"(772, 472)","(1053, 465)",right
1p SHB C1.mp4,"(773, 469)","(1053, 464)",right
1p SHB C1.mp4,"(775, 469)","(1055, 465)",right
1p SHB C1.mp4,"(776, 469)","(1058, 463)",right
1p SHB C1.mp4,"(779, 469)","(1058, 465)",right
1p SHB C1.mp4,"(780, 469)","(1060, 465)",right
1p SHB C1.mp4,"(782, 469)","(1060, 466)",right
1p SHB C1.mp4,"(784, 470)","(1062, 466)",right
1p SHB C1.mp4,"(786, 469)","(1063, 466)",right
1p SHB C1.mp4,"(786, 469)","(1064, 466)",right
1p SHB C1.mp4,"(789, 469)","(1065, 465)",right
1p SHB C1.mp4,"(790, 469)","(1067, 466)",right
1p SHB C1.mp4,"(792, 469)","(1068, 466)",right
1p SHB C1.mp4,"(794, 469)","(1069, 466)",right
1p SHB C1.mp4,"(799, 467)","(1070, 466)",right
1p SHB C1.mp4,"(798, 469)","(1070, 465)",right
1p SHB C1.mp4,"(799, 469)","(1071, 466)",right
1p SHB C1.mp4,"(800, 469)","(1072, 467)",right
1p SHB C1.mp4,"(805, 468)","(1073, 465)",right
1p SHB C1.mp4,"(806, 468)","(1074, 465)",center
1p SHB C1.mp4,"(807, 468)","(1074, 465)",center
1p SHB C1.mp4,"(807, 468)","(1075, 466)",center
1p SHB C1.mp4,"(811, 467)","(1076, 466)",center
1p SHB C1.mp4,"(811, 468)","(1076, 466)",center
1p SHB C1.mp4,"(812, 469)","(1076, 466)",center
1p SHB C1.mp4,"(812, 470)","(1076, 465)",center
1p SHB C1.mp4,"(811, 468)","(1075, 465)",center
