video_name,left_pupil,right_pupil,gaze_direction
1p_startHBegransat_S.mp4,"(739, 468)","(1023, 462)",right
1p_startHBegransat_S.mp4,"(740, 470)","(1023, 464)",right
1p_startHBegransat_S.mp4,"(740, 471)","(1023, 464)",right
1p_startHBegransat_S.mp4,"(740, 471)","(1023, 463)",right
1p_startHBegransat_S.mp4,"(740, 469)","(1023, 463)",right
1p_startHBegransat_S.mp4,"(740, 468)","(1023, 463)",right
1p_startHBegransat_S.mp4,"(739, 470)","(1024, 464)",right
1p_startHBegransat_S.mp4,"(740, 468)","(1024, 463)",right
1p_startHBegransat_S.mp4,"(741, 470)","(1024, 463)",right
1p_startHBegransat_S.mp4,"(741, 469)","(1024, 464)",right
1p_startHBegransat_S.mp4,"(741, 468)","(1025, 463)",right
1p_startHBegransat_S.mp4,"(741, 470)","(1025, 463)",right
1p_startHBegransat_S.mp4,"(743, 469)","(1026, 464)",right
1p_startHBegransat_S.mp4,"(742, 468)","(1026, 463)",right
1p_startHBegransat_S.mp4,"(742, 468)","(1026, 463)",right
1p_startHBegransat_S.mp4,"(744, 469)","(1027, 463)",right
1p_startHBegransat_S.mp4,"(741, 468)","(1028, 464)",right
1p_startHBegransat_S.mp4,"(743, 467)","(1029, 463)",right
1p_startHBegransat_S.mp4,"(744, 466)","(1029, 463)",right
1p_startHBegransat_S.mp4,"(745, 465)","(1030, 463)",right
1p_startHBegransat_S.mp4,"(746, 467)","(1030, 463)",right
1p_startHBegransat_S.mp4,"(749, 469)","(1031, 464)",right
1p_startHBegransat_S.mp4,"(749, 470)","(1032, 464)",right
1p_startHBegransat_S.mp4,"(748, 467)","(1032, 464)",right
1p_startHBegransat_S.mp4,"(749, 467)","(1033, 464)",right
1p_startHBegransat_S.mp4,"(750, 467)","(1033, 464)",right
1p_startHBegransat_S.mp4,"(750, 468)","(1034, 464)",right
1p_startHBegransat_S.mp4,"(752, 470)","(1035, 464)",right
1p_startHBegransat_S.mp4,"(752, 468)","(1035, 464)",right
1p_startHBegransat_S.mp4,"(753, 467)","(1036, 464)",right
1p_startHBegransat_S.mp4,"(753, 467)","(1036, 463)",right
1p_startHBegransat_S.mp4,"(754, 467)","(1037, 464)",right
1p_startHBegransat_S.mp4,"(755, 467)","(1038, 464)",right
1p_startHBegransat_S.mp4,"(755, 467)","(1039, 464)",right
1p_startHBegransat_S.mp4,"(756, 467)","(1039, 464)",right
1p_startHBegransat_S.mp4,"(757, 467)","(1040, 464)",right
1p_startHBegransat_S.mp4,"(758, 467)","(1040, 464)",right
1p_startHBegransat_S.mp4,"(758, 467)","(1041, 463)",right
1p_startHBegransat_S.mp4,"(759, 468)","(1041, 464)",right
1p_startHBegransat_S.mp4,"(764, 465)","(1042, 464)",right
1p_startHBegransat_S.mp4,"(764, 465)","(1045, 462)",right
1p_startHBegransat_S.mp4,"(765, 465)","(1043, 463)",right
1p_startHBegransat_S.mp4,"(761, 468)","(1043, 464)",right
1p_startHBegransat_S.mp4,"(766, 467)","(1043, 464)",right
1p_startHBegransat_S.mp4,"(766, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 463)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 463)","(1044, 463)",center
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 464)",center
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHBegransat_S.mp4,"(767, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(766, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(766, 466)","(1044, 464)",right
1p_startHBegransat_S.mp4,"(765, 465)","(1044, 463)",center
1p_startHBegransat_S.mp4,"(765, 465)","(1043, 463)",right
1p_startHBegransat_S.mp4,"(764, 466)","(1043, 464)",right
1p_startHBegransat_S.mp4,"(764, 465)","(1045, 461)",right
1p_startHBegransat_S.mp4,"(759, 467)","(1042, 464)",right
