video_name,left_pupil,right_pupil,gaze_direction
CN3RightCam2.mp4,"(739, 471)","(1023, 463)",right
CN3RightCam2.mp4,"(740, 471)","(1024, 463)",right
CN3RightCam2.mp4,"(742, 470)","(1026, 463)",right
CN3RightCam2.mp4,"(745, 472)","(1028, 464)",right
CN3RightCam2.mp4,"(746, 469)","(1031, 463)",right
CN3RightCam2.mp4,"(750, 469)","(1035, 464)",right
CN3RightCam2.mp4,"(755, 472)","(1040, 465)",right
CN3RightCam2.mp4,"(760, 472)","(1044, 463)",right
CN3RightCam2.mp4,"(765, 472)","(1050, 464)",right
CN3RightCam2.mp4,"(770, 472)","(1055, 464)",right
CN3RightCam2.mp4,"(776, 471)","(1062, 465)",right
CN3RightCam2.mp4,"(783, 471)","(1069, 464)",right
CN3RightCam2.mp4,"(790, 472)","(1076, 465)",right
CN3RightCam2.mp4,"(795, 468)","(1083, 464)",right
CN3RightCam2.mp4,"(804, 471)","(1091, 465)",right
CN3RightCam2.mp4,"(811, 468)","(1100, 465)",right
CN3RightCam2.mp4,"(819, 469)","(1109, 465)",right
CN3RightCam2.mp4,"(828, 469)","(1117, 465)",right
CN3RightCam2.mp4,"(838, 472)","(1127, 465)",right
CN3RightCam2.mp4,"(846, 470)","(1136, 465)",right
CN3RightCam2.mp4,"(855, 469)","(1146, 466)",right
CN3RightCam2.mp4,"(864, 470)","(1155, 466)",right
CN3RightCam2.mp4,"(873, 469)","(1165, 466)",right
CN3RightCam2.mp4,"(883, 469)","(1174, 466)",right
CN3RightCam2.mp4,"(894, 469)","(1184, 465)",right
CN3RightCam2.mp4,"(903, 469)","(1194, 466)",right
CN3RightCam2.mp4,"(914, 473)","(1204, 468)",right
CN3RightCam2.mp4,"(924, 471)","(1214, 466)",right
CN3RightCam2.mp4,"(932, 469)","(1224, 466)",right
CN3RightCam2.mp4,"(941, 471)","(1233, 466)",right
CN3RightCam2.mp4,"(952, 469)","(1243, 466)",right
CN3RightCam2.mp4,"(962, 472)","(1252, 466)",right
CN3RightCam2.mp4,"(971, 471)","(1261, 467)",right
CN3RightCam2.mp4,"(979, 470)","(1270, 466)",right
CN3RightCam2.mp4,"(990, 472)","(1279, 467)",right
CN3RightCam2.mp4,"(998, 471)","(1287, 467)",right
CN3RightCam2.mp4,"(1006, 472)","(1295, 467)",right
CN3RightCam2.mp4,"(1013, 470)","(1304, 468)",right
CN3RightCam2.mp4,"(1022, 474)","(1312, 467)",right
CN3RightCam2.mp4,"(1030, 472)","(1318, 467)",right
CN3RightCam2.mp4,"(1037, 473)","(1327, 467)",center
CN3RightCam2.mp4,"(1044, 473)","(1334, 467)",right
CN3RightCam2.mp4,"(1052, 473)","(1340, 466)",center
CN3RightCam2.mp4,"(1058, 473)","(1347, 466)",center
CN3RightCam2.mp4,"(1065, 475)","(1352, 466)",center
