video_name,left_pupil,right_pupil,gaze_direction
CN6RightNoCam.mp4,"(773, 468)","(1023, 464)",right
CN6RightNoCam.mp4,"(773, 469)","(1024, 465)",right
CN6RightNoCam.mp4,"(773, 467)","(1024, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1024, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1024, 465)",right
CN6RightNoCam.mp4,"(773, 468)","(1024, 465)",right
CN6RightNoCam.mp4,"(773, 468)","(1025, 465)",right
CN6RightNoCam.mp4,"(773, 467)","(1025, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1026, 465)",right
CN6RightNoCam.mp4,"(773, 467)","(1025, 463)",right
CN6RightNoCam.mp4,"(773, 468)","(1026, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1027, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1027, 464)",right
CN6RightNoCam.mp4,"(774, 468)","(1028, 464)",right
CN6RightNoCam.mp4,"(773, 467)","(1031, 461)",right
CN6RightNoCam.mp4,"(773, 467)","(1029, 464)",right
CN6RightNoCam.mp4,"(773, 466)","(1030, 464)",right
CN6RightNoCam.mp4,"(773, 467)","(1031, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1031, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1033, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1033, 465)",right
CN6RightNoCam.mp4,"(773, 468)","(1034, 464)",right
CN6RightNoCam.mp4,"(773, 469)","(1035, 465)",right
CN6RightNoCam.mp4,"(773, 469)","(1036, 465)",right
CN6RightNoCam.mp4,"(773, 468)","(1037, 465)",right
CN6RightNoCam.mp4,"(773, 467)","(1037, 464)",right
CN6RightNoCam.mp4,"(773, 468)","(1039, 465)",right
CN6RightNoCam.mp4,"(773, 467)","(1040, 465)",center
CN6RightNoCam.mp4,"(773, 468)","(1041, 464)",right
CN6RightNoCam.mp4,"(773, 466)","(1042, 464)",center
CN6RightNoCam.mp4,"(773, 468)","(1043, 464)",center
CN6RightNoCam.mp4,"(773, 466)","(1044, 464)",center
CN6RightNoCam.mp4,"(773, 467)","(1046, 463)",center
CN6RightNoCam.mp4,"(773, 466)","(1047, 464)",center
CN6RightNoCam.mp4,"(774, 468)","(1048, 464)",center
CN6RightNoCam.mp4,"(773, 467)","(1049, 464)",center
CN6RightNoCam.mp4,"(773, 467)","(1050, 464)",center
CN6RightNoCam.mp4,"(774, 467)","(1052, 464)",center
CN6RightNoCam.mp4,"(774, 465)","(1053, 463)",center
CN6RightNoCam.mp4,"(775, 466)","(1056, 463)",center
CN6RightNoCam.mp4,"(776, 466)","(1058, 462)",center
CN6RightNoCam.mp4,"(776, 466)","(1060, 462)",center
CN6RightNoCam.mp4,"(777, 465)","(1061, 461)",center
CN6RightNoCam.mp4,"(778, 467)","(1062, 462)",center
CN6RightNoCam.mp4,"(779, 465)","(1063, 461)",center
CN6RightNoCam.mp4,"(780, 465)","(1065, 461)",center
CN6RightNoCam.mp4,"(779, 463)","(1066, 461)",center
CN6RightNoCam.mp4,"(780, 463)","(1068, 461)",center
CN6RightNoCam.mp4,"(782, 464)","(1069, 461)",center
CN6RightNoCam.mp4,"(784, 465)","(1070, 462)",center
CN6RightNoCam.mp4,"(784, 463)","(1072, 462)",center
CN6RightNoCam.mp4,"(785, 463)","(1073, 461)",center
CN6RightNoCam.mp4,"(786, 463)","(1074, 462)",left
CN6RightNoCam.mp4,"(787, 463)","(1075, 462)",center
CN6RightNoCam.mp4,"(788, 462)","(1076, 462)",center
CN6RightNoCam.mp4,"(789, 463)","(1077, 463)",left
CN6RightNoCam.mp4,"(790, 462)","(1077, 462)",left
CN6RightNoCam.mp4,"(791, 463)","(1079, 463)",left
CN6RightNoCam.mp4,"(792, 462)","(1082, 465)",left
CN6RightNoCam.mp4,"(792, 463)","(1080, 463)",left
CN6RightNoCam.mp4,"(793, 463)","(1081, 463)",left
CN6RightNoCam.mp4,"(794, 463)","(1081, 463)",left
CN6RightNoCam.mp4,"(794, 463)","(1081, 463)",left
CN6RightNoCam.mp4,"(795, 463)","(1082, 462)",left
CN6RightNoCam.mp4,"(796, 462)","(1082, 461)",left
CN6RightNoCam.mp4,"(796, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(797, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(796, 463)","(1083, 461)",left
CN6RightNoCam.mp4,"(797, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(797, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(797, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(797, 463)","(1083, 462)",left
CN6RightNoCam.mp4,"(796, 464)","(1082, 462)",left
CN6RightNoCam.mp4,"(796, 463)","(1081, 460)",left
CN6RightNoCam.mp4,"(796, 463)","(1082, 462)",left
CN6RightNoCam.mp4,"(795, 463)","(1081, 462)",left
CN6RightNoCam.mp4,"(794, 463)","(1084, 464)",left
CN6RightNoCam.mp4,"(794, 463)","(1081, 463)",left
