video_name,left_pupil,right_pupil,gaze_direction
H6thNerve_StartH.mp4,"(773, 466)","(1028, 464)",right
H6thNerve_StartH.mp4,"(773, 468)","(1028, 464)",right
H6thNerve_StartH.mp4,"(773, 469)","(1028, 464)",right
H6thNerve_StartH.mp4,"(773, 468)","(1028, 464)",right
H6thNerve_StartH.mp4,"(774, 468)","(1028, 464)",right
H6thNerve_StartH.mp4,"(774, 468)","(1028, 464)",right
H6thNerve_StartH.mp4,"(774, 468)","(1029, 465)",right
H6thNerve_StartH.mp4,"(774, 466)","(1028, 464)",right
H6thNerve_StartH.mp4,"(774, 467)","(1028, 463)",right
H6thNerve_StartH.mp4,"(775, 467)","(1029, 464)",right
H6thNerve_StartH.mp4,"(775, 466)","(1029, 464)",right
H6thNerve_StartH.mp4,"(775, 468)","(1029, 465)",right
H6thNerve_StartH.mp4,"(776, 467)","(1029, 464)",right
H6thNerve_StartH.mp4,"(776, 469)","(1030, 464)",right
H6thNerve_StartH.mp4,"(776, 468)","(1030, 465)",right
H6thNerve_StartH.mp4,"(777, 467)","(1030, 464)",right
H6thNerve_StartH.mp4,"(777, 467)","(1031, 464)",right
H6thNerve_StartH.mp4,"(777, 466)","(1031, 464)",right
H6thNerve_StartH.mp4,"(778, 465)","(1031, 464)",right
H6thNerve_StartH.mp4,"(778, 467)","(1031, 464)",right
H6thNerve_StartH.mp4,"(779, 466)","(1031, 464)",center
H6thNerve_StartH.mp4,"(779, 465)","(1032, 463)",center
H6thNerve_StartH.mp4,"(779, 466)","(1033, 464)",right
H6thNerve_StartH.mp4,"(780, 467)","(1033, 464)",right
H6thNerve_StartH.mp4,"(780, 465)","(1036, 462)",center
H6thNerve_StartH.mp4,"(781, 466)","(1034, 464)",center
H6thNerve_StartH.mp4,"(781, 465)","(1037, 462)",center
H6thNerve_StartH.mp4,"(782, 465)","(1034, 464)",right
H6thNerve_StartH.mp4,"(782, 465)","(1035, 464)",center
H6thNerve_StartH.mp4,"(781, 464)","(1035, 464)",center
H6thNerve_StartH.mp4,"(783, 466)","(1036, 465)",center
H6thNerve_StartH.mp4,"(783, 465)","(1036, 464)",center
H6thNerve_StartH.mp4,"(783, 464)","(1036, 465)",center
H6thNerve_StartH.mp4,"(782, 463)","(1037, 464)",center
H6thNerve_StartH.mp4,"(783, 463)","(1038, 464)",center
H6thNerve_StartH.mp4,"(785, 464)","(1038, 464)",center
H6thNerve_StartH.mp4,"(786, 465)","(1039, 465)",center
