video_name,left_pupil,right_pupil,gaze_direction
2_startLeftCam3.mp4,"(860, 485)","(1050, 483)",left
2_startLeftCam3.mp4,"(858, 484)","(1050, 483)",left
2_startLeftCam3.mp4,"(859, 484)","(1050, 482)",left
2_startLeftCam3.mp4,"(858, 484)","(1050, 483)",left
2_startLeftCam3.mp4,"(858, 484)","(1052, 484)",left
2_startLeftCam3.mp4,"(858, 484)","(1050, 482)",left
2_startLeftCam3.mp4,"(860, 484)","(1052, 483)",left
2_startLeftCam3.mp4,"(858, 484)","(1051, 482)",left
2_startLeftCam3.mp4,"(857, 484)","(1053, 484)",left
2_startLeftCam3.mp4,"(858, 484)","(1053, 483)",left
2_startLeftCam3.mp4,"(858, 484)","(1054, 483)",left
2_startLeftCam3.mp4,"(858, 484)","(1053, 483)",left
2_startLeftCam3.mp4,"(854, 483)","(1053, 481)",left
2_startLeftCam3.mp4,"(854, 483)","(1053, 482)",left
2_startLeftCam3.mp4,"(853, 483)","(1053, 482)",left
2_startLeftCam3.mp4,"(852, 483)","(1054, 482)",left
2_startLeftCam3.mp4,"(850, 483)","(1053, 482)",left
2_startLeftCam3.mp4,"(848, 483)","(1052, 482)",left
2_startLeftCam3.mp4,"(846, 482)","(1052, 482)",left
2_startLeftCam3.mp4,"(845, 483)","(1052, 483)",left
2_startLeftCam3.mp4,"(842, 482)","(1050, 482)",left
2_startLeftCam3.mp4,"(840, 482)","(1048, 481)",left
2_startLeftCam3.mp4,"(837, 482)","(1047, 480)",left
2_startLeftCam3.mp4,"(835, 482)","(1045, 481)",left
2_startLeftCam3.mp4,"(833, 482)","(1044, 481)",left
2_startLeftCam3.mp4,"(830, 482)","(1042, 481)",left
2_startLeftCam3.mp4,"(828, 482)","(1040, 480)",left
2_startLeftCam3.mp4,"(825, 481)","(1038, 480)",left
2_startLeftCam3.mp4,"(823, 482)","(1036, 481)",left
2_startLeftCam3.mp4,"(820, 482)","(1033, 480)",left
2_startLeftCam3.mp4,"(816, 482)","(1032, 481)",left
2_startLeftCam3.mp4,"(814, 481)","(1029, 481)",left
2_startLeftCam3.mp4,"(811, 481)","(1027, 480)",left
2_startLeftCam3.mp4,"(809, 482)","(1024, 481)",left
2_startLeftCam3.mp4,"(806, 482)","(1022, 481)",left
2_startLeftCam3.mp4,"(803, 482)","(1019, 480)",left
2_startLeftCam3.mp4,"(801, 483)","(1017, 480)",left
2_startLeftCam3.mp4,"(799, 482)","(1015, 480)",left
2_startLeftCam3.mp4,"(797, 482)","(1013, 479)",left
2_startLeftCam3.mp4,"(795, 482)","(1010, 479)",left
2_startLeftCam3.mp4,"(792, 482)","(1010, 481)",left
2_startLeftCam3.mp4,"(791, 482)","(1008, 481)",left
2_startLeftCam3.mp4,"(790, 483)","(1005, 480)",left
2_startLeftCam3.mp4,"(788, 482)","(1005, 481)",left
2_startLeftCam3.mp4,"(786, 482)","(1003, 480)",left
2_startLeftCam3.mp4,"(786, 483)","(1004, 481)",left
2_startLeftCam3.mp4,"(785, 483)","(1004, 482)",left
2_startLeftCam3.mp4,"(785, 482)","(1001, 480)",left
2_startLeftCam3.mp4,"(784, 482)","(1000, 479)",left
2_startLeftCam3.mp4,"(784, 482)","(1003, 483)",left
2_startLeftCam3.mp4,"(784, 482)","(1001, 481)",left
2_startLeftCam3.mp4,"(784, 482)","(1000, 481)",left
2_startLeftCam3.mp4,"(782, 482)","(999, 480)",left
2_startLeftCam3.mp4,"(781, 482)","(997, 479)",left
2_startLeftCam3.mp4,"(779, 482)","(998, 483)",left
2_startLeftCam3.mp4,"(776, 482)","(994, 480)",left
2_startLeftCam3.mp4,"(774, 482)","(992, 482)",left
2_startLeftCam3.mp4,"(771, 482)","(988, 480)",left
2_startLeftCam3.mp4,"(769, 483)","(985, 480)",left
2_startLeftCam3.mp4,"(765, 482)","(983, 481)",left
2_startLeftCam3.mp4,"(763, 483)","(977, 480)",left
2_startLeftCam3.mp4,"(757, 482)","(974, 480)",left
2_startLeftCam3.mp4,"(753, 482)","(970, 480)",left
2_startLeftCam3.mp4,"(748, 481)","(968, 483)",left
2_startLeftCam3.mp4,"(744, 482)","(962, 481)",left
2_startLeftCam3.mp4,"(739, 482)","(956, 481)",left
2_startLeftCam3.mp4,"(734, 482)","(952, 481)",left
2_startLeftCam3.mp4,"(729, 481)","(946, 481)",left
2_startLeftCam3.mp4,"(723, 481)","(943, 483)",left
2_startLeftCam3.mp4,"(717, 481)","(934, 480)",left
2_startLeftCam3.mp4,"(712, 482)","(931, 482)",left
2_startLeftCam3.mp4,"(706, 481)","(922, 480)",left
2_startLeftCam3.mp4,"(701, 482)","(915, 479)",left
2_startLeftCam3.mp4,"(694, 482)","(910, 480)",left
2_startLeftCam3.mp4,"(688, 482)","(904, 481)",left
2_startLeftCam3.mp4,"(681, 481)","(897, 480)",left
2_startLeftCam3.mp4,"(675, 481)","(891, 481)",left
2_startLeftCam3.mp4,"(668, 481)","(884, 481)",left
2_startLeftCam3.mp4,"(663, 482)","(878, 481)",left
2_startLeftCam3.mp4,"(656, 482)","(871, 481)",left
2_startLeftCam3.mp4,"(650, 482)","(862, 481)",left
2_startLeftCam3.mp4,"(643, 481)","(856, 480)",left
2_startLeftCam3.mp4,"(636, 481)","(849, 480)",left
2_startLeftCam3.mp4,"(629, 481)","(842, 480)",left
2_startLeftCam3.mp4,"(622, 482)","(835, 481)",left
2_startLeftCam3.mp4,"(616, 481)","(828, 481)",left
2_startLeftCam3.mp4,"(610, 482)","(823, 482)",left
2_startLeftCam3.mp4,"(603, 482)","(816, 482)",left
2_startLeftCam3.mp4,"(597, 481)","(810, 484)",left
2_startLeftCam3.mp4,"(591, 482)","(801, 481)",left
2_startLeftCam3.mp4,"(585, 482)","(794, 481)",left
2_startLeftCam3.mp4,"(578, 482)","(788, 481)",left
2_startLeftCam3.mp4,"(573, 482)","(781, 480)",left
2_startLeftCam3.mp4,"(566, 482)","(777, 482)",left
2_startLeftCam3.mp4,"(562, 481)","(770, 481)",left
2_startLeftCam3.mp4,"(556, 481)","(764, 482)",left
2_startLeftCam3.mp4,"(552, 482)","(758, 481)",left
2_startLeftCam3.mp4,"(546, 482)","(753, 482)",left
2_startLeftCam3.mp4,"(542, 482)","(748, 481)",left
2_startLeftCam3.mp4,"(537, 482)","(744, 482)",left
2_startLeftCam3.mp4,"(534, 482)","(742, 487)",left
2_startLeftCam3.mp4,"(532, 483)","(736, 482)",left
2_startLeftCam3.mp4,"(527, 482)","(732, 481)",left
2_startLeftCam3.mp4,"(523, 482)","(729, 481)",left
2_startLeftCam3.mp4,"(522, 482)","(726, 482)",left
2_startLeftCam3.mp4,"(519, 482)","(724, 481)",left
2_startLeftCam3.mp4,"(517, 482)","(722, 482)",left
2_startLeftCam3.mp4,"(516, 482)","(721, 481)",left
2_startLeftCam3.mp4,"(516, 482)","(720, 482)",left
