video_name,left_pupil,right_pupil,gaze_direction
2_startLeftCamNew.mp4,"(781, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(781, 482)","(1000, 482)",left
2_startLeftCamNew.mp4,"(781, 482)","(1000, 482)",left
2_startLeftCamNew.mp4,"(781, 482)","(998, 481)",left
2_startLeftCamNew.mp4,"(780, 482)","(1000, 483)",left
2_startLeftCamNew.mp4,"(780, 482)","(997, 481)",left
2_startLeftCamNew.mp4,"(779, 482)","(996, 480)",left
2_startLeftCamNew.mp4,"(778, 482)","(996, 481)",left
2_startLeftCamNew.mp4,"(778, 482)","(997, 483)",left
2_startLeftCamNew.mp4,"(776, 482)","(995, 481)",left
2_startLeftCamNew.mp4,"(776, 482)","(994, 481)",left
2_startLeftCamNew.mp4,"(776, 482)","(995, 482)",left
2_startLeftCamNew.mp4,"(775, 482)","(992, 480)",left
2_startLeftCamNew.mp4,"(774, 482)","(991, 480)",left
2_startLeftCamNew.mp4,"(774, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(775, 483)","(990, 480)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(992, 483)",left
2_startLeftCamNew.mp4,"(772, 482)","(992, 483)",left
2_startLeftCamNew.mp4,"(772, 481)","(990, 481)",left
2_startLeftCamNew.mp4,"(772, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 480)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(772, 482)","(990, 480)",left
2_startLeftCamNew.mp4,"(772, 482)","(989, 480)",left
2_startLeftCamNew.mp4,"(773, 483)","(990, 480)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(772, 482)","(990, 480)",left
2_startLeftCamNew.mp4,"(773, 483)","(991, 482)",left
2_startLeftCamNew.mp4,"(772, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 481)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(990, 481)",left
2_startLeftCamNew.mp4,"(774, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(773, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(774, 482)","(993, 482)",left
2_startLeftCamNew.mp4,"(774, 483)","(993, 483)",left
2_startLeftCamNew.mp4,"(774, 482)","(991, 481)",left
2_startLeftCamNew.mp4,"(774, 482)","(991, 480)",left
2_startLeftCamNew.mp4,"(774, 482)","(992, 481)",left
2_startLeftCamNew.mp4,"(775, 482)","(991, 480)",left
2_startLeftCamNew.mp4,"(775, 482)","(992, 481)",left
2_startLeftCamNew.mp4,"(775, 483)","(994, 483)",left
2_startLeftCamNew.mp4,"(775, 482)","(992, 481)",left
2_startLeftCamNew.mp4,"(775, 482)","(993, 482)",left
2_startLeftCamNew.mp4,"(776, 483)","(992, 481)",left
2_startLeftCamNew.mp4,"(775, 482)","(995, 484)",left
2_startLeftCamNew.mp4,"(776, 482)","(992, 480)",left
2_startLeftCamNew.mp4,"(777, 482)","(993, 481)",left
2_startLeftCamNew.mp4,"(776, 482)","(995, 483)",left
2_startLeftCamNew.mp4,"(776, 483)","(993, 481)",left
2_startLeftCamNew.mp4,"(778, 483)","(994, 481)",left
2_startLeftCamNew.mp4,"(777, 482)","(993, 481)",left
2_startLeftCamNew.mp4,"(778, 483)","(994, 482)",left
2_startLeftCamNew.mp4,"(778, 484)","(993, 480)",left
2_startLeftCamNew.mp4,"(777, 482)","(994, 481)",left
2_startLeftCamNew.mp4,"(777, 482)","(994, 481)",left
2_startLeftCamNew.mp4,"(777, 482)","(995, 481)",left
2_startLeftCamNew.mp4,"(777, 481)","(995, 480)",left
2_startLeftCamNew.mp4,"(777, 482)","(995, 481)",left
2_startLeftCamNew.mp4,"(777, 481)","(995, 481)",left
2_startLeftCamNew.mp4,"(778, 482)","(996, 482)",left
2_startLeftCamNew.mp4,"(778, 482)","(995, 481)",left
2_startLeftCamNew.mp4,"(778, 482)","(996, 480)",left
2_startLeftCamNew.mp4,"(778, 483)","(996, 481)",left
2_startLeftCamNew.mp4,"(779, 483)","(995, 480)",left
2_startLeftCamNew.mp4,"(778, 482)","(996, 481)",left
2_startLeftCamNew.mp4,"(778, 482)","(997, 481)",left
2_startLeftCamNew.mp4,"(778, 483)","(996, 481)",left
2_startLeftCamNew.mp4,"(779, 482)","(996, 480)",left
2_startLeftCamNew.mp4,"(780, 482)","(996, 481)",left
2_startLeftCamNew.mp4,"(779, 482)","(996, 481)",left
2_startLeftCamNew.mp4,"(780, 482)","(999, 483)",left
2_startLeftCamNew.mp4,"(780, 482)","(997, 481)",left
2_startLeftCamNew.mp4,"(780, 482)","(997, 481)",left
2_startLeftCamNew.mp4,"(780, 481)","(997, 481)",left
2_startLeftCamNew.mp4,"(780, 482)","(997, 480)",left
2_startLeftCamNew.mp4,"(781, 482)","(997, 480)",left
2_startLeftCamNew.mp4,"(781, 483)","(997, 481)",left
2_startLeftCamNew.mp4,"(780, 482)","(998, 481)",left
2_startLeftCamNew.mp4,"(781, 483)","(1000, 483)",left
2_startLeftCamNew.mp4,"(781, 482)","(999, 482)",left
2_startLeftCamNew.mp4,"(781, 482)","(998, 480)",left
2_startLeftCamNew.mp4,"(781, 482)","(998, 481)",left
2_startLeftCamNew.mp4,"(781, 482)","(1001, 482)",left
2_startLeftCamNew.mp4,"(781, 482)","(1000, 482)",left
2_startLeftCamNew.mp4,"(781, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(781, 482)","(998, 480)",left
2_startLeftCamNew.mp4,"(781, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(781, 481)","(999, 481)",left
2_startLeftCamNew.mp4,"(781, 481)","(998, 480)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(781, 483)","(1001, 482)",left
2_startLeftCamNew.mp4,"(782, 483)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 483)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(1000, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(782, 482)","(999, 481)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
2_startLeftCamNew.mp4,"(783, 482)","(999, 480)",left
