video_name,left_pupil,right_pupil,gaze_direction
2_startLeftCamNew4.mp4,"(784, 482)","(998, 481)",left
2_startLeftCamNew4.mp4,"(783, 482)","(998, 481)",left
2_startLeftCamNew4.mp4,"(784, 482)","(998, 480)",left
2_startLeftCamNew4.mp4,"(783, 482)","(998, 480)",left
2_startLeftCamNew4.mp4,"(783, 482)","(998, 480)",left
2_startLeftCamNew4.mp4,"(784, 482)","(998, 481)",left
2_startLeftCamNew4.mp4,"(784, 483)","(1000, 482)",left
2_startLeftCamNew4.mp4,"(784, 483)","(997, 481)",left
2_startLeftCamNew4.mp4,"(784, 483)","(997, 481)",left
2_startLeftCamNew4.mp4,"(784, 483)","(997, 481)",left
2_startLeftCamNew4.mp4,"(783, 483)","(998, 481)",left
2_startLeftCamNew4.mp4,"(782, 482)","(997, 481)",left
2_startLeftCamNew4.mp4,"(783, 482)","(997, 481)",left
2_startLeftCamNew4.mp4,"(782, 482)","(996, 481)",left
2_startLeftCamNew4.mp4,"(782, 482)","(996, 481)",left
2_startLeftCamNew4.mp4,"(782, 482)","(996, 481)",left
2_startLeftCamNew4.mp4,"(780, 482)","(995, 481)",left
2_startLeftCamNew4.mp4,"(781, 482)","(995, 481)",left
2_startLeftCamNew4.mp4,"(781, 482)","(995, 481)",left
2_startLeftCamNew4.mp4,"(780, 482)","(997, 483)",left
2_startLeftCamNew4.mp4,"(780, 481)","(994, 480)",left
2_startLeftCamNew4.mp4,"(780, 481)","(994, 480)",left
2_startLeftCamNew4.mp4,"(780, 481)","(995, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(994, 481)",left
2_startLeftCamNew4.mp4,"(779, 481)","(996, 483)",left
2_startLeftCamNew4.mp4,"(779, 482)","(996, 483)",left
2_startLeftCamNew4.mp4,"(779, 481)","(994, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 480)",left
2_startLeftCamNew4.mp4,"(779, 481)","(996, 482)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 481)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 481)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(996, 482)",left
2_startLeftCamNew4.mp4,"(779, 482)","(994, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(996, 483)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(994, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 480)",left
2_startLeftCamNew4.mp4,"(779, 482)","(996, 482)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 480)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 481)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 480)",left
2_startLeftCamNew4.mp4,"(779, 481)","(994, 481)",left
2_startLeftCamNew4.mp4,"(779, 482)","(993, 480)",left
2_startLeftCamNew4.mp4,"(779, 481)","(994, 481)",left
