video_name,left_pupil,right_pupil,gaze_direction
2_startLeftNoCamNew3.mp4,"(781, 482)","(1000, 483)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(1000, 482)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(998, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(998, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(999, 482)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(997, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 481)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(780, 482)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(996, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(782, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
2_startLeftNoCamNew3.mp4,"(781, 483)","(995, 480)",left
