video_name,left_pupil,right_pupil,gaze_direction
2p Start Vänster Teo.mp4,"(738, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 465)","(1019, 464)",left
2p Start Vänster Teo.mp4,"(738, 465)","(1019, 464)",left
2p Start Vänster Teo.mp4,"(738, 465)","(1019, 464)",left
2p Start Vänster Teo.mp4,"(738, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(739, 465)","(1016, 462)",left
2p Start Vänster Teo.mp4,"(739, 465)","(1016, 462)",left
2p Start Vänster Teo.mp4,"(739, 465)","(1016, 462)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(739, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(740, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(740, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(740, 465)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(740, 466)","(1017, 462)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 465)","(1016, 460)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
2p Start Vänster Teo.mp4,"(738, 464)","(1016, 461)",left
