video_name,left_pupil,right_pupil,gaze_direction
2_startRightCamNew.mp4,"(737, 487)","(953, 482)",right
2_startRightCamNew.mp4,"(738, 489)","(952, 482)",right
2_startRightCamNew.mp4,"(736, 487)","(952, 482)",right
2_startRightCamNew.mp4,"(738, 488)","(953, 483)",right
2_startRightCamNew.mp4,"(736, 487)","(952, 482)",right
2_startRightCamNew.mp4,"(736, 486)","(952, 481)",right
2_startRightCamNew.mp4,"(735, 487)","(952, 483)",right
2_startRightCamNew.mp4,"(736, 488)","(952, 482)",right
2_startRightCamNew.mp4,"(736, 488)","(951, 482)",right
2_startRightCamNew.mp4,"(735, 487)","(951, 483)",right
2_startRightCamNew.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew.mp4,"(735, 488)","(950, 482)",right
2_startRightCamNew.mp4,"(735, 488)","(950, 482)",right
2_startRightCamNew.mp4,"(734, 487)","(950, 482)",right
2_startRightCamNew.mp4,"(733, 488)","(949, 482)",right
2_startRightCamNew.mp4,"(734, 489)","(949, 483)",right
2_startRightCamNew.mp4,"(733, 488)","(950, 481)",right
2_startRightCamNew.mp4,"(732, 487)","(948, 482)",right
2_startRightCamNew.mp4,"(731, 488)","(948, 482)",right
2_startRightCamNew.mp4,"(732, 488)","(947, 482)",right
2_startRightCamNew.mp4,"(731, 487)","(947, 483)",right
2_startRightCamNew.mp4,"(731, 486)","(946, 482)",right
2_startRightCamNew.mp4,"(731, 488)","(946, 483)",right
2_startRightCamNew.mp4,"(731, 489)","(945, 483)",right
2_startRightCamNew.mp4,"(729, 489)","(945, 483)",right
2_startRightCamNew.mp4,"(730, 489)","(945, 483)",right
2_startRightCamNew.mp4,"(730, 489)","(944, 482)",right
2_startRightCamNew.mp4,"(728, 488)","(944, 482)",right
2_startRightCamNew.mp4,"(727, 486)","(943, 482)",right
2_startRightCamNew.mp4,"(728, 489)","(943, 482)",right
2_startRightCamNew.mp4,"(727, 487)","(943, 482)",right
2_startRightCamNew.mp4,"(727, 488)","(942, 483)",right
2_startRightCamNew.mp4,"(727, 488)","(942, 483)",right
2_startRightCamNew.mp4,"(726, 490)","(942, 483)",right
2_startRightCamNew.mp4,"(727, 487)","(942, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 487)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 489)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 489)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 489)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 489)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 483)",right
2_startRightCamNew.mp4,"(726, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(725, 487)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
2_startRightCamNew.mp4,"(726, 488)","(941, 482)",right
