video_name,left_pupil,right_pupil,gaze_direction
2_startRightCamNew5.mp4,"(739, 487)","(955, 483)",right
2_startRightCamNew5.mp4,"(739, 487)","(955, 483)",right
2_startRightCamNew5.mp4,"(739, 487)","(954, 482)",right
2_startRightCamNew5.mp4,"(739, 488)","(955, 482)",right
2_startRightCamNew5.mp4,"(738, 487)","(954, 482)",right
2_startRightCamNew5.mp4,"(739, 486)","(954, 483)",right
2_startRightCamNew5.mp4,"(738, 487)","(954, 482)",right
2_startRightCamNew5.mp4,"(737, 486)","(954, 482)",right
2_startRightCamNew5.mp4,"(738, 488)","(956, 480)",right
2_startRightCamNew5.mp4,"(739, 489)","(954, 483)",right
2_startRightCamNew5.mp4,"(736, 487)","(953, 483)",right
2_startRightCamNew5.mp4,"(738, 488)","(953, 482)",right
2_startRightCamNew5.mp4,"(736, 486)","(953, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(736, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(736, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(950, 481)",right
2_startRightCamNew5.mp4,"(733, 485)","(950, 482)",right
2_startRightCamNew5.mp4,"(732, 485)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 487)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 488)","(949, 483)",right
2_startRightCamNew5.mp4,"(732, 487)","(949, 483)",right
2_startRightCamNew5.mp4,"(732, 487)","(949, 483)",right
2_startRightCamNew5.mp4,"(733, 486)","(948, 483)",right
2_startRightCamNew5.mp4,"(731, 488)","(948, 483)",right
2_startRightCamNew5.mp4,"(733, 489)","(947, 482)",right
2_startRightCamNew5.mp4,"(732, 488)","(948, 483)",right
2_startRightCamNew5.mp4,"(732, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 483)",right
2_startRightCamNew5.mp4,"(732, 488)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 486)","(947, 483)",right
2_startRightCamNew5.mp4,"(730, 485)","(947, 483)",right
2_startRightCamNew5.mp4,"(730, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(946, 482)",right
2_startRightCamNew5.mp4,"(730, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(730, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(730, 486)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 486)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 486)","(947, 483)",right
2_startRightCamNew5.mp4,"(732, 488)","(947, 482)",right
2_startRightCamNew5.mp4,"(732, 486)","(947, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 488)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 487)","(947, 483)",right
2_startRightCamNew5.mp4,"(732, 488)","(948, 483)",right
2_startRightCamNew5.mp4,"(731, 484)","(949, 480)",right
2_startRightCamNew5.mp4,"(731, 486)","(947, 482)",right
2_startRightCamNew5.mp4,"(733, 488)","(947, 482)",right
2_startRightCamNew5.mp4,"(731, 487)","(948, 482)",right
2_startRightCamNew5.mp4,"(732, 486)","(948, 483)",right
2_startRightCamNew5.mp4,"(732, 487)","(948, 483)",right
2_startRightCamNew5.mp4,"(731, 487)","(948, 482)",right
2_startRightCamNew5.mp4,"(733, 487)","(948, 483)",right
2_startRightCamNew5.mp4,"(733, 486)","(948, 483)",right
2_startRightCamNew5.mp4,"(733, 488)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 488)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 487)","(948, 482)",right
2_startRightCamNew5.mp4,"(733, 487)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 486)","(949, 482)",right
2_startRightCamNew5.mp4,"(732, 487)","(949, 482)",right
2_startRightCamNew5.mp4,"(734, 489)","(949, 483)",right
2_startRightCamNew5.mp4,"(733, 486)","(949, 482)",right
2_startRightCamNew5.mp4,"(734, 489)","(949, 483)",right
2_startRightCamNew5.mp4,"(734, 487)","(949, 482)",right
2_startRightCamNew5.mp4,"(733, 486)","(949, 482)",right
2_startRightCamNew5.mp4,"(734, 489)","(949, 482)",right
2_startRightCamNew5.mp4,"(734, 488)","(949, 483)",right
2_startRightCamNew5.mp4,"(733, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(733, 487)","(949, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(733, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(734, 487)","(950, 482)",right
2_startRightCamNew5.mp4,"(735, 486)","(950, 482)",right
2_startRightCamNew5.mp4,"(734, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(736, 487)","(951, 483)",right
2_startRightCamNew5.mp4,"(735, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(736, 486)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 483)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 487)","(951, 482)",right
2_startRightCamNew5.mp4,"(735, 486)","(952, 482)",right
2_startRightCamNew5.mp4,"(735, 486)","(952, 482)",right
2_startRightCamNew5.mp4,"(735, 486)","(952, 482)",right
2_startRightCamNew5.mp4,"(736, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 483)",right
2_startRightCamNew5.mp4,"(737, 488)","(952, 482)",right
2_startRightCamNew5.mp4,"(734, 486)","(952, 482)",right
2_startRightCamNew5.mp4,"(736, 485)","(952, 482)",right
2_startRightCamNew5.mp4,"(736, 486)","(952, 482)",right
2_startRightCamNew5.mp4,"(738, 488)","(952, 483)",right
2_startRightCamNew5.mp4,"(737, 488)","(952, 482)",right
2_startRightCamNew5.mp4,"(736, 488)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 487)","(952, 482)",right
2_startRightCamNew5.mp4,"(737, 486)","(953, 482)",right
2_startRightCamNew5.mp4,"(737, 486)","(953, 482)",right
2_startRightCamNew5.mp4,"(737, 488)","(953, 482)",right
