video_name,left_pupil,right_pupil,gaze_direction
2p Start Höger Teo.mp4,"(682, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 470)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(959, 464)",right
2p Start Höger Teo.mp4,"(681, 470)","(958, 464)",right
2p Start Höger Teo.mp4,"(682, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(682, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(682, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(682, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 473)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 472)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 472)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 472)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(681, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(680, 471)","(958, 464)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
2p Start Höger Teo.mp4,"(682, 471)","(957, 463)",right
