video_name,left_pupil,right_pupil,gaze_direction
2p_startH_S.mp4,"(739, 472)","(1022, 463)",right
2p_startH_S.mp4,"(739, 468)","(1023, 463)",right
2p_startH_S.mp4,"(739, 468)","(1025, 461)",right
2p_startH_S.mp4,"(740, 470)","(1023, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 464)",right
2p_startH_S.mp4,"(739, 468)","(1024, 464)",right
2p_startH_S.mp4,"(741, 472)","(1024, 464)",right
2p_startH_S.mp4,"(741, 470)","(1026, 461)",right
2p_startH_S.mp4,"(741, 470)","(1024, 463)",right
2p_startH_S.mp4,"(741, 469)","(1024, 463)",right
2p_startH_S.mp4,"(741, 469)","(1024, 463)",right
2p_startH_S.mp4,"(741, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 469)","(1026, 461)",right
2p_startH_S.mp4,"(741, 471)","(1024, 463)",right
2p_startH_S.mp4,"(740, 471)","(1024, 463)",right
2p_startH_S.mp4,"(741, 469)","(1023, 463)",right
2p_startH_S.mp4,"(739, 468)","(1024, 464)",right
2p_startH_S.mp4,"(740, 468)","(1024, 464)",right
2p_startH_S.mp4,"(740, 469)","(1024, 463)",right
2p_startH_S.mp4,"(740, 469)","(1024, 463)",right
2p_startH_S.mp4,"(740, 469)","(1023, 463)",right
2p_startH_S.mp4,"(740, 469)","(1024, 463)",right
2p_startH_S.mp4,"(740, 469)","(1024, 464)",right
2p_startH_S.mp4,"(739, 469)","(1023, 463)",right
2p_startH_S.mp4,"(740, 471)","(1026, 461)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(741, 472)","(1024, 464)",right
2p_startH_S.mp4,"(740, 471)","(1025, 464)",right
2p_startH_S.mp4,"(740, 468)","(1024, 463)",right
2p_startH_S.mp4,"(740, 468)","(1024, 463)",right
2p_startH_S.mp4,"(739, 471)","(1024, 464)",right
2p_startH_S.mp4,"(739, 471)","(1025, 464)",right
2p_startH_S.mp4,"(739, 471)","(1025, 464)",right
2p_startH_S.mp4,"(740, 472)","(1024, 464)",right
2p_startH_S.mp4,"(741, 471)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 464)",right
2p_startH_S.mp4,"(740, 469)","(1025, 464)",right
2p_startH_S.mp4,"(739, 470)","(1025, 464)",right
2p_startH_S.mp4,"(740, 470)","(1025, 464)",right
2p_startH_S.mp4,"(740, 470)","(1025, 464)",right
2p_startH_S.mp4,"(739, 469)","(1025, 463)",right
2p_startH_S.mp4,"(740, 469)","(1025, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 469)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(740, 470)","(1024, 463)",right
2p_startH_S.mp4,"(741, 473)","(1025, 464)",right
2p_startH_S.mp4,"(740, 473)","(1025, 464)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(740, 471)","(1024, 463)",right
2p_startH_S.mp4,"(740, 471)","(1024, 463)",right
2p_startH_S.mp4,"(741, 470)","(1024, 463)",right
2p_startH_S.mp4,"(742, 470)","(1025, 464)",right
2p_startH_S.mp4,"(741, 471)","(1027, 462)",right
2p_startH_S.mp4,"(741, 470)","(1024, 463)",right
2p_startH_S.mp4,"(741, 470)","(1024, 463)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(741, 471)","(1024, 464)",right
2p_startH_S.mp4,"(742, 471)","(1025, 464)",right
2p_startH_S.mp4,"(742, 471)","(1024, 463)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(740, 470)","(1024, 464)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(742, 472)","(1024, 464)",right
2p_startH_S.mp4,"(740, 470)","(1026, 461)",right
2p_startH_S.mp4,"(740, 470)","(1026, 461)",right
2p_startH_S.mp4,"(740, 470)","(1026, 461)",right
2p_startH_S.mp4,"(740, 470)","(1026, 461)",right
2p_startH_S.mp4,"(740, 469)","(1024, 464)",right
2p_startH_S.mp4,"(741, 469)","(1024, 464)",right
2p_startH_S.mp4,"(740, 469)","(1023, 463)",right
2p_startH_S.mp4,"(740, 469)","(1023, 463)",right
2p_startH_S.mp4,"(740, 469)","(1023, 463)",right
2p_startH_S.mp4,"(740, 469)","(1023, 463)",right
2p_startH_S.mp4,"(741, 470)","(1024, 464)",right
2p_startH_S.mp4,"(741, 470)","(1024, 464)",right
2p_startH_S.mp4,"(740, 472)","(1024, 465)",right
2p_startH_S.mp4,"(740, 470)","(1024, 464)",right
2p_startH_S.mp4,"(740, 472)","(1024, 465)",right
2p_startH_S.mp4,"(739, 472)","(1024, 465)",right
2p_startH_S.mp4,"(739, 470)","(1024, 464)",right
2p_startH_S.mp4,"(740, 469)","(1024, 464)",right
2p_startH_S.mp4,"(739, 470)","(1023, 463)",right
2p_startH_S.mp4,"(739, 470)","(1024, 464)",right
2p_startH_S.mp4,"(739, 469)","(1024, 464)",right
2p_startH_S.mp4,"(739, 469)","(1024, 464)",right
2p_startH_S.mp4,"(739, 469)","(1024, 464)",right
2p_startH_S.mp4,"(738, 470)","(1024, 465)",right
2p_startH_S.mp4,"(738, 470)","(1024, 465)",right
2p_startH_S.mp4,"(739, 469)","(1023, 464)",right
2p_startH_S.mp4,"(739, 470)","(1023, 464)",right
2p_startH_S.mp4,"(740, 472)","(1023, 464)",right
2p_startH_S.mp4,"(740, 472)","(1023, 464)",right
2p_startH_S.mp4,"(740, 471)","(1023, 464)",right
2p_startH_S.mp4,"(740, 471)","(1023, 464)",right
2p_startH_S.mp4,"(739, 470)","(1023, 464)",right
2p_startH_S.mp4,"(740, 473)","(1023, 464)",right
2p_startH_S.mp4,"(740, 471)","(1023, 464)",right
2p_startH_S.mp4,"(740, 472)","(1023, 465)",right
2p_startH_S.mp4,"(740, 471)","(1023, 464)",right
2p_startH_S.mp4,"(740, 473)","(1023, 465)",right
2p_startH_S.mp4,"(739, 472)","(1023, 464)",right
2p_startH_S.mp4,"(741, 472)","(1023, 464)",right
2p_startH_S.mp4,"(740, 473)","(1023, 464)",right
2p_startH_S.mp4,"(740, 473)","(1023, 464)",right
2p_startH_S.mp4,"(740, 473)","(1023, 464)",right
2p_startH_S.mp4,"(738, 471)","(1023, 465)",right
2p_startH_S.mp4,"(740, 472)","(1023, 464)",right
2p_startH_S.mp4,"(739, 473)","(1023, 465)",right
2p_startH_S.mp4,"(740, 473)","(1024, 465)",right
2p_startH_S.mp4,"(739, 473)","(1023, 465)",right
2p_startH_S.mp4,"(740, 472)","(1023, 464)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(737, 468)","(1023, 463)",right
2p_startH_S.mp4,"(737, 468)","(1023, 463)",right
2p_startH_S.mp4,"(737, 468)","(1023, 463)",right
2p_startH_S.mp4,"(737, 470)","(1023, 463)",right
2p_startH_S.mp4,"(739, 471)","(1023, 463)",right
2p_startH_S.mp4,"(739, 471)","(1023, 463)",right
2p_startH_S.mp4,"(738, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(735, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(736, 469)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(738, 470)","(1023, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
2p_startH_S.mp4,"(736, 470)","(1022, 463)",right
