video_name,left_pupil,right_pupil,gaze_direction
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1001, 481)",left
1_startLeftKanRoraNoCam.mp4,"(785, 483)","(1001, 481)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1001, 481)",left
1_startLeftKanRoraNoCam.mp4,"(784, 483)","(1000, 481)",left
1_startLeftKanRoraNoCam.mp4,"(783, 482)","(1000, 481)",left
1_startLeftKanRoraNoCam.mp4,"(784, 483)","(1000, 481)",left
1_startLeftKanRoraNoCam.mp4,"(783, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 483)","(1000, 481)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(999, 481)",left
1_startLeftKanRoraNoCam.mp4,"(783, 482)","(998, 480)",left
1_startLeftKanRoraNoCam.mp4,"(783, 482)","(998, 480)",left
1_startLeftKanRoraNoCam.mp4,"(783, 483)","(998, 481)",left
1_startLeftKanRoraNoCam.mp4,"(783, 483)","(998, 482)",left
1_startLeftKanRoraNoCam.mp4,"(783, 483)","(997, 480)",left
1_startLeftKanRoraNoCam.mp4,"(782, 482)","(997, 481)",left
1_startLeftKanRoraNoCam.mp4,"(781, 482)","(996, 481)",left
1_startLeftKanRoraNoCam.mp4,"(781, 482)","(996, 480)",left
1_startLeftKanRoraNoCam.mp4,"(782, 483)","(995, 480)",left
1_startLeftKanRoraNoCam.mp4,"(780, 482)","(994, 480)",left
1_startLeftKanRoraNoCam.mp4,"(780, 482)","(994, 480)",left
1_startLeftKanRoraNoCam.mp4,"(781, 483)","(996, 482)",left
1_startLeftKanRoraNoCam.mp4,"(779, 482)","(993, 481)",left
1_startLeftKanRoraNoCam.mp4,"(779, 482)","(992, 481)",center
1_startLeftKanRoraNoCam.mp4,"(778, 483)","(992, 481)",center
1_startLeftKanRoraNoCam.mp4,"(778, 482)","(991, 481)",left
1_startLeftKanRoraNoCam.mp4,"(777, 482)","(990, 480)",center
1_startLeftKanRoraNoCam.mp4,"(777, 481)","(989, 481)",center
1_startLeftKanRoraNoCam.mp4,"(776, 482)","(988, 480)",center
1_startLeftKanRoraNoCam.mp4,"(776, 483)","(989, 479)",center
1_startLeftKanRoraNoCam.mp4,"(776, 482)","(987, 481)",center
1_startLeftKanRoraNoCam.mp4,"(775, 482)","(988, 479)",center
1_startLeftKanRoraNoCam.mp4,"(775, 483)","(985, 481)",center
1_startLeftKanRoraNoCam.mp4,"(774, 483)","(986, 479)",center
1_startLeftKanRoraNoCam.mp4,"(774, 483)","(985, 480)",center
1_startLeftKanRoraNoCam.mp4,"(774, 483)","(984, 480)",center
1_startLeftKanRoraNoCam.mp4,"(774, 485)","(982, 482)",center
1_startLeftKanRoraNoCam.mp4,"(772, 482)","(982, 481)",center
1_startLeftKanRoraNoCam.mp4,"(773, 485)","(979, 482)",center
1_startLeftKanRoraNoCam.mp4,"(773, 485)","(978, 483)",center
1_startLeftKanRoraNoCam.mp4,"(771, 483)","(979, 481)",center
1_startLeftKanRoraNoCam.mp4,"(771, 484)","(976, 484)",center
1_startLeftKanRoraNoCam.mp4,"(770, 484)","(976, 483)",center
1_startLeftKanRoraNoCam.mp4,"(768, 482)","(975, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(768, 484)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(766, 484)","(973, 483)",center
1_startLeftKanRoraNoCam.mp4,"(765, 484)","(972, 483)",center
1_startLeftKanRoraNoCam.mp4,"(764, 484)","(972, 483)",center
1_startLeftKanRoraNoCam.mp4,"(764, 485)","(971, 483)",center
1_startLeftKanRoraNoCam.mp4,"(763, 485)","(971, 483)",center
1_startLeftKanRoraNoCam.mp4,"(762, 484)","(970, 483)",right
1_startLeftKanRoraNoCam.mp4,"(762, 484)","(969, 483)",right
1_startLeftKanRoraNoCam.mp4,"(757, 486)","(969, 483)",right
1_startLeftKanRoraNoCam.mp4,"(760, 483)","(970, 482)",right
1_startLeftKanRoraNoCam.mp4,"(756, 486)","(968, 483)",right
1_startLeftKanRoraNoCam.mp4,"(755, 485)","(970, 481)",right
1_startLeftKanRoraNoCam.mp4,"(754, 486)","(967, 483)",right
1_startLeftKanRoraNoCam.mp4,"(753, 486)","(967, 483)",right
1_startLeftKanRoraNoCam.mp4,"(753, 485)","(966, 483)",right
1_startLeftKanRoraNoCam.mp4,"(752, 486)","(966, 483)",right
1_startLeftKanRoraNoCam.mp4,"(751, 485)","(965, 483)",right
1_startLeftKanRoraNoCam.mp4,"(751, 486)","(965, 483)",right
1_startLeftKanRoraNoCam.mp4,"(751, 487)","(964, 482)",right
1_startLeftKanRoraNoCam.mp4,"(750, 485)","(964, 482)",right
1_startLeftKanRoraNoCam.mp4,"(749, 486)","(963, 482)",right
1_startLeftKanRoraNoCam.mp4,"(749, 487)","(963, 482)",right
1_startLeftKanRoraNoCam.mp4,"(748, 486)","(963, 482)",right
1_startLeftKanRoraNoCam.mp4,"(747, 486)","(962, 482)",right
1_startLeftKanRoraNoCam.mp4,"(746, 486)","(962, 483)",right
1_startLeftKanRoraNoCam.mp4,"(745, 486)","(962, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 485)","(961, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 485)","(961, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 485)","(961, 482)",right
1_startLeftKanRoraNoCam.mp4,"(745, 486)","(960, 482)",right
1_startLeftKanRoraNoCam.mp4,"(745, 486)","(961, 483)",right
1_startLeftKanRoraNoCam.mp4,"(744, 487)","(960, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(960, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 487)","(960, 483)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(960, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 486)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 488)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 488)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(742, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(742, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(742, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 487)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(743, 488)","(959, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 488)","(960, 482)",right
1_startLeftKanRoraNoCam.mp4,"(744, 487)","(960, 483)",right
1_startLeftKanRoraNoCam.mp4,"(745, 486)","(961, 483)",right
1_startLeftKanRoraNoCam.mp4,"(744, 485)","(962, 482)",right
1_startLeftKanRoraNoCam.mp4,"(745, 485)","(962, 483)",right
1_startLeftKanRoraNoCam.mp4,"(746, 485)","(963, 482)",right
1_startLeftKanRoraNoCam.mp4,"(748, 486)","(963, 482)",right
1_startLeftKanRoraNoCam.mp4,"(749, 486)","(964, 482)",right
1_startLeftKanRoraNoCam.mp4,"(750, 486)","(964, 482)",right
1_startLeftKanRoraNoCam.mp4,"(751, 485)","(965, 482)",right
1_startLeftKanRoraNoCam.mp4,"(752, 485)","(966, 484)",right
1_startLeftKanRoraNoCam.mp4,"(753, 487)","(967, 483)",right
1_startLeftKanRoraNoCam.mp4,"(754, 486)","(968, 483)",right
1_startLeftKanRoraNoCam.mp4,"(755, 486)","(969, 484)",right
1_startLeftKanRoraNoCam.mp4,"(756, 486)","(969, 483)",right
1_startLeftKanRoraNoCam.mp4,"(761, 484)","(970, 483)",center
1_startLeftKanRoraNoCam.mp4,"(762, 483)","(971, 483)",center
1_startLeftKanRoraNoCam.mp4,"(763, 483)","(971, 482)",center
1_startLeftKanRoraNoCam.mp4,"(764, 482)","(972, 482)",center
1_startLeftKanRoraNoCam.mp4,"(765, 484)","(973, 483)",center
1_startLeftKanRoraNoCam.mp4,"(767, 486)","(973, 484)",center
1_startLeftKanRoraNoCam.mp4,"(767, 482)","(973, 482)",center
1_startLeftKanRoraNoCam.mp4,"(768, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(767, 482)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 484)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 484)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 484)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(769, 483)","(974, 482)",center
1_startLeftKanRoraNoCam.mp4,"(770, 484)","(975, 482)",center
1_startLeftKanRoraNoCam.mp4,"(771, 486)","(977, 484)",center
1_startLeftKanRoraNoCam.mp4,"(773, 485)","(980, 482)",center
1_startLeftKanRoraNoCam.mp4,"(773, 482)","(985, 481)",center
1_startLeftKanRoraNoCam.mp4,"(776, 482)","(989, 481)",center
1_startLeftKanRoraNoCam.mp4,"(778, 482)","(994, 479)",center
1_startLeftKanRoraNoCam.mp4,"(780, 482)","(996, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 483)","(998, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 483)","(1000, 481)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1000, 480)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
1_startLeftKanRoraNoCam.mp4,"(784, 482)","(1003, 482)",left
