video_name,left_pupil,right_pupil,gaze_direction
1p Nystagmus Vänster.mp4,"(769, 482)","(976, 482)",center
1p Nystagmus Vänster.mp4,"(774, 485)","(981, 482)",center
1p Nystagmus Vänster.mp4,"(775, 483)","(986, 480)",center
1p Nystagmus Vänster.mp4,"(774, 485)","(981, 482)",center
1p Nystagmus Vänster.mp4,"(771, 485)","(976, 483)",center
1p Nystagmus Vänster.mp4,"(768, 483)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(770, 483)","(975, 482)",center
1p Nystagmus Vänster.mp4,"(772, 484)","(977, 482)",center
1p Nystagmus Vänster.mp4,"(774, 486)","(980, 482)",center
1p Nystagmus Vänster.mp4,"(774, 483)","(983, 480)",center
1p Nystagmus Vänster.mp4,"(774, 483)","(986, 480)",center
1p Nystagmus Vänster.mp4,"(772, 483)","(981, 481)",center
1p Nystagmus Vänster.mp4,"(768, 482)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(773, 484)","(980, 481)",center
1p Nystagmus Vänster.mp4,"(776, 484)","(985, 480)",center
1p Nystagmus Vänster.mp4,"(774, 484)","(984, 480)",center
1p Nystagmus Vänster.mp4,"(773, 484)","(978, 482)",center
1p Nystagmus Vänster.mp4,"(769, 483)","(975, 482)",center
1p Nystagmus Vänster.mp4,"(768, 482)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(768, 482)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(769, 483)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(769, 483)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(769, 483)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(771, 483)","(976, 482)",center
1p Nystagmus Vänster.mp4,"(774, 485)","(981, 481)",center
1p Nystagmus Vänster.mp4,"(775, 483)","(985, 480)",center
1p Nystagmus Vänster.mp4,"(774, 483)","(981, 481)",center
1p Nystagmus Vänster.mp4,"(771, 485)","(976, 483)",center
1p Nystagmus Vänster.mp4,"(768, 482)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(770, 485)","(975, 483)",center
1p Nystagmus Vänster.mp4,"(772, 484)","(977, 482)",center
1p Nystagmus Vänster.mp4,"(772, 482)","(982, 480)",center
1p Nystagmus Vänster.mp4,"(774, 483)","(983, 481)",center
1p Nystagmus Vänster.mp4,"(774, 483)","(983, 481)",center
1p Nystagmus Vänster.mp4,"(773, 485)","(978, 483)",center
1p Nystagmus Vänster.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Vänster.mp4,"(773, 484)","(978, 483)",center
1p Nystagmus Vänster.mp4,"(774, 482)","(984, 481)",center
1p Nystagmus Vänster.mp4,"(775, 484)","(984, 480)",center
1p Nystagmus Vänster.mp4,"(772, 482)","(981, 481)",center
