video_name,left_pupil,right_pupil,gaze_direction
1p_startVKanRora_S.mp4,"(797, 462)","(1082, 461)",left
1p_startVKanRora_S.mp4,"(798, 463)","(1082, 460)",left
1p_startVKanRora_S.mp4,"(797, 463)","(1082, 460)",left
1p_startVKanRora_S.mp4,"(797, 463)","(1083, 461)",left
1p_startVKanRora_S.mp4,"(796, 463)","(1082, 461)",left
1p_startVKanRora_S.mp4,"(796, 463)","(1082, 462)",left
1p_startVKanRora_S.mp4,"(796, 463)","(1081, 462)",left
1p_startVKanRora_S.mp4,"(796, 463)","(1081, 462)",left
1p_startVKanRora_S.mp4,"(796, 463)","(1081, 462)",left
1p_startVKanRora_S.mp4,"(795, 462)","(1080, 462)",left
1p_startVKanRora_S.mp4,"(795, 463)","(1080, 463)",left
1p_startVKanRora_S.mp4,"(794, 463)","(1080, 463)",left
1p_startVKanRora_S.mp4,"(794, 463)","(1079, 462)",left
1p_startVKanRora_S.mp4,"(794, 463)","(1078, 462)",left
1p_startVKanRora_S.mp4,"(793, 463)","(1077, 462)",left
1p_startVKanRora_S.mp4,"(792, 463)","(1077, 463)",left
1p_startVKanRora_S.mp4,"(792, 462)","(1076, 462)",left
1p_startVKanRora_S.mp4,"(791, 463)","(1075, 462)",left
1p_startVKanRora_S.mp4,"(791, 463)","(1075, 462)",left
1p_startVKanRora_S.mp4,"(790, 462)","(1074, 462)",left
1p_startVKanRora_S.mp4,"(790, 463)","(1073, 462)",center
1p_startVKanRora_S.mp4,"(789, 463)","(1072, 462)",center
1p_startVKanRora_S.mp4,"(788, 462)","(1070, 462)",left
1p_startVKanRora_S.mp4,"(787, 462)","(1069, 462)",left
1p_startVKanRora_S.mp4,"(788, 465)","(1068, 463)",center
1p_startVKanRora_S.mp4,"(788, 466)","(1066, 462)",center
1p_startVKanRora_S.mp4,"(786, 465)","(1065, 461)",center
1p_startVKanRora_S.mp4,"(784, 463)","(1064, 461)",center
1p_startVKanRora_S.mp4,"(784, 465)","(1063, 461)",center
1p_startVKanRora_S.mp4,"(781, 463)","(1062, 460)",center
1p_startVKanRora_S.mp4,"(783, 466)","(1061, 462)",center
1p_startVKanRora_S.mp4,"(782, 466)","(1060, 462)",center
1p_startVKanRora_S.mp4,"(781, 467)","(1058, 464)",center
1p_startVKanRora_S.mp4,"(777, 462)","(1059, 460)",center
1p_startVKanRora_S.mp4,"(779, 467)","(1054, 464)",center
1p_startVKanRora_S.mp4,"(778, 467)","(1053, 464)",center
1p_startVKanRora_S.mp4,"(777, 467)","(1051, 464)",center
1p_startVKanRora_S.mp4,"(775, 467)","(1050, 464)",center
1p_startVKanRora_S.mp4,"(774, 466)","(1049, 463)",center
1p_startVKanRora_S.mp4,"(773, 465)","(1048, 462)",center
1p_startVKanRora_S.mp4,"(772, 467)","(1047, 464)",center
1p_startVKanRora_S.mp4,"(771, 466)","(1045, 463)",center
1p_startVKanRora_S.mp4,"(767, 466)","(1045, 464)",right
1p_startVKanRora_S.mp4,"(766, 467)","(1043, 464)",right
1p_startVKanRora_S.mp4,"(761, 468)","(1042, 464)",right
