video_name,left_pupil,right_pupil,gaze_direction
1_startRightKanRoraNoCam.mp4,"(743, 468)","(1027, 463)",right
1_startRightKanRoraNoCam.mp4,"(744, 468)","(1027, 464)",right
1_startRightKanRoraNoCam.mp4,"(744, 469)","(1027, 464)",right
1_startRightKanRoraNoCam.mp4,"(744, 469)","(1027, 463)",right
1_startRightKanRoraNoCam.mp4,"(744, 468)","(1027, 463)",right
1_startRightKanRoraNoCam.mp4,"(744, 469)","(1027, 464)",right
1_startRightKanRoraNoCam.mp4,"(744, 469)","(1028, 464)",right
1_startRightKanRoraNoCam.mp4,"(746, 469)","(1028, 464)",right
1_startRightKanRoraNoCam.mp4,"(745, 469)","(1028, 463)",right
1_startRightKanRoraNoCam.mp4,"(746, 470)","(1029, 463)",right
1_startRightKanRoraNoCam.mp4,"(745, 468)","(1029, 463)",right
1_startRightKanRoraNoCam.mp4,"(746, 470)","(1029, 464)",right
1_startRightKanRoraNoCam.mp4,"(746, 469)","(1029, 463)",right
1_startRightKanRoraNoCam.mp4,"(747, 466)","(1030, 464)",right
1_startRightKanRoraNoCam.mp4,"(747, 470)","(1030, 464)",right
1_startRightKanRoraNoCam.mp4,"(748, 469)","(1031, 464)",right
1_startRightKanRoraNoCam.mp4,"(748, 468)","(1031, 463)",right
1_startRightKanRoraNoCam.mp4,"(749, 469)","(1032, 465)",right
1_startRightKanRoraNoCam.mp4,"(749, 468)","(1032, 463)",right
1_startRightKanRoraNoCam.mp4,"(749, 467)","(1033, 464)",right
1_startRightKanRoraNoCam.mp4,"(750, 467)","(1033, 464)",right
1_startRightKanRoraNoCam.mp4,"(750, 468)","(1033, 464)",right
1_startRightKanRoraNoCam.mp4,"(751, 468)","(1034, 464)",right
1_startRightKanRoraNoCam.mp4,"(752, 467)","(1035, 464)",right
1_startRightKanRoraNoCam.mp4,"(753, 467)","(1035, 464)",right
1_startRightKanRoraNoCam.mp4,"(754, 467)","(1036, 464)",right
1_startRightKanRoraNoCam.mp4,"(754, 468)","(1037, 464)",right
1_startRightKanRoraNoCam.mp4,"(755, 468)","(1037, 464)",right
1_startRightKanRoraNoCam.mp4,"(756, 467)","(1038, 464)",right
1_startRightKanRoraNoCam.mp4,"(757, 468)","(1039, 464)",right
1_startRightKanRoraNoCam.mp4,"(758, 467)","(1039, 464)",right
1_startRightKanRoraNoCam.mp4,"(759, 467)","(1041, 464)",right
1_startRightKanRoraNoCam.mp4,"(760, 467)","(1041, 464)",right
1_startRightKanRoraNoCam.mp4,"(765, 465)","(1042, 464)",center
1_startRightKanRoraNoCam.mp4,"(766, 466)","(1043, 464)",right
1_startRightKanRoraNoCam.mp4,"(767, 467)","(1044, 464)",right
1_startRightKanRoraNoCam.mp4,"(770, 467)","(1045, 464)",right
1_startRightKanRoraNoCam.mp4,"(771, 467)","(1046, 463)",center
1_startRightKanRoraNoCam.mp4,"(772, 465)","(1047, 463)",center
