video_name,left_pupil,right_pupil,gaze_direction
1p Nystagmus Höger.mp4,"(765, 484)","(972, 483)",center
1p Nystagmus Höger.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus Höger.mp4,"(756, 486)","(968, 483)",right
1p Nystagmus Höger.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus Höger.mp4,"(765, 482)","(973, 483)",center
1p Nystagmus Höger.mp4,"(769, 483)","(974, 483)",center
1p Nystagmus Höger.mp4,"(768, 483)","(973, 482)",center
1p Nystagmus Höger.mp4,"(764, 482)","(972, 483)",center
1p Nystagmus Höger.mp4,"(762, 484)","(970, 483)",right
1p Nystagmus Höger.mp4,"(761, 483)","(968, 483)",right
1p Nystagmus Höger.mp4,"(758, 481)","(968, 483)",center
1p Nystagmus Höger.mp4,"(764, 483)","(971, 483)",right
1p Nystagmus Höger.mp4,"(769, 485)","(974, 483)",center
1p Nystagmus Höger.mp4,"(763, 482)","(971, 483)",center
1p Nystagmus Höger.mp4,"(759, 484)","(968, 483)",right
1p Nystagmus Höger.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus Höger.mp4,"(763, 482)","(971, 483)",center
1p Nystagmus Höger.mp4,"(768, 484)","(973, 483)",center
1p Nystagmus Höger.mp4,"(769, 485)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 485)","(974, 482)",center
1p Nystagmus Höger.mp4,"(768, 483)","(974, 482)",center
1p Nystagmus Höger.mp4,"(768, 483)","(974, 482)",center
1p Nystagmus Höger.mp4,"(768, 483)","(974, 482)",center
1p Nystagmus Höger.mp4,"(765, 484)","(973, 483)",center
1p Nystagmus Höger.mp4,"(761, 485)","(969, 483)",right
1p Nystagmus Höger.mp4,"(759, 483)","(968, 483)",right
1p Nystagmus Höger.mp4,"(761, 484)","(969, 483)",right
1p Nystagmus Höger.mp4,"(764, 481)","(972, 482)",center
1p Nystagmus Höger.mp4,"(769, 485)","(974, 483)",center
1p Nystagmus Höger.mp4,"(768, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(764, 484)","(972, 483)",center
1p Nystagmus Höger.mp4,"(762, 484)","(970, 483)",right
1p Nystagmus Höger.mp4,"(760, 484)","(968, 483)",right
1p Nystagmus Höger.mp4,"(759, 484)","(968, 483)",right
1p Nystagmus Höger.mp4,"(762, 481)","(971, 482)",center
1p Nystagmus Höger.mp4,"(769, 483)","(976, 481)",center
1p Nystagmus Höger.mp4,"(762, 481)","(971, 482)",center
1p Nystagmus Höger.mp4,"(759, 484)","(968, 483)",right
1p Nystagmus Höger.mp4,"(757, 487)","(969, 483)",right
1p Nystagmus Höger.mp4,"(762, 481)","(971, 482)",center
1p Nystagmus Höger.mp4,"(768, 483)","(973, 483)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 483)",center
1p Nystagmus Höger.mp4,"(768, 484)","(974, 484)",center
1p Nystagmus Höger.mp4,"(768, 484)","(973, 482)",center
1p Nystagmus Höger.mp4,"(765, 485)","(972, 483)",right
1p Nystagmus Höger.mp4,"(764, 484)","(972, 483)",center
1p Nystagmus Höger.mp4,"(763, 482)","(971, 482)",center
1p Nystagmus Höger.mp4,"(763, 485)","(970, 484)",center
1p Nystagmus Höger.mp4,"(762, 484)","(970, 483)",right
1p Nystagmus Höger.mp4,"(765, 485)","(972, 484)",center
1p Nystagmus Höger.mp4,"(769, 483)","(974, 482)",center
1p Nystagmus Höger.mp4,"(765, 484)","(972, 484)",center
1p Nystagmus Höger.mp4,"(757, 487)","(968, 483)",right
1p Nystagmus Höger.mp4,"(753, 486)","(965, 483)",right
1p Nystagmus Höger.mp4,"(751, 485)","(963, 482)",right
1p Nystagmus Höger.mp4,"(750, 486)","(963, 483)",right
1p Nystagmus Höger.mp4,"(752, 485)","(964, 482)",right
1p Nystagmus Höger.mp4,"(755, 486)","(965, 483)",right
1p Nystagmus Höger.mp4,"(755, 486)","(965, 483)",right
1p Nystagmus Höger.mp4,"(754, 486)","(964, 483)",right
1p Nystagmus Höger.mp4,"(752, 486)","(964, 482)",right
1p Nystagmus Höger.mp4,"(751, 485)","(962, 482)",right
1p Nystagmus Höger.mp4,"(749, 487)","(961, 482)",right
1p Nystagmus Höger.mp4,"(746, 486)","(960, 481)",right
1p Nystagmus Höger.mp4,"(745, 486)","(960, 481)",right
1p Nystagmus Höger.mp4,"(744, 486)","(957, 482)",right
1p Nystagmus Höger.mp4,"(744, 487)","(956, 482)",right
1p Nystagmus Höger.mp4,"(741, 486)","(958, 480)",right
1p Nystagmus Höger.mp4,"(742, 487)","(956, 482)",right
1p Nystagmus Höger.mp4,"(744, 487)","(956, 482)",right
1p Nystagmus Höger.mp4,"(744, 486)","(959, 481)",right
1p Nystagmus Höger.mp4,"(745, 486)","(959, 482)",right
1p Nystagmus Höger.mp4,"(748, 486)","(961, 482)",right
1p Nystagmus Höger.mp4,"(750, 486)","(963, 482)",right
1p Nystagmus Höger.mp4,"(751, 485)","(963, 482)",right
1p Nystagmus Höger.mp4,"(748, 486)","(961, 482)",right
1p Nystagmus Höger.mp4,"(745, 486)","(957, 482)",right
1p Nystagmus Höger.mp4,"(742, 486)","(958, 480)",right
1p Nystagmus Höger.mp4,"(744, 487)","(959, 480)",right
1p Nystagmus Höger.mp4,"(745, 486)","(960, 481)",right
1p Nystagmus Höger.mp4,"(747, 486)","(960, 482)",right
1p Nystagmus Höger.mp4,"(748, 486)","(961, 483)",right
1p Nystagmus Höger.mp4,"(745, 486)","(960, 481)",right
1p Nystagmus Höger.mp4,"(743, 488)","(956, 482)",right
1p Nystagmus Höger.mp4,"(744, 486)","(957, 482)",right
1p Nystagmus Höger.mp4,"(747, 487)","(960, 483)",right
1p Nystagmus Höger.mp4,"(749, 487)","(962, 483)",right
1p Nystagmus Höger.mp4,"(745, 486)","(960, 480)",right
1p Nystagmus Höger.mp4,"(743, 487)","(957, 481)",right
1p Nystagmus Höger.mp4,"(744, 486)","(957, 481)",right
1p Nystagmus Höger.mp4,"(747, 487)","(959, 482)",right
1p Nystagmus Höger.mp4,"(748, 486)","(961, 482)",right
1p Nystagmus Höger.mp4,"(743, 486)","(960, 481)",right
1p Nystagmus Höger.mp4,"(742, 488)","(956, 482)",right
1p Nystagmus Höger.mp4,"(743, 487)","(958, 481)",right
1p Nystagmus Höger.mp4,"(745, 487)","(959, 482)",right
1p Nystagmus Höger.mp4,"(749, 487)","(962, 482)",right
1p Nystagmus Höger.mp4,"(752, 486)","(964, 482)",right
1p Nystagmus Höger.mp4,"(755, 486)","(967, 483)",right
1p Nystagmus Höger.mp4,"(757, 486)","(968, 483)",right
1p Nystagmus Höger.mp4,"(762, 485)","(970, 483)",right
1p Nystagmus Höger.mp4,"(763, 484)","(971, 484)",center
1p Nystagmus Höger.mp4,"(764, 483)","(971, 483)",center
1p Nystagmus Höger.mp4,"(764, 484)","(972, 483)",center
1p Nystagmus Höger.mp4,"(762, 484)","(970, 483)",right
1p Nystagmus Höger.mp4,"(755, 486)","(967, 483)",right
1p Nystagmus Höger.mp4,"(753, 486)","(965, 483)",right
1p Nystagmus Höger.mp4,"(762, 484)","(970, 483)",right
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(769, 484)","(974, 482)",center
1p Nystagmus Höger.mp4,"(770, 483)","(975, 482)",center
1p Nystagmus Höger.mp4,"(770, 484)","(976, 482)",center
1p Nystagmus Höger.mp4,"(771, 485)","(977, 483)",center
1p Nystagmus Höger.mp4,"(772, 485)","(978, 482)",center
1p Nystagmus Höger.mp4,"(773, 485)","(978, 483)",center
1p Nystagmus Höger.mp4,"(769, 483)","(975, 482)",center
1p Nystagmus Höger.mp4,"(765, 483)","(973, 483)",center
1p Nystagmus Höger.mp4,"(768, 483)","(974, 483)",center
1p Nystagmus Höger.mp4,"(772, 485)","(978, 482)",center
1p Nystagmus Höger.mp4,"(774, 482)","(986, 479)",center
1p Nystagmus Höger.mp4,"(777, 482)","(988, 481)",center
1p Nystagmus Höger.mp4,"(781, 482)","(993, 479)",left
1p Nystagmus Höger.mp4,"(783, 483)","(995, 480)",left
1p Nystagmus Höger.mp4,"(784, 482)","(996, 480)",left
1p Nystagmus Höger.mp4,"(785, 482)","(998, 481)",left
