video_name,left_pupil,right_pupil,gaze_direction
1p Start Vänster Kan Röra Teo.mp4,"(736, 469)","(1019, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(736, 472)","(1020, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(736, 472)","(1020, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(736, 470)","(1020, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(736, 471)","(1021, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(737, 472)","(1021, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(737, 468)","(1020, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(737, 469)","(1023, 461)",right
1p Start Vänster Kan Röra Teo.mp4,"(738, 469)","(1021, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(738, 471)","(1021, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(738, 469)","(1021, 462)",right
1p Start Vänster Kan Röra Teo.mp4,"(739, 470)","(1022, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(739, 470)","(1023, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(741, 472)","(1025, 461)",right
1p Start Vänster Kan Röra Teo.mp4,"(740, 468)","(1023, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(742, 469)","(1024, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(741, 469)","(1025, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(740, 467)","(1026, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(742, 469)","(1026, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(743, 468)","(1027, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(744, 468)","(1027, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(745, 468)","(1028, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(745, 467)","(1029, 463)",right
1p Start Vänster Kan Röra Teo.mp4,"(746, 468)","(1030, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(747, 467)","(1030, 464)",right
1p Start Vänster Kan Röra Teo.mp4,"(748, 467)","(1031, 463)",right
