video_name,left_pupil,right_pupil,gaze_direction
1p_startHKanRora_S.mp4,"(738, 470)","(1022, 463)",right
1p_startHKanRora_S.mp4,"(739, 471)","(1023, 463)",right
1p_startHKanRora_S.mp4,"(740, 472)","(1022, 463)",right
1p_startHKanRora_S.mp4,"(740, 470)","(1022, 463)",right
1p_startHKanRora_S.mp4,"(739, 470)","(1023, 464)",right
1p_startHKanRora_S.mp4,"(740, 469)","(1023, 463)",right
1p_startHKanRora_S.mp4,"(741, 469)","(1024, 463)",right
1p_startHKanRora_S.mp4,"(738, 469)","(1024, 463)",right
1p_startHKanRora_S.mp4,"(741, 472)","(1024, 464)",right
1p_startHKanRora_S.mp4,"(741, 468)","(1025, 463)",right
1p_startHKanRora_S.mp4,"(742, 468)","(1024, 463)",right
1p_startHKanRora_S.mp4,"(741, 468)","(1025, 463)",right
1p_startHKanRora_S.mp4,"(742, 468)","(1026, 463)",right
1p_startHKanRora_S.mp4,"(742, 469)","(1026, 463)",right
1p_startHKanRora_S.mp4,"(743, 469)","(1027, 463)",right
1p_startHKanRora_S.mp4,"(743, 468)","(1027, 462)",right
1p_startHKanRora_S.mp4,"(744, 468)","(1028, 463)",right
1p_startHKanRora_S.mp4,"(745, 467)","(1028, 463)",right
1p_startHKanRora_S.mp4,"(746, 470)","(1029, 464)",right
1p_startHKanRora_S.mp4,"(746, 470)","(1030, 464)",right
1p_startHKanRora_S.mp4,"(747, 468)","(1030, 463)",right
1p_startHKanRora_S.mp4,"(747, 468)","(1031, 463)",right
1p_startHKanRora_S.mp4,"(748, 468)","(1032, 464)",right
1p_startHKanRora_S.mp4,"(749, 467)","(1035, 462)",right
1p_startHKanRora_S.mp4,"(750, 467)","(1034, 464)",right
1p_startHKanRora_S.mp4,"(750, 468)","(1034, 464)",right
1p_startHKanRora_S.mp4,"(752, 467)","(1035, 464)",right
1p_startHKanRora_S.mp4,"(752, 467)","(1036, 464)",right
1p_startHKanRora_S.mp4,"(753, 468)","(1037, 464)",right
1p_startHKanRora_S.mp4,"(754, 468)","(1038, 464)",right
1p_startHKanRora_S.mp4,"(756, 467)","(1038, 464)",right
1p_startHKanRora_S.mp4,"(757, 468)","(1039, 464)",right
1p_startHKanRora_S.mp4,"(758, 469)","(1041, 464)",right
1p_startHKanRora_S.mp4,"(759, 468)","(1041, 465)",right
1p_startHKanRora_S.mp4,"(761, 468)","(1042, 464)",right
1p_startHKanRora_S.mp4,"(766, 465)","(1043, 463)",right
1p_startHKanRora_S.mp4,"(767, 465)","(1044, 463)",right
1p_startHKanRora_S.mp4,"(771, 467)","(1048, 462)",center
1p_startHKanRora_S.mp4,"(772, 467)","(1047, 464)",center
1p_startHKanRora_S.mp4,"(773, 466)","(1048, 462)",center
1p_startHKanRora_S.mp4,"(774, 465)","(1049, 464)",center
1p_startHKanRora_S.mp4,"(775, 466)","(1050, 463)",center
1p_startHKanRora_S.mp4,"(777, 468)","(1051, 463)",center
1p_startHKanRora_S.mp4,"(778, 468)","(1053, 464)",center
1p_startHKanRora_S.mp4,"(779, 467)","(1053, 464)",center
1p_startHKanRora_S.mp4,"(778, 463)","(1058, 461)",center
1p_startHKanRora_S.mp4,"(781, 467)","(1058, 463)",center
1p_startHKanRora_S.mp4,"(781, 465)","(1060, 462)",center
1p_startHKanRora_S.mp4,"(781, 464)","(1061, 462)",center
1p_startHKanRora_S.mp4,"(783, 465)","(1062, 461)",center
1p_startHKanRora_S.mp4,"(785, 466)","(1063, 461)",center
1p_startHKanRora_S.mp4,"(786, 465)","(1064, 463)",center
1p_startHKanRora_S.mp4,"(784, 463)","(1065, 461)",center
1p_startHKanRora_S.mp4,"(785, 463)","(1066, 462)",center
1p_startHKanRora_S.mp4,"(786, 462)","(1068, 461)",center
1p_startHKanRora_S.mp4,"(787, 462)","(1069, 461)",center
1p_startHKanRora_S.mp4,"(788, 463)","(1071, 462)",center
1p_startHKanRora_S.mp4,"(789, 462)","(1072, 461)",center
1p_startHKanRora_S.mp4,"(790, 463)","(1073, 462)",center
1p_startHKanRora_S.mp4,"(791, 463)","(1074, 462)",left
1p_startHKanRora_S.mp4,"(791, 462)","(1074, 461)",left
1p_startHKanRora_S.mp4,"(791, 462)","(1075, 461)",left
1p_startHKanRora_S.mp4,"(792, 462)","(1076, 462)",left
1p_startHKanRora_S.mp4,"(792, 463)","(1077, 463)",left
1p_startHKanRora_S.mp4,"(793, 462)","(1077, 462)",left
1p_startHKanRora_S.mp4,"(794, 463)","(1078, 463)",left
1p_startHKanRora_S.mp4,"(794, 463)","(1079, 462)",left
1p_startHKanRora_S.mp4,"(794, 463)","(1079, 462)",left
1p_startHKanRora_S.mp4,"(795, 463)","(1080, 462)",left
1p_startHKanRora_S.mp4,"(795, 462)","(1081, 462)",left
1p_startHKanRora_S.mp4,"(795, 462)","(1081, 462)",left
1p_startHKanRora_S.mp4,"(796, 462)","(1081, 462)",left
1p_startHKanRora_S.mp4,"(797, 462)","(1082, 462)",left
1p_startHKanRora_S.mp4,"(796, 463)","(1082, 463)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1082, 461)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1082, 461)",left
1p_startHKanRora_S.mp4,"(796, 463)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(797, 463)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(797, 462)","(1083, 462)",left
1p_startHKanRora_S.mp4,"(796, 463)","(1082, 461)",left
1p_startHKanRora_S.mp4,"(797, 462)","(1082, 462)",left
