video_name,left_pupil,right_pupil,gaze_direction
CN3RightNoCam.mp4,"(739, 470)","(1022, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1023, 463)",right
CN3RightNoCam.mp4,"(740, 471)","(1023, 463)",right
CN3RightNoCam.mp4,"(739, 471)","(1023, 463)",right
CN3RightNoCam.mp4,"(737, 469)","(1023, 463)",right
CN3RightNoCam.mp4,"(738, 468)","(1024, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1024, 463)",right
CN3RightNoCam.mp4,"(738, 470)","(1025, 464)",right
CN3RightNoCam.mp4,"(739, 470)","(1025, 463)",right
CN3RightNoCam.mp4,"(739, 468)","(1025, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1025, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1026, 464)",right
CN3RightNoCam.mp4,"(739, 470)","(1027, 464)",right
CN3RightNoCam.mp4,"(739, 471)","(1028, 464)",right
CN3RightNoCam.mp4,"(738, 470)","(1028, 464)",right
CN3RightNoCam.mp4,"(738, 468)","(1029, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1029, 464)",right
CN3RightNoCam.mp4,"(739, 470)","(1030, 463)",right
CN3RightNoCam.mp4,"(739, 470)","(1031, 464)",right
CN3RightNoCam.mp4,"(739, 471)","(1032, 463)",right
CN3RightNoCam.mp4,"(739, 469)","(1032, 463)",right
CN3RightNoCam.mp4,"(738, 471)","(1033, 465)",right
CN3RightNoCam.mp4,"(738, 470)","(1034, 464)",right
CN3RightNoCam.mp4,"(738, 470)","(1035, 465)",right
CN3RightNoCam.mp4,"(738, 471)","(1036, 464)",right
CN3RightNoCam.mp4,"(738, 470)","(1037, 465)",right
CN3RightNoCam.mp4,"(737, 470)","(1038, 464)",right
CN3RightNoCam.mp4,"(738, 472)","(1040, 465)",right
CN3RightNoCam.mp4,"(738, 471)","(1040, 464)",right
CN3RightNoCam.mp4,"(739, 472)","(1042, 465)",right
CN3RightNoCam.mp4,"(738, 471)","(1043, 464)",right
CN3RightNoCam.mp4,"(738, 471)","(1044, 464)",right
CN3RightNoCam.mp4,"(739, 472)","(1045, 464)",right
CN3RightNoCam.mp4,"(739, 472)","(1047, 464)",right
CN3RightNoCam.mp4,"(736, 468)","(1047, 463)",right
CN3RightNoCam.mp4,"(737, 469)","(1049, 464)",right
CN3RightNoCam.mp4,"(736, 468)","(1050, 464)",right
CN3RightNoCam.mp4,"(738, 469)","(1051, 463)",right
CN3RightNoCam.mp4,"(738, 470)","(1053, 463)",right
CN3RightNoCam.mp4,"(737, 468)","(1056, 462)",right
CN3RightNoCam.mp4,"(739, 473)","(1058, 462)",right
CN3RightNoCam.mp4,"(738, 473)","(1059, 462)",right
CN3RightNoCam.mp4,"(737, 471)","(1061, 462)",right
CN3RightNoCam.mp4,"(739, 472)","(1062, 462)",right
CN3RightNoCam.mp4,"(739, 469)","(1064, 461)",right
CN3RightNoCam.mp4,"(738, 472)","(1065, 462)",right
CN3RightNoCam.mp4,"(740, 470)","(1066, 461)",right
CN3RightNoCam.mp4,"(739, 471)","(1068, 461)",right
CN3RightNoCam.mp4,"(738, 472)","(1069, 461)",center
CN3RightNoCam.mp4,"(738, 471)","(1070, 462)",center
CN3RightNoCam.mp4,"(738, 469)","(1072, 462)",center
CN3RightNoCam.mp4,"(739, 473)","(1073, 462)",center
CN3RightNoCam.mp4,"(739, 473)","(1074, 461)",center
CN3RightNoCam.mp4,"(739, 473)","(1074, 461)",center
CN3RightNoCam.mp4,"(739, 471)","(1076, 462)",center
