video_name,left_pupil,right_pupil,gaze_direction
C0004.MP4,"(874, 495)","(1113, 496)",center
C0004.MP4,"(875, 495)","(1114, 496)",center
C0004.MP4,"(874, 495)","(1113, 496)",center
C0004.MP4,"(875, 495)","(1114, 496)",center
C0004.MP4,"(876, 494)","(1112, 496)",center
C0004.MP4,"(875, 495)","(1112, 497)",center
C0004.MP4,"(875, 496)","(1114, 497)",center
C0004.MP4,"(876, 493)","(1113, 496)",center
C0004.MP4,"(876, 495)","(1115, 497)",center
C0004.MP4,"(876, 494)","(1113, 496)",center
C0004.MP4,"(874, 493)","(1113, 496)",center
C0004.MP4,"(876, 495)","(1115, 497)",center
C0004.MP4,"(875, 495)","(1115, 497)",center
C0004.MP4,"(875, 495)","(1115, 497)",center
C0004.MP4,"(876, 494)","(1112, 495)",center
C0004.MP4,"(876, 495)","(1113, 495)",center
C0004.MP4,"(876, 495)","(1113, 495)",center
C0004.MP4,"(877, 494)","(1113, 497)",center
C0004.MP4,"(878, 494)","(1115, 496)",center
C0004.MP4,"(877, 491)","(1114, 495)",center
C0004.MP4,"(878, 492)","(1115, 495)",center
C0004.MP4,"(879, 494)","(1115, 497)",center
C0004.MP4,"(879, 494)","(1116, 496)",center
C0004.MP4,"(880, 494)","(1118, 496)",center
C0004.MP4,"(882, 494)","(1119, 496)",center
C0004.MP4,"(882, 494)","(1120, 496)",center
C0004.MP4,"(883, 494)","(1120, 496)",center
C0004.MP4,"(883, 494)","(1121, 495)",center
C0004.MP4,"(884, 493)","(1123, 497)",center
C0004.MP4,"(885, 492)","(1122, 495)",center
C0004.MP4,"(886, 492)","(1122, 494)",center
C0004.MP4,"(886, 493)","(1123, 494)",center
C0004.MP4,"(887, 493)","(1125, 495)",center
C0004.MP4,"(888, 492)","(1124, 495)",center
C0004.MP4,"(888, 493)","(1125, 495)",center
C0004.MP4,"(889, 493)","(1126, 495)",center
C0004.MP4,"(890, 493)","(1129, 496)",center
C0004.MP4,"(890, 493)","(1128, 495)",center
C0004.MP4,"(891, 494)","(1128, 495)",center
C0004.MP4,"(891, 493)","(1130, 496)",center
C0004.MP4,"(891, 493)","(1129, 495)",center
C0004.MP4,"(892, 493)","(1129, 495)",center
C0004.MP4,"(893, 493)","(1130, 495)",center
C0004.MP4,"(893, 493)","(1132, 496)",center
C0004.MP4,"(894, 493)","(1132, 496)",center
C0004.MP4,"(896, 494)","(1137, 497)",center
C0004.MP4,"(897, 493)","(1137, 496)",center
C0004.MP4,"(898, 494)","(1138, 496)",left
C0004.MP4,"(900, 494)","(1141, 496)",left
C0004.MP4,"(901, 494)","(1141, 496)",left
C0004.MP4,"(903, 494)","(1144, 496)",left
C0004.MP4,"(905, 493)","(1143, 495)",left
C0004.MP4,"(906, 493)","(1146, 495)",left
C0004.MP4,"(908, 492)","(1147, 494)",left
C0004.MP4,"(909, 492)","(1146, 493)",left
C0004.MP4,"(909, 492)","(1147, 493)",left
C0004.MP4,"(911, 492)","(1150, 493)",left
C0004.MP4,"(911, 492)","(1150, 493)",left
C0004.MP4,"(911, 492)","(1150, 493)",left
C0004.MP4,"(912, 492)","(1152, 493)",left
C0004.MP4,"(914, 492)","(1153, 493)",left
C0004.MP4,"(915, 492)","(1154, 493)",left
C0004.MP4,"(916, 492)","(1156, 494)",left
C0004.MP4,"(919, 492)","(1157, 492)",left
C0004.MP4,"(919, 492)","(1158, 493)",left
C0004.MP4,"(922, 492)","(1161, 493)",left
C0004.MP4,"(924, 491)","(1161, 492)",left
C0004.MP4,"(925, 492)","(1162, 491)",left
C0004.MP4,"(927, 492)","(1165, 491)",left
C0004.MP4,"(929, 491)","(1166, 492)",left
