video_name,left_pupil,right_pupil,gaze_direction
C0088_14.mp4,"(678, 552)","(906, 547)",right
C0088_14.mp4,"(679, 552)","(906, 547)",right
C0088_14.mp4,"(680, 552)","(906, 547)",right
C0088_14.mp4,"(680, 553)","(906, 547)",right
C0088_14.mp4,"(680, 553)","(906, 547)",right
C0088_14.mp4,"(680, 552)","(907, 546)",right
C0088_14.mp4,"(680, 553)","(906, 546)",right
C0088_14.mp4,"(680, 553)","(906, 547)",right
C0088_14.mp4,"(681, 552)","(906, 547)",right
C0088_14.mp4,"(680, 553)","(907, 547)",right
C0088_14.mp4,"(681, 552)","(907, 546)",right
C0088_14.mp4,"(682, 552)","(908, 546)",right
C0088_14.mp4,"(682, 552)","(909, 546)",right
C0088_14.mp4,"(684, 552)","(909, 547)",right
C0088_14.mp4,"(683, 552)","(910, 546)",right
C0088_14.mp4,"(683, 553)","(911, 546)",right
C0088_14.mp4,"(684, 552)","(911, 545)",right
C0088_14.mp4,"(685, 551)","(911, 546)",right
C0088_14.mp4,"(684, 552)","(912, 546)",right
C0088_14.mp4,"(685, 552)","(912, 547)",right
C0088_14.mp4,"(686, 551)","(918, 545)",center
C0088_14.mp4,"(686, 552)","(919, 545)",center
C0088_14.mp4,"(686, 552)","(919, 545)",center
C0088_14.mp4,"(687, 551)","(919, 546)",center
C0088_14.mp4,"(686, 552)","(914, 546)",center
C0088_14.mp4,"(686, 553)","(919, 546)",center
C0088_14.mp4,"(687, 552)","(921, 546)",center
C0088_14.mp4,"(687, 552)","(920, 546)",center
C0088_14.mp4,"(686, 552)","(921, 546)",center
C0088_14.mp4,"(688, 552)","(920, 546)",center
C0088_14.mp4,"(689, 551)","(921, 545)",center
C0088_14.mp4,"(688, 552)","(921, 546)",center
C0088_14.mp4,"(694, 552)","(917, 546)",center
C0088_14.mp4,"(695, 552)","(922, 545)",center
C0088_14.mp4,"(696, 551)","(916, 546)",center
C0088_14.mp4,"(695, 552)","(923, 545)",center
C0088_14.mp4,"(696, 552)","(922, 546)",center
C0088_14.mp4,"(695, 552)","(921, 545)",center
C0088_14.mp4,"(695, 552)","(927, 544)",center
C0088_14.mp4,"(696, 552)","(928, 544)",center
C0088_14.mp4,"(697, 552)","(924, 545)",center
C0088_14.mp4,"(696, 552)","(924, 545)",center
C0088_14.mp4,"(696, 553)","(930, 545)",center
C0088_14.mp4,"(696, 552)","(929, 545)",center
C0088_14.mp4,"(697, 552)","(929, 544)",center
C0088_14.mp4,"(698, 552)","(930, 544)",center
C0088_14.mp4,"(698, 552)","(930, 545)",center
C0088_14.mp4,"(698, 553)","(930, 546)",center
C0088_14.mp4,"(699, 553)","(932, 546)",center
C0088_14.mp4,"(699, 553)","(933, 545)",center
C0088_14.mp4,"(701, 553)","(933, 545)",center
C0088_14.mp4,"(702, 554)","(935, 546)",center
C0088_14.mp4,"(702, 553)","(936, 546)",center
C0088_14.mp4,"(704, 554)","(937, 547)",center
C0088_14.mp4,"(704, 553)","(938, 547)",center
C0088_14.mp4,"(705, 554)","(939, 547)",center
C0088_14.mp4,"(706, 553)","(940, 547)",center
C0088_14.mp4,"(707, 554)","(942, 547)",center
C0088_14.mp4,"(708, 553)","(941, 547)",center
C0088_14.mp4,"(709, 553)","(944, 546)",center
C0088_14.mp4,"(712, 552)","(947, 547)",center
C0088_14.mp4,"(714, 552)","(948, 547)",center
C0088_14.mp4,"(717, 552)","(950, 547)",center
C0088_14.mp4,"(717, 551)","(952, 547)",center
C0088_14.mp4,"(716, 552)","(952, 547)",center
C0088_14.mp4,"(715, 552)","(951, 547)",center
C0088_14.mp4,"(712, 554)","(949, 548)",center
C0088_14.mp4,"(710, 555)","(947, 549)",center
C0088_14.mp4,"(708, 558)","(944, 549)",center
C0088_14.mp4,"(707, 559)","(943, 550)",center
C0088_14.mp4,"(706, 559)","(942, 550)",center
C0088_14.mp4,"(706, 560)","(942, 550)",center
C0088_14.mp4,"(706, 560)","(943, 550)",center
C0088_14.mp4,"(706, 560)","(943, 550)",center
C0088_14.mp4,"(708, 559)","(944, 550)",center
C0088_14.mp4,"(708, 559)","(945, 550)",center
C0088_14.mp4,"(708, 559)","(946, 550)",center
C0088_14.mp4,"(709, 560)","(946, 551)",center
C0088_14.mp4,"(709, 559)","(947, 551)",center
C0088_14.mp4,"(709, 560)","(948, 552)",center
C0088_14.mp4,"(710, 560)","(949, 553)",center
C0088_14.mp4,"(712, 561)","(950, 553)",center
C0088_14.mp4,"(712, 561)","(950, 554)",center
C0088_14.mp4,"(711, 561)","(951, 554)",center
C0088_14.mp4,"(712, 561)","(951, 554)",center
C0088_14.mp4,"(711, 561)","(951, 554)",center
C0088_14.mp4,"(711, 561)","(950, 554)",center
C0088_14.mp4,"(711, 561)","(950, 553)",center
C0088_14.mp4,"(712, 561)","(950, 553)",center
C0088_14.mp4,"(710, 560)","(950, 553)",center
C0088_14.mp4,"(710, 560)","(950, 553)",center
C0088_14.mp4,"(709, 561)","(950, 553)",left
C0088_14.mp4,"(710, 561)","(949, 554)",left
C0088_14.mp4,"(711, 561)","(950, 553)",left
C0088_14.mp4,"(709, 560)","(950, 553)",left
C0088_14.mp4,"(711, 561)","(951, 553)",left
C0088_14.mp4,"(712, 561)","(952, 553)",left
C0088_14.mp4,"(712, 561)","(952, 553)",left
C0088_14.mp4,"(713, 561)","(952, 553)",left
C0088_14.mp4,"(713, 560)","(953, 553)",left
C0088_14.mp4,"(713, 560)","(953, 553)",left
C0088_14.mp4,"(713, 560)","(954, 553)",left
C0088_14.mp4,"(715, 560)","(955, 553)",left
C0088_14.mp4,"(714, 560)","(955, 553)",left
C0088_14.mp4,"(713, 560)","(955, 553)",left
C0088_14.mp4,"(714, 561)","(955, 553)",left
C0088_14.mp4,"(715, 560)","(956, 553)",left
C0088_14.mp4,"(714, 561)","(956, 554)",left
C0088_14.mp4,"(716, 561)","(957, 554)",left
C0088_14.mp4,"(715, 561)","(957, 554)",left
C0088_14.mp4,"(715, 561)","(957, 554)",left
C0088_14.mp4,"(715, 561)","(958, 554)",left
C0088_14.mp4,"(717, 561)","(957, 554)",left
C0088_14.mp4,"(716, 560)","(957, 554)",left
C0088_14.mp4,"(728, 560)","(957, 553)",left
C0088_14.mp4,"(716, 560)","(957, 554)",left
C0088_14.mp4,"(716, 560)","(956, 554)",left
C0088_14.mp4,"(715, 560)","(957, 553)",left
C0088_14.mp4,"(716, 559)","(957, 553)",left
C0088_14.mp4,"(728, 560)","(957, 553)",left
C0088_14.mp4,"(714, 560)","(955, 553)",left
C0088_14.mp4,"(714, 559)","(955, 553)",left
C0088_14.mp4,"(714, 559)","(955, 553)",left
C0088_14.mp4,"(724, 560)","(953, 553)",left
C0088_14.mp4,"(724, 560)","(953, 553)",left
C0088_14.mp4,"(722, 560)","(951, 553)",left
C0088_14.mp4,"(711, 560)","(952, 553)",left
C0088_14.mp4,"(711, 560)","(951, 553)",left
C0088_14.mp4,"(710, 560)","(950, 553)",left
C0088_14.mp4,"(721, 561)","(951, 553)",left
C0088_14.mp4,"(710, 560)","(950, 553)",left
C0088_14.mp4,"(708, 560)","(951, 553)",left
C0088_14.mp4,"(708, 560)","(951, 553)",left
C0088_14.mp4,"(721, 561)","(951, 553)",left
C0088_14.mp4,"(711, 561)","(952, 554)",left
C0088_14.mp4,"(723, 561)","(953, 554)",left
C0088_14.mp4,"(712, 560)","(952, 553)",left
C0088_14.mp4,"(712, 560)","(953, 553)",left
C0088_14.mp4,"(724, 560)","(953, 553)",left
C0088_14.mp4,"(724, 560)","(953, 553)",left
C0088_14.mp4,"(712, 559)","(954, 552)",left
C0088_14.mp4,"(711, 559)","(953, 552)",left
C0088_14.mp4,"(710, 559)","(953, 552)",left
C0088_14.mp4,"(712, 559)","(953, 552)",left
C0088_14.mp4,"(711, 559)","(951, 552)",left
C0088_14.mp4,"(711, 559)","(951, 552)",left
C0088_14.mp4,"(710, 559)","(950, 552)",center
C0088_14.mp4,"(709, 560)","(950, 552)",center
C0088_14.mp4,"(711, 560)","(951, 552)",center
C0088_14.mp4,"(710, 560)","(950, 552)",center
C0088_14.mp4,"(710, 560)","(949, 552)",center
C0088_14.mp4,"(710, 559)","(949, 552)",center
C0088_14.mp4,"(709, 559)","(948, 551)",center
C0088_14.mp4,"(708, 560)","(948, 552)",center
C0088_14.mp4,"(709, 560)","(948, 552)",center
C0088_14.mp4,"(708, 559)","(948, 553)",center
C0088_14.mp4,"(709, 560)","(947, 553)",center
C0088_14.mp4,"(708, 561)","(947, 552)",center
C0088_14.mp4,"(708, 560)","(947, 553)",center
C0088_14.mp4,"(708, 561)","(947, 553)",center
C0088_14.mp4,"(709, 561)","(947, 554)",center
C0088_14.mp4,"(707, 561)","(947, 553)",center
C0088_14.mp4,"(710, 561)","(948, 553)",center
C0088_14.mp4,"(709, 560)","(948, 552)",center
C0088_14.mp4,"(710, 561)","(949, 552)",center
C0088_14.mp4,"(711, 561)","(949, 552)",center
C0088_14.mp4,"(710, 560)","(948, 551)",center
C0088_14.mp4,"(709, 560)","(947, 551)",center
C0088_14.mp4,"(710, 560)","(947, 551)",center
C0088_14.mp4,"(712, 561)","(948, 552)",center
C0088_14.mp4,"(712, 561)","(949, 553)",center
C0088_14.mp4,"(716, 562)","(949, 553)",center
C0088_14.mp4,"(715, 562)","(952, 554)",center
C0088_14.mp4,"(718, 562)","(950, 554)",center
C0088_14.mp4,"(715, 561)","(950, 553)",center
C0088_14.mp4,"(716, 561)","(949, 553)",center
C0088_14.mp4,"(715, 561)","(951, 553)",center
C0088_14.mp4,"(714, 560)","(950, 553)",center
C0088_14.mp4,"(715, 560)","(948, 553)",center
C0088_14.mp4,"(712, 561)","(947, 552)",center
C0088_14.mp4,"(711, 560)","(945, 551)",center
C0088_14.mp4,"(710, 560)","(945, 552)",center
C0088_14.mp4,"(711, 560)","(944, 551)",center
C0088_14.mp4,"(711, 558)","(943, 550)",center
C0088_14.mp4,"(710, 558)","(944, 550)",center
C0088_14.mp4,"(710, 557)","(944, 549)",center
C0088_14.mp4,"(711, 556)","(945, 549)",center
C0088_14.mp4,"(712, 556)","(944, 549)",center
C0088_14.mp4,"(711, 556)","(945, 549)",center
C0088_14.mp4,"(705, 554)","(946, 548)",center
C0088_14.mp4,"(706, 554)","(945, 548)",center
C0088_14.mp4,"(705, 554)","(938, 549)",center
C0088_14.mp4,"(706, 552)","(939, 548)",center
C0088_14.mp4,"(706, 553)","(939, 547)",center
C0088_14.mp4,"(704, 553)","(937, 548)",center
C0088_14.mp4,"(703, 552)","(938, 547)",center
C0088_14.mp4,"(703, 552)","(937, 547)",center
C0088_14.mp4,"(701, 552)","(935, 547)",center
C0088_14.mp4,"(701, 553)","(936, 547)",center
C0088_14.mp4,"(701, 553)","(936, 546)",center
C0088_14.mp4,"(700, 553)","(932, 547)",center
C0088_14.mp4,"(700, 553)","(934, 546)",center
C0088_14.mp4,"(699, 553)","(932, 547)",center
C0088_14.mp4,"(699, 553)","(933, 547)",center
C0088_14.mp4,"(699, 553)","(933, 547)",center
C0088_14.mp4,"(698, 553)","(932, 547)",center
C0088_14.mp4,"(698, 553)","(931, 547)",center
C0088_14.mp4,"(696, 552)","(931, 546)",center
C0088_14.mp4,"(697, 552)","(931, 545)",center
C0088_14.mp4,"(697, 551)","(930, 545)",center
C0088_14.mp4,"(697, 550)","(932, 544)",center
C0088_14.mp4,"(697, 550)","(932, 543)",center
C0088_14.mp4,"(697, 549)","(932, 543)",center
C0088_14.mp4,"(698, 550)","(931, 544)",center
C0088_14.mp4,"(698, 550)","(932, 544)",center
C0088_14.mp4,"(698, 551)","(925, 545)",right
C0088_14.mp4,"(699, 549)","(927, 544)",right
C0088_14.mp4,"(700, 550)","(927, 545)",right
C0088_14.mp4,"(701, 549)","(928, 544)",right
C0088_14.mp4,"(701, 549)","(928, 545)",right
C0088_14.mp4,"(702, 549)","(928, 544)",right
C0088_14.mp4,"(702, 549)","(929, 544)",right
C0088_14.mp4,"(701, 549)","(928, 544)",right
C0088_14.mp4,"(702, 547)","(928, 543)",right
C0088_14.mp4,"(702, 548)","(928, 543)",right
C0088_14.mp4,"(700, 548)","(928, 543)",right
C0088_14.mp4,"(701, 547)","(928, 543)",right
C0088_14.mp4,"(700, 548)","(927, 542)",right
C0088_14.mp4,"(701, 548)","(928, 543)",right
C0088_14.mp4,"(701, 547)","(927, 543)",right
C0088_14.mp4,"(700, 548)","(929, 543)",right
C0088_14.mp4,"(701, 548)","(929, 542)",right
C0088_14.mp4,"(701, 549)","(928, 543)",right
C0088_14.mp4,"(703, 548)","(929, 543)",right
C0088_14.mp4,"(701, 548)","(928, 543)",right
C0088_14.mp4,"(701, 548)","(929, 543)",right
C0088_14.mp4,"(702, 548)","(930, 543)",right
C0088_14.mp4,"(702, 546)","(928, 542)",right
C0088_14.mp4,"(701, 547)","(929, 542)",right
C0088_14.mp4,"(701, 548)","(928, 543)",right
C0088_14.mp4,"(700, 548)","(927, 543)",right
C0088_14.mp4,"(701, 547)","(927, 542)",right
C0088_14.mp4,"(700, 547)","(926, 542)",right
C0088_14.mp4,"(701, 548)","(927, 543)",right
C0088_14.mp4,"(700, 548)","(928, 543)",right
C0088_14.mp4,"(701, 548)","(928, 542)",right
C0088_14.mp4,"(700, 547)","(926, 543)",right
C0088_14.mp4,"(701, 547)","(926, 543)",right
C0088_14.mp4,"(699, 548)","(925, 543)",right
C0088_14.mp4,"(699, 547)","(925, 542)",right
C0088_14.mp4,"(698, 546)","(924, 542)",right
C0088_14.mp4,"(695, 548)","(923, 542)",right
C0088_14.mp4,"(697, 547)","(923, 542)",right
C0088_14.mp4,"(696, 548)","(922, 542)",right
C0088_14.mp4,"(696, 548)","(922, 542)",right
C0088_14.mp4,"(697, 552)","(931, 545)",center
C0088_14.mp4,"(696, 554)","(931, 546)",center
C0088_14.mp4,"(697, 553)","(932, 546)",center
C0088_14.mp4,"(698, 553)","(933, 546)",center
