video_name,left_pupil,right_pupil,gaze_direction
C0021.MP4,"(804, 527)","(1035, 531)",right
C0021.MP4,"(805, 526)","(1039, 532)",right
C0021.MP4,"(805, 526)","(1038, 532)",right
C0021.MP4,"(803, 525)","(1037, 531)",right
C0021.MP4,"(802, 527)","(1039, 532)",right
C0021.MP4,"(811, 527)","(1057, 529)",right
C0021.MP4,"(823, 528)","(1078, 530)",center
C0021.MP4,"(823, 528)","(1073, 531)",center
C0021.MP4,"(829, 528)","(1075, 531)",center
C0021.MP4,"(837, 530)","(1076, 530)",center
C0021.MP4,"(828, 527)","(1078, 530)",center
C0021.MP4,"(832, 528)","(1079, 530)",center
C0021.MP4,"(831, 528)","(1083, 530)",center
C0021.MP4,"(838, 528)","(1083, 530)",center
C0021.MP4,"(832, 528)","(1084, 530)",center
C0021.MP4,"(833, 528)","(1083, 530)",center
C0021.MP4,"(832, 528)","(1079, 530)",center
C0021.MP4,"(832, 528)","(1080, 530)",center
C0021.MP4,"(834, 528)","(1079, 530)",center
C0021.MP4,"(832, 527)","(1080, 530)",center
C0021.MP4,"(832, 528)","(1084, 530)",center
C0021.MP4,"(842, 528)","(1080, 530)",left
C0021.MP4,"(843, 528)","(1081, 530)",left
C0021.MP4,"(837, 527)","(1081, 530)",center
C0021.MP4,"(837, 527)","(1084, 530)",center
C0021.MP4,"(843, 528)","(1085, 531)",left
C0021.MP4,"(832, 525)","(1087, 531)",center
C0021.MP4,"(839, 526)","(1083, 530)",center
C0021.MP4,"(840, 527)","(1087, 530)",left
C0021.MP4,"(840, 527)","(1085, 530)",center
C0021.MP4,"(846, 529)","(1088, 530)",left
C0021.MP4,"(842, 526)","(1087, 530)",left
C0021.MP4,"(843, 529)","(1088, 530)",center
C0021.MP4,"(832, 527)","(1092, 530)",center
C0021.MP4,"(838, 526)","(1089, 530)",center
C0021.MP4,"(847, 527)","(1090, 531)",left
C0021.MP4,"(847, 526)","(1090, 531)",left
C0021.MP4,"(847, 526)","(1091, 531)",left
C0021.MP4,"(848, 527)","(1091, 531)",left
C0021.MP4,"(848, 527)","(1094, 532)",left
C0021.MP4,"(849, 527)","(1093, 532)",left
C0021.MP4,"(850, 527)","(1095, 532)",left
C0021.MP4,"(852, 527)","(1096, 533)",left
C0021.MP4,"(854, 529)","(1099, 535)",left
C0021.MP4,"(860, 537)","(1097, 544)",blinking
C0021.MP4,"(861, 542)","(1098, 549)",blinking
C0021.MP4,"(862, 543)","(1099, 550)",blinking
C0021.MP4,"(864, 540)","(1105, 549)",blinking
C0021.MP4,"(865, 538)","(1101, 546)",blinking
C0021.MP4,"(859, 534)","(1102, 543)",left
C0021.MP4,"(861, 532)","(1104, 540)",left
C0021.MP4,"(862, 529)","(1102, 537)",left
C0021.MP4,"(863, 529)","(1102, 536)",left
C0021.MP4,"(863, 528)","(1106, 536)",left
C0021.MP4,"(863, 528)","(1107, 536)",left
C0021.MP4,"(863, 528)","(1107, 535)",left
C0021.MP4,"(863, 528)","(1107, 536)",left
C0021.MP4,"(863, 527)","(1107, 535)",left
C0021.MP4,"(863, 528)","(1107, 535)",left
C0021.MP4,"(863, 528)","(1106, 535)",left
C0021.MP4,"(864, 526)","(1109, 535)",left
C0021.MP4,"(863, 526)","(1105, 533)",left
C0021.MP4,"(863, 525)","(1105, 533)",left
C0021.MP4,"(864, 525)","(1104, 533)",left
C0021.MP4,"(863, 526)","(1107, 534)",left
C0021.MP4,"(864, 525)","(1106, 533)",left
C0021.MP4,"(863, 526)","(1105, 533)",left
C0021.MP4,"(863, 525)","(1103, 533)",left
C0021.MP4,"(863, 526)","(1103, 533)",left
C0021.MP4,"(862, 526)","(1103, 533)",left
C0021.MP4,"(862, 527)","(1105, 534)",left
C0021.MP4,"(861, 527)","(1102, 533)",left
C0021.MP4,"(861, 527)","(1105, 535)",left
C0021.MP4,"(861, 526)","(1102, 534)",left
C0021.MP4,"(860, 528)","(1104, 534)",left
C0021.MP4,"(861, 527)","(1105, 534)",left
C0021.MP4,"(860, 528)","(1105, 535)",left
C0021.MP4,"(858, 527)","(1100, 535)",left
C0021.MP4,"(866, 530)","(1105, 536)",left
C0021.MP4,"(859, 528)","(1101, 535)",left
C0021.MP4,"(857, 527)","(1102, 535)",left
C0021.MP4,"(857, 528)","(1103, 537)",left
C0021.MP4,"(857, 527)","(1100, 534)",left
C0021.MP4,"(856, 527)","(1102, 536)",left
C0021.MP4,"(855, 528)","(1099, 535)",left
C0021.MP4,"(855, 528)","(1101, 537)",left
C0021.MP4,"(854, 529)","(1100, 537)",left
C0021.MP4,"(859, 531)","(1099, 537)",left
C0021.MP4,"(850, 528)","(1099, 536)",left
C0021.MP4,"(849, 527)","(1098, 535)",center
C0021.MP4,"(844, 527)","(1098, 536)",center
C0021.MP4,"(849, 527)","(1097, 535)",center
C0021.MP4,"(855, 531)","(1096, 536)",left
C0021.MP4,"(844, 526)","(1096, 536)",center
C0021.MP4,"(845, 526)","(1095, 535)",center
C0021.MP4,"(846, 527)","(1095, 536)",center
C0021.MP4,"(845, 528)","(1095, 536)",center
C0021.MP4,"(844, 527)","(1095, 536)",center
C0021.MP4,"(845, 528)","(1095, 537)",center
C0021.MP4,"(842, 528)","(1093, 537)",center
C0021.MP4,"(845, 528)","(1093, 537)",center
C0021.MP4,"(850, 528)","(1091, 537)",center
C0021.MP4,"(844, 528)","(1092, 537)",center
C0021.MP4,"(844, 528)","(1091, 536)",center
C0021.MP4,"(844, 528)","(1091, 536)",center
C0021.MP4,"(845, 529)","(1089, 538)",center
C0021.MP4,"(847, 529)","(1089, 538)",center
C0021.MP4,"(841, 532)","(1089, 539)",center
C0021.MP4,"(842, 530)","(1088, 539)",center
C0021.MP4,"(842, 531)","(1088, 540)",center
C0021.MP4,"(841, 531)","(1081, 537)",center
C0021.MP4,"(834, 531)","(1084, 539)",center
C0021.MP4,"(837, 531)","(1079, 538)",center
C0021.MP4,"(836, 531)","(1076, 538)",center
C0021.MP4,"(834, 532)","(1063, 543)",right
C0021.MP4,"(833, 532)","(1062, 543)",right
C0021.MP4,"(832, 533)","(1061, 543)",right
C0021.MP4,"(832, 533)","(1060, 543)",right
C0021.MP4,"(832, 533)","(1067, 541)",center
C0021.MP4,"(829, 533)","(1071, 541)",center
C0021.MP4,"(829, 533)","(1065, 542)",right
C0021.MP4,"(828, 533)","(1064, 542)",right
C0021.MP4,"(823, 533)","(1052, 544)",right
C0021.MP4,"(820, 532)","(1051, 543)",right
C0021.MP4,"(820, 533)","(1053, 541)",right
C0021.MP4,"(818, 533)","(1050, 543)",right
C0021.MP4,"(819, 533)","(1049, 543)",right
C0021.MP4,"(822, 532)","(1050, 543)",right
C0021.MP4,"(820, 533)","(1052, 544)",right
C0021.MP4,"(820, 532)","(1051, 543)",right
C0021.MP4,"(820, 532)","(1050, 543)",right
C0021.MP4,"(819, 532)","(1050, 543)",right
C0021.MP4,"(823, 532)","(1050, 543)",right
C0021.MP4,"(817, 532)","(1049, 542)",right
C0021.MP4,"(821, 532)","(1048, 543)",right
C0021.MP4,"(816, 533)","(1048, 542)",right
