video_name,left_pupil,right_pupil,gaze_direction
C0086.MP4,"(898, 455)","(1197, 444)",left
C0086.MP4,"(897, 455)","(1194, 446)",left
C0086.MP4,"(897, 455)","(1194, 447)",left
C0086.MP4,"(892, 452)","(1195, 446)",left
C0086.MP4,"(891, 452)","(1195, 446)",left
C0086.MP4,"(891, 452)","(1195, 447)",left
C0086.MP4,"(892, 453)","(1197, 446)",left
C0086.MP4,"(898, 457)","(1195, 447)",left
C0086.MP4,"(898, 456)","(1194, 450)",left
C0086.MP4,"(893, 453)","(1196, 448)",left
C0086.MP4,"(893, 451)","(1197, 447)",left
C0086.MP4,"(894, 452)","(1197, 447)",left
C0086.MP4,"(899, 457)","(1197, 447)",left
C0086.MP4,"(895, 452)","(1200, 446)",left
C0086.MP4,"(895, 452)","(1197, 449)",left
C0086.MP4,"(894, 451)","(1198, 447)",left
C0086.MP4,"(900, 457)","(1197, 448)",left
C0086.MP4,"(894, 452)","(1197, 448)",left
C0086.MP4,"(894, 452)","(1197, 446)",left
C0086.MP4,"(894, 452)","(1197, 447)",left
C0086.MP4,"(894, 452)","(1197, 447)",left
C0086.MP4,"(894, 452)","(1197, 447)",left
C0086.MP4,"(893, 451)","(1198, 447)",left
C0086.MP4,"(900, 457)","(1197, 449)",left
C0086.MP4,"(894, 451)","(1197, 447)",left
C0086.MP4,"(894, 452)","(1198, 447)",left
C0086.MP4,"(895, 453)","(1198, 447)",left
C0086.MP4,"(895, 453)","(1198, 447)",left
C0086.MP4,"(895, 451)","(1199, 448)",left
C0086.MP4,"(897, 453)","(1200, 448)",left
C0086.MP4,"(897, 454)","(1199, 450)",left
C0086.MP4,"(897, 454)","(1199, 450)",left
C0086.MP4,"(897, 454)","(1201, 450)",left
C0086.MP4,"(898, 455)","(1200, 451)",left
C0086.MP4,"(898, 455)","(1200, 453)",left
C0086.MP4,"(898, 455)","(1200, 451)",left
C0086.MP4,"(898, 455)","(1200, 451)",left
C0086.MP4,"(899, 455)","(1200, 451)",left
C0086.MP4,"(897, 454)","(1201, 451)",left
C0086.MP4,"(902, 460)","(1200, 452)",left
C0086.MP4,"(902, 460)","(1200, 452)",left
C0086.MP4,"(902, 460)","(1200, 453)",left
C0086.MP4,"(902, 461)","(1200, 452)",left
C0086.MP4,"(903, 461)","(1200, 453)",left
C0086.MP4,"(903, 461)","(1201, 453)",left
C0086.MP4,"(903, 461)","(1203, 452)",left
C0086.MP4,"(901, 460)","(1202, 453)",left
C0086.MP4,"(903, 462)","(1202, 454)",left
C0086.MP4,"(903, 461)","(1202, 453)",left
C0086.MP4,"(901, 461)","(1202, 455)",left
C0086.MP4,"(903, 462)","(1201, 454)",left
C0086.MP4,"(902, 461)","(1202, 454)",left
C0086.MP4,"(903, 462)","(1201, 453)",left
C0086.MP4,"(902, 461)","(1201, 455)",left
C0086.MP4,"(902, 461)","(1201, 454)",left
C0086.MP4,"(903, 463)","(1201, 455)",left
C0086.MP4,"(903, 461)","(1202, 454)",left
C0086.MP4,"(903, 460)","(1202, 455)",left
C0086.MP4,"(904, 462)","(1203, 454)",left
C0086.MP4,"(903, 460)","(1203, 453)",left
C0086.MP4,"(905, 461)","(1203, 453)",left
C0086.MP4,"(903, 460)","(1203, 454)",left
C0086.MP4,"(906, 461)","(1204, 453)",left
C0086.MP4,"(905, 460)","(1204, 453)",left
C0086.MP4,"(904, 458)","(1203, 453)",left
C0086.MP4,"(904, 458)","(1204, 453)",left
C0086.MP4,"(906, 457)","(1204, 453)",left
C0086.MP4,"(906, 458)","(1204, 452)",left
C0086.MP4,"(907, 457)","(1204, 452)",left
C0086.MP4,"(908, 460)","(1205, 453)",left
C0086.MP4,"(908, 460)","(1205, 452)",left
C0086.MP4,"(902, 454)","(1205, 452)",left
C0086.MP4,"(908, 458)","(1205, 451)",left
C0086.MP4,"(907, 457)","(1205, 451)",left
C0086.MP4,"(907, 459)","(1205, 453)",left
C0086.MP4,"(907, 458)","(1204, 452)",left
C0086.MP4,"(905, 455)","(1205, 452)",left
C0086.MP4,"(907, 455)","(1205, 451)",left
C0086.MP4,"(902, 452)","(1205, 451)",left
C0086.MP4,"(908, 458)","(1205, 451)",left
C0086.MP4,"(908, 455)","(1206, 451)",left
C0086.MP4,"(903, 452)","(1206, 450)",left
C0086.MP4,"(904, 451)","(1206, 450)",left
C0086.MP4,"(904, 451)","(1206, 450)",left
C0086.MP4,"(904, 451)","(1206, 451)",left
C0086.MP4,"(909, 454)","(1206, 449)",left
C0086.MP4,"(908, 453)","(1206, 448)",left
C0086.MP4,"(909, 455)","(1206, 448)",left
C0086.MP4,"(904, 453)","(1206, 452)",left
C0086.MP4,"(904, 450)","(1206, 449)",left
C0086.MP4,"(909, 453)","(1207, 448)",left
C0086.MP4,"(904, 450)","(1206, 449)",left
C0086.MP4,"(904, 450)","(1207, 448)",left
C0086.MP4,"(904, 449)","(1207, 448)",left
C0086.MP4,"(909, 453)","(1206, 449)",left
C0086.MP4,"(909, 453)","(1206, 448)",left
C0086.MP4,"(908, 452)","(1206, 447)",left
C0086.MP4,"(903, 449)","(1207, 447)",left
C0086.MP4,"(909, 452)","(1206, 449)",left
C0086.MP4,"(903, 449)","(1205, 448)",left
C0086.MP4,"(904, 449)","(1206, 447)",left
C0086.MP4,"(909, 453)","(1205, 448)",left
C0086.MP4,"(909, 455)","(1206, 448)",left
C0086.MP4,"(909, 452)","(1206, 447)",left
C0086.MP4,"(909, 451)","(1206, 447)",left
C0086.MP4,"(909, 454)","(1206, 447)",left
C0086.MP4,"(910, 455)","(1206, 450)",left
C0086.MP4,"(904, 450)","(1205, 449)",left
C0086.MP4,"(905, 451)","(1206, 449)",left
C0086.MP4,"(905, 450)","(1206, 450)",left
C0086.MP4,"(906, 451)","(1207, 450)",left
C0086.MP4,"(905, 448)","(1209, 446)",left
C0086.MP4,,,center
C0086.MP4,,,center
C0086.MP4,"(905, 451)","(1208, 453)",left
C0086.MP4,"(915, 454)","(1212, 447)",center
C0086.MP4,"(912, 444)","(1213, 445)",left
C0086.MP4,,,center
C0086.MP4,"(908, 447)","(1210, 445)",left
C0086.MP4,"(908, 452)","(1209, 448)",left
C0086.MP4,"(908, 450)","(1210, 447)",left
C0086.MP4,"(908, 451)","(1211, 446)",left
C0086.MP4,"(910, 450)","(1211, 447)",left
C0086.MP4,"(911, 449)","(1213, 447)",left
C0086.MP4,"(916, 454)","(1213, 446)",left
C0086.MP4,"(912, 450)","(1214, 448)",left
C0086.MP4,"(917, 455)","(1214, 447)",left
C0086.MP4,"(917, 454)","(1214, 447)",left
C0086.MP4,"(912, 450)","(1214, 446)",left
C0086.MP4,"(916, 455)","(1213, 446)",left
C0086.MP4,"(916, 455)","(1213, 446)",left
C0086.MP4,"(914, 457)","(1212, 448)",left
C0086.MP4,"(915, 457)","(1212, 448)",left
C0086.MP4,"(915, 458)","(1212, 448)",left
C0086.MP4,"(915, 454)","(1213, 448)",left
C0086.MP4,"(915, 453)","(1212, 446)",left
C0086.MP4,"(909, 450)","(1212, 445)",left
C0086.MP4,"(914, 456)","(1211, 447)",left
C0086.MP4,"(914, 456)","(1211, 448)",left
C0086.MP4,"(915, 455)","(1212, 446)",left
C0086.MP4,"(915, 457)","(1211, 447)",left
C0086.MP4,"(915, 454)","(1212, 445)",left
C0086.MP4,"(914, 452)","(1212, 445)",left
C0086.MP4,"(914, 455)","(1211, 446)",left
C0086.MP4,"(913, 453)","(1210, 447)",left
C0086.MP4,"(914, 456)","(1211, 449)",left
C0086.MP4,"(914, 456)","(1211, 445)",left
C0086.MP4,"(914, 451)","(1210, 444)",left
C0086.MP4,"(914, 453)","(1211, 445)",left
C0086.MP4,"(914, 452)","(1210, 444)",left
C0086.MP4,"(912, 453)","(1210, 445)",left
C0086.MP4,"(908, 451)","(1209, 445)",left
C0086.MP4,"(908, 450)","(1210, 445)",left
C0086.MP4,"(913, 451)","(1210, 444)",left
C0086.MP4,"(913, 452)","(1210, 444)",left
C0086.MP4,"(913, 452)","(1210, 444)",left
C0086.MP4,"(912, 452)","(1209, 445)",left
C0086.MP4,"(912, 456)","(1209, 445)",left
C0086.MP4,"(913, 453)","(1209, 445)",left
C0086.MP4,"(912, 454)","(1209, 443)",left
C0086.MP4,"(913, 453)","(1209, 443)",left
C0086.MP4,"(911, 452)","(1208, 444)",left
C0086.MP4,"(911, 455)","(1209, 446)",left
C0086.MP4,"(912, 454)","(1210, 444)",left
C0086.MP4,"(911, 452)","(1210, 444)",left
C0086.MP4,"(907, 448)","(1210, 443)",left
C0086.MP4,"(912, 451)","(1209, 443)",left
C0086.MP4,"(912, 453)","(1210, 443)",left
C0086.MP4,"(912, 452)","(1210, 444)",left
C0086.MP4,"(908, 450)","(1211, 445)",left
C0086.MP4,"(909, 450)","(1212, 445)",left
C0086.MP4,"(909, 449)","(1212, 444)",left
C0086.MP4,"(910, 448)","(1212, 444)",left
C0086.MP4,"(914, 450)","(1211, 443)",left
C0086.MP4,"(914, 451)","(1212, 444)",left
C0086.MP4,"(914, 452)","(1212, 444)",left
C0086.MP4,"(915, 454)","(1211, 446)",left
C0086.MP4,"(909, 450)","(1212, 445)",left
C0086.MP4,"(909, 449)","(1212, 446)",left
C0086.MP4,"(909, 449)","(1212, 445)",left
C0086.MP4,"(909, 449)","(1212, 445)",left
C0086.MP4,"(914, 453)","(1210, 446)",left
C0086.MP4,"(909, 450)","(1212, 446)",left
C0086.MP4,"(910, 450)","(1213, 445)",left
C0086.MP4,"(910, 449)","(1213, 446)",left
C0086.MP4,"(910, 449)","(1212, 446)",left
C0086.MP4,"(909, 449)","(1212, 446)",left
C0086.MP4,"(909, 450)","(1212, 446)",left
C0086.MP4,"(909, 451)","(1211, 447)",left
C0086.MP4,"(909, 451)","(1212, 447)",left
C0086.MP4,"(910, 451)","(1212, 447)",left
C0086.MP4,"(910, 449)","(1212, 446)",left
