video_name,left_pupil,right_pupil,gaze_direction
C0231_1.mp4,"(942, 480)","(1229, 481)",left
C0231_1.mp4,"(941, 480)","(1230, 481)",left
C0231_1.mp4,"(942, 480)","(1232, 481)",left
C0231_1.mp4,"(942, 480)","(1233, 480)",left
C0231_1.mp4,"(941, 481)","(1229, 481)",left
C0231_1.mp4,"(942, 481)","(1231, 482)",left
C0231_1.mp4,"(941, 481)","(1230, 481)",left
C0231_1.mp4,"(941, 481)","(1228, 482)",left
C0231_1.mp4,"(940, 482)","(1230, 482)",left
C0231_1.mp4,"(939, 482)","(1226, 482)",left
C0231_1.mp4,"(940, 482)","(1228, 482)",left
C0231_1.mp4,"(939, 482)","(1228, 483)",left
C0231_1.mp4,"(938, 482)","(1226, 482)",left
C0231_1.mp4,"(939, 482)","(1226, 483)",left
C0231_1.mp4,"(938, 482)","(1227, 482)",left
C0231_1.mp4,"(938, 482)","(1224, 482)",left
C0231_1.mp4,"(938, 482)","(1228, 482)",left
C0231_1.mp4,"(937, 482)","(1227, 481)",left
C0231_1.mp4,"(937, 483)","(1227, 482)",left
C0231_1.mp4,"(937, 482)","(1225, 482)",left
C0231_1.mp4,"(936, 483)","(1225, 482)",left
C0231_1.mp4,"(937, 483)","(1224, 484)",left
C0231_1.mp4,"(937, 483)","(1226, 484)",left
C0231_1.mp4,"(937, 483)","(1226, 483)",left
C0231_1.mp4,"(938, 483)","(1225, 483)",left
C0231_1.mp4,"(937, 483)","(1225, 484)",left
C0231_1.mp4,"(938, 483)","(1227, 483)",left
C0231_1.mp4,"(938, 483)","(1227, 483)",left
C0231_1.mp4,"(938, 484)","(1227, 483)",left
C0231_1.mp4,"(938, 484)","(1227, 484)",left
C0231_1.mp4,"(938, 484)","(1225, 484)",left
C0231_1.mp4,"(938, 484)","(1228, 484)",left
C0231_1.mp4,"(938, 484)","(1229, 484)",left
C0231_1.mp4,"(938, 484)","(1225, 485)",left
C0231_1.mp4,"(938, 484)","(1227, 485)",left
C0231_1.mp4,"(937, 484)","(1227, 484)",left
C0231_1.mp4,"(937, 485)","(1227, 486)",left
C0231_1.mp4,"(937, 485)","(1227, 485)",left
C0231_1.mp4,"(937, 485)","(1227, 486)",left
C0231_1.mp4,"(937, 486)","(1226, 485)",left
C0231_1.mp4,"(936, 486)","(1224, 486)",left
C0231_1.mp4,"(936, 486)","(1224, 487)",left
C0231_1.mp4,"(937, 486)","(1224, 487)",left
C0231_1.mp4,"(936, 486)","(1226, 485)",left
C0231_1.mp4,"(936, 486)","(1227, 484)",left
C0231_1.mp4,"(936, 486)","(1226, 486)",left
C0231_1.mp4,"(936, 486)","(1225, 487)",left
C0231_1.mp4,"(936, 486)","(1225, 486)",left
C0231_1.mp4,"(936, 485)","(1225, 486)",left
C0231_1.mp4,"(936, 486)","(1226, 484)",left
C0231_1.mp4,"(936, 485)","(1224, 485)",left
C0231_1.mp4,"(936, 486)","(1224, 486)",left
C0231_1.mp4,"(936, 486)","(1226, 486)",left
C0231_1.mp4,"(936, 486)","(1225, 487)",left
C0231_1.mp4,"(936, 486)","(1225, 487)",left
C0231_1.mp4,"(937, 486)","(1225, 487)",left
C0231_1.mp4,"(937, 486)","(1225, 487)",left
C0231_1.mp4,"(938, 486)","(1225, 488)",left
C0231_1.mp4,"(938, 486)","(1228, 487)",left
C0231_1.mp4,"(938, 487)","(1227, 487)",left
C0231_1.mp4,"(939, 487)","(1227, 487)",left
C0231_1.mp4,"(939, 486)","(1228, 487)",left
C0231_1.mp4,"(939, 487)","(1226, 488)",left
C0231_1.mp4,"(939, 487)","(1227, 488)",left
C0231_1.mp4,"(939, 486)","(1229, 487)",left
C0231_1.mp4,"(939, 487)","(1227, 488)",left
C0231_1.mp4,"(940, 486)","(1228, 487)",left
C0231_1.mp4,"(940, 487)","(1229, 487)",left
C0231_1.mp4,"(940, 486)","(1229, 487)",left
C0231_1.mp4,"(940, 486)","(1230, 487)",left
C0231_1.mp4,"(940, 486)","(1227, 487)",left
C0231_1.mp4,"(940, 486)","(1228, 487)",left
C0231_1.mp4,"(940, 486)","(1229, 486)",left
C0231_1.mp4,"(940, 487)","(1228, 488)",left
C0231_1.mp4,"(940, 487)","(1227, 488)",left
C0231_1.mp4,"(941, 487)","(1228, 488)",left
C0231_1.mp4,"(940, 487)","(1229, 487)",left
C0231_1.mp4,"(941, 487)","(1230, 488)",left
C0231_1.mp4,"(941, 486)","(1229, 488)",left
C0231_1.mp4,"(940, 487)","(1230, 487)",left
C0231_1.mp4,"(941, 487)","(1230, 488)",left
C0231_1.mp4,"(941, 486)","(1228, 488)",left
C0231_1.mp4,"(940, 486)","(1228, 488)",left
C0231_1.mp4,"(941, 486)","(1228, 488)",left
C0231_1.mp4,"(940, 487)","(1228, 488)",left
C0231_1.mp4,"(940, 487)","(1230, 487)",left
C0231_1.mp4,"(941, 486)","(1228, 488)",left
C0231_1.mp4,"(941, 486)","(1228, 488)",left
C0231_1.mp4,"(941, 486)","(1231, 487)",left
C0231_1.mp4,"(941, 486)","(1232, 487)",left
C0231_1.mp4,"(941, 486)","(1229, 487)",left
C0231_1.mp4,"(941, 486)","(1230, 487)",left
C0231_1.mp4,"(941, 486)","(1230, 488)",left
C0231_1.mp4,"(941, 486)","(1230, 486)",left
C0231_1.mp4,"(941, 486)","(1228, 487)",left
C0231_1.mp4,"(940, 486)","(1227, 487)",left
C0231_1.mp4,"(940, 486)","(1228, 486)",left
C0231_1.mp4,"(939, 486)","(1227, 488)",left
C0231_1.mp4,"(938, 487)","(1226, 487)",left
C0231_1.mp4,"(938, 487)","(1228, 486)",left
C0231_1.mp4,"(937, 487)","(1227, 486)",left
C0231_1.mp4,"(937, 487)","(1226, 487)",left
C0231_1.mp4,"(936, 487)","(1225, 486)",left
C0231_1.mp4,"(936, 487)","(1225, 485)",left
C0231_1.mp4,"(934, 487)","(1224, 487)",left
C0231_1.mp4,"(934, 487)","(1222, 487)",left
C0231_1.mp4,"(934, 487)","(1222, 486)",left
C0231_1.mp4,"(934, 487)","(1224, 486)",left
C0231_1.mp4,"(933, 487)","(1221, 487)",left
C0231_1.mp4,"(933, 487)","(1223, 486)",left
C0231_1.mp4,"(933, 486)","(1221, 486)",left
C0231_1.mp4,"(933, 486)","(1223, 486)",left
C0231_1.mp4,"(933, 486)","(1223, 486)",left
C0231_1.mp4,"(933, 486)","(1221, 487)",left
C0231_1.mp4,"(933, 486)","(1223, 486)",left
C0231_1.mp4,"(933, 487)","(1223, 486)",left
C0231_1.mp4,"(934, 487)","(1222, 486)",left
C0231_1.mp4,"(934, 487)","(1224, 486)",left
C0231_1.mp4,"(934, 487)","(1223, 486)",left
C0231_1.mp4,"(935, 487)","(1222, 487)",left
C0231_1.mp4,"(935, 487)","(1224, 487)",left
C0231_1.mp4,"(935, 487)","(1225, 487)",left
C0231_1.mp4,"(935, 487)","(1224, 487)",left
C0231_1.mp4,"(934, 488)","(1225, 486)",left
C0231_1.mp4,"(934, 487)","(1223, 487)",left
C0231_1.mp4,"(934, 488)","(1223, 487)",left
C0231_1.mp4,"(934, 487)","(1221, 487)",left
C0231_1.mp4,"(933, 487)","(1221, 487)",left
C0231_1.mp4,"(933, 488)","(1222, 486)",left
C0231_1.mp4,"(932, 487)","(1221, 488)",left
C0231_1.mp4,"(932, 488)","(1219, 487)",left
C0231_1.mp4,"(931, 488)","(1222, 487)",left
C0231_1.mp4,"(931, 488)","(1222, 487)",left
C0231_1.mp4,"(931, 488)","(1221, 487)",left
C0231_1.mp4,"(930, 489)","(1218, 488)",left
C0231_1.mp4,"(930, 489)","(1220, 488)",left
C0231_1.mp4,"(930, 489)","(1218, 489)",left
C0231_1.mp4,"(930, 489)","(1218, 488)",left
C0231_1.mp4,"(930, 490)","(1221, 488)",left
