video_name,left_pupil,right_pupil,gaze_direction
C0132_10.mp4,"(866, 467)","(1125, 457)",right
C0132_10.mp4,"(867, 465)","(1125, 455)",right
C0132_10.mp4,"(865, 465)","(1124, 454)",right
C0132_10.mp4,"(865, 465)","(1124, 454)",right
C0132_10.mp4,"(865, 465)","(1124, 454)",right
C0132_10.mp4,"(863, 466)","(1123, 454)",right
C0132_10.mp4,"(865, 466)","(1123, 455)",right
C0132_10.mp4,"(864, 465)","(1123, 455)",right
C0132_10.mp4,"(864, 466)","(1123, 454)",right
C0132_10.mp4,"(865, 466)","(1123, 454)",right
C0132_10.mp4,"(864, 466)","(1123, 454)",right
C0132_10.mp4,"(865, 466)","(1124, 455)",right
C0132_10.mp4,"(866, 466)","(1125, 455)",right
C0132_10.mp4,"(864, 467)","(1124, 456)",right
C0132_10.mp4,"(866, 466)","(1124, 456)",right
C0132_10.mp4,"(866, 465)","(1125, 454)",right
C0132_10.mp4,"(865, 466)","(1125, 455)",right
C0132_10.mp4,"(865, 466)","(1125, 456)",right
C0132_10.mp4,"(865, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(865, 466)","(1124, 456)",right
C0132_10.mp4,"(865, 466)","(1123, 455)",right
C0132_10.mp4,"(865, 467)","(1124, 457)",right
C0132_10.mp4,"(865, 467)","(1124, 457)",right
C0132_10.mp4,"(864, 466)","(1124, 456)",right
C0132_10.mp4,"(866, 467)","(1124, 456)",right
C0132_10.mp4,"(865, 467)","(1124, 457)",right
C0132_10.mp4,"(866, 467)","(1124, 456)",right
C0132_10.mp4,"(865, 468)","(1124, 457)",right
C0132_10.mp4,"(865, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 458)",right
C0132_10.mp4,"(866, 467)","(1131, 453)",right
C0132_10.mp4,"(865, 467)","(1124, 457)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(867, 468)","(1125, 457)",right
C0132_10.mp4,"(867, 468)","(1126, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 468)","(1125, 458)",right
C0132_10.mp4,"(865, 467)","(1124, 456)",right
C0132_10.mp4,"(865, 468)","(1123, 457)",right
C0132_10.mp4,"(863, 469)","(1123, 458)",right
C0132_10.mp4,"(864, 468)","(1123, 456)",right
C0132_10.mp4,"(864, 468)","(1122, 457)",right
C0132_10.mp4,"(864, 468)","(1123, 456)",right
C0132_10.mp4,"(863, 468)","(1123, 457)",right
C0132_10.mp4,"(864, 468)","(1122, 457)",right
C0132_10.mp4,"(864, 468)","(1123, 457)",right
C0132_10.mp4,"(864, 468)","(1122, 456)",right
C0132_10.mp4,"(864, 467)","(1123, 456)",right
C0132_10.mp4,"(863, 467)","(1123, 455)",right
C0132_10.mp4,"(864, 468)","(1123, 456)",right
C0132_10.mp4,"(865, 467)","(1124, 456)",right
C0132_10.mp4,"(865, 467)","(1124, 456)",right
C0132_10.mp4,"(866, 468)","(1124, 457)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(865, 468)","(1126, 458)",right
C0132_10.mp4,"(867, 468)","(1127, 457)",right
C0132_10.mp4,"(868, 467)","(1127, 456)",right
C0132_10.mp4,"(868, 467)","(1126, 456)",right
C0132_10.mp4,"(867, 466)","(1133, 453)",right
C0132_10.mp4,"(867, 467)","(1126, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 455)",right
C0132_10.mp4,"(866, 466)","(1124, 456)",right
C0132_10.mp4,"(865, 467)","(1125, 456)",right
C0132_10.mp4,"(865, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 468)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(867, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1126, 455)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(867, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(867, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1124, 455)",right
C0132_10.mp4,"(865, 467)","(1125, 455)",right
C0132_10.mp4,"(865, 466)","(1125, 456)",right
C0132_10.mp4,"(865, 467)","(1125, 457)",right
C0132_10.mp4,"(867, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(866, 467)","(1125, 456)",right
C0132_10.mp4,"(867, 467)","(1126, 456)",right
C0132_10.mp4,"(867, 467)","(1126, 456)",right
C0132_10.mp4,"(867, 466)","(1126, 457)",right
C0132_10.mp4,"(866, 466)","(1126, 455)",right
C0132_10.mp4,"(864, 466)","(1126, 456)",right
C0132_10.mp4,"(866, 466)","(1126, 455)",right
C0132_10.mp4,"(866, 466)","(1125, 456)",right
C0132_10.mp4,"(866, 466)","(1126, 456)",right
C0132_10.mp4,"(867, 465)","(1125, 455)",right
C0132_10.mp4,"(866, 467)","(1126, 456)",right
C0132_10.mp4,"(866, 467)","(1126, 456)",right
C0132_10.mp4,"(868, 466)","(1126, 455)",right
C0132_10.mp4,"(868, 466)","(1127, 456)",right
C0132_10.mp4,"(868, 466)","(1127, 456)",right
C0132_10.mp4,"(868, 466)","(1127, 455)",right
C0132_10.mp4,"(868, 466)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1127, 456)",right
C0132_10.mp4,"(869, 466)","(1128, 456)",right
C0132_10.mp4,"(868, 466)","(1128, 456)",right
C0132_10.mp4,"(868, 466)","(1127, 455)",right
C0132_10.mp4,"(867, 468)","(1128, 457)",right
C0132_10.mp4,"(869, 467)","(1128, 457)",right
C0132_10.mp4,"(868, 467)","(1128, 456)",right
C0132_10.mp4,"(869, 466)","(1128, 456)",right
C0132_10.mp4,"(868, 467)","(1128, 457)",right
C0132_10.mp4,"(869, 467)","(1128, 457)",right
C0132_10.mp4,"(868, 467)","(1128, 457)",right
C0132_10.mp4,"(868, 466)","(1128, 457)",right
C0132_10.mp4,"(869, 466)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1129, 457)",right
C0132_10.mp4,"(869, 466)","(1129, 456)",right
C0132_10.mp4,"(870, 465)","(1128, 456)",right
C0132_10.mp4,"(869, 466)","(1128, 456)",right
C0132_10.mp4,"(870, 467)","(1129, 456)",right
C0132_10.mp4,"(869, 467)","(1128, 456)",right
C0132_10.mp4,"(869, 468)","(1128, 457)",right
C0132_10.mp4,"(868, 467)","(1128, 457)",right
C0132_10.mp4,"(868, 467)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1128, 456)",right
C0132_10.mp4,"(870, 467)","(1128, 457)",right
C0132_10.mp4,"(869, 467)","(1128, 457)",right
C0132_10.mp4,"(869, 466)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1128, 456)",right
C0132_10.mp4,"(869, 467)","(1129, 457)",right
C0132_10.mp4,"(870, 466)","(1129, 456)",right
C0132_10.mp4,"(872, 467)","(1130, 456)",right
C0132_10.mp4,"(870, 467)","(1130, 457)",right
C0132_10.mp4,"(870, 467)","(1129, 457)",right
C0132_10.mp4,"(870, 467)","(1130, 458)",right
C0132_10.mp4,"(871, 467)","(1129, 457)",right
C0132_10.mp4,"(869, 467)","(1129, 457)",right
C0132_10.mp4,"(869, 468)","(1129, 457)",right
C0132_10.mp4,"(869, 467)","(1129, 458)",right
C0132_10.mp4,"(870, 467)","(1129, 457)",right
C0132_10.mp4,"(869, 468)","(1129, 457)",right
C0132_10.mp4,"(869, 467)","(1128, 456)",right
C0132_10.mp4,"(870, 467)","(1129, 457)",right
C0132_10.mp4,"(868, 466)","(1129, 456)",right
C0132_10.mp4,"(870, 468)","(1129, 458)",right
C0132_10.mp4,"(869, 467)","(1130, 457)",right
C0132_10.mp4,"(870, 468)","(1129, 458)",right
C0132_10.mp4,"(870, 468)","(1129, 457)",right
C0132_10.mp4,"(870, 468)","(1130, 458)",right
C0132_10.mp4,"(870, 467)","(1129, 457)",right
C0132_10.mp4,"(870, 468)","(1130, 457)",right
C0132_10.mp4,"(870, 467)","(1129, 456)",right
C0132_10.mp4,"(870, 467)","(1130, 456)",right
