video_name,left_pupil,right_pupil,gaze_direction
0p__StartL_4.mp4,"(793, 463)","(1077, 462)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 462)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 463)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 464)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 463)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 463)",left
0p__StartL_4.mp4,"(793, 463)","(1077, 463)",left
0p__StartL_4.mp4,"(793, 463)","(1076, 463)",left
0p__StartL_4.mp4,"(793, 463)","(1076, 463)",left
0p__StartL_4.mp4,"(792, 463)","(1075, 462)",left
0p__StartL_4.mp4,"(792, 463)","(1076, 464)",left
0p__StartL_4.mp4,"(792, 463)","(1076, 463)",left
0p__StartL_4.mp4,"(792, 463)","(1075, 463)",left
0p__StartL_4.mp4,"(791, 464)","(1075, 463)",left
0p__StartL_4.mp4,"(791, 462)","(1075, 463)",left
0p__StartL_4.mp4,"(791, 463)","(1075, 464)",left
0p__StartL_4.mp4,"(791, 462)","(1074, 462)",left
0p__StartL_4.mp4,"(791, 463)","(1074, 463)",left
0p__StartL_4.mp4,"(790, 463)","(1074, 463)",center
0p__StartL_4.mp4,"(790, 464)","(1073, 464)",left
0p__StartL_4.mp4,"(789, 463)","(1073, 463)",left
0p__StartL_4.mp4,"(789, 463)","(1072, 463)",left
0p__StartL_4.mp4,"(789, 463)","(1072, 463)",left
0p__StartL_4.mp4,"(788, 462)","(1071, 463)",center
0p__StartL_4.mp4,"(787, 462)","(1071, 463)",left
0p__StartL_4.mp4,"(787, 462)","(1070, 462)",left
0p__StartL_4.mp4,"(787, 463)","(1070, 463)",left
0p__StartL_4.mp4,"(786, 463)","(1069, 462)",center
0p__StartL_4.mp4,"(786, 463)","(1068, 464)",left
0p__StartL_4.mp4,"(785, 463)","(1067, 461)",center
0p__StartL_4.mp4,"(787, 466)","(1066, 462)",center
0p__StartL_4.mp4,"(787, 465)","(1066, 463)",center
0p__StartL_4.mp4,"(784, 462)","(1067, 460)",center
0p__StartL_4.mp4,"(785, 464)","(1065, 462)",center
0p__StartL_4.mp4,"(785, 466)","(1064, 463)",center
0p__StartL_4.mp4,"(785, 466)","(1063, 462)",center
0p__StartL_4.mp4,"(784, 466)","(1063, 463)",center
0p__StartL_4.mp4,"(781, 463)","(1062, 462)",center
0p__StartL_4.mp4,"(783, 466)","(1061, 462)",center
0p__StartL_4.mp4,"(782, 467)","(1060, 464)",center
0p__StartL_4.mp4,"(781, 464)","(1060, 462)",center
0p__StartL_4.mp4,"(780, 464)","(1059, 461)",center
0p__StartL_4.mp4,"(780, 466)","(1057, 462)",center
0p__StartL_4.mp4,"(780, 467)","(1056, 462)",center
0p__StartL_4.mp4,"(778, 465)","(1054, 463)",center
0p__StartL_4.mp4,"(779, 469)","(1053, 465)",center
0p__StartL_4.mp4,"(778, 467)","(1052, 463)",center
0p__StartL_4.mp4,"(777, 466)","(1052, 463)",center
0p__StartL_4.mp4,"(776, 467)","(1051, 463)",center
0p__StartL_4.mp4,"(775, 467)","(1050, 464)",center
0p__StartL_4.mp4,"(774, 465)","(1050, 463)",center
0p__StartL_4.mp4,"(774, 468)","(1048, 466)",center
0p__StartL_4.mp4,"(773, 467)","(1048, 464)",center
0p__StartL_4.mp4,"(772, 466)","(1047, 464)",center
0p__StartL_4.mp4,"(772, 467)","(1046, 464)",center
0p__StartL_4.mp4,"(771, 467)","(1045, 464)",center
0p__StartL_4.mp4,"(768, 465)","(1047, 462)",right
0p__StartL_4.mp4,"(763, 469)","(1044, 465)",right
0p__StartL_4.mp4,"(766, 465)","(1043, 463)",right
0p__StartL_4.mp4,"(764, 466)","(1042, 464)",right
0p__StartL_4.mp4,"(759, 467)","(1042, 464)",right
0p__StartL_4.mp4,"(758, 467)","(1041, 465)",right
0p__StartL_4.mp4,"(757, 467)","(1040, 464)",right
0p__StartL_4.mp4,"(757, 467)","(1039, 465)",right
0p__StartL_4.mp4,"(756, 468)","(1039, 465)",right
0p__StartL_4.mp4,"(755, 468)","(1038, 464)",right
0p__StartL_4.mp4,"(754, 468)","(1037, 464)",right
0p__StartL_4.mp4,"(753, 468)","(1037, 465)",right
0p__StartL_4.mp4,"(753, 468)","(1036, 464)",right
0p__StartL_4.mp4,"(752, 470)","(1035, 465)",right
0p__StartL_4.mp4,"(752, 470)","(1035, 464)",right
0p__StartL_4.mp4,"(751, 468)","(1034, 464)",right
0p__StartL_4.mp4,"(750, 469)","(1034, 464)",right
0p__StartL_4.mp4,"(749, 467)","(1034, 465)",right
0p__StartL_4.mp4,"(749, 468)","(1032, 464)",right
0p__StartL_4.mp4,"(749, 470)","(1032, 465)",right
0p__StartL_4.mp4,"(748, 470)","(1031, 464)",right
0p__StartL_4.mp4,"(748, 470)","(1031, 464)",right
0p__StartL_4.mp4,"(747, 469)","(1030, 464)",right
0p__StartL_4.mp4,"(746, 470)","(1033, 462)",right
0p__StartL_4.mp4,"(746, 470)","(1029, 465)",right
0p__StartL_4.mp4,"(746, 470)","(1029, 464)",right
