video_name,left_pupil,right_pupil,gaze_direction
0p__StartR_3.mp4,"(738, 471)","(1023, 465)",right
0p__StartR_3.mp4,"(738, 470)","(1022, 464)",right
0p__StartR_3.mp4,"(739, 469)","(1022, 463)",right
0p__StartR_3.mp4,"(739, 469)","(1022, 463)",right
0p__StartR_3.mp4,"(740, 471)","(1023, 463)",right
0p__StartR_3.mp4,"(739, 471)","(1025, 461)",right
0p__StartR_3.mp4,"(741, 473)","(1024, 464)",right
0p__StartR_3.mp4,"(741, 472)","(1024, 464)",right
0p__StartR_3.mp4,"(741, 473)","(1024, 464)",right
0p__StartR_3.mp4,"(741, 473)","(1024, 464)",right
0p__StartR_3.mp4,"(742, 472)","(1024, 464)",right
0p__StartR_3.mp4,"(740, 470)","(1024, 463)",right
0p__StartR_3.mp4,"(741, 469)","(1024, 463)",right
0p__StartR_3.mp4,"(740, 468)","(1025, 463)",right
0p__StartR_3.mp4,"(742, 468)","(1025, 463)",right
0p__StartR_3.mp4,"(742, 469)","(1026, 464)",right
0p__StartR_3.mp4,"(744, 472)","(1026, 464)",right
0p__StartR_3.mp4,"(743, 468)","(1027, 463)",right
0p__StartR_3.mp4,"(743, 469)","(1027, 463)",right
0p__StartR_3.mp4,"(744, 470)","(1028, 463)",right
0p__StartR_3.mp4,"(745, 471)","(1028, 464)",right
0p__StartR_3.mp4,"(744, 467)","(1028, 464)",right
0p__StartR_3.mp4,"(745, 468)","(1029, 464)",right
0p__StartR_3.mp4,"(747, 469)","(1029, 463)",right
0p__StartR_3.mp4,"(747, 467)","(1030, 464)",right
0p__StartR_3.mp4,"(747, 469)","(1031, 464)",right
0p__StartR_3.mp4,"(748, 468)","(1031, 463)",right
0p__StartR_3.mp4,"(749, 468)","(1032, 463)",right
0p__StartR_3.mp4,"(749, 467)","(1033, 465)",right
0p__StartR_3.mp4,"(749, 468)","(1033, 464)",right
0p__StartR_3.mp4,"(751, 468)","(1034, 464)",right
0p__StartR_3.mp4,"(752, 468)","(1035, 464)",right
0p__StartR_3.mp4,"(752, 469)","(1035, 465)",right
0p__StartR_3.mp4,"(753, 466)","(1036, 464)",right
0p__StartR_3.mp4,"(754, 466)","(1037, 464)",right
0p__StartR_3.mp4,"(754, 467)","(1038, 464)",right
0p__StartR_3.mp4,"(755, 468)","(1038, 465)",right
0p__StartR_3.mp4,"(756, 467)","(1039, 464)",right
0p__StartR_3.mp4,"(757, 467)","(1040, 464)",right
0p__StartR_3.mp4,"(759, 467)","(1041, 464)",right
0p__StartR_3.mp4,"(764, 465)","(1042, 464)",right
0p__StartR_3.mp4,"(765, 466)","(1043, 463)",right
0p__StartR_3.mp4,"(766, 467)","(1044, 464)",right
0p__StartR_3.mp4,"(767, 465)","(1047, 462)",center
0p__StartR_3.mp4,"(771, 467)","(1048, 462)",center
0p__StartR_3.mp4,"(772, 467)","(1047, 464)",center
0p__StartR_3.mp4,"(773, 466)","(1048, 463)",center
0p__StartR_3.mp4,"(774, 466)","(1049, 463)",center
0p__StartR_3.mp4,"(775, 465)","(1050, 463)",center
0p__StartR_3.mp4,"(776, 466)","(1051, 463)",center
0p__StartR_3.mp4,"(777, 468)","(1052, 464)",center
0p__StartR_3.mp4,"(779, 468)","(1053, 465)",center
0p__StartR_3.mp4,"(779, 465)","(1056, 462)",center
0p__StartR_3.mp4,"(780, 467)","(1057, 464)",center
0p__StartR_3.mp4,"(781, 466)","(1059, 463)",center
0p__StartR_3.mp4,"(782, 465)","(1060, 462)",center
0p__StartR_3.mp4,"(781, 464)","(1062, 462)",center
0p__StartR_3.mp4,"(784, 467)","(1067, 466)",center
0p__StartR_3.mp4,"(785, 466)","(1064, 464)",center
0p__StartR_3.mp4,"(785, 464)","(1064, 461)",center
0p__StartR_3.mp4,"(786, 464)","(1066, 462)",center
0p__StartR_3.mp4,"(785, 462)","(1067, 462)",center
0p__StartR_3.mp4,"(786, 462)","(1069, 462)",center
0p__StartR_3.mp4,"(787, 463)","(1070, 463)",center
0p__StartR_3.mp4,"(788, 462)","(1072, 463)",left
0p__StartR_3.mp4,"(789, 463)","(1073, 463)",center
0p__StartR_3.mp4,"(790, 463)","(1074, 463)",left
0p__StartR_3.mp4,"(790, 463)","(1074, 463)",left
0p__StartR_3.mp4,"(791, 463)","(1075, 464)",left
0p__StartR_3.mp4,"(792, 463)","(1076, 463)",left
0p__StartR_3.mp4,"(793, 463)","(1077, 463)",left
0p__StartR_3.mp4,"(793, 463)","(1077, 463)",left
0p__StartR_3.mp4,"(794, 464)","(1078, 462)",left
0p__StartR_3.mp4,"(794, 463)","(1078, 462)",left
0p__StartR_3.mp4,"(794, 463)","(1079, 464)",left
0p__StartR_3.mp4,"(795, 463)","(1082, 465)",left
0p__StartR_3.mp4,"(795, 463)","(1080, 462)",left
0p__StartR_3.mp4,"(796, 463)","(1080, 462)",left
0p__StartR_3.mp4,"(795, 463)","(1080, 462)",left
0p__StartR_3.mp4,"(796, 463)","(1082, 464)",left
0p__StartR_3.mp4,"(796, 463)","(1081, 463)",left
0p__StartR_3.mp4,"(796, 463)","(1082, 462)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 463)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 461)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 463)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 463)",left
0p__StartR_3.mp4,"(797, 464)","(1086, 468)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 463)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 463)",left
0p__StartR_3.mp4,"(797, 463)","(1081, 460)",left
0p__StartR_3.mp4,"(797, 463)","(1082, 462)",left
0p__StartR_3.mp4,"(796, 464)","(1081, 462)",left
0p__StartR_3.mp4,"(796, 462)","(1081, 461)",left
0p__StartR_3.mp4,"(796, 464)","(1081, 463)",left
0p__StartR_3.mp4,"(795, 464)","(1081, 465)",left
0p__StartR_3.mp4,"(796, 463)","(1083, 466)",left
0p__StartR_3.mp4,"(795, 463)","(1079, 462)",left
0p__StartR_3.mp4,"(794, 463)","(1079, 463)",left
0p__StartR_3.mp4,"(794, 463)","(1079, 464)",left
0p__StartR_3.mp4,"(793, 463)","(1078, 463)",left
0p__StartR_3.mp4,"(794, 462)","(1077, 462)",left
0p__StartR_3.mp4,"(793, 463)","(1076, 462)",left
0p__StartR_3.mp4,"(793, 463)","(1076, 462)",left
0p__StartR_3.mp4,"(792, 463)","(1076, 464)",left
0p__StartR_3.mp4,"(791, 463)","(1075, 464)",left
0p__StartR_3.mp4,"(791, 463)","(1075, 464)",left
0p__StartR_3.mp4,"(790, 463)","(1074, 464)",left
0p__StartR_3.mp4,"(789, 463)","(1073, 463)",center
0p__StartR_3.mp4,"(789, 464)","(1072, 464)",center
0p__StartR_3.mp4,"(788, 463)","(1071, 463)",center
0p__StartR_3.mp4,"(787, 464)","(1070, 464)",center
0p__StartR_3.mp4,"(786, 463)","(1069, 463)",center
0p__StartR_3.mp4,"(785, 463)","(1068, 463)",center
0p__StartR_3.mp4,"(786, 466)","(1067, 464)",center
0p__StartR_3.mp4,"(784, 464)","(1064, 463)",center
0p__StartR_3.mp4,"(785, 466)","(1065, 462)",center
0p__StartR_3.mp4,"(783, 464)","(1064, 463)",center
0p__StartR_3.mp4,"(783, 466)","(1063, 463)",center
0p__StartR_3.mp4,"(781, 463)","(1062, 462)",center
0p__StartR_3.mp4,"(781, 465)","(1061, 463)",center
0p__StartR_3.mp4,"(781, 467)","(1060, 465)",center
0p__StartR_3.mp4,"(780, 466)","(1058, 465)",center
0p__StartR_3.mp4,"(778, 463)","(1059, 462)",center
0p__StartR_3.mp4,"(779, 466)","(1055, 464)",center
0p__StartR_3.mp4,"(779, 468)","(1054, 466)",center
0p__StartR_3.mp4,"(778, 467)","(1054, 464)",center
0p__StartR_3.mp4,"(777, 467)","(1052, 464)",center
0p__StartR_3.mp4,"(775, 465)","(1052, 465)",center
0p__StartR_3.mp4,"(776, 466)","(1051, 465)",center
0p__StartR_3.mp4,"(776, 467)","(1051, 464)",center
0p__StartR_3.mp4,"(775, 468)","(1051, 464)",center
0p__StartR_3.mp4,"(775, 467)","(1050, 464)",center
0p__StartR_3.mp4,"(774, 467)","(1050, 463)",center
0p__StartR_3.mp4,"(774, 465)","(1049, 464)",center
0p__StartR_3.mp4,"(774, 467)","(1049, 464)",center
0p__StartR_3.mp4,"(774, 469)","(1049, 464)",center
0p__StartR_3.mp4,"(773, 468)","(1048, 464)",center
0p__StartR_3.mp4,"(773, 469)","(1048, 465)",center
0p__StartR_3.mp4,"(773, 467)","(1048, 464)",center
0p__StartR_3.mp4,"(773, 467)","(1048, 464)",center
0p__StartR_3.mp4,"(773, 467)","(1048, 465)",center
0p__StartR_3.mp4,"(773, 467)","(1048, 465)",center
0p__StartR_3.mp4,"(773, 467)","(1048, 464)",center
0p__StartR_3.mp4,"(773, 468)","(1048, 465)",center
0p__StartR_3.mp4,"(773, 468)","(1048, 465)",center
0p__StartR_3.mp4,"(773, 467)","(1049, 464)",center
0p__StartR_3.mp4,"(773, 465)","(1049, 465)",center
0p__StartR_3.mp4,"(773, 464)","(1051, 463)",center
0p__StartR_3.mp4,"(773, 465)","(1049, 464)",center
0p__StartR_3.mp4,"(773, 467)","(1049, 466)",center
0p__StartR_3.mp4,"(773, 466)","(1052, 463)",center
0p__StartR_3.mp4,"(773, 465)","(1050, 465)",center
0p__StartR_3.mp4,"(773, 467)","(1050, 465)",center
0p__StartR_3.mp4,"(773, 466)","(1050, 466)",center
