video_name,left_pupil,right_pupil,gaze_direction
1p SVB NC3.mp4,"(817, 483)","(1033, 481)",left
1p SVB NC3.mp4,"(816, 482)","(1032, 480)",left
1p SVB NC3.mp4,"(817, 483)","(1032, 480)",left
1p SVB NC3.mp4,"(815, 482)","(1032, 481)",left
1p SVB NC3.mp4,"(815, 482)","(1032, 481)",left
1p SVB NC3.mp4,"(817, 483)","(1031, 481)",left
1p SVB NC3.mp4,"(815, 481)","(1033, 482)",left
1p SVB NC3.mp4,"(815, 482)","(1031, 481)",left
1p SVB NC3.mp4,"(815, 482)","(1032, 482)",left
1p SVB NC3.mp4,"(814, 482)","(1030, 481)",left
1p SVB NC3.mp4,"(814, 482)","(1030, 481)",left
1p SVB NC3.mp4,"(814, 482)","(1029, 481)",left
1p SVB NC3.mp4,"(813, 482)","(1028, 481)",left
1p SVB NC3.mp4,"(812, 482)","(1028, 481)",left
1p SVB NC3.mp4,"(811, 481)","(1027, 481)",left
1p SVB NC3.mp4,"(811, 482)","(1027, 481)",left
1p SVB NC3.mp4,"(811, 482)","(1025, 480)",left
1p SVB NC3.mp4,"(810, 481)","(1025, 481)",left
1p SVB NC3.mp4,"(810, 482)","(1024, 481)",center
1p SVB NC3.mp4,"(809, 482)","(1023, 480)",center
1p SVB NC3.mp4,"(809, 481)","(1022, 481)",center
1p SVB NC3.mp4,"(808, 482)","(1020, 481)",center
1p SVB NC3.mp4,"(807, 482)","(1020, 481)",center
1p SVB NC3.mp4,"(807, 482)","(1021, 479)",center
1p SVB NC3.mp4,"(807, 482)","(1020, 479)",center
1p SVB NC3.mp4,"(806, 483)","(1018, 481)",center
1p SVB NC3.mp4,"(805, 482)","(1018, 480)",center
1p SVB NC3.mp4,"(806, 483)","(1018, 479)",center
1p SVB NC3.mp4,"(806, 484)","(1016, 480)",center
1p SVB NC3.mp4,"(806, 485)","(1013, 482)",center
1p SVB NC3.mp4,"(805, 486)","(1012, 483)",center
1p SVB NC3.mp4,"(805, 485)","(1012, 482)",center
1p SVB NC3.mp4,"(804, 486)","(1012, 481)",center
1p SVB NC3.mp4,"(804, 485)","(1010, 483)",center
1p SVB NC3.mp4,"(803, 486)","(1010, 482)",center
1p SVB NC3.mp4,"(803, 486)","(1009, 483)",center
1p SVB NC3.mp4,"(802, 485)","(1008, 482)",center
1p SVB NC3.mp4,"(802, 485)","(1010, 481)",center
1p SVB NC3.mp4,"(802, 485)","(1009, 482)",center
